iShares Russell 3000 ETF,,,,,,,,,
Inception Date,22-May-00,,,,,,,,
Fund Holdings as of,6-Jun-14,,,,,,,,
Total Net Assets ($000s),"$5,728.4 M",,,,,,,,
Number of Securities,"2,986",,,,,,,,
Stock,99.84%,,,,,,,,
Bond,0.00%,,,,,,,,
Cash,0.00%,,,,,,,,
Other,0.16%,,,,,,,,
 ,,,,,,,,,
Ticker,ISIN,SEDOL,Name,Weight (%),Sector,Market Value,Shares,Price,Exchange
BG,BMG169621056,2788713,BUNGE LTD.,0.05,Consumer Staples,"$2,948,028 ","38,486",76.6,New York Stock Exchange Inc.
TSN,US9024941034,2909730,TYSON FOODS INC. CL A,0.05,Consumer Staples,"$2,943,805 ","73,375",40.12,New York Stock Exchange Inc.
NVDA,US67066G1040,2379504,NVIDIA CORP.,0.05,Technology,"$2,943,218 ","154,662",19.03,NASDAQ
COH,US1897541041,2646015,COACH INC.,0.05,Consumer Discretionary,"$2,943,064 ","73,595",39.99,New York Stock Exchange Inc.
TIF,US8865471085,2892090,TIFFANY & CO.,0.05,Consumer Discretionary,"$2,933,840 ","29,274",100.22,New York Stock Exchange Inc.
FLS,US34354P1057,2288406,FLOWSERVE CORP,0.05,Producer Durables,"$2,928,267 ","38,273",76.51,New York Stock Exchange Inc.
TXT,US8832031012,2885937,TEXTRON INC,0.05,Producer Durables,"$2,923,497 ","72,760",40.18,New York Stock Exchange Inc.
KLAC,US4824801009,2480138,KLA TENCOR CORP,0.05,Technology,"$2,908,105 ","43,424",66.97,NASDAQ
LLTC,US5356781063,2516839,LINEAR TECHNOLOGY CORP.,0.05,Technology,"$2,894,279 ","62,444",46.35,NASDAQ
NLY,US0357104092,2113456,ANNALY CAPITAL MANAGEMENT REIT INC,0.05,Financial Services,"$2,885,868 ","248,140",11.63,New York Stock Exchange Inc.
CNX,US20854P1093,2413758,CONSOL ENERGY INC.,0.05,Energy,"$2,852,884 ","60,124",47.45,New York Stock Exchange Inc.
ALTR,US0214411003,2021690,ALTERA CORP.,0.05,Technology,"$2,837,363 ","83,896",33.82,NASDAQ
COL,US7743411016,2767228,ROCKWELL COLLINS INC.,0.05,Producer Durables,"$2,834,577 ","35,481",79.89,New York Stock Exchange Inc.
EA,US2855121099,2310194,ELECTRONIC ARTS INC.,0.05,Technology,"$2,817,797 ","80,855",34.85,NASDAQ
FMC,US3024913036,2328603,FMC CORP,0.05,Materials & Processing,"$2,794,781 ","35,625",78.45,New York Stock Exchange Inc.
AMG,US0082521081,2127899,AFFILIATED MANAGERS GROUP INC.,0.05,Financial Services,"$2,783,013 ","13,806",201.58,New York Stock Exchange Inc.
LRCX,US5128071082,2502247,LAM RESEARCH CORP.,0.05,Technology,"$2,767,765 ","42,581",65,NASDAQ
HP,US4234521015,2420101,HELMERICH & PAYNE INC,0.05,Energy,"$2,766,613 ","24,786",111.62,New York Stock Exchange Inc.
CNP,US15189T1079,2440637,CENTERPOINT ENERGY INC,0.05,Utilities,"$2,757,212 ","114,645",24.05,New York Stock Exchange Inc.
CE,US1508701034,B05MZT4,CELANESE CORP. SER -A-,0.05,Materials & Processing,"$2,743,728 ","42,684",64.28,New York Stock Exchange Inc.
