"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,12.8,0.97,0.305,0.2228,227.1,341.9,12,3.3,0.0035,0.0271,0.0097,0.13,0.8,329.33,11.8,0.0043,3.84,8,5.26,19,0.2982,0.2895,951,3.29,7.15,126.8,49.27,7.81,NA,4.94,954.3,0.7561,NA,-0.13,-0.045,0.1478,NA,0.8015,0,288.9,889.2,0.0732,0.0682,2.7,0.0222,1.4,0.0115,0.5818,3.92,NA,0.0616,7.3,0.33,0.0625,121.8,0.0182,0.0119,15.3,70.62,65.1,44766,133,6.6,134.73,133,1,3.27
"2",2010-12-31,12.8,1.16,0.4247,0.22480620155039,230,343.3,12,3.8,0.0043577981651376,0.02683615819209,0.011069035828721,0.0195,0.58865081233812,64.943548387097,13.2,0.0047,3.7849,17.9,11.8505,31.1,0.33796,0.33689839572192,868.2,2.9641515875725,6.7934272300469,48.502793296089,27.916398713826,6.1313559322034,NA,13.031,872,0.75327701718614,NA,-0.1,0.2644,0.2370647575659,NA,0.7946,0,292.9,805.3,0.082826275922017,0.076490825688073,12.4,0.087570621468927,-0.2,-0.0014124293785311,0.30523467741936,3.5013043478261,NA,0.12641242937853,5.6871468926554,-1.1805,-0.099616630581847,141.6,0.040459255718675,0.053913043478261,17.1,60.39,66.7,36825,127.8,4.2,191.7380952381,127.8,1,2.9389956184698
"3",2009-12-31,12.8,1.08,0.4533,0.29909267660402,216.3,352.2,28.4,4.8,0.0057894102038355,0.042857142857143,0.013628620102215,0.4083,0.57908669755129,199.13513513513,12.6,0.0051,3.7577,5.9,4.5737,18.5,0.22479,0.22916666666667,824.3,2.7132982225148,5.9344852411807,139.71186440678,44.556756756757,7.3598214285714,NA,-11.6346,829.1,0.74616695059625,NA,0.35,-0.1352,0.24358468219503,NA,0.7924,0,303.8,736.8,0.12527144408252,0.11132553371125,3.7,0.033035714285714,1.7,0.015178571428571,1.0155891891892,3.4063800277392,NA,0.052678571428571,6.5785714285714,16.2083,3.5437753600344,112,0.015055098749177,0.017105871474804,13.6,56.34,92.3,33138,138.9,14.9,49.44966442953,138.9,1.05,2.6866493843163
"4",2008-12-31,12.8,1.02,0.415,0.26508100654947,213.2,334.7,29.3,2.4,0.0035169988276671,0.018532818532819,0.007170600537795,-0.4542,0.3855421686747,137.61363636364,14,0.0062,3.7541,7.5,6.1173,21.5,0.18436,NA,680,2.3635731664929,6.0606060606061,90.666666666667,31.627906976744,5.2509652509653,NA,-8.7285,682.4,0.74305348072901,NA,NA,0.0099,0.32734082397004,NA,0.7815,0,287.7,605.5,0.12700247729149,0.11269050410317,4.4,0.033976833976834,3.4,0.026254826254826,0.85320454545455,2.8400562851782,NA,0.057915057915058,4.6756756756757,14.8458,2.4268535964873,129.5,0.021262773722628,0.020637898686679,14,46.18,76.9,52337,112.2,-0.2,NA,112.2,1,2.3522923129955
"5",2007-12-31,12.8,0.81,0.3105,0.24297119055883,218.1,328.7,20.6,10.7,0.018222070844687,0.083398285268901,0.032552479464557,-0.0042,0.54106280193237,56.835164835165,14.3,0.0074245939675174,3.84,16.9,10.0241,31.2,0.40686,NA,576.5,2.0782263878875,4.6908055329536,34.112426035503,18.477564102564,4.4933749025721,NA,3.7283,587.2,0.75327045938546,NA,NA,-0.1624,0.30279368384522,NA,0.767,0,277.4,517.2,0.1353441608662,0.1192098092643,9.1,0.070927513639907,-0.1,-0.00077942322681214,0.42197802197802,2.3713892709766,NA,0.13172252533126,4.0311769290725,6.2958,0.62806760396183,128.3,0.036135782263879,0.041723979825768,15.4,45.75,70,67828,122.9,6.3,82.095238095238,122.9,1.05,2.0381811870878
"6",2006-12-31,12.8,1.58,0.2725,0.25225225225225,207.5,324.3,27.6,11.4,0.015741507870754,0.074461136512084,0.035152636447734,0.1911,0.67522935779816,57.893805309735,13.8,0.0058697645979823,3.84,18.7,11.6952,32.5,0.37459,NA,712.8,2.6786922209696,5.457886676876,38.117647058824,21.932307692308,4.6557805355976,NA,-2.2959,724.2,0.76657415972865,NA,0.345,-0.126,0.17674755523361,NA,0.7538,0,266.1,654.2,0.10700091715072,0.096658381662524,11.3,0.073807968647943,1.3,0.0084911822338341,0.33982300884956,3.1527710843373,NA,0.12214239059438,4.273024167211,13.9911,1.1963105443694,153.1,0.043950270574972,0.054457831325301,14.2,48.72,70,65800,130.6,NA,NA,130.6,1.15,2.6097297297297
"7",2005-12-31,12.3,1.78,0.2723,0.28005811841627,198.2,316.3,33.2,1.6,0.0020637172707339,0.0095011876484561,0.005058488776478,-0.1283,0.47006977598237,48.151724137931,6.9,0.0052850186193068,3.69,26.2,18.3612,33.1,0.29919,NA,773.7,2.8268176835952,4.487819025522,29.530534351145,23.374622356496,4.5944180522565,NA,-7.8105,775.3,0.79418273790705,NA,0.185,0.1752,0.1577964519141,NA,0.7395,0,273.7,698.2,0.11042681180178,0.09944537598349,14.5,0.086104513064133,5.4,0.032066508313539,0.25448275862069,3.5227043390515,NA,0.15558194774347,4.146080760095,26.1717,1.4253808361309,168.4,0.067085210084034,0.073158425832492,13.7,55.78,77.1,51100,172.4,15,46.546666666667,172.4,0.8,2.8162005085361
"8",2004-12-31,12.2,1.24,0.2898,0.32434402332362,NA,309,24.2,0.9,0.0012651110486365,0.0056532663316583,0.0029126213592233,0.6056,0.85576259489303,53.196581196581,6.7,0.0057859209257474,3.66,24.0288,14.8289,30.7288,0.38287,NA,710.5,2.5978062157221,4.4629396984925,29.568684245572,23.121631824217,5.0035211267606,NA,-3.2767,711.4,0.81067961165048,NA,-0.32,0.0319,0.18548009367682,NA,0.6625,0,273.5,622.4,0.14299485861183,0.12510542592072,11.7,0.082394366197183,5,0.035211267605634,0.31282051282051,3.3570658036678,NA,0.16921690140845,4.3830985915493,18.1056,1.2209699930267,142,0.054218988460695,0.063106796116505,12.5,51.85,89,58800,159.2,15.6,39.897435897436,159.2,0.75,2.5925655976676
"9",2003-12-31,12,0.88,0.2902,0.40364400840925,NA,314.3,28.4,1.7,0.0026401615157633,0.011980267794221,NA,0.2854,0.60647829083391,60.770114942529,13.3,0.0059410646387833,3,37.9878,24.1549,51.2878,0.36414,NA,642.2,2.2636587945012,4.5257223396758,16.905409731114,12.521486574595,4.7605633802817,NA,8.7696,643.9,0.80146356983774,NA,NA,0.2852,0.24373333333333,NA,0.6879,0,283.7,528.7,0.21789294495933,0.17890976859761,8.7,0.064492216456634,5.5,0.040770941438102,0.3448275862069,3.1063454759107,NA,0.2816,3.9191994069681,15.3854,0.63694596348354,134.9,0.08514257293761,0.051116333725029,9.3,42.08,115.2,7000,141.9,13,40.669230769231,141.9,0.65,2.2561317449194
"10",2002-12-31,11.9,0.63,0.3221,0.418064976794,NA,310.5,26.1,1.1,0.0022536365498873,0.010526315789474,NA,6.6,0.4331,NA,6.8,0.0076981132075472,2.856,10.7,10.7,17.5,0,NA,487,NA,NA,45.514018691589,27.828571428571,4.6602870813397,NA,-8.6,488.1,0.80161030595813,NA,NA,-0.0164,0.20634920634921,NA,0.6052,0,279,371,0.31563342318059,0.239909854538,-13.6,-0.13014354066986,2.1,0.020095693779904,NA,2.2760736196319,NA,0.10239234449761,3.5502392344498,19.3,1.803738317757,104.5,0.038351254480287,-0.083435582822086,7.6,30.6,117.1,21648,121.8,-9.6,NA,121.8,0.65,1.7455197132617
