"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Capital Expenditures","Cash","Correlation with the Market","Depreciation","Dividends","Effective Tax Rate","Enterprise Value","Expected Growth in Earnings Per Share","Firm Value","Hi-Lo Risk","Institutional Holdings","Market Capitalization","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Value Line Beta"
"1",2011-12-31,0,0.42,0.2356,0,0,0.45,0,0,0,0,0.1,0,0.1327,0.3152,0,0,0,0,0,0,14.04,0,24439,23.9,0.65
"2",2008-12-31,0,NA,NA,0,0,NA,0,0,0,0,NA,0,0.17563930013459,0.4415,0,NA,0,NA,NA,0,15.54,0,0,NA,NA
