"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,43.3,1.2,0.4503,0,243.2,422.4,9,111.4,0.8696,0.1271,0.2637,-7.14,0.67,NA,22.2,0,0,-7,-7,15,0,16.7,0.13,0.02,NA,1.1,0.02,13.34,128.1,0.112,0.03,0.3953,0.5364,0.0185,131.8,128.1,0,0,-48.7,-0.0556,72.9,0.0832,NA,0.53,-0.008,0.15,-20.34,NA,876.5,-0.0531,-0.2002,85.2,2.9,0,115972,790.7,-20.6,790.7,1.25,0.53
"2",2011-07-31,43.3,1.77,0.6366,0,243.2,422.4,9,111.4,0.47688356164384,0.12709640616087,0.26373106060606,-2.5118,0.5105246622683,NA,22.2,0,0,-7,-7,15.2,0,122.2,0.92716236722306,0.14439324116743,NA,8.0394736842105,0.13941814033086,8.7118,233.6,0.11197916666667,-0.0412,0.37560038424592,0.4378,0.018465909090909,131.8,233.6,0,0,-48.7,-0.055561893896178,72.9,0.083171705647461,NA,0.96052631578947,-0.0079863091842556,0.26651454649173,-15.7118,NA,876.5,-0.053110773899848,-0.20024671052632,85.2,5.4,0,242095,846.3,-40.5,846.3,1.3,0.96052631578947
"3",2010-07-31,43.7,2.08,0.7305,0,318.7,525.8,9.2,161.6,0.52793204835021,0.17489177489177,0.30734119437048,-0.68,0.47912388774812,NA,23.2,0,0,17.4,17.4,40.6,0,144.5,0.91979630808402,0.15814818868337,8.3045977011494,3.5591133004926,0.15638528138528,32.08,306.1,0.1006085964245,-0.0616,0.31750741839763,0.4577,0.076835298592621,157.1,306.1,0,0,-15.5,-0.016774891774892,61,0.066017316017316,NA,0.96046438657044,0.018831168831169,0.33127705627706,-14.68,-0.84367691695278,924,0.11075747931254,-0.048635080012551,92.9,6.71,0,187082,913.7,-30.7,913.7,1.4,0.96046438657044
"4",2009-07-31,44.8,2.38,0.7851,0.0011560693641619,345.6,555.8,11.1,179.2,0.41500694766095,0.17767202062265,0.32241813602015,-2.5705,0.29550375748312,NA,25.5,0,0,16.5,16.5,42,0,252.6,1.5143884892086,0.26206037970744,15.309090909091,6.0142857142857,0.25044616299821,33.4705,431.8,0.1101115509176,-0.0367,0.71327433628319,0.451,0.087801367398345,166.8,431.4,0.0009272137227631,0.00092635479388606,-28.9,-0.028653579218719,58,0.057505453103312,NA,1.2482638888889,0.016359309934563,0.42772159428911,-16.9705,-1.0285147729526,1008.6,0.098920863309352,-0.083622685185185,100.4,9.41,0.4,218694,963.9,-1.6,963.9,1.45,1.2479768786127
"5",2008-07-31,45.7,2.31,0.5907,0.00073206442166911,546,810.6,26.1,162.1,1.2575640031032,0.15175060850028,0.19997532691833,-1.2038,0.41984086676824,9.6616541353384,20.8,0,0,19.8,11.092,40.6,0.4398,-33.2,-0.086390840489201,-0.030601898792515,-1.6767676767677,-0.81773399014778,-0.031080322037072,6.9958,128.9,0.092400690846287,-0.0067,0.73109243697479,NA,0.27054034048853,384.3,128.5,0.0031128404669261,0.0031031807602793,13.3,0.012450851900393,77,0.072083879423329,0,0.23534798534799,0.018535854708856,0.12029582475192,4.0962,0.36929444513237,1068.2,0.028862763466042,0.024358974358974,114,2.89,0.4,329662,1084.9,-14.6,1084.9,1.55,0.23590775988287
"6",2001-07-31,NA,NA,NA,0.25,NA,16.7,2.3,1.5,0.23076923076923,0.13274336283186,NA,0,NA,NA,1.5,0,0,1.92213,0.4459,3.4221,0.768,5,NA,NA,2.6012808707007,1.4610783342538,0.44247787610619,-0.3541,6.5,0.29940119760479,NA,0.90562613430127,0.0577,NA,13.5,1.5,3.3333333333333,0.76923076923077,0,0,-0.1,-0.0088495575221239,NA,0.15,0.0394632,0.13274336283186,0.8,1.7939868073798,NA,0.03303216,0,7.0275,0.44,5,NA,11.3,-5.2,11.7,NA,0.43333333333333
