"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,0,1.13,0.293,NA,NA,NA,0,0,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0.1105,NA,0,NA,1.78,10.38,NA,0.3014,0.758,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,18.47,0,130522,NA,NA,NA,0.9,NA
"2",2008-12-31,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0.15,NA,0,NA,1.95,9.025641025641,NA,0.27783417935702,0.7166,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,17.6,0,123498,1929.9,42.7,1929.9,NA,NA
"3",2007-12-31,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,0.15,NA,0,NA,NA,NA,NA,0.54728789986092,0.9849,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11.5,0,816571,NA,NA,NA,NA,NA
"4",2006-12-31,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.17843246247916,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,18.84,0,193985,NA,NA,NA,NA,NA
"5",1999-12-31,NA,1.75,NA,0.95213579556053,NA,4001.8,386,1341.4,0.4758087400681,1.3100888758668,NA,212.8,0,0,-78.4,-78.4,134.4,0,1477.8,NA,10.995535714286,1.4433050102549,0.37,-204.2525,2819.2,0.25101204457994,NA,NA,1.0033,0.98152084071319,0.6226,1841.4,267,9.5588014981273,0.9052922814983,NA,-0.64703584334408,NA,-0.22951460103526,2.0810600155885,-0.076569977536869,0.26076765309112,NA,-0.042576300640817,-5.1636788776305,406.9,NA,NA,NA,NA,-662.5,1023.9,NA,0.88576096518789
