"","Date","Number of Shares Outstanding","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,55,0.0149,191.5,218.3,9.3,177.4,1.846,5.233,0.8126,-0.12,5.8,0,0,-6,-5.8,0,0,-81.3,-4.78,-2.5,-2.4,0.3,-9.18,96.1,0.0843,0.6651,0.3751,0,17,93.2,0.0311,0.0302,-109.4,-3.2271,3,0.0885,0.49,-0.1711,2.75,3.38,33.9,-0.3412,-0.5713,122.8,1.7,2.9,141116,32.5,-95.6,32.5,1.8,0.49
"2",2010-12-31,52.9,0.010604453870626,279.9,305.7,5.3,283.7,1.7577447335812,166.88235294118,0.92803402028132,NA,5.2,0,0,-5.2,-5.2,0,0,-122.3,NA,NA,-71.941176470588,0.3,-5.3,161.4,0.040235525024534,0.76623376623377,0.3832,0,-0.80000000000001,158.4,0.018939393939394,0.018587360594796,-140.2,-82.470588235294,-11.3,-6.6470588235294,0.56591639871383,-3.0588235294118,93.176470588235,0.1,1.7,NA,-0.50089317613433,136.7,2.8,3,281939,NA,NA,NA,NA,NA
"3",2009-12-31,0.7,NA,-173.3,101.1,5.2,92.7,8.6635514018692,927,0.91691394658754,NA,4.1,0,0,NA,NA,NA,0,-82,NA,NA,-820,0.3,NA,10.7,0.070227497527201,0.21657381615599,NA,0,-266,10.7,0,0,-87.7,-877,-7.4,-74,NA,NA,107,1.1,0.1,NA,NA,84.1,15.91,0,0,NA,NA,NA,NA,NA
