"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,3.8,0.79,0.2014,0.4323,80.5,764,0,13.8,0.0668,0.0181,NA,0.8,11.71,0,0.0492,7.14,30,25.55,30,0.134,0.1329,192.7,1.51,6.53,6.53,25.55,206.5,0,-0.01,NA,0.1198,NA,0.1636,0.0039,128,145.2,0.4222,0.2969,12.4,0,0.5031,1.8,0,0,NA,0.1996,0.154,4.6,37.41,61.3,16984,NA,14.2,10.23,NA,0.6,1.46
"2",2010-12-31,3.8,0.55,0.2265,0.51878612716763,66.6,691.7,0,9.5,0.042870036101083,0.013734277866127,NA,0.60706401766004,13.743119266055,0,0.0471,7.0556,27.6,24.5016,27.6,0.11226,0.11382113821138,212.1,1.6454615981381,7.6847826086956,7.6847826086956,24.5016,221.6,0,-0.05,NA,0.12921348314607,NA,0.1618,0.0043371403787769,128.9,149.8,0.47930574098798,0.32400722021661,10.9,0,0.64730091743119,2.2492492492492,0,0,NA,0.19008242048099,0.16366366366366,6.1,38.78,71.8,6638,NA,11.7,12.803418803419,NA,0.55,1.6011560693642
"3",2009-12-31,3.8,NA,NA,0.56473649967469,66.9,676.2,0,13.8,0.057547956630525,0.020408163265306,NA,NA,25.081967213115,0,0.0461,7.0533,20,20,20,0,0,226,1.6154395997141,11.3,11.3,20,239.8,0,-0.055,NA,0.21962754951227,NA,0.1655,0.0044365572315883,139.9,153,0.56732026143791,0.36196830692243,6.1,0,1.1562786885246,2.2869955156951,0,0,NA,0.14295925661187,0.09118086696562,8.3,39.8,86.8,6501,NA,10.6,14.433962264151,NA,0.5,1.5601821730644
"4",2008-12-31,3.8,NA,NA,0.5872801082544,61,652.8,0,16.6,0.079122974261201,0.025428921568627,NA,NA,15.375,0,0,0,22.3,21.2258,22.3,0.04817,NA,193.2,1.4725609756098,8.6636771300448,8.6636771300448,NA,209.8,0,-0.005,NA,0.2,NA,0.1528,0.0045955882352941,131.2,123,0.70569105691057,0.4137273593899,8,0,0,2.016393442623,NA,NA,NA,0.16178208079268,0.13114754098361,9.7,32.44,86.8,7339,NA,5.8,21.206896551724,NA,0.45,1.4194857916103
"5",2007-12-31,3.9,NA,NA,0.60112994350283,70.6,628.1,0,15.4,0.077464788732394,0.024518388791594,NA,NA,10.38202247191,0,0,0,23.4,21.8334,23.4,0.06695,NA,183.4,1.134900990099,7.8376068376068,7.8376068376068,NA,198.8,0,0.055,NA,0.21739130434783,NA,0.1023,0.0047763095048559,161.6,92.4,1.1515151515152,0.53521126760563,8.9,0,0,1.3087818696884,NA,NA,NA,0.13510748762376,0.12606232294618,11,24.4,106.4,1192,NA,7.7,12,NA,0.5,1.1231638418079
"6",2006-12-31,3.9,NA,NA,0.52634920634921,74.6,592.3,0,15.3,0.073487031700288,0.025831504305251,NA,NA,13.052083333333,0,0.057270550678372,7.176,25,20.7765,25,0.16894,NA,192.9,1.3565400843882,7.716,7.716,NA,208.2,0,0.085,NA,0.12152269399707,NA,0.0956,0.0050650008441668,142.2,125.3,0.66161213088587,0.39817483189241,9.6,0,0.7475,1.6796246648794,NA,NA,NA,0.14610759493671,0.12868632707775,8.9,31.43,82.9,3687,NA,9.2,13.619565217391,NA,0.4,1.3219047619048
"7",2005-12-31,4,NA,NA,0.5334595959596,73.9,568.7,0,14.1,0.060230670653567,0.024793388429752,NA,NA,13.724770642202,0,0,0,26.2,20.2198,26.2,0.22825,NA,220,1.5246015246015,8.3969465648855,8.3969465648855,NA,234.1,0,0.115,NA,0.052091554853986,NA,0.097,0.0052751890276068,144.3,149.6,0.56483957219251,0.36095685604443,10.9,0,0,2.0243572395129,NA,NA,NA,0.1401237006237,0.14749661705007,5.8,37.8,84.5,400,NA,9.9,15.111111111111,NA,0.45,1.477904040404
"8",2004-12-31,4,0,0,0.50905432595573,NA,546.7,0,12.6,0.062376237623762,0.023047375160051,0,NA,11.36036036036,0,0,0,NA,NA,NA,0.27779,NA,189.4,1.3875457875458,NA,NA,NA,202,0,NA,0,0.10585141354372,NA,0.1038,0.0054874702762027,136.5,126.1,0.60190325138779,0.37574257425743,11.1,0,0,1.7226775956284,0,NA,NA,NA,0.1516393442623,4.8,38.87,75.9,400,NA,11.2,11.258928571429,0,0.45,1.3547954393025
"9",2003-12-31,3.3,0,0,0.50390902629709,NA,527.4,0,10.2,0.04419410745234,NA,0,NA,14.276785714286,0,0.034526315789474,5.412,NA,NA,NA,0.24891,NA,220.6,1.6904214559387,NA,NA,NA,230.8,0,NA,0,0.090440386680988,NA,0.0759,0.0056882821387941,130.5,159.9,0.44340212632896,0.30719237435009,11.2,0,0.48321428571429,2.2908309455587,0,NA,NA,NA,0.16045845272206,5.7,47.5,70.9,1500,NA,10.9,14.669724770642,0,0.45,1.6403695806681
"10",2002-12-31,3.3,0,0,0.45082680591819,NA,472.2,0,11.7,0.060874089490114,NA,0,0,15.775280898876,0,0.032905982905983,4.62,19.8,15.8038,19.8,0.20183,NA,180.5,NA,9.1161616161616,9.1161616161616,15.8038,192.2,0,NA,0,0.20076534440498,NA,0.0798,0.0063532401524778,103.2,140.4,0.36894586894587,0.26951092611863,8.9,0,0.51910112359551,2.2250396196513,0,0,0,0.15313726744186,0.14104595879556,7.9,45.71,51.8,4031,0,10.9,12.880733944954,0,0.45,1.7490310077519
"11",2001-12-31,NA,-0.36,0.1498,0.4306,NA,424.8,0,14.8,0.094027954256671,NA,0,-0.4204,15.012987012987,0,0.0314,3.6298,NA,NA,NA,0.2035,NA,142.6,NA,NA,NA,NA,157.4,0,NA,NA,0.091422121896163,0,0.0409,0,82.186,115.6,0.36159169550173,0.26556543837357,7.7,0,0.47140779220779,2.0904159132007,0,NA,NA,NA,0.13924050632911,9.7,38.68,41.8,1500,0,8.3,13.927710843374,0,NA,1.915168033485
"12",2000-12-31,NA,NA,0.1498,0.27870289219983,NA,394.9,0,15.3,0.10975609756098,NA,NA,0.6,16.30303030303,0,0.031115241635688,3.348,NA,NA,NA,0.1978,NA,124.1,NA,NA,NA,NA,139.4,0,NA,NA,0.13078149920255,NA,0.0305,NA,67,107.6,0.29553903345725,0.22812051649928,6.6,0,0.50727272727273,2.1306930693069,0,NA,NA,NA,0.13069306930693,NA,35,31.8,NA,NA,NA,NA,NA,NA,1.6938031591737
