"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.4,2.39,0.7387,0.0199,108.4,127.6,0.8,74,0.245,0.4178,0.5799,2.24,0.8,374.88,1.2,0,0,2,0.92,3,0.4861,0.4667,228.1,6.23,1.06,126.72,76.03,1.29,0.4,-0.92,302.1,0.0235,0.23,0.268,0.6535,0.1959,36.6,299.9,0.0073,0.0073,0.8,0.0045,10.7,0.0604,NA,2.77,9.37,0.0102,1.69,1.84,1.9908,177.1,0.0253,0.0074,28.1,17.38,2.2,197609,214.2,-13.1,NA,214.2,0.85,2.73
"2",2010-12-31,8.1,1.86,0.6687,0.16049382716049,34,56.7,0.8,0.6,0.0055970149253731,0.0037974683544304,0.010582010582011,1.4078,0.3177807686556,20.551020408163,1.3,0,0,8.4,5.0684,9.7,0.39662,0.39506172839506,106.6,2.671679197995,0.61053837342497,12.690476190476,10.98969072165,0.6746835443038,NA,4.1605,107.2,0.052910052910053,0.5548,0.4521342726896,0.2473,0.44973544973545,39.9,100.7,0.06454816285998,0.060634328358209,4.9,0.031012658227848,13.4,0.084810126582279,0,2.9617647058823,NA,0.053164556962025,0.6373417721519,0.9078,0.17911955138155,158,0.12702736842105,0.14411764705882,19,12.35,6.5,225101,174.6,3,33.566666666667,174.6,0.85,2.6469135802469
"3",2009-12-31,32,1.19,0.4114,0.21763085399449,28.4,49,0.2,0.5,0.0058823529411765,0.004995004995005,0.010204081632653,3.9634,0.42537676227516,45.352941176471,1.2,0,0,3.2,1.7937,4.4,0.43947,0.43333333333333,84.5,2.3603351955307,0.57133198106829,26.40625,19.204545454545,0.84415584415584,NA,-1.1697,85,0.057142857142857,-0.0852,0.445,0.3328,0.53265306122449,35.8,77.1,0.10246433203632,0.092941176470588,1.7,0.016983016983017,8.3,0.082917082917083,0,2.7147887323944,NA,0.031968031968032,0.77022977022977,2.9634,1.6521398071003,100.1,0.050103240223464,0.059859154929578,13.6,2.56,7.9,184119,147.9,4.6,16.760869565217,147.9,0.7,2.3415977961433
"4",2008-12-31,32,0.88,0.3132,0.15605095541401,26.5,41.7,1.1,1.1,0.024830699774266,0.010045662100457,0.026378896882494,-0.8137,0.33205619412516,14.071428571429,1.1,0,0,5.2,3.1094,6.3,0.40204,NA,43.2,1.4257425742574,0.48160535117057,8.3076923076923,6.8571428571429,0.39452054794521,NA,3.9231,44.3,0.074340527577938,0.7362,0.34715025906736,0.1416,0.53956834532374,30.3,39.4,0.1243654822335,0.11060948081264,2.8,0.025570776255708,4.5,0.041095890410959,0,1.4867924528302,NA,0.047488584474886,0.35981735159817,-0.8137,-0.26169059100203,109.5,0.1026201980198,0.10566037735849,12.7,1.28,4.9,37738,89.7,1.3,30.307692307692,89.7,0.65,1.4108280254777
"5",2007-12-31,26.8,1.05,0.3573,0.0054644808743169,18.2,23.7,0.5,0.8,0.027027027027027,0.015151515151515,0.033755274261603,-2.9121,0.29107192835153,13.409090909091,0.8,0,0,3.6,2.2517,4.4,0.37453,NA,28.8,1.6457142857143,0.28125,8,6.5454545454545,0.54545454545455,NA,5.4638,29.6,0.09704641350211,0.2282,0.28888888888889,0.1482,0.49367088607595,17.5,29.5,0.0033898305084746,0.0033783783783784,2.2,0.041666666666667,3.1,0.058712121212121,0,1.6208791208791,NA,0.068181818181818,0.55871212121212,-3.2121,-1.4265366720321,52.8,0.12866811428571,0.12087912087912,9.3,1.09,0.1,18250,102.4,3.1,9.5161290322581,102.4,0.65,1.6174863387978
"6",2006-12-31,26.3,NA,NA,0.083832335329341,15.3,21.6,1,0.1,0.0031347962382445,0.0023696682464455,0.0046296296296296,-0.3754,NA,7.8205128205128,1.1,0,0,3.1,3.1,4.2,0,NA,31.8,1.9156626506024,0.64372469635628,10.258064516129,7.5714285714286,0.75355450236967,NA,3.5754,31.9,0.11574074074074,0.0567,0.22137404580153,0.0345,0.4537037037037,16.6,30.5,0.045901639344262,0.043887147335423,3.9,0.092417061611374,2.2,0.052132701421801,0,1.9934640522876,NA,0.07345971563981,0.72274881516588,-0.4754,-0.15334046781838,42.2,0.18674698795181,0.25490196078431,7.6,1.15,1.4,2800,49.4,3.4,8.9705882352941,49.4,0.5,1.9101796407186
"7",2005-12-31,26.3,NA,NA,0.19858156028369,11.3,18.5,0.3,0.4,0.011204481792717,0.010050251256281,0.021621621621622,-0.0422,NA,NA,1.4,0,0,-1.1,-1.1,0.3,0,NA,35.3,2.5766423357664,0.85679611650485,NA,117.66666666667,0.88693467336683,NA,0.0422,35.7,0.11891891891892,-0.0459,0.38888888888889,0.0152,0.44324324324324,13.7,32.9,0.085106382978723,0.07843137254902,-5.8,-0.14572864321608,1.2,0.030150753768844,NA,2.9115044247788,NA,-0.027638190954774,0.82663316582915,-1.1422,NA,39.8,-0.08029197080292,-0.51327433628319,10.2,1.26,2.8,13700,41.2,2.9,11.344827586207,41.2,0.3,2.531914893617
