"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,45.4,0.83,0.3235,0.5329,898.7,2314.7,269.7,118.4,0.062,0.2709,0.0512,6.93,0.64,NA,96.4,0.0082,7.26,53,21.16,149,0.6,1,1790.8,0.99,3.43,33.85,11.99,4.1,0.29,0.095,-159.07,1909.2,0.656,0.62,31.1,-0.185,0.045,0.1629,0.2067,0.0168,1805.4,884.1,1.1595,0.5369,-43.1,-0.0986,35.6,0.0815,NA,0.98,NA,0.1211,2.02,180.23,8.5176,437,0.0117,-0.048,64,19.28,1025.1,102600,522.1,-20.7,NA,522.1,1.15,0.99
"2",2010-12-31,45.4,1.13,0.3626,0.456759414589,939.1,2043.3,283.3,82.8,0.051180615650884,0.22186495176849,0.040522683893701,2.9091,0.79288472145615,79.634615384615,86.8,0.0088,7.2882,23.5,23.5,110.3,0,NA,1535,0.93262045081718,3.7807881773399,65.31914893617,13.916591115141,4.1130760986067,0.08,0.115,-175.9091,1617.8,0.83007879410757,0.65,27.738461538462,0.11,-0.1012,0.37789543348776,0.2436,0.019722997112514,1645.9,828.2,0.95339290026564,0.48807021881568,10.4,0.027867095391211,33.1,0.088692390139335,0.70078461538462,0.88190820998829,9.9543269230769,0.062968917470525,2.2191854233655,199.4091,8.4854940594285,373.2,0.014277902667234,0.011074432967735,54.1,18.03,789.6,210430,406,4.6,180.04347826087,406,1.15,0.9358477468618
"3",2009-12-31,45.4,1.17,0.4445,0.40648395286765,911.7,1855,270.6,46.3,0.023567138348773,0.11151252408478,0.024959568733154,-6.1867,0.64679415073116,19.451378809869,64.4,0.0068,9.1134,71.1,56.6617,135.5,0.20307,0.17286914765906,1918.3,1.2876224996644,5.1360107095047,26.980309423347,14.157195571956,4.620183044316,0.08,0.11,-143.3516,1964.6,0.53838274932615,0.85,34.8,0.13,0.2022,0.20123839009288,0.3062,0.022641509433962,1489.8,1340.2,0.46590061184898,0.31782551155451,68.9,0.16594412331407,61.6,0.14836223506744,0.13226937590711,1.470001096852,2.4314223512337,0.17124277456647,3.2278420038536,200.0133,3.5299543361519,415.2,0.038033107128474,0.07557310518811,51.5,29.58,624.4,136821,373.5,26,51.546153846154,373.5,1.15,1.2789531931515
"4",2008-12-31,45.4,1.36,0.4437,0.31359987024572,846.4,1637.7,416.6,58.8,0.027776465586471,0.17053364269141,0.035904011723759,-5.897,0.43272481406356,34.74297188755,60.1,0.0066,11.4193,60.6,49.8544,120.7,0.17732,NA,2058.1,1.7526185812825,4.9545016851228,33.96204620462,17.051367025684,5.9689675174014,0.17,0.135,-300.7486,2116.9,0.58508884411064,1.36,27.823529411765,0.13,0.0849,0.31790353889801,0.3448,0.027416498748244,1174.3,1730.2,0.22350017339036,0.18267277622939,49.8,0.14443155452436,-28.8,-0.083526682134571,0.22930361445783,2.0441871455577,2.0437042286794,0.17575406032483,5.0179814385151,350.603,7.0325379501307,344.8,0.042454575491782,0.058837429111531,41.4,37.84,386.7,268781,415.4,65.6,26.375,415.4,1.2,1.7167301921985
"5",2007-12-31,42.2,1.41,0.45,0.34279638490165,618.1,1274.9,216.4,90,0.055059341734981,0.30415680973302,0.070593772060554,2.7285,0.49777777777778,47.890510948905,51.6,0.0064319463496418,8.44,43.4,39.5565,95,0.08856,NA,1544.6,1.8161081716637,4.826875,35.589861751152,16.258947368421,5.2200067590402,0.225,0.135,-127.972,1634.6,0.58310455722017,1.45,21.979310344828,NA,-0.0069,0.45260782347041,0.3638,0.037650011765629,850.5,1312.2,0.24569425392471,0.19723479750398,27.4,0.092598850963163,-33.5,-0.11321392362285,0.30802919708029,2.1229574502508,2.1284671532847,0.14667117269348,4.4346062859074,167.5285,4.2351692515765,295.9,0.046509695473251,0.044329396537777,35.7,31.87,322.4,380887,320,47,27.91914893617,320,1.4,1.7380116959064
"6",2006-12-31,38.1,0.42,0.3409,0.45767716535433,440.8,1160.1,159.5,173.2,0.069042493821255,0.64410561547043,0.14929747435566,7.6296,0.53974772660604,62.110465116279,44.4,0.0035664139286717,7.62,61.9,51.3355,106.3,0.17067,NA,2335.4,3.651344590369,8.0006851661528,37.72859450727,21.969896519285,8.6850130159911,0.2,0.1,-71.3941,2508.6,0.53797086458064,1.17,46.504273504273,NA,-0.0641,0.26208035222895,0.2815,0.04318593224722,639.6,2136.6,0.17410839651783,0.14828988280316,34.4,0.12792859799182,-89.2,-0.33172182967646,0.22151162790698,4.8470961887477,3.1055232558139,0.23019709929342,7.9457047229453,122.7296,2.3907342391276,268.9,0.0802619246404,0.078039927404719,31.4,54.41,372,158200,291.9,22.7,94.123348017621,291.9,1.15,3.0863681102362
"7",2005-12-31,31.6,NA,NA,0.74810004145364,182.3,914.5,116.7,107.3,0.058305711025376,0.45084033613445,0.11733187534172,0.0491,NA,85.453947368421,36.8,0.0038925244437601,5.056,63.9,40.7989,100.7,0.36152,NA,1733,2.8114860480208,7.2328881469115,27.120500782473,17.20953326713,7.281512605042,0.265,0.125,-39.1502,1840.3,0.67807545106616,1.31,28.106870229008,NA,0.0856,0.2736231884058,0.262,0.052378348824494,616.4,1298.9,0.4168142274232,0.29419116448405,15.2,0.063865546218487,-7.3,-0.030672268907563,0.33263157894737,7.125068568294,3.2246772591857,0.26848739495798,5.4575630252101,79.9491,1.9595903443177,238,0.066188955223881,0.083379045529347,25.2,36.82,541.4,108300,239.6,25.1,51.749003984064,239.6,1.2,2.5429045184469
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.15,NA,NA,0,NA,NA,NA,NA,0,0.35411819450907,0.201,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.22,0,104900,229.1,0,NA,229.1,0,NA
"9",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.15,NA,NA,0,NA,0.59,26.610169491525,NA,0,0.10324483775811,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,15.7,0,74700,NA,0,NA,0,0,NA
