"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,146.1,-0.32,1.5444,0.8952,10.6,157.1,0.6,57.6,0.0288,4.5354,0.3666,-12.48,-0.05,11.1,0,0,-86,-86.22,-75,0,1942.9,44.66,69.89,152.98,NA,-63.24,2000.5,0.5226,NA,-0.275,0.7988,NA,0.4521,0.07,43.5,1910,0.0474,0.0452,-109.2,-8.5984,-10.5,-0.8268,180.19,-6.7891,150.39,-22.98,NA,12.7,-1.9821,-10.3019,24.2,9.02,90.5,10584007,27.8,-66.5,27.8,0.95,19.79
"2",2010-12-31,121.5,0.52,1.124,0.61070559610706,80,266.4,4.2,150.7,0.36738176499269,9.0783132530121,0.56569069069069,0.9614,0.22241992882562,12.6,0,0,-86.7527,-86.7527,-74.1527,0,259.5,4.735401459854,17.65306122449,15.632530120482,NA,-79.3141,410.2,0.34346846846847,NA,0.2207,0.36814621409922,NA,0.3425,0.045045045045045,54.8,284.7,0.44081489286969,0.30594831789371,-112.2,-6.7590361445783,-8.4,-0.50602409638554,3.55875,-5.226065060241,17.150602409639,-7.4386,NA,16.6,-1.5830781021898,-1.4025,27.9,1.87,125.5,2322596,14.7,-104.6,14.7,1,1.9961070559611
"3",2009-12-31,92.8,0.74,1.1426,0.64323290291726,74.6,236.3,5.3,115.4,0.32691218130312,11.096153846154,0.48836225137537,-6.6904,0.24067915280938,13.7,0,0,-135.1886,-135.1886,-121.4886,0,237.6,2.5357524012807,15.529411764706,22.846153846154,NA,-120.0983,353,0.40372407955988,NA,-0.1522,0.72786177105831,NA,0.4311,0.055438002539145,93.7,218.5,0.61556064073227,0.38101983002833,-153.2,-14.730769230769,-14.2,-1.3653846153846,2.9289544235925,-12.998907692308,21.009615384615,-15.0904,NA,10.4,-1.4427816435432,-2.0536193029491,40.6,1.72,134.5,10004465,15.3,-126.2,15.3,1.1,1.68818747011
"4",2008-12-31,74.1,0.39,0.5273,0.3784355179704,117.6,241.3,42.8,110.1,0.26028368794326,11.234693877551,0.45627849150435,-2.449,0.3489474682344,14.6,0,0,-235.6811,-235.6811,-221.0811,0,312.9,3.9557522123894,30.086538461538,31.928571428571,0.175,-261.4322,423,0.42561127227518,NA,-0.5061,0.53305785123967,NA,0.7069,0.067550766680481,79.1,351.4,0.20375640295959,0.1692671394799,-237.6,-24.244897959184,-40,-4.0816326530612,2.9880952380952,-24.049095918367,35.857142857143,25.751,NA,9.8,-2.9795340075853,-2.0204081632653,30.5,3.55,71.6,3147467,10.4,-184,10.4,1.15,2.2357293868922
"5",2007-12-31,72.3,0.98,0.5278,0.13726790450928,336.4,487.5,17.4,398.2,1.1229554427524,20.632124352332,0.81682051282051,-7.5606,0.36377415687761,9.4,0,0,-158.0795,-158.0795,-148.6795,0,-43.6,-145.33333333333,-3.7264957264957,-2.2590673575129,NA,-158.5189,354.6,0.13517948717949,-3.21,-0.4682,0.52548330404218,NA,0.9058,0.010051282051282,0.3,292.5,0.21230769230769,0.1751269035533,-143.2,-7.419689119171,-19.2,-0.99481865284974,0.86950059453032,-8.1906466321244,15.155440414508,0.4394,NA,19.3,-526.93159999998,-0.4256837098692,26.6,4.17,62.1,528862,11.7,-217.4,11.7,1.2,0.88983688833124
"6",2006-12-31,60.8,2.38,0.5208,0.034872979214781,366.1,468.5,14.2,388.8,0.76822762299941,12.705882352941,0.8298826040555,-8.6745,0.33794162826421,8.9,0,0,-92.897,-92.897,-83.997,0,117.3,NA,6.0463917525773,3.8333333333333,NA,-89.5225,506.1,0.12059765208111,-2.55,-0.232,0.30392589325099,NA,0.8195,0.013660618996798,-7.6,491,0.030753564154786,0.029836000790358,-81.7,-2.6699346405229,-23.7,-0.77450980392157,1.3411636164982,-3.0358496732026,16.045751633987,-3.3745,NA,30.6,NA,-0.2231630701994,18.5,7.11,15.1,1080516,19.4,-139.2,19.4,1.1,NA
"7",2005-12-31,35.5,2.49,0.5004,0.11946902654867,149.3,198.1,3.6,127.9,0.20366242038217,5.5129310344828,0.64563351842504,6.9246,0.33573141486811,8.8,0,0,-71.0224,-71.0224,-62.2224,0,500.1,14.329512893983,15.776025236593,21.556034482759,0.19,-72.747,628,0.25037859666835,-2.09,0.2711,0.38504823151125,NA,0.8052,0.039878849066128,34.9,614.5,0.021969080553295,0.021496815286624,-67.9,-2.926724137931,-18.9,-0.81465517241379,4.1158740790355,-3.0613103448276,26.487068965517,1.7246,NA,23.2,-2.0350257879656,-0.45478901540522,12.9,12.91,13.5,1264784,31.7,-69.9,31.7,1.05,3.8574938574939
"8",2004-12-31,26.6,1.35,0.4149,0.078651685393258,NA,206.4,4.4,113.3,0.21876810195018,5.840206185567,0.54893410852713,4.2022,0.65075921908894,9,0,0,-56.4061,-56.4061,-47.4061,0,404.6,4.4559471365639,20.855670103093,29.532846715328,0.245,-56.0083,517.9,0.25678294573643,-2.22,0.0262,0.50230887634684,NA,0.8417,0.046027131782946,90.8,504.6,0.026357510899723,0.025680633326897,-58,-4.2335766423358,10.1,0.73722627737226,4.1771523178808,-4.1172343065693,36.832116788321,-0.3978,0.0070526086443136,13.7,-0.62121266519824,-0.37227214377407,10.4,14.21,13.3,359111,19.4,-66.7,19.4,1.15,3.0626848018924
"9",2003-12-31,25.5,1.18,0.3759,0.058584948174853,NA,229.9,17.3,154,0.86322869955157,11.666666666667,NA,-0.0344,0.62782654961426,7.2,0,0,-40.9062,-40.9062,-33.7062,0,24.4,0.23712342079689,1.8484848484848,1.90625,NA,-50.9719,178.4,0.24227925184863,NA,-0.2824,0.3421550094518,NA,0.5621,0.047846889952153,102.9,165.4,0.078597339782346,0.072869955156951,-47.1,-3.6796875,-1.1,-0.0859375,0.95112133410006,-3.1958,12.921875,10.0656,-0.24606575916046,12.8,-0.39753391642371,-0.22546673049306,8.6,6.53,13,37831,13.2,-55.2,13.2,1.25,0.80396575033799
"10",2002-12-31,27.7,1.65,0.6023,0.0016494845360825,NA,254.9,24.3,185.1,0.98983957219251,9.5412371134021,NA,-39.6,0.6024,5.1,0,0,-34.037,-34.037,-28.937,0,1.9,NA,NA,0.097938144329897,NA,-53.237,187,0.17300902314633,NA,0.0687,0.17638984214139,NA,0.7421,0.04943114947038,57.4,186.6,0.0021436227224009,0.0021390374331551,-31,-1.5979381443299,-1,-0.051546391752577,0.77075588599752,-1.7544865979381,9.6185567010309,19.2,NA,19.4,-0.59297979094077,-0.12804626187526,7.5,6.81,0.4,45298,17.6,-41.3,17.6,1.3,0.033101045296167
