"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,7.7,0.73,0.2779,0.7983,183.4,955.1,0,839.9,0.8424,15.9981,0.8794,8.08,0.66,17.83,0,0.0994,26.95,40,36.41,40,0.0897,0.0898,157.1,2.26,2.68,3.93,3.93,2.99,28.34,997,0,4.06,5.12,-0.06,0.1766,NA,0.3552,0,69.5,271,2.679,0.7282,15.2,0.2895,69.5,1.3238,1.1769,1.48,0.7619,5.16,8.08,0.2218,52.5,0.5239,0.0829,0,20.77,726,196639,58.6,22.9,11.83,58.6,1,1.1
"2",2010-12-31,7.5,NA,NA,0.4892764553382,216.7,455.3,0,213.8,0.55460440985733,5.3989898989899,0.46958049637602,-5.5657,NA,6.687969924812,0,0,0,27,26.4956,27,0.01868,0.018450184501845,171.7,0.81567695961995,3.4969450101833,6.3592592592593,6.3592592592593,4.3358585858586,32.0613,385.5,0,NA,NA,1.8534,0.26399380205307,NA,0.3232,0,210.5,177.9,1.1669477234401,0.53852140077821,26.6,0.67171717171717,-23.2,-0.58585858585859,0,0.82095062298108,0.68181818181818,4.4924242424242,-5.5657,-0.21005933676849,39.6,0.12587002375297,0.1227503461006,0,21.33,207.6,57940,49.1,17.1,10.40350877193,49.1,1.05,0.90855526749941
"3",2009-12-31,7.7,NA,NA,0.48927477017365,150,313.6,0,174.7,0.52102594691321,12.390070921986,0.55707908163265,-22.7277,NA,5.0687830687831,4.7,0,0,-14.6983,-14.6983,-9.9983,0,NA,160.6,1.3495798319328,4.4735376044568,NA,NA,11.390070921986,12.7293,335.3,0.00031887755102041,NA,NA,-0.1851,0.2932967854473,NA,0.2838,0,119,191.6,0.75,0.42857142857143,37.8,2.6808510638298,-14.7,-1.0425531914894,0,1.2773333333333,-1.0424333333333,13.58865248227,-27.4277,NA,14.1,-0.12351521008403,0.252,0,23.99,143.7,47766,35.9,48.9,3.918200408998,35.9,NA,1.1416411304052
"4",2008-12-31,159.2,NA,NA,0.98978211870774,13.6,1560.3,4.8,903.4,0.62662134979538,2.5136338341681,0.57899121963725,NA,NA,NA,10.9,0,0,-69.4103,-69.4103,-58.5103,0,NA,538.3,1.2588868101029,NA,NA,NA,1.4977740678909,NA,1441.7,0.015638018329808,NA,NA,-0.6661,0.76099945681695,NA,0.0111,0.0057040312760367,427.6,124.3,10.598551890587,0.91378234029271,-464.4,-1.2921535893155,-44.4,-0.12353923205342,NA,9.1397058823529,-0.19312832498609,0.34585420144686,NA,NA,359.4,-0.16232535079514,-34.147058823529,0,15.23,1317.4,0,NA,NA,NA,NA,NA,1.0831705484598
"5",2001-12-31,NA,NA,NA,0.4784,NA,23.4,1.1,0.1,0.0067132116004296,0.0024213075060533,NA,-1.3866,NA,NA,4.4,0,0,-5.2222,-5.2222,-0.8222,0,NA,14.796,NA,NA,NA,NA,0.35825665859564,-0.5356,14.896,0.41880341880342,NA,NA,-0.0861,0.85365853658537,0,9e-04,0.40598290598291,15.42,5.696,1.000702247191,0.38265306122449,-10.6,-0.25665859564165,-3.833,-0.092808716707022,NA,0.90412698412698,-0.12644552058111,0.13791767554479,-4.6866,NA,NA,-0.33866407263294,-1.6825396825397,18,0.08,5.7,3707500,41.3,-8.5,NA,56.3,1.35,0.96601815823606
"6",2000-12-31,NA,NA,NA,0.2688679245283,NA,23.4,1.1,0.1,0.0032362459546926,0.0024213075060533,NA,0.1674,NA,NA,4.4,0,0,-5.21619,-5.2162,-0.8162,0,NA,30.8,NA,NA,NA,NA,0.74576271186441,-2.2348,30.9,0.41880341880342,NA,NA,-0.0861,0.77484092021537,NA,0.0019,NA,15.4,21.7,0.26267281105991,0.20802919708029,-10.6,-0.25665859564165,-3.7,-0.089588377723971,NA,2.2142857142857,-0.1263,0.52542372881356,-2.9814,NA,NA,-0.33871363636364,-1.0816326530612,18.0068,0.28,5.7,NA,41.3,-7.9,NA,46.5,NA,1.9935483870968
"7",1999-12-31,NA,NA,NA,0.62345679012346,NA,24.1,1,0.4,0.0065359477124183,NA,NA,NA,NA,NA,3.3,0,0,0.6,0.6,3.9,0,NA,60.8,NA,NA,101.33333333333,15.589743589744,1.4650602409639,3.5087,61.2,0.49792531120332,NA,NA,-0.0634,0.95,NA,0.0397,NA,15.8,51.1,0.19765166340509,0.16503267973856,NA,-0.31084337349398,NA,-0.072289156626506,NA,8.3770491803279,0.014457831325301,1.2313253012048,NA,-3.8333333333333,NA,0.037974683544304,-2.1147540983607,12.6,NA,NA,NA,NA,-12.9,NA,41.5,NA,3.7777777777778
