"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,32.9,1.65,0.442,0.8108,14.3,133.3,2,52.8,0.2374,0.6301,0.3961,-2.33,0.8,NA,6.6,0,0,1,0.9,7,0,169.6,7.44,1.84,189.32,22.63,2.02,0.2,7.82,222.4,0.051,NA,NA,0.3919,0.8407,0.3151,22.8,161.1,0.3805,0.2756,-16.3,-0.1945,-23.2,-0.2768,NA,11.27,NA,0.0107,1.92,-6.93,-7.7306,83.8,0.0393,-1.1399,50,4.54,61.3,184397,92.2,-24.6,92.2,1.05,2.94
"2",2010-12-31,32.6,1.09,0.4772,0.10509554140127,28.1,79.8,2.8,30.7,0.14902912621359,0.43300423131171,0.38471177944862,-2.3997,0.52388935456831,NA,5.1,0,0,-12.2066,-12.2066,-7.1066,0,175.3,250.42857142857,2.1830635118306,NA,NA,2.4724964739069,0.2,-7.5068,206,0.10025062656642,NA,-0.1808,0.27613941018767,0.7535,0.15413533834586,0.7,202.7,0.016280217069561,0.016019417475728,-12.7,-0.17912552891396,-18.1,-0.25528913963329,NA,7.2135231316726,NA,-0.17216572637518,2.8589562764457,-4.6997,NA,70.9,-17.437928571429,-0.45195729537367,40.4,6.42,3.3,268291,80.3,-13.3,80.3,1,6.5605095541401
"3",2009-12-31,30.6,1.31,0.5312,0,31.2,66.3,1.9,33.5,0.21640826873385,0.41307028360049,0.5052790346908,2.828,0.47063253012048,NA,4.8,0,0,-14.8888,-14.8888,-10.0888,0,121.3,NA,1.8050595238095,NA,NA,1.4956843403206,0.1,-14.8168,154.8,0.066365007541478,NA,-0.2765,0.28553459119497,0.5151,0.12820512820513,-2.3,154.8,0,0,-18,-0.22194821208385,-16.5,-0.20345252774353,NA,4.9615384615385,NA,-0.18358618988903,1.9087546239211,-0.072,NA,81.1,NA,-0.57692307692308,46.5,5.05,0,146719,67.2,-16.4,67.2,1,NA
"4",2008-12-31,29.2,1.2,0.5375,0,44,83.9,2.5,36.8,0.39956568946797,0.34328358208955,0.43861740166865,1.3246,0.29767441860465,NA,5.4,0,0,-12.7325,-12.7325,-7.3325,0,55.3,7.6805555555556,0.59462365591398,NA,NA,0.51585820895522,NA,-11.1571,92.1,0.058402860548272,NA,0.0712,0.29818181818182,0.5319,0.10607866507747,7.2,92.1,0,0,-13.8,-0.12873134328358,-10,-0.093283582089552,NA,2.0931818181818,NA,-0.11877313432836,0.85914179104478,-1.5754,NA,107.2,-1.7684,-0.31363636363636,58.3,3.02,0,83565,93,-17.5,93,1,2.0931818181818
"5",2007-12-31,29.7,1.51,0.445,0,54.4,87.4,2.7,50.6,0.56159822419534,0.49754178957719,0.57894736842105,0.0472,0.34157303370787,NA,1.9,0,0,-14.1752,-14.1752,-12.2752,0,39.5,10.394736842105,0.3765490943756,NA,NA,0.38839724680433,NA,-15.0224,90.1,0.050343249427918,-0.3,0.2751,0.54899645808737,0.7009,0.026315789473684,3.8,90.1,0,0,-11.5,-0.11307767944936,-1.5,-0.014749262536873,NA,1.65625,NA,-0.13938239921337,0.88593903638151,0.8472,NA,101.7,-3.7303131578947,-0.21139705882353,60.4,2.99,0,80268,104.9,-10.6,104.9,0.95,1.65625
"6",2006-12-31,28.4,1,0.4422,0,57.4,85.2,2,52.9,0.34917491749175,0.69513797634691,0.62089201877934,-0.6491,0.2894617819991,NA,1.9,0,0,-11.6484,-11.6484,-9.7484,0,98.6,21.911111111111,0.9781746031746,NA,NA,1.2956636005256,NA,-11.0993,151.5,0.0481220657277,NA,0.1732,0.3471019320453,0.6082,0,4.5,151.5,0,0,-8.8,-0.11563731931669,2,0.026281208935611,NA,2.6393728222996,NA,-0.15306714848883,1.9908015768725,-0.5491,NA,76.1,-2.5885355555556,-0.15331010452962,52.4,4.57,0,239117,100.8,-9.5,100.8,0.8,2.6393728222996
"7",2005-12-31,26.9,2.88,0.5381,0,58.2,80.6,1.1,63.7,0.35666293393057,1.0357723577236,0.79032258064516,1.1176,0.29734250139379,NA,1.6,0,0,-9.5396,-9.5396,-7.9396,0,114.9,NA,1.6556195965418,NA,NA,1.8682926829268,0.15,-10.1572,178.6,0.034739454094293,-0.37,-0.0153,0.31345980126468,0.4131,0,-5.5,178.6,0,0,-8.6,-0.13983739837398,-8.7,-0.14146341463415,NA,3.0687285223368,NA,-0.1551162601626,2.9040650406504,0.6176,NA,61.5,NA,-0.14776632302406,40.5,6.3,0,29221,69.4,-10.4,69.4,1,NA
"8",2004-12-31,25.3,0,0,0.0078740157480315,NA,78.5,2.3,59.8,0.51462994836489,1.008431703204,0.76178343949045,-0.0051,NA,NA,1.9,0,0,-15.6241,-15.6241,-13.7241,0,56.4,15.243243243243,0.95109612141653,NA,NA,0.96081771720613,0.15,-16.0189,116.2,0.043312101910828,-0.35,-0.2238,0.35697940503433,0.4918,0,3.7,115.7,0.0043215211754538,0.004302925989673,-23,-0.39182282793867,-0.5,-0.0085178875638842,NA,1.8365079365079,NA,-0.26616797274276,1.9710391822828,0.3949,-0.025274433627474,58.7,-4.2227189189189,-0.36507936507937,41.5,4.2,0.5,354053,59.3,-8.4,59.3,1.25,1.8299212598425
"9",2003-12-31,24,0,0,0.014510278113664,NA,102.2,2.2,59.5,0.41930937279774,0.90288315629742,NA,0.178,NA,175.875,1.5,0,0,7.4353,5.6338,8.9353,0.24229,82.4,3.551724137931,1.2503793626707,11.082284618354,9.2218607342347,1.1492329149233,0.15,4.7558,141.9,0.026418786692759,-0.69,0,0.7450567942785,0.2187,0.019569471624266,23.2,140.7,0.0085287846481876,0.0084566596194503,0.8,0.01115760111576,-2.2,-0.03068340306834,0,1.7263803680982,11.725,0.1037,1.9623430962343,0.878,0.15583881880119,71.7,0.24283593042672,0.0098159509202454,38.1,5.75,1.2,42437,65.9,-22,65.9,0,1.7158403869407
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.15051903114187,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,16.73,0,NA,0,NA,0,NA,NA
