"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.2,1.82,0.528,0.2824,18.3,45.4,0.2,25.8,0.1422,0.7818,0.5683,-0.53,0.8,0.9,0,0,9,9.28,10,0,155.6,NA,4.24,16.77,15.28,4.72,NA,10.51,181.4,0.0441,NA,NA,-0.11,0.2671,NA,0.4753,0.0683,-0.3,174.2,0.0413,0.0397,-17,-0.5152,-4.7,-0.1424,9.52,0.2812,5.28,-1.23,-0.1322,33,NA,-0.929,30.2,3.16,7.2,258425,36.7,-16.1,36.7,0.9,NA
"2",2010-12-31,47.3,1.96,0.8134,0.17132867132867,23.7,48.2,1.7,30,0.21865889212828,1.2987012987013,0.62240663900415,-1.5844,0.26124907794443,0.9,0,0,-19.6113,-19.6113,-18.7113,0,107.2,NA,3.6838487972509,NA,NA,4.6406926406926,NA,-18.8269,137.2,0.049792531120332,NA,NA,0.0501,0.31428571428571,NA,0.3134,0.068464730290456,-1.4,132.3,0.037037037037037,0.035714285714286,-16.9,-0.73160173160173,-6.1,-0.26406926406926,5.5822784810127,-0.84897402597403,5.7272727272727,-0.7844,NA,23.1,NA,-0.71308016877637,26.8,2.8,4.9,410248,29.1,-11.6,29.1,0.85,NA
"3",2009-12-31,38.7,2.34,0.9094,0,11.9,34.5,0.2,19.9,0.19979919678715,1.1055555555556,0.5768115942029,-0.1139,0.21992522542336,0.9,0,0,-22.8438,-22.8438,-21.9438,0,79.7,NA,3.606334841629,NA,NA,4.4277777777778,NA,-22.0299,99.6,0.034782608695652,NA,NA,-0.0831,0.41696113074205,NA,0.3152,0,-8,99.6,0,0,-24.1,-1.3388888888889,-0.5,-0.027777777777778,8.3697478991597,-1.2691,5.5333333333333,-0.8139,NA,18,NA,-2.0252100840336,28.2,2.46,0,349443,22.1,-19.1,22.1,0.8,NA
"4",2008-12-31,32.5,2.48,0.89,0,24.8,47.3,1.2,22.6,0.30916552667579,1.369696969697,0.47780126849894,-0.16,0.1438202247191,0.7,0,0,-30.5666,-30.5666,-29.8666,0,50.5,22.954545454545,3.1366459627329,NA,NA,3.0606060606061,NA,-30.9066,73.1,0.038054968287526,NA,NA,0.4745,0.71634615384615,NA,0.2197,0,2.2,73.1,0,0,-29.2,-1.769696969697,6.6,0.4,2.9475806451613,-1.8525242424242,4.430303030303,0.34,NA,16.5,-13.893931818182,-1.1774193548387,37.4,1.99,0,527094,16.1,-25.7,16.1,0.8,2.9475806451613
"5",2007-12-31,32.1,2.41,0.7043,0,50.4,78.2,0.7,56.8,2.4912280701754,5.1636363636364,0.72634271099744,0.4691,0.23853471532018,0.8,0,0,-33.6108,-33.6108,-32.8108,0,-34,NA,-2.2222222222222,NA,NA,-3.0909090909091,NA,-33.9799,22.8,0.016624040920716,-0.95,NA,-0.6932,0.85969387755102,NA,0.4922,0,-6.4,22.8,0,0,-29.6,-2.6909090909091,-1.2,-0.10909090909091,0.45238095238095,-3.0555272727273,2.0727272727273,0.3691,NA,11,NA,-0.58730158730159,39.5,0.7,0,325156,15.3,-33.4,15.3,1.05,NA
"6",2006-12-31,31.7,3.41,0.7338,0.0009891196834817,91.5,115.8,1.1,93.4,0.44476190476191,2.623595505618,0.80656303972366,-1.3132,0.30526028890706,0.7,0,0,-9.4683,-9.4683,-8.7683,0,116.6,NA,4.3025830258303,NA,NA,3.2752808988764,NA,-8.5551,210,0.013816925734024,-1.18,NA,0.0333,0.33636363636364,NA,0.6046,0,-1.8,209.9,0.00047641734159123,0.00047619047619048,-4.8,-0.13483146067416,-5.5,-0.15449438202247,2.2939890710382,-0.26596292134832,5.8960674157303,-0.9132,NA,35.6,NA,-0.052459016393443,43.5,6.33,0.1,101518,27.1,-30.9,27.1,1.4,NA
"7",2005-12-31,22.5,4.34,0.7442,0.16233766233766,35.3,58.7,0.9,45.8,0.26428159261396,1.8770491803279,0.78023850085179,1.4607,0.35474334856222,0.7,0,0,-9.3986,-9.3986,-8.6986,0,127.5,NA,4.7047970479705,NA,NA,5.2254098360656,NA,-11.0593,173.3,0.020442930153322,-0.58,NA,0.7335,0.47378931602596,NA,0.5417,0,-5.5,168.3,0.029708853238265,0.028851702250433,-9,-0.36885245901639,-13.2,-0.54098360655738,4.7677053824363,-0.38518852459016,6.8975409836066,1.6607,NA,24.4,NA,-0.25495750708215,33.1,5.86,5,186915,27.1,-11.7,27.1,1.65,NA
"8",2004-12-31,22.2,2.49,0.8324,0.17307692307692,NA,102.1,0.6,95.3,0.4285071942446,4.3715596330275,0.9333986287953,-40.6935,0.59827006246997,2.2,0,0,-23.9952,-23.9952,-21.7952,0,127.1,NA,5.8302752293578,NA,NA,9.1438848920863,NA,18.2983,222.4,0.0088148873653281,NA,NA,0.43,0.60524499654934,NA,0.4215,0,-59.8,217.9,0.020651675080312,0.02023381294964,-28.3,-2.0359712230216,-71.6,-5.1510791366907,18.158333333333,-1.726273381295,15.676258992806,-42.2935,1.7625827323738,13.9,0.40125752508361,-1.3162790697674,35.7,10.15,4.5,189040,21.8,-10.6,21.8,1.75,8.5538461538462
"9",2003-12-31,22.1,2.08,0.7536,0.51568265682657,NA,118.5,0.3,110,0.87232355273592,7.6388888888889,NA,-2.0835,0.552016985138,3.3,0,0,-50.7271,-50.7271,-47.4271,0,16.1,2.0379746835443,1.1180555555556,NA,NA,1.659793814433,NA,-45.6436,126.1,0.021940928270042,NA,NA,-0.1765,0.54929577464789,NA,0.348,0,7.9,70.2,0.7962962962963,0.44329896907216,-58.3,-6.0103092783505,-4.3,-0.44329896907216,1.6325581395349,-5.2296,7.2371134020619,-5.0835,0.10021276892201,9.7,-6.4211544303797,-1.1104761904762,60.2,3.04,55.9,37307,14.4,-35.9,14.4,1.5,1.1632841328413
"10",2002-12-31,15.9,1.66,0.7561,0,NA,72.9,5,64.3,0.65948717948718,7.5647058823529,NA,8.6,0.4827,2.5,0,0,-59.3472,-59.3472,-56.8472,0,33.2,NA,NA,NA,NA,3.9058823529412,0.35,-61.8472,97.5,0.075445816186557,-3.29,NA,0.8483,0.73775549556498,NA,0.4813,0,-8.1,97.5,0,0,-57.2,-6.7294117647059,-13.9,-1.6352941176471,2.0877944325482,-6.9820176470588,11.470588235294,2.5,NA,8.5,NA,-1.2248394004283,65.3,4.35,0,161492,7.8,-64,7.8,1.4,NA
"11",2001-12-31,NA,1.08,0.6399,8e-04,NA,128.3,1.2,123.5,0.4622005988024,27.444444444444,NA,-10.6726,0.294,1.2,0,0,-52.685,-52.685,-51.485,0,143.7,NA,NA,NA,NA,31.933333333333,0.35,-42.0124,267.2,0.023382696804365,-3.68,-3.9809782608696,1.1831,0.67975235683129,0,0.5531,0,-11.624,252.6,0.00039588281868567,0.00037425149700599,-49.4,-10.977777777778,-14.824,-3.2942222222222,2.5960945529291,-11.707777777778,56.133333333333,-10.6726,NA,NA,NA,-0.50770811921891,10.2,14.65,0.1,111200,4.5,-54.9,7.8,1.35,NA
"12",2000-12-31,NA,1.1,0.6153,0.0012180267965895,NA,94.2,2.6,90.3,0.11666666666667,47.526315789474,NA,1615.9792,0.53632374451487,0.6,0,0,-40.56766,-40.5677,-39.9677,0,683.7,NA,NA,NA,NA,359.84210526316,NA,-46.6108,774,0.031847133757962,NA,NA,-0.3578,0.41149158444573,NA,0.368,NA,-8.3,759.4,0.0001316829075586,0.00013166556945359,-36,-18.947368421053,-11.3,-5.9473684210526,9.2722832722833,-21.3514,399.68421052632,6.0431,NA,NA,NA,-0.43956043956044,NA,48.4,0.1,NA,1.9,-46.7,3.8,NA,NA
"13",1999-12-31,NA,0.75,0.646,0.0053763440860215,NA,41.8,0.7,40.4,0.051204055766793,21.263157894737,NA,NA,0.17414860681115,0.6,0,0,-24.3,-24.3,-23.7,0,748.6,NA,NA,NA,NA,394,NA,-26.1708,789,0.023923444976077,NA,NA,-0.3337,0.53216374269006,NA,0.2223,NA,-7.3,788.9,0.00012675877804538,0.00012674271229404,NA,-17,NA,-4.4736842105263,42.643243243243,-12.789473684211,415.21052631579,NA,NA,NA,NA,-1.745945945946,4.8,NA,NA,NA,NA,-32.3,1.9,NA,NA
