"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,25.8,NA,NA,0.215,180.7,267.6,3.5,1.3,0.0027,0.0068,0.0049,4.82,860.2,15.5,0,0,2,1.28,17,0.2895,0.375,478.3,2.09,2.18,265.72,27.65,2.51,0.25,8.46,479.6,0.0325,NA,NA,NA,0.3452,0.5972,0.7605,228.9,430.1,0.1151,0.1032,0.5,0.0026,31.8,0.1668,0,2.38,34.41,0.0094,2.26,-7.18,-5.6129,190.6,0.0056,0.0028,41.4,12.69,49.5,65461,219.5,1.1,391,219.5,0.95,2.08
"2",2010-12-31,25.6,NA,NA,0,175.1,205.3,1.9,5.8,0.029,0.053703703703704,0.028251339503166,11.9788,18.348623853211,7.2,0,0,-2.2,-1.2817,5,0.41741,0.41711229946524,194.2,1.1470761961016,1.1430253090053,NA,38.84,1.7981481481482,0.25,-7.9605,200,0.016074037993181,NA,NA,NA,0.4,0.4715,0.7457379444715,169.3,200,0,0,10.9,0.10092592592593,20.9,0.19351851851852,0,1.1422044545974,0.73394495412844,-0.02037037037037,1.8518518518519,6.6788,NA,108,-0.0075705729474306,0.062250142775557,27.3,7.4,0,140551,169.9,1.4,142.85714285714,169.9,NA,1.1422044545974
"3",2009-12-31,14.2,NA,NA,0,62.3,67.1,1.1,7.3,0.031794425087108,0.18717948717949,0.10879284649776,NA,NA,2.4,0,0,-2.3,-2.3,0.1,0,NA,222.3,4.0418181818182,NA,NA,2223,5.7,NA,-1,229.6,0.020864381520119,NA,NA,NA,0.20665634674923,NA,0.61400894187779,55,229.6,0,0,-2.1,-0.053846153846154,12.1,0.31025641025641,NA,3.685393258427,NA,-0.058974358974359,5.8871794871795,-1.3,NA,39,-0.041818181818182,-0.033707865168539,11.4,14.67,0,0,NA,NA,NA,NA,NA,3.685393258427
"4",2005-12-31,21.4,NA,NA,0.00069832402234637,143.1,168.6,10.2,27.6,0.053046319431097,0.17271589486859,0.16370106761566,-9.6426,60.488372093023,6,0,0,7.3,7.2441,13.3,0.00766,NA,492.7,4.2621107266436,2.1001705029838,67.493150684932,37.045112781955,3.0832290362954,0.3295,12.6866,520.3,0.081257413997627,0.38,62.921052631579,1.2126,0.27578063500394,0.6482,0.46204033214709,115.6,520.2,0.0001922337562476,0.00019219680953296,8.6,0.053817271589487,20.6,0.12891113892365,0,3.6352201257862,1.8357624307443,0.045682102628285,3.2553191489362,-5.4426,-0.75131026836656,159.8,0.062665069204152,0.060097833682739,33,23.91,0.1,188594,234.6,9,57.8,234.6,1.4,3.6333798882682
"5",2004-12-31,20.9,0,0,0,NA,135.6,2,105.1,0.29210672595887,0.81599378881988,0.77507374631268,2.8116,156.4347826087,1,0,0,1.9398,1.9314,2.9398,0.00438,NA,254.7,11.370535714286,1.9774844720497,131.2988117638,86.637073320067,3.6127659574468,0.3167,-1.8803,359.8,0.016961651917404,0.37,46.081081081081,2.1515,0.27661742231279,0.6506,0.10619469026549,22.4,359.8,0,0,2.3,0.032624113475177,3.4,0.04822695035461,0,2.8219607843137,4.9395258165044,0.027515602836879,5.1035460992908,3.8116,1.9735544479747,70.5,0.086221136473214,0.018039215686274,12.2,17.05,0,167423,128.8,6.4,56.21875,128.8,0,2.8219607843137
"6",2003-12-31,15.2,0,0,0.0027173913043478,NA,39.7,0.2,31.8,0.1024154589372,0.56183745583039,NA,2.9669,3104,0.6,0,0,0.7775,0.7775,1.3775,0,NA,278.7,55.74,4.9240282685512,358.451981325,202.32158024261,17.098159509202,0.4,-1.7894,310.5,0.01007556675063,0.12,156.58333333333,0.8487,0.47311439913389,0.158,0.085642317380353,5,310.4,0.00032216494845361,0.00032206119162641,0.1,0.0061349693251534,1.2,0.07361963190184,0,8.4577656675749,77.6,0.0477,19.042944785276,2.5669,3.3013995519597,16.3,0.155502,0.002724795640327,5.3,18.79,0.1,334761,56.6,1.4,221.71428571429,56.6,0,8.4375
