"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,33.4,1.68,0.5335,0.018,174.3,258.1,1.4,195,1.277,1.998,0.7555,16.16,0.79,NA,2.5,0,0,-37,-37.09,-35,0,NA,-42.3,NA,-0.56,NA,-0.43,-52.15,152.7,0.0194,-0.02,NA,0.095,0.3333,0.8203,4e-04,-17.5,149.5,0.0214,0.021,-8.5,-0.0871,-73.7,-0.7551,NA,0.86,-0.3801,1.53,15.06,NA,97.6,NA,-0.0488,12.2,4.38,3.2,158199,76.2,-0.9,76.2,1.15,NA
"2",2010-12-31,28.9,3.82,2.0829,0.031645569620253,91.8,262.8,3.3,214,1.1875693673696,2.4970828471412,0.81430745814308,-17.8862,0.15003120649095,16.256880733945,2,0,0,13.1,9.8978,15.1,0.24444,0.24305555555556,-33.8,NA,-0.3307240704501,NA,-0.39439906651108,26.4841,180.2,0.023211567732116,-0.27,NA,2.3433,0.7224420576597,0.8866,0.00038051750380518,-119.2,177.2,0.016930022573363,0.016648168701443,10.9,0.12718786464411,-92.9,-1.0840140023337,0,1.9302832244009,0.15285880980163,2.0676779463244,-16.5862,-1.6757431663352,85.7,NA,0.11873638344227,8.1,5.57,3,405502,102.2,-1,102.2,1.25,NA
"3",2009-12-31,28.2,3.53,2.0967,0.046961325966851,69,319.4,0.2,111.1,0.14736702480435,4.4262948207171,0.34783969943644,167.3247,0.14904373539371,NA,1.8,0,0,-40.3486,-40.3486,-38.5486,0,NA,642.8,NA,9.7987804878049,NA,25.609561752988,-206.0733,753.9,0.015028177833438,0.43,61.627906976744,0.103,0.20482465937011,0.7197,0.00062617407639324,-38.7,750.5,0.0045303131245836,0.0045098819472078,-39.4,-1.5697211155379,103.7,4.1314741035857,NA,10.876811594203,-1.6075131474104,29.900398406374,165.7247,NA,25.1,NA,-0.57101449275362,8.2,26.5,3.4,99901,65.6,-13.3,65.6,1.25,NA
"4",2008-12-31,25,4,2.0877,0.077170418006431,57.4,98.6,2.1,88.4,0.15729537366548,4.3980099502488,0.89655172413793,-3.5025,0.099631173061264,NA,1.8,0,0,-28.1632,-28.1632,-26.3632,0,NA,473.6,NA,16.85409252669,NA,23.562189054726,-24.9607,562,0.064908722109533,NA,NA,0.424,0.84905660377359,0.5361,0.0020283975659229,-26.2,557.2,0.0086145010768126,0.0085409252669039,-25.7,-1.2786069651741,-8.8,-0.43781094527363,NA,9.7073170731707,-1.401152238806,27.721393034826,-3.2025,NA,20.1,NA,-0.44773519163763,6.5,20.9,4.8,184420,28.1,-18.5,28.1,1.3,NA
"5",2007-12-31,20.5,NA,NA,0.047970479704797,51.6,99,4.9,87,1.1082802547771,7.5,0.87878787878788,4.3448,NA,NA,0.9,0,0,-31.8291,-31.8291,-30.9291,0,NA,-8.5,NA,-0.49418604651163,NA,-0.73275862068966,-40.1739,78.5,0.061616161616162,-0.32,NA,-0.6076,0.75673327541268,0.3999,0.004040404040404,-32.8,75.9,0.034255599472991,0.03312101910828,-28.1,-2.4224137931035,-9,-0.77586206896552,NA,1.4709302325581,-2.7438862068965,6.5431034482759,8.3448,NA,11.6,NA,-0.54457364341085,8,3.7,2.6,35235,17.2,-27.9,17.2,0.7,NA
"6",2006-12-31,19.1,NA,NA,0.021084337349398,65,81.4,1.1,54.2,0.31185270425777,1.9709090909091,0.66584766584767,-3.3785,NA,82.095238095238,0.8,0,0,-0.4,-0.4,0.4,0,NA,119.6,9.8032786885246,3.6024096385542,299,4.3490909090909,2.6785,173.8,0.024570024570025,-0.31,NA,-0.6701,0.28981723237598,0.235,0.0061425061425061,12.2,172.4,0.0081206496519722,0.0080552359033372,2.1,0.076363636363636,16.3,0.59272727272727,0,2.6523076923077,-0.014545454545455,6.2690909090909,-3.0785,NA,27.5,-0.032786885245902,0.032307692307692,5.7,8.09,1.4,900,33.2,-3.6,33.2,NA,2.6174698795181
"7",2005-12-31,0.3,NA,NA,NA,21.1,28,0.3,24.9,0.14302125215393,20.75,0.88928571428571,NA,NA,NA,0.8,0,0,-30.4309,-30.4309,-29.6309,0,NA,149.2,NA,NA,NA,124.33333333333,NA,174.1,0.060714285714286,NA,NA,NA,0.26227208976157,0.2126,0.017857142857143,-1.6,171.9,0.012798138452589,0.012636415852958,-29,-24.166666666667,-3.7,-3.0833333333333,NA,8.1469194312796,-25.359066666667,143.25,NA,NA,1.2,NA,-1.3744075829384,6.4,9.05,2.2,44773,NA,NA,NA,NA,NA
