"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.4,2.22,0.6429,0.3937,576.2,1801.4,36.7,338.6,0.3874,0.1016,0.188,-69.52,0.8,4,47.7,0.0168,8.4,128,101.95,176,0.2023,0.2024,535.5,0.88,0.2,4.19,3.05,0.16,NA,182.47,874.1,0.1412,0.005,-0.025,0.5179,NA,0.6702,0.0321,611.8,499.9,0.7485,0.4281,124.9,0.0375,390.4,0.1172,0.0752,0.87,NA,0.0384,0.15,-80.52,-0.7898,3331.2,0.1666,0.2168,465.3,60.69,374.2,42163,2738,111.7,4.48,2738,NA,0.92
"2",2010-12-31,8.3,2.44,0.7105,0.46668256049589,447.4,1658.3,26.3,261.9,0.22624395300622,0.097451162790698,0.15793282277031,67.5516,0.54539057002111,9.6364779874214,51.5,0.0233,17.8501,100.9,82.7632,152.4,0.17975,0.17871900826446,895.7,1.5523396880416,0.27593111734081,8.8771060455897,5.8772965879265,0.33328372093023,0.596,40.4116,1157.6,0.16305855394078,-0.12,0.1576,0.40249445090371,NA,0.6859,0.036181631791594,577,766.1,0.51102989165905,0.338199723566,79.5,0.029581395348837,325,0.12093023255814,0.22452993710692,1.7123379526151,0.16168587227217,0.037544186046512,0.28506046511628,42.3516,0.51172036743344,2687.5,0.14343713171577,0.1776933392937,425.3,89.22,391.5,33075,3246.1,88.9,8.6175478065242,3246.1,1.55,1.3799022529503
"3",2009-12-31,8.3,2.42,0.7861,0.50800148864905,396.6,1488.7,33.5,256.2,0.18681639200817,0.11088029083355,0.17209645999866,22.657,0.50884111436204,113.16470588235,53.6,0.0181,17.4104,19.8,7.92,73.4,0.6,0.70588235294118,1115.2,2.0280050918349,0.44449758858464,56.323232323232,15.193460490463,0.48264520038085,0.446,5.363,1371.4,0.21757237858534,-0.09,-0.3728,0.46134453781513,NA,0.6806,0.042654665144085,549.9,961.9,0.42571992930658,0.29859997083273,8.5,0.0036786981736346,264,0.11425603739288,2.0482811764706,2.4253656076651,2.5373252439989,0.0085692028044664,0.4162987968493,2.557,0.32285002714762,2310.6,0.014402618657938,0.021432173474534,388.3,108.37,409.5,25916,2508.9,61.7,15.589951377634,2508.9,1.6,1.7012777571021
"4",2008-12-31,8.3,2.53,0.714,0.55755395683453,356.7,1687.9,71.9,138.3,0.15644796380091,0.037578458277858,0.081936133657207,-111.9987,0.34733893557423,NA,60.5,0.0395,17.1628,17.8,7.12,78.3,0.6,NA,745.7,1.1164845036682,0.28838270554567,41.893258426966,9.5236270753512,0.20261935168329,-0.375,107.7187,884,0.21263108004029,0.225,0.0194,0.68669724770642,NA,0.6536,0.039516559037858,667.9,434.5,1.0345224395857,0.50848416289593,-6,-0.0016303018775643,376.6,0.10232861451512,NA,1.2181104569666,NA,0.0048365622367742,0.11806102763362,-100.5987,-14.12902648691,3680.3,0.010660278484803,-0.016820857863751,475.5,49.8,449.5,44847,2585.8,-8.3,NA,2585.8,1.55,1.0965021086579
"5",2007-12-31,8.3,2.19,0.4946,0.36219346536069,892.1,2428.2,68.8,281.4,0.36141792961726,0.078108085602465,0.11588831233012,-22.3187,0.42054185200162,3.0459126539754,60.8,0.062860294117647,17.098,107,84.5161,167.8,0.21013,NA,497.2,0.44500134252215,0.13003452243959,4.6467289719626,2.9630512514899,0.13800760540706,NA,98.8348,778.6,0.1541059220822,0.295,0.0718,0.65807900647378,NA,0.725,0.21122642286467,1117.3,272,1.8625,0.65065502183406,89.3,0.024786965331557,364,0.10103533461015,0.19146696528555,0.30489855397377,NA,0.029699947261776,0.075498931357038,-14.3187,-0.1694198751431,3602.7,0.075643148661953,0.10010088555095,492.3,37.41,506.6,64440,3823.6,39.4,6.9035532994924,3823.6,1.3,0.55665975548724
"6",2006-12-31,8.2,1.79,0.2759,0.3443287037037,793.1,2156.3,74.6,196.7,0.15770063336807,0.058733950432965,0.091221073134536,-10.9504,0.72490032620515,7.8823529411765,62.7,0.019740009629273,16.4,111.8,84.2324,174.5,0.24658,NA,1050.6,1.0372198637575,0.30115232471478,9.397137745975,6.0206303724928,0.31370558375634,NA,83.2828,1247.3,0.17223948430181,0.225,0.0592,0.3292956995391,NA,0.5471,0.23744376941984,1012.9,830.8,0.50132402503611,0.33392126994308,105.4,0.031472081218274,262.7,0.078441325768886,0.15559772296015,1.0475349892826,NA,0.033383099432666,0.24807405195581,0.9496,0.011273469813233,3349,0.083159597196169,0.13289622998361,450.4,91.99,416.5,37000,3488.6,98.1,8.4689092762487,3488.6,1.25,1.0311673280423
"7",2005-12-31,8.2,1.95,0.2541,0.39914566424605,703.3,2094,70.7,166.5,0.1033263001117,0.052733261544309,0.079512893982808,-9.9979,0.724124360488,19.899130434783,63.6,0.013759832197168,15.744,76.9,62.7435,140.5,0.18409,NA,1444.9,1.4391434262948,0.44089466617845,18.78933680104,10.283985765125,0.45762336099322,NA,65.6414,1611.4,0.19073543457498,-0.06,0.133,0.19570116137979,NA,0.5431,0.24360076408787,1004,1144.2,0.40832022373711,0.28993421869182,57.5,0.018211186419206,263.5,0.083454741242795,0.27380869565217,1.626901748898,NA,0.024355482358903,0.36238677392792,-2.8979,-0.046186122399856,3157.4,0.06249350498008,0.08175742926205,436.3,136.6,467.2,20700,3277.2,63.6,17.990566037736,3277.2,1.15,1.3766766339171
"8",2004-12-31,8.2,1.32,0.3013,0.39527116111453,NA,2038.6,57.2,150.4,0.10480105915964,0.048411497730711,0.073776120867262,25.2399,0.87620311981414,22.916279069767,62.9,0.015871661404557,15.252,63.9866,59.8402,126.8866,0.0648,NA,1284.7,1.3012255646713,0.41352560594843,20.0776538073,10.124791782518,0.46169050528283,NA,40.3004,1435.1,0.20396350436574,-0.08,0.1243,0.13067058877603,NA,0.6384,0.25282056313156,987.3,985.4,0.4563628983154,0.31335795414954,43,0.015453173291166,216.7,0.077876805865018,0.35469767441861,1.4322674418605,NA,0.022995241860131,0.35412923165385,19.5399,0.32653404712939,2782.6,0.060609977627874,0.0625,413.6,117.19,449.7,25600,3106.7,57.8,17.048442906574,3106.7,1.1,1.2614045882043
"9",2003-12-31,8.2,1.45,0.3568,0.40589442268233,NA,1839.8,59.7,68.9,0.052595419847328,0.025612430764656,NA,19.8975,0.8127802690583,17.019455252918,68.4,0.017127176381529,14.842,153.7957,115.8266,222.1957,0.24688,NA,1241.1,1.2370178411243,0.46135831381733,8.0697954403413,5.5856161405809,0.50194127638923,NA,104.6292,1310,0.22426350690292,-0.2,-0.0303,0.202254959315,NA,0.6384,0.28079139036852,1003.3,874.8,0.49748513946045,0.33221374045801,51.4,0.020787834667961,226.2,0.091482649842271,0.28875486381323,1.3733124018838,NA,0.0622,0.35379762193642,11.1975,0.096674452885789,2472.6,0.11544566196193,0.080690737833595,381.2,105.68,435.2,6400,2690.1,41.8,20.928229665072,2690.1,1.1,1.221786980041
"10",2002-12-31,8.2,1.1,0.4014,0.58384169022467,NA,2123.9,55.5,64.1,0.041389552527927,0.025155998587183,NA,36.6,0.6024,15.401209677419,92.7,0.01631627176332,12.464,145.3,117.7976,238,0.18928,NA,1484.6,NA,NA,10.217481073641,6.2378151260504,0.58263019504729,NA,154.9976,1548.7,0.30980742972833,NA,-0.0346,0.42137404580153,NA,0.5543,0.24125429634164,1280.1,763.9,1.0273596020422,0.50674759475689,49.6,0.019465484086182,225.9,0.088654291432832,0.25129032258064,1.3655702538434,NA,0.057022879792787,0.29979200188376,-37.2,-0.31579586466334,2548.1,0.09202219826576,0.088666428316053,355,92.05,784.8,15941,2651.4,57.9,13.193436960276,2651.4,1,1.1597531442856
