"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-11,53.2,0.42,0.2492,0.3743,901,2085.8,148.5,260.8,0.0783,0.1314,0.125,24.76,0.42,23.4,122.7,0,0,218,147.17,340,0.3237,0.3233,3069.7,2.6,1.41,14.11,9.02,1.55,0.14,0.095,96.61,3330.5,0.4334,2.85,19.3,0.245,0.08,0.2082,0.8597,0.1256,1179.1,2791.6,0.193,0.1618,119.3,0.0601,257.6,0.1298,0,3.1,1.67,0.1097,1.41,50.56,0.3435,1984.1,0.1248,0.1324,263.8,55.01,538.9,1484870,2174.8,114.5,24.38,2174.8,0.8,2.31
"2",2010-12-11,52.8,0.56,0.2377,0.26311815779539,780.8,1602.5,116.4,302.2,0.08335172109444,0.17456099815157,0.18858034321373,10.8889,0.8,26.065420560748,92.5,0,0,211.9,147.4845,304.4,0.30399,0.30406504065041,3323.4,4.3879059941906,1.791300598286,15.683813119396,10.917871222076,1.9197088724584,0.15,0.11,112.6957,3625.6,0.40898595943838,2.42,26.334710743802,NA,0.6022,0.23258694616484,0.8445,0.10901716068643,757.4,3346.8,0.083303454045656,0.076897616946161,128.4,0.07416820702403,151.9,0.087742606284658,0,4.2863729508197,1.7376947040498,0.12240064695009,1.9332255083179,34.7889,0.23588141776376,1731.2,0.19472474121996,0.16444672131148,216.1,63.73,278.8,415653,1855.3,112.4,29.775800711744,1855.3,0.8,3.4216685541714
"3",2009-12-11,26.2,0.42,0.256,0.32918032786885,613.8,1401.1,62.2,235.6,0.094470508039617,0.21932601005399,0.16815359360502,83.7166,0.732421875,56.658914728682,64.9,0,0,92.7,56.5006,157.6,0.3905,0.39055118110236,2258.3,3.3239623196938,1.3594389597881,24.361380798274,14.329314720812,2.1023086948427,0.165,0.11,-24.516,2493.9,0.42102633644993,3.08,27.298701298701,NA,-0.057,0.24784841252622,0.9269,0.12154735564913,679.4,2192.7,0.13736489259817,0.1207746902442,38.7,0.036026810649786,153.2,0.14261776205548,0,3.5723362658846,3.4338736199201,0.086296778998324,2.0412399925526,81.0166,1.433906093586,1074.2,0.083162569914631,0.063049853372434,163.2,84.08,301.2,230457,1661.2,115.6,18.967993079585,1661.2,0.75,2.7255737704918
"4",2008-12-11,23.7,NA,NA,0.11106506423539,429,898.3,57.5,249.7,0.15304934109715,0.24226254002135,0.27796949794055,-2.9973,NA,26.519327731092,44.5,0,0,118.7,73.5964,163.2,0.37998,NA,1381.8,5.9330184628596,1.4131724278994,11.641112047178,8.4669117647059,1.3406422819443,0.11,0.08,63.5937,1631.5,0.32895469219637,2.73,21.835164835165,NA,-0.0677,0.2288111624399,0.8251,0.10720249359902,232.9,1577.9,0.033969199569048,0.032853202574318,59.5,0.057727757834481,58.4,0.056660521975357,0,3.6780885780886,2.4108479755539,0.11516445134375,1.5309013291938,10.0027,0.13591238051352,1030.7,0.3159998883641,0.13869463869464,159.7,59.61,53.6,215989,977.8,48.7,32.400410677618,977.8,0.8,3.3806464981351
"5",2007-12-11,20.3,NA,NA,0.37837009803922,202.9,769.9,36.5,120.4,0.078258043548911,0.12715175836942,0.15638394596701,-4.8479,NA,32.013574660634,37.6,0,0,95.7,58.5531,133.3,0.38816,NA,1418.1,6.8839805825243,1.366448255926,14.818181818182,10.638409602401,1.4976238251135,0.12,0.035,64.501,1538.5,0.34108325756592,2.88,22.027777777778,0.46,0.1051,0.30590086546027,0.8503,0.12521106637226,206,1415,0.087279151943463,0.080272993175171,44.2,0.046678635547576,50.5,0.053331925229697,0,6.9738787580089,2.6677978883861,0.10106663850459,1.4943499841588,-5.9479,-0.10158084238665,946.9,0.28423829126214,0.21784130113356,149.2,63.44,123.5,133387,1037.8,56.1,25.222816399287,1037.8,0.95,4.7135416666667
