"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,19.1,0.31,0.3137,0.2936,351.5,706.7,86.6,319.5,0.2091,0.4101,0.4521,-14.59,0.25,27.97,42,0,0,85,53.05,127,0.3788,0.3786,1208.3,6.78,1.37,14.15,9.48,1.55,0.14,0.15,23.05,1527.8,0.4355,5.21,14.09,NA,0.2446,0.203,0.8228,0,178.1,1381.7,0.1057,0.0956,49.4,0.0634,-112.8,-0.1448,0,3.93,2,0.1096,1.77,30.01,0.5656,779.1,0.2979,0.1405,19.9,73.41,146.1,132935,879.9,74.6,18.52,879.9,0.75,3.07
"2",2010-12-31,19,0.92,0.4217,0.086249232658072,297.7,501.3,98.5,171.6,0.15956853263902,0.25858951175407,0.34230999401556,-12.8597,0.47427080863173,15.940639269406,35,0,0,87.6,55.6987,122.6,0.36417,0.36398838334947,903.8,5.8612191958495,1.2097443447999,10.317351598174,7.3719412724307,1.3619650391802,0.1,0.135,5.0584,1075.4,0.53321364452424,3.35,15.922388059702,0.2423,0.17400063619977,0.223,0.9232,0,154.2,1047.3,0.026830898500907,0.026129812162916,65.7,0.099005424954792,-102.2,-0.15400843881856,0,3.5179711118576,1.5940639269406,0.13200723327306,1.5782097649186,50.6403,0.90918258568313,663.6,0.36121081712062,0.22069197178368,17.1,53.34,28.1,176194,747.1,51,20.535294117647,747.1,0.8,3.3007980356047
"3",2009-12-31,19.9,0.56,0.5091,0.13558318531676,292,499.6,31.7,249.3,0.25179274820725,0.44685427495967,0.49899919935949,-13.3079,0.39285012767629,12.376146788991,29.6,0,0,122.3,77.4306,151.9,0.36688,0.36733001658375,740.8,8.3706214689266,1.1642307087852,6.0572363041701,4.8768926925609,1.3278365298441,0.155,0.145,88.6385,990.1,0.40932746196958,3.89,12.658097686375,0.1343,0.22884795504215,0.236,0.9065,0,88.5,944.3,0.048501535528963,0.046257953742046,76.3,0.13676286072773,-94.7,-0.16974368166338,0,3.233904109589,0.7984610831607,0.21921491306686,1.6925972396487,-11.2079,-0.14474778855331,557.9,0.87492176271186,0.26130136986301,16.5,49.24,45.8,235037,636.3,63.9,14.777777777778,636.3,0.8,2.9310242747188
"4",2008-12-31,20.3,0.46,0.4798,0.21667782987274,233.9,424,54.1,174.8,0.17370565437742,0.3468253968254,0.4122641509434,-5.4559,0.28345143809921,26.598870056497,23.5,0,0,76.7,49.1517,100.2,0.35917,NA,831.5,6.71647819063,1.5240102639296,10.840938722295,8.2984031936128,1.6498015873016,0.27,0.14,24.0075,1006.3,0.48537735849057,3.88,12.157216494845,0.4252,0.28407188302266,0.238,0.9832,0,123.8,941.6,0.068712829226848,0.064294941866243,35.4,0.070238095238095,-66.1,-0.13115079365079,0,4.0256519880291,0.98514333542582,0.15218253968254,1.868253968254,25.1441,0.51156210131183,504,0.39702472536349,0.15134672937153,14.4,47.17,64.7,475435,545.6,84,11.209523809524,545.6,0.85,3.3700602813128
"5",2007-12-31,20.7,NA,NA,0.25557522123894,210.3,405.4,42.1,171.4,0.16684512800545,0.47531891292291,0.42279230389738,19.0477,NA,30.320634920635,16,0,0,66.4,41.2623,82.4,0.37858,NA,855.9,7.7038703870387,1.7735184417737,12.890060240964,10.38713592233,2.373544093178,0.175,NA,-3.8854,1027.3,0.42229896398619,1.51,32.165562913907,0.4144,0.51070053887606,NA,0.7138,0,111.1,955.1,0.07559417862004,0.070281319964957,31.5,0.087354409317804,-56.3,-0.1561286744315,0,4.5416072277699,1.7326077097506,0.18413754853023,2.6486411536328,45.1477,1.0941637138649,360.6,0.37139773177318,0.14978601997147,12.8,48.57,72.2,267333,482.6,22,43.413636363636,482.6,NA,3.6364601769912
"6",2006-12-31,19.8,NA,NA,0.32169686257181,153.5,305.7,27.8,136.1,0.1801455989411,0.55916187345933,0.44520771998691,13.1132,NA,78.471264367816,10.6,0,0,37.5,20.7225,48.1,0.4474,NA,619.4,6.8669623059867,1.9200247985121,16.517333333333,12.877338877339,2.544782251438,0.1778,NA,-9.5907,755.5,0.42917893359503,1.53,18.745098039216,-0.4032,0.19993805172681,NA,0.635,0,90.2,682.7,0.10663541819247,0.096360026472535,8.7,0.035743631881676,-40.3,-0.16557107641742,0,4.4475570032573,4.4134569385723,0.15406737880033,2.8048479868529,30.3132,1.4628171915676,243.4,0.22973946784922,0.056677524429967,9.3,28.68,72.8,139408,322.6,25.2,27.09126984127,322.6,NA,3.338488731772
"7",2005-12-31,6.4,NA,NA,0.80349932705249,54.1,170.1,15.1,53.3,0.22282608695652,0.4022641509434,0.31334509112287,NA,NA,24.58904109589,5.1,0,0,19.4,19.302,24.5,0.00505,NA,185.9,3.0727272727273,NA,9.5824742268041,7.5877551020408,1.4030188679245,NA,NA,NA,239.2,0.51205173427396,NA,NA,NA,0.090736881985225,NA,NA,0,60.5,179.5,0.33259052924791,0.24958193979933,7.3,0.055094339622641,-32.5,-0.24528301886793,0,3.3179297597043,NA,0.14641509433962,1.3547169811321,NA,NA,132.5,0.31904181818182,0.13493530499076,5.6,28.06,59.7,31769,NA,NA,NA,NA,NA,2.1019332161687
