"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,48.1,1,0.4328,0,84.4,301,6.6,154.3,0.1717,0.5838,0.5126,1.17,0.58,8,0,0,-5270,-5270.05,-5262,0,744.2,NA,2.51,2.82,NA,0.18,-5269.82,898.5,0.0983,0.15,123.6,0.23,0.2673,0.064,NA,0,-69.9,898.5,0,0,-32.9,-0.1245,9.7,0.0367,10.65,-19.9397,3.4,-0.23,NA,264.3,NA,-0.3898,179.9,18.54,0,364438,296.1,-16.4,296.1,0.85,NA
"2",2010-12-31,47.7,0.53,0.4594,0,94.4,243.9,11.2,128.2,0.13925700630024,0.60643330179754,0.52562525625256,2.0563,0.48976926425773,5.9,0,0,-59.797,-59.797,-53.897,0,792.4,NA,3.1344936708861,3.7483443708609,NA,0.185,-67.1533,920.6,0.12259122591226,NA,NA,0.2711,0.29749289222021,0.066,NA,0,-33.8,920.6,0,0,-51.2,-0.24219489120151,10.5,0.049668874172185,9.7521186440678,-0.28286168401135,4.3547776726585,7.3563,NA,211.4,NA,-0.54237288135593,164.7,19.93,0,720275,252.8,-37.4,252.8,0.9,NA
"3",2009-12-31,47.1,0.67,0.5266,0,120.5,260.6,11.4,182,0.17369727047146,1.109756097561,0.69838833461243,-4.2,0.42726927459172,4.1,0,0,-53.6444,-53.6444,-49.5444,0,865.8,NA,4.3815789473684,5.2792682926829,NA,NA,-56.7444,1047.8,0.092862624712203,NA,NA,0.174,0.34733158355206,NA,NA,0.023023791250959,-61.5,1047.8,0,0,-53.5,-0.32621951219512,-20.5,-0.125,8.6954356846473,-0.3271,6.3890243902439,3.1,NA,164,NA,-0.44398340248963,129.2,21.1,0,641934,197.6,-46.7,197.6,0.9,NA
"4",2008-12-31,42.4,0.74,0.5013,0,35.3,171.2,11,113.9,0.079020396836409,0.90829346092504,0.66530373831776,-5.3676,0.28725314183124,2.2,0,0,-48.134,-48.134,-45.934,0,1327.5,NA,8.803050397878,10.586124401914,0.3,NA,-51.5664,1441.4,0.09696261682243,NA,NA,0.2593,0.26095044816506,NA,NA,0.037383177570093,-78.6,1441.4,0,0,-46.3,-0.36921850079745,-26.5,-0.21132376395534,40.832861189802,-0.38384385964912,11.494417862839,3.4324,NA,125.4,NA,-1.3116147308782,89.5,29.98,0,471823,150.8,-53.6,150.8,0.9,NA
"5",2007-12-31,40.7,1.59,0.4763,0,64,107,4.5,76.1,0.066942294159043,0.79519331243469,0.71121495327103,2.6449,0.36951501154734,1.4,0,0,-44.4267,-44.4267,-43.0267,0,1060.7,NA,8.9661876584954,11.083594566353,0.3,NA,-50.1717,1136.8,0.073831775700935,-1.1,NA,0.2238,0.46932462622444,NA,NA,0,-12.1,1136.8,0,0,-40.7,-0.42528735632184,-11.2,-0.11703239289446,17.7625,-0.46422904911181,11.878787878788,5.7449,NA,95.7,NA,-0.6359375,72.8,28.44,0,378345,118.3,-45.9,118.3,1.1,NA
"6",2006-12-31,35.7,2.52,0.5328,0.0023584905660377,42.3,76.8,1.7,54.7,0.044370538611291,0.7985401459854,0.71223958333333,2.1797,0.28528528528529,1.1,0,0,-48.4198,-48.4198,-47.3198,0,1178.1,NA,13.479405034325,17.198540145985,0.3,NA,-51.1995,1232.8,0.061197916666667,-1.06,NA,0.3118,0.45006967022759,NA,NA,0,-12.3,1232.7,8.1122738703659e-05,8.1116158338741e-05,-45.9,-0.67007299270073,-7.9,-0.11532846715328,29.141843971631,-0.70685839416058,17.995620437956,2.7797,NA,68.5,NA,-1.0851063829787,61.3,29.05,0.1,586035,87.4,-41.7,87.4,0.95,NA
"7",2005-12-31,29.2,NA,NA,0.0099255583126551,39.9,72.7,1.2,56.7,0.10862068965517,1.3247663551402,0.77991746905089,4.1949,NA,1.1,0,0,-38.5628,-38.5628,-37.4628,0,465.3,NA,7.5169628432956,10.871495327103,0.3,NA,-42.8577,522,0.050894085281981,-1.56,NA,0.1183,0.54782608695652,NA,0.9829,0,-16.4,521.6,0.00076687116564417,0.00076628352490422,-38.3,-0.89485981308411,-9.4,-0.2196261682243,13.072681704261,-0.90100093457944,12.18691588785,4.2949,NA,42.8,NA,-0.95989974937343,43.9,14.69,0.4,144907,61.9,-44.3,61.9,0.8,NA
"8",2004-12-31,20.6,0,0,0.018970189701897,NA,61,1.2,46.8,0.30019243104554,1.2513368983957,0.7672131147541,-1.6948,NA,1.3,0,0,-28.3189,-28.3189,-27.0189,0,109.1,NA,2.9171122994652,4.0407407407407,0.3,NA,-26.5241,155.9,0.042622950819672,-1.48,NA,2.0508,0.42044581091468,NA,0.7941,0,-9.9,155.2,0.0045103092783505,0.0044900577293137,-28.5,-1.0555555555556,-4.4,-0.16296296296296,4.2872928176796,-1.0488481481481,5.7481481481482,-1.7948,0.063378691079626,27,2.8604949494949,-0.78729281767956,31.2,5.5,0.7,51932,37.4,0,37.4,0,4.2249322493225
"9",2003-12-31,20.6,0,0,0.27631578947368,NA,49.8,0.6,28.4,0.15034409740603,NA,NA,-6.9,NA,1.3,0,0,-28.2454,-28.2454,-26.9454,0,160.5,1.5112994350283,NA,18.238636363636,NA,NA,-20.6454,188.9,0.040160642570281,NA,NA,0,0.20499108734403,NA,0.7404,0,106.2,178.4,0.058856502242152,0.055584965590259,-28.9,-3.2840909090909,6.9,0.78409090909091,NA,-3.2097,20.272727272727,-7.6,0.26907074294681,8.8,-0.26596384180791,-1.0509090909091,27.5,8.8,10.5,1725,NA,0,0,0,4.971052631579
