"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,25.5,0.38,0.3126,0.0801,696.1,3618.9,14,145.6,0.2397,0.0402,NA,0.3,NA,0,0.028,15.3,NA,NA,NA,0,NA,461.8,0.76,0.1,NA,607.4,0.0126,1.32,16.55,-0.275,NA,0.247,NA,0.55,0.0085,611.1,546.8,0.1108,0.0998,0,0,0.2571,0.79,NA,14,NA,NA,0,551.9,21.84,60.6,80782,NA,59.5,9.19,NA,0.95,0.8
"2",2010-12-31,26.2,0.92,0.4808,0,716.4,3007.4,2.1,180.1,0.34161608497724,0.059885615481811,NA,0.49396838602329,11.098947368421,0,0.0295,15.5524,NA,NA,NA,0.18618,0.18664383561644,347.1,0.64721238112997,0.1,NA,527.2,0.0071822837002062,NA,NA,-0.31,NA,0.22321428571429,NA,0.5816,0,536.3,527.2,0,0,47.5,0,0.32741894736842,0.73590173087661,1.1098947368421,2.1,NA,NA,0.066303740926856,414.9,20.18,0,57253,NA,-7.8,NA,NA,0.95,0.73590173087661
"3",2009-12-31,26.5,1.01,0.5282,0,672.7,2902.5,10.6,198.2,0.3314381270903,0.068285960378984,NA,0.44964028776978,NA,0,0.0264,15.7872,NA,NA,NA,0,NA,399.8,0.84257112750263,NA,NA,598,0.0076830318690784,1.59,14.037735849057,-0.135,NA,0.21153846153846,NA,0.5754,0,474.5,598,0,0,-10.4,0,NA,0.88895495763342,NA,10.6,NA,NA,-0.015460086219712,424.8,22.32,0,50068,NA,26.4,22.651515151515,NA,0.95,0.88895495763342
"4",2008-12-31,26.6,0.99,0.5123,0,641.7,2687.1,9.6,135.7,0.28383183434428,0.050500539615199,NA,0.29670115166894,NA,0,0.0334,15.9685,NA,NA,NA,0,NA,342.4,0.67667984189723,NA,NA,478.1,0.0056938707156414,NA,NA,0.09,NA,0.3314905379545,NA,0.569,0,506,478.1,0,0,-13.1,0,NA,0.74505220508026,NA,NA,NA,NA,-0.020414523920835,459.6,18.23,0,110055,NA,-33.7,NA,NA,0.95,0.74505220508026
"5",2007-12-31,27.2,0.8,0.3286,0,751.5,2760.6,1.6,330.9,0.43413802151666,0.1198652466855,NA,0.43822276323798,6.8420107719928,0,0.021411702965101,16.32,0,0,0,0.30089,NA,431.3,1.0254398478364,NA,NA,762.2,0.0039121930015214,0.55,56.490909090909,0.215,NA,0.5,NA,0.5898,0,420.6,762.2,0,0,111.4,0,0.14649910233393,1.0142381902861,NA,NA,NA,0,0.1482368596141,470.4,31.07,0,132258,NA,28.3,26.932862190813,NA,0.9,1.0142381902861
"6",2006-12-31,27.6,0.8,0.2715,0,680.8,2776.1,5,283.3,0.33666072489602,0.10204963798134,NA,0.44198895027624,9.5516458569807,0,0.019679144385027,16.56,0,0,0,0.29808,NA,558.2,1.4042767295598,NA,NA,841.5,0.0045747631569468,3.76,7.4867021276596,0.205,NA,0.20775237032906,NA,0.6027,0,397.5,841.5,0,0,88.1,0,0.18796821793417,1.2360458284371,NA,NA,NA,0,0.12940658049354,466.8,28.15,0,209382,NA,114.3,7.3622047244094,NA,0.75,1.2360458284371
"7",2005-12-31,23.6,0.61,0.283,0,500.2,2721.9,1.9,198.3,0.20236758852944,0.072853521437231,NA,0.33922261484099,108.87777777778,0,0.013005408715175,12.744,0,0,0,0,NA,781.6,2.5889367340179,0.08,NA,979.9,0.0040780337264411,0.83,42.469879518072,0.17,NA,0.21237290562795,NA,0.5645,0,301.9,979.9,0,0,9,0,1.416,1.9590163934426,13.609722222222,NA,NA,0,0.017992802878848,470.9,35.25,0,77459,NA,0.4,2449.75,NA,0.6,1.9590163934426
"8",2004-12-31,20.1,0.51,0.2607,0,NA,2570.4,1.6,343.3,0.35556706369757,0.13355897914721,0,0.39125431530495,12.252538071066,0,0.011872372000989,9.648,NA,NA,NA,0.31349,NA,622.2,2.5871101871102,0.13,NA,965.5,0.0050186741363212,NA,NA,0.15,0,0.26460845369021,NA,0.5004,0.00031123560535325,240.5,965.5,0,0,78.8,0,0.12243654822335,2.1351172047767,0.94250292854354,1.6,NA,NA,0.15212355212355,471.8,40.43,0,87854,NA,86.1,11.213704994193,0,0.7,1.8638996138996
"9",2003-12-31,20.1,0.4,0.247,0,NA,2405.2,5.9,271.6,0.3968439509059,NA,0,0.32388663967611,12.309352517986,0,0.014130114807183,9.648,NA,NA,NA,0.30444,NA,412.8,1.7432432432432,0.105,NA,684.4,0.0075253617162814,3.6,9.4361111111111,0.05,0,0.35556629611729,NA,0.3939,0.00058207217694994,236.8,684.4,0,0,55.6,0,0.17352517985612,1.8477321814255,1.1723192874272,5.9,NA,NA,0.12653618570778,450.5,33.97,0,38165,NA,77,8.8883116883117,0,0.7,1.5575785161584
"10",2002-12-31,10,0.77,0.3426,0,NA,2159.5,4,138.6,0.34520547945205,NA,0,0.4971,19.302884615385,0,0.019925280199253,8,0,0,0,0.20216,NA,262.9,NA,0.13,-4,401.5,0.0073628154665432,NA,NA,NA,0,0.18037518037518,NA,0.5459,0.0010187543412827,216.9,401.5,0,0,20.8,0,0.38461538461539,1.4013961605585,1.4848372781065,4,0,0,0.07260034904014,418.3,40,0,7501,0,42,9.5595238095238,0,0.65,1.2120792992162
"11",2001-12-31,NA,0.53,0.3559,0,NA,1851.8,1.7,48.2,0.14509331727875,NA,0,0.2601,13.784232365145,0,0.0227,7.5409,NA,NA,NA,0.15847,NA,284,NA,0.163,NA,332.2,0.0082082298304352,NA,NA,-0.04,NA,0.17750859877374,0,0.5485,0.0017280483853548,230.83,332.2,0,0,24.1,0,0.3129020746888,1.1906810035842,0.84565842730952,1.7,NA,NA,0.086379928315412,366.1,32.1,0,1400,0,29.8,11.147651006711,0,0.7,1.4391543560196
