"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10.2,0.35,0.2107,0.3312,82.8,809.8,0,5.4,0.03,0.0067,0.42,12.18,0,0,0,41,26.42,41,0.3557,0.3559,174.4,1.47,4.25,4.25,0.08,26.42,179.8,0,1.47,8.84,0.15,NA,0.2687,0.1753,0,118.4,138.8,0.2954,0.228,11.4,0,0,1.68,1.52,0,0,0.2231,0.1377,5.2,13,41,42580,14.7,9.44,NA,0.6,1.45
"2",2010-12-31,10.4,0.53,0.2709,0.37435008665511,72.2,831.8,0,9.2,0.070498084291188,0.011060351045924,0.55370985603544,11.486842105263,0,0,0,40.1,25.103,40.1,0.37399,0.37190082644628,121.3,1.1421845574388,3.0249376558604,3.0249376558604,0.08,25.103,130.5,0,0.98,8.9795918367347,0.27,NA,0.20355104629043,0.1065,0,106.2,87.3,0.49484536082474,0.33103448275862,7.6,0,0,1.2091412742382,1.4358552631579,0,0,0.2363747740113,0.10526315789474,7.6,8.8,43.2,8017,10.4,8.3942307692308,NA,0.6,1.130849220104
"3",2009-12-31,10.5,0.37,0.3115,0.43640897755611,67.8,666.9,0,6,0.049180327868852,0.0089968511021143,0.48154093097913,7.2395833333333,0,0,0,55.8,34.7104,55.8,0.37795,0.38064516129032,116,1.0148731408574,2.078853046595,2.078853046595,0.08,34.7104,122,0,0.71,9.0985915492958,NA,NA,0.10714285714286,0.1025,0,114.3,69.5,0.75539568345324,0.43032786885246,9.6,0,0,1.0250737463127,0.90494791666667,0,0,0.3036779527559,0.14159292035398,10.6,6.46,52.5,5079,7.4,9.3918918918919,NA,0.6,1.0141313383209
"4",2008-12-31,10.2,0.4,0.3816,0.44961977186312,57.9,702.3,0,8.8,0.080218778486782,0.012530257724619,0.25157232704402,13.276595744681,0,0.0067,0.4181,34.8,22.1777,34.8,0.36271,NA,100.9,1.0466804979253,2.8994252873563,2.8994252873563,0.115,NA,109.7,0,0.87,6.7816091954023,NA,NA,0.2910447761194,0.103,0,96.4,62.4,0.75801282051282,0.43117593436645,4.7,0,0.088953191489362,1.0777202072539,1.154486586494,NA,NA,0.23005904564315,0.081174438687392,14.1,5.9,47.3,5699,8.9,7.0112359550562,NA,0.6,1.0427756653992
"5",2007-12-31,10.8,NA,NA,0.44069431051109,58,622.4,0,6.2,0.066666666666667,0.009961439588689,NA,12.783783783784,0,0.0091331923890063,0.432,35.4,24.7641,35.4,0.30045,NA,86.8,0.89025641025641,2.4519774011299,2.4519774011299,0.115,NA,93,0,0.44,10.886363636364,NA,NA,0.30775254502741,0.084,0,97.5,47.3,0.9661733615222,0.49139784946237,3.7,0,0.11675675675676,0.81551724137931,1.1116333725029,NA,NA,0.25399046153846,0.063793103448276,18.1,4.79,45.7,2520,4.2,11.261904761905,NA,0.75,0.89681774349084
"6",2006-12-31,11.8,NA,NA,0.45920138888889,62.3,644.8,0,12,0.098846787479407,0.018610421836228,NA,9.0131578947368,0,0,0,32.4,21.4935,32.4,0.33662,NA,109.4,1.0600775193798,3.3765432098765,3.3765432098765,0.13,NA,121.4,0,0.33,19.060606060606,NA,NA,0.27367055771725,0.1389,0,103.2,68.5,0.77226277372263,0.43574958813838,7.6,0,0,1.099518459069,0.69331983805668,NA,NA,0.20827046511628,0.12199036918138,15.8,6.29,52.9,15081,5.3,12.924528301887,NA,NA,1.0538194444444
"7",2005-12-31,8,NA,NA,0.50710900473934,31.2,537,0,9.9,0.072210065645514,0.018435754189944,NA,17.796610169492,0,0,0,29.7,19.0329,29.7,0.35916,NA,127.2,2.3820224719101,4.2828282828283,4.2828282828283,0.15,NA,137.1,0,0.69,13.855072463768,NA,NA,0.28510638297872,0.141,0,53.4,105,0.30571428571429,0.23413566739606,5.9,0,0,3.3653846153846,1.1864406779661,NA,NA,0.35642224719101,0.18910256410256,9,9.56,32.1,7245,7,15,NA,NA,2.1658767772512
"8",1999-12-31,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,124.2,NA,NA,NA,0.21,0,124.2,NA,NA,8.0163043478261,NA,0,0.66233766233766,0.2909,NA,0,124.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA
