"","Date","Number of Shares Outstanding","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,80.2,0.6346,677.8,2232.6,289.2,66.9,0.0163,0.2231,0.03,-45.05,62.73,70.3,0.0465,136.34,127,86.24,197,0.3182,0.3182,4039.9,2.26,10.31,31.94,20.53,13.48,0.575,0.205,-87.61,4106.8,0.8488,2.37,15.52,-0.17,0.04,0.2026,0.458,0.3857,0,1788.3,2929.4,0.4019,0.2867,46.7,0.1558,-146.8,-0.4897,1.2119,4.32,1.09,0.4219,9.77,173.85,2.0159,299.8,0.0482,0.0689,33.7,36.78,1177.4,571779,391.8,112.5,26.04,391.8,1.6,2.21
"2",2011-12-31,67.7,0.74649626474038,410.6,2077.8,33.9,164.7,0.034229778036412,0.675,0.07926653190875,-15.7147,9006.25,65.1,0.0267,96.1867,70.9,70.9,136,0,NA,4646.9,3.1937457044674,16.368087354702,65.541607898449,34.168382352941,19.044672131148,0.83,0.12,117.8147,4811.6,0.77909327172971,1.35,32.925925925926,-0.375,0.1185,0.51060304837641,NA,0.3394,0,1455,3602.5,0.33562803608605,0.25128855266439,0.4,0.0016393442622951,-96.1,-0.39385245901639,240.466875,8.7737457379445,108.50903614458,0.2905737704918,14.764344262295,-46.9147,-0.66170258271867,244,0.04872852233677,0.00097418412079883,22.8,44.45,1209.1,623368,283.9,35.9,100.34818941504,283.9,1.65,2.9706735815274
"3",2010-12-31,67.1,0.76744731778289,495.5,2492.4,112.9,122.2,0.045334817288073,0.56443418013857,0.049029048306853,-8.2248,72.12925170068,63.5,0,0,32.9,31.0793,96.4,0.05534,0.5050505050505,2573.3,1.2812048792631,10.507554103716,78.215805471125,26.69398340249,11.885912240185,1.34,NA,-10.0958,2695.5,0.66044776119403,NA,NA,NA,-0.0523,0.25709779179811,NA,0.3545,0,2008.5,1060.3,1.5422050363105,0.60664069745873,14.7,0.067898383371824,-62.7,-0.28960739030023,0,2.139858728557,0.53827799776627,0.15196304849885,4.8974595842956,41.1752,1.3248410217636,216.5,0.015473892954942,0.029667003027245,20,15.01,1635.2,159092,244.9,3.9,271.87179487179,244.9,1.6,1.2650772046745
"4",2009-12-31,67.2,0.7795816878748,452.1,2359.7,322.2,56.1,0.025675057208238,0.24519230769231,0.023774208585837,4.6351,NA,62,0,0,54,54,116,0,NA,2128.9,1.0671177944862,9.7521759047183,39.424074074074,18.352586206897,9.3046328671329,0.23,NA,-210.8351,2185,0.66165190490317,NA,NA,NA,0.0174,0.68179068360557,NA,0.3122,0,1995,586,2.7286689419795,0.73180778032037,-61,-0.26660839160839,-101,-0.44143356643357,NA,1.2961734129617,NA,0.23601398601399,2.5611888111888,264.8351,4.9043528231028,228.8,0.027067669172932,-0.13492590134926,17.8,12.82,1599,216452,218.3,0.8,732.5,218.3,1.65,1.0652820437814
"5",2008-12-31,67.2,0.76959005796739,552.5,2573.6,48.1,185.7,0.082555348092825,0.826435246996,0.072155735156979,NA,16.903765690377,60.2,0,0,82.1,82.1,142.3,0,NA,2063.7,0.93287225386493,NA,25.136419001218,14.50245959241,9.1842456608812,NA,NA,NA,2249.4,0.56286913273236,0.15,45.066666666667,NA,-0.0852,0.70914432611091,NA,0.4107,0,2212.2,404,4.5678217821782,0.82039655019116,23.9,0.10636404094348,24.1,0.10725411659991,0,0.73122171945701,NA,0.36537605696484,1.7979528259902,NA,NA,224.7,0.037112376819456,0.043257918552036,18.6,6.76,1845.4,434896,NA,50.4,8.015873015873,NA,1.6,0.93807081196047
"6",2007-12-31,65.6,0.78860907271514,507,2566.2,257.6,56.6,0.017118833741645,0.23612849395077,0.022055958226171,NA,19.733612273361,56.8,0,0,115.2,112.6115,172,0.02247,NA,3249.7,1.3876932274319,NA,28.209201388889,18.893604651163,13.55736337088,NA,NA,NA,3306.3,0.59056192034915,NA,NA,NA,0.4013,0.39546599496222,NA,0.2439,0,2341.8,1414.9,1.3367729168139,0.57205940174818,71.7,0.2991239048811,25.2,0.10513141426783,0,2.7907297830375,NA,0.48060075093867,5.9027951606174,NA,NA,239.7,0.048087563412759,0.1414201183432,13.7,21.63,1891.4,333596,NA,NA,NA,NA,NA,1.3785440293529
"7",2006-12-31,65.6,0.78880754436034,340.4,1785.6,84.1,131.7,0.062497034119489,0.99171686746988,0.073756720430108,NA,21.108585858586,31.1,0,0,62.2,61.7036,93.3,0.00798,NA,1975.6,1.3347746773867,NA,31.762057877814,21.174705251876,14.876506024096,NA,NA,NA,2107.3,0.54452284946237,NA,NA,NA,-0.1323,0.12055698057897,NA,0.259,0,1480.1,835.9,1.5209953343701,0.60333127698951,39.6,0.29819277108434,-7.9,-0.059487951807229,0,2.4556404230317,NA,0.4683734939759,6.2944277108434,NA,NA,132.8,0.041688834538207,0.11633372502938,7.1,12.8,1271.4,74180,NA,NA,NA,NA,NA,1.3074202754684
