"","Date","Number of Shares Outstanding","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Hi-Lo Risk","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio"
"1",2006-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,227.1,227.1,0.28,45.714285714286,0.21340856289412,0.156,0,227.1,0,0,0,0,12.8,0,14331,19.5,11.646153846154
"2",2005-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,305.6,305.6,NA,NA,0.13467162611091,0.1759,0,305.6,0,0,0,0,17.78,0,33036,NA,NA
