"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,274.3,1.18,0.3998,NA,-5575.9,7143.3,814.8,611.9,0.0406,0.0913,0.0857,-2.32,0.74,16.37,1015,0.0422,164.58,1229,693.09,2244,0.4359,0.437,14446.1,2.91,2.15,11.76,6.44,2.16,0.05,0.025,895.6,15058,0.4577,1.16,12.88,0.06,0.2735,0.723,0.9079,0.2788,4971,3899.2,2.8618,0.7411,238.2,0.0355,-486.4,-0.0726,0.7581,3.27,0.1834,0.58,-202.52,-0.2922,6700.8,0.1394,1488.7,14.94,11158.8,3027268,6732.7,217.1,17.96,6732.7,NA,2.7
"2",2010-12-31,295.2,1.26,0.42,NA,-6296.9,8840.7,840.5,394,0.023407794676806,0.054486115720766,0.044566606716663,10.505,NA,10.968501780334,993.5,0.0419,167.7927,1529,945.7324,2522.5,0.38147,0.38254693049214,16438,2.6787256579483,2.3896957273903,10.750817527796,6.5165510406343,2.2732050005532,0.115,0.02,1088.2274,16832,0.38804619543701,1.14,12.473684210526,-0.0482,0.53393756294058,0.039,0.88,0.28383499044193,6136.5,4004.6,3.2031663586875,0.76208412547529,365.1,0.050489545303684,-215.5,-0.02980141608585,0.459580224596,0.95378276350732,0.21144485009404,0.55379466755172,-142.495,-0.15067159098058,7231.2,0.15411592438686,1700.9,14.22,12827.4,2960172,6878.7,326.2,12.276517473942,6878.7,NA,2.5774442998239
"3",2009-12-31,302,1.55,0.494,NA,-5156,9325.7,810.3,361.9,0.01671508606953,0.046556803416824,0.038806738368165,-5.4998,0.60728744939271,35.97443977591,1084.2,0.0146,150.0048,1415.5,775.142,2499.7,0.45239,0.45182341650672,21289.2,3.6336513680042,2.8358753713151,15.040056517132,8.5167020042405,2.7387596001698,0.3,0.04,1054.5418,21651.1,0.35553363286402,1.66,20.385542168675,0.0577,0.25281971195558,0.035,0.8568,0.35428975840956,5858.9,10274.3,1.107306580497,0.52546060015426,285.6,0.036741152406314,160.6,0.020660465953971,0.52522682072829,1.1991479925304,0.18209769338633,1.3217423745385,-279.3998,-0.36044986887202,7773.3,0.13230161890457,1904.5,33.84,11376.8,2295134,7507.1,330.2,31.115384615385,7507.1,1.2,3.4804365997942
"4",2008-12-31,297.1,1.71,0.4835,NA,-5362.2,9383.2,909.1,333.5,0.017093535209607,0.046126609590462,0.035542245715747,-4.0844,0.41365046535677,50.233132932532,1064.4,0.0155,116.5584,1133.1,533.5541,2197.5,0.52912,NA,19176.8,3.0464994360335,2.5001694871059,16.924190274468,8.7266439135381,2.652356122322,0.92,0.055,692.9385,19510.3,0.37008696393554,1.35,19.125925925926,0.1042,0.47777467151244,0.03,0.8562,0.30862605507716,6294.7,7519.9,1.5944892884214,0.61456768988688,149.7,0.02070510781317,-67.1,-0.0092806461874663,0.77861356045424,0.54601231448404,0.15671982406882,1.0400824331614,-159.3844,-0.29872210526146,7230.1,0.084762439512606,1788.2,25.82,11990.4,1911653,7670.2,261.1,28.800842589046,7670.2,1.25,2.9435291632721
"5",2007-12-31,294.3,1.8,0.4554,NA,-5098.8,9140.6,781.3,419.1,0.026107107038516,0.064631043256998,0.04585038181301,15.0272,0.45674132630654,186.64135021097,1118.9,0,0,911.1,455.55,2030,0.6,NA,15634,2.5580025524395,2.2270020797128,17.159477554604,7.7014778325123,2.4109800293006,NA,0.08,778.1228,16053.1,0.37986565433341,1.03,16.349514563107,0.0869,0.5,0.03,0.7586,0.30990306982036,6111.8,4423.4,2.6291314373559,0.72445197500794,23.7,0.0036548693037243,-181.9,-0.02805150744082,0,NA,0.14050427943558,0.68214974169173,-322.5728,-0.70809528583899,6484.5,0.074536143198403,1563.2,16.84,11629.7,2133469,7020.2,102.6,43.11306042885,7020.2,1.3,2.4580226308778
"6",2006-12-31,292.4,1.32,0.3526,NA,-5339.3,9844.9,886.3,571,0.028950970947625,0.096330662167862,0.057999573383173,42.3106,NA,NA,1128.8,0,0,614,614,1742.8,0,NA,19152,2.903181797511,3.015350704558,31.192182410423,10.989212761074,3.2310417545339,NA,0.085,814.1894,19723,0.37733242592611,0.06,392.66666666667,0.1336,0.2553292278541,NA,0.7415,0.25822507084887,6596.9,7215.8,1.7333074641758,0.63414287887238,-133,-0.022437789962041,-591.5,-0.099789118515394,NA,NA,0.1035849852383,1.217342893294,-200.1894,-0.32604139047145,5927.5,0.093074019615274,1480.2,23.56,12507.2,1640570,6351.5,48.4,149.0867768595,6351.5,NA,2.7515729851142
"7",2005-12-31,289.4,1.72,0.3589,NA,-2468.8,9844.5,769.3,1139.8,0.062813433411588,0.22021290983211,0.11578038498654,73.1669,NA,NA,1084.3,0,0,502,502,1586.3,0,NA,17006,2.7305277693036,2.9681991133452,33.876494023904,10.720544663683,3.2856121640681,NA,0.085,743.8331,18145.8,0.39291990451521,-0.52,NA,0.0434,0.23076923076923,0.003,0.7182,0.26778404185078,6228.1,8309.1,1.1838466259884,0.54209238501471,-120.9,-0.023358256535095,-684.2,-0.13218957089588,NA,NA,0.096987963445971,1.6053439981452,-241.8331,-0.4817391882652,5175.9,0.080602430917936,1292.6,28.48,9836.7,1562800,5729.4,NA,NA,5729.4,NA,2.4628184421613
"8",2004-12-31,287.8,1.56,0.5357,NA,NA,11393.2,775.6,1015.1,0.057264870475675,0.20089453581112,0.089097005231191,-3.2281,0.58241553108083,NA,1341.5,0,0,-155.1375,-155.1375,1186.3624,0,NA,16711.3,2.2714211928451,3.3072690929961,NA,14.086167342872,3.3877232459608,NA,0.09,413.9906,17726.4,0.37140575079872,-0.52,NA,0.1769,0.20212765957447,0.014,0.7051,0.2561176842327,7357.2,6723.8,1.6363663404622,0.62069004422782,-667,-0.13521457965902,-132.7,-0.026901011575341,NA,NA,-0.031449563137303,1.363052159987,-569.1281,3.6685387992078,4932.9,-0.021086493502963,1331.7,23.44,11002.6,653600,5052.9,-667,NA,5052.9,1.5,NA
"9",2003-12-31,286.8,2.39,0.6506,NA,NA,11189.2,888.4,332.8,0.021356058369804,0.072308527973927,NA,-77.8473,0.73470642483861,NA,1060.7,0,0,1093.9825,1093.9825,2154.6825,0,NA,15250.6,2.436665175433,3.3135469853341,13.940442501964,7.0778873782002,3.6510018912643,NA,0.07,1344.1297,15583.4,0.41050298502127,-0.79,NA,-0.0722,0.26397444672599,0.025,0.8638,0.2679190648125,6258.8,7082,1.20042360915,0.545542051157,-283.1,-0.067774293169903,-764.4,-0.18299777357497,NA,NA,0.2619,1.6954346316823,-250.1473,-0.22865745582344,4177.1,0.1747910925417,1173.2,25.3,8501.4,1012600,4602.5,-283.1,NA,4602.5,1.5,NA
"10",2002-12-31,255,1.98,0.6775,NA,NA,10488.3,1340.3,125.9,0.0088703825044211,0.031448268971374,NA,-36.4,0.6433,NA,911,0,0,147.4,147.4,1058.4,0,NA,14067.4,NA,NA,95.436906377205,13.29119425548,3.5138632162662,NA,-0.04,-281.9,14193.3,0.44096755432244,-1.01,NA,-0.3749,0.22781897212989,NA,0.8427,0.24544492434427,5869.2,6474.4,1.1922185839615,0.54384110812848,-560.8,-0.14008093120847,-774.3,-0.19341060098916,NA,NA,0.036818704101514,1.6172253584453,429.3,2.9124830393487,4003.4,0.025114155251142,1022.8,22.34,7718.9,1961053,4022.8,-496,NA,4022.8,1.4,2.3968172834458
"11",2001-12-31,NA,1.57,0.6701,1.631,NA,8273.3,1326,37.9,0.0030950397700361,0.0085921559737021,NA,0.6921,0.4111,24.883994766681,1018.2,0,0,985.2075,985.2075,2003.4075,0,NA,12207.5,NA,NA,12.390790772502,6.0933684235484,2.7675130355928,NA,NA,676.7154,12245.4,0.39714503281641,-3.77,-4.763925729443,0.1078,0.8132,0,0,0.2012860648109,3971.6421,5705.9,1.1460943935225,0.53403727113855,229.3,0.05198367717071,-969.819,-0.21986374971662,0,NA,0.2233524144185,1.2935615506688,308.4921,0.31312398657136,NA,0.24806049366835,1178.9,17.96,6539.5,2319000,4411,0,NA,4407.9,1.35,3.0832083283637
