"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,114.5,1.64,0.4716,0.5372,197.8,606.5,9.7,241.1,0.2342,3.372,0.3975,-1.5,0.8,15,0,0,-4,-3.99,11,0,788.3,4.23,10.4,71.62,11.03,0.195,2.81,1029.4,0.1296,NA,NA,-0.105,0.3489,0.048,0.9289,0.1261,186.3,799.8,0.2871,0.223,-134,-1.8741,-25,-0.3497,4.04,-0.0559,11.19,-6.8,NA,71.5,-0.0214,-0.6775,170.1,7.41,229.6,960612,75.8,-156.4,75.8,1.05,2.41
"2",2010-12-31,94.5,1.33,0.4739,0.71893399442206,90.7,521.2,31.5,315.9,0.37269938650307,1.9867924528302,0.6061013046815,9.4843,0.55391432791728,16.6,0,0,-21.549,-21.549,-4.949,0,531.7,78.191176470588,5.2643564356436,NA,3.3440251572327,0.17,-45.9333,847.6,0.17229470452801,NA,NA,1.1909,0.52591729761211,0.048,0.8933,0.14677666922487,6.8,615.6,0.37686809616634,0.2737140160453,-37.9,-0.23836477987421,-26,-0.16352201257862,6.787210584344,-0.13552830188679,3.8716981132075,24.3843,NA,159,-3.1689705882353,-0.41786108048512,157.7,5.59,232,1157244,101,-131.3,101,1.05,2.6265881623799
"3",2009-12-31,93.6,0.28,0.6416,0.69541939321832,102.4,575.5,16.4,396.2,0.27962453242995,5.5104311543811,0.6884448305821,-152.2726,0.40913341645885,14.9,0,0,-90.2368,-90.2368,-75.3368,0,1020.7,NA,6.6843483955468,NA,14.196105702364,0.125,60.5358,1416.9,0.13605560382276,NA,NA,-0.2122,0.30093155123532,0.042,0.9109,0.13292788879235,-60,1183.1,0.19761643140901,0.16500811631025,-102.5,-1.4255910987483,-135.5,-1.884561891516,11.5537109375,-1.2550322670375,16.454798331015,-150.7726,NA,71.9,NA,-1.0009765625,136.1,12.85,233.8,611292,152.7,-21.9,152.7,1.05,NA
"4",2008-12-31,92.5,-0.06,0.6698,0.5529964747356,190.2,560.5,18.9,379,0.35278786186354,4.2017738359202,0.67618198037467,13.1684,0.250821140639,22.5,0,0,-19.9,-19.9,2.6,0,695.3,14.952688172043,11.342577487765,267.42307692308,7.7084257206208,-0.045,-29.4684,1074.3,0.13131132917038,NA,NA,-0.6703,0.46354883081155,0.036,0.8454,0.13648528099911,46.5,839,0.28045292014303,0.2190263427348,-34.3,-0.38026607538803,-41.1,-0.45565410199556,4.4111461619348,-0.22062084257206,9.3015521064301,9.5684,NA,90.2,-0.42795698924731,-0.18033648790747,81.4,9.32,235.3,712561,61.3,-18.1,61.3,1.05,2.524794359577
"5",2007-12-31,92.3,-1.14,0.6229,0.61250677751672,214.4,725.1,32.8,482.4,0.58331318016929,1.767032967033,0.6652875465453,-29.2398,0.3210788248515,29,0,0,-103.1195,-103.1195,-74.1195,0,344.6,4.8603667136812,2.7006269592476,NA,1.2622710622711,-0.08,-77.6797,827,0.15777134188388,-0.85,NA,0.2195,0.51581027667984,0.031,0.8398,0.10812301751483,70.9,488.1,0.69432493341528,0.40979443772672,-32.8,-0.12014652014652,-54.9,-0.2010989010989,2.2765858208955,-0.37772710622711,1.7879120879121,-25.4398,NA,273,-1.4544358251058,-0.15298507462687,290.9,5.56,338.9,707916,127.6,-72.1,127.6,1.25,1.4946683535153
"6",2006-12-31,89.8,2.16,0.4447,0.6586502329776,227.1,768.2,0,456.9,0.43226111636708,2.0987597611392,0.5947669877636,-4.3929,0.7195862379132,33.5,0,0,-85.9004,-85.9004,-52.4004,0,600.1,2.8795585412668,2.1656441717791,NA,2.7565457050988,0.17,-48.0075,1057,0.17417339234574,-0.67,NA,0.6241,0.50698122291767,0.025,0.8764,0.10205675605311,208.4,618.8,0.70814479638009,0.41456953642384,-154.8,-0.71107028020211,16.1,0.07395498392283,2.7247908410392,-0.39458148828663,2.8424437299035,-37.8929,NA,217.7,-0.41218997120921,-0.68163804491414,191.2,6.35,438.2,1110390,277.1,-148.4,277.1,2,1.5887569517511
"7",2005-12-31,84.6,3.49,0.4661,0.57292211186618,326.8,858.6,18,476.3,0.26017370404763,3.7711797307997,0.55474027486606,11.0062,0.56640205964385,27.2,0,0,-120.1694,-120.1694,-92.9694,0,1354.4,4.6881273797162,7.499446290144,NA,10.723673792557,0.24,-121.9756,1830.7,0.16550197996739,-0.99,NA,0.0931,0.29211918685603,0.0509,0.961,0.10703470766364,288.9,1392.3,0.31487466781584,0.23947124050909,-185.1,-1.4655581947743,-25.6,-0.20269200316706,4.2604039167687,-0.951460253365,11.023752969121,1.8062,NA,126.3,-0.41595510557286,-0.56640146878825,195.5,15.21,438.4,1469264,180.6,-188.6,180.6,1.65,2.3924464192368
"8",2004-12-31,83.7,3.37,0.6596,0.29866426534594,NA,744.9,19.4,418.7,0.25943366999195,3.5755764304014,0.56208887098939,-0.4483,1.0218314129776,19.3,0,0,-66.1401,-66.1401,-46.8401,0,1195.2,4.827140549273,10.206660973527,NA,10.456692913386,0.165,-65.7918,1613.9,0.20298026580749,-1.1,NA,-0.2678,0.2353616532721,0.049,0.8385,0.18338031950597,247.6,1414.9,0.1406459820482,0.12330379825268,-101.9,-0.8915135608049,-18.3,-0.16010498687664,3.0278193879735,-0.57865389326334,12.378827646544,-0.3483,0.0052659997885489,114.3,-0.26712495961228,-0.21806120265354,141.3,16.46,199,853167,117.1,-101.9,117.1,1.75,2.4221822002101
"9",2003-12-31,57,2.57,0.712,0.70547085201794,NA,616.8,18.7,286,0.13762571579808,2.6629422718808,NA,-0.2566,0.72191011235955,18.4,0,0,-43.5724,-43.5724,-25.1724,0,1792.1,6.6007366482505,16.686219739292,NA,16.858889934149,0.175,-43.6157,2078.1,0.24221789883268,-1.29,NA,0.0943,0.45465501657126,0.085,0.7321,0.22908560311284,271.5,1684.8,0.23344017094017,0.18925941966219,-46.7,-0.43932267168391,-24.8,-0.23330197554092,10.26065773447,-0.4099,15.849482596425,0.0434,-0.00099530566973944,106.3,-0.16048755064457,-0.28440925700365,135.1,19.89,393.3,161524,107.4,-46.7,107.4,1.6,3.727533632287
"10",2002-12-31,55.7,2.55,0.8426,0.66559743384122,NA,606.6,16.3,294,0.272121436505,3.1012658227848,NA,30.7,0.6661,19,0,0,-114.53,-114.53,-95.53,0,786.4,NA,NA,NA,8.295358649789,0.15,-111.83,1080.4,0.23656445763271,-1.85,NA,0.212,0.56570268899036,0.101,0.8,0.24002637652489,244.8,748.4,0.44361304115446,0.30729359496483,-107.5,-1.1339662447257,-45.6,-0.48101265822785,4.4868105515587,-1.2081219409283,7.8945147679325,-2.7,NA,94.8,-0.46785114379085,-0.64448441247002,183.4,13.2,332,508494,99,NA,99,1.4,3.2124183006536
