"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,196.6,1.28,0.3434,-715.2,2714.7,255.5,73.7,0.0205,0.0504,0.0271,-0.14,0.8,57.04,199.5,0,0,323,137.58,522,0.5734,0.5734,3520.9,2.02,2.4,10.92,6.75,2.41,0.22,0.04,81.72,3594.6,0.5159,0.24,22.83,-0.065,0.06,0.3266,0.059,0.8749,0.1869,1744.7,1061,2.3879,0.7048,18.6,0.0127,-96.1,-0.0657,NA,2.59,0.2205,0.73,55.86,0.406,1462.4,0.0789,263.1,5.48,2533.6,4176037,1464.5,-14.6,NA,1464.5,1.05,1.98
"2",2010-12-31,201,1.17,0.4349,-667.8,2653.6,149.7,77,0.02453557658605,0.055918663761801,0.029017184202593,-3.9915,0.60358703150149,21.720848056537,179.5,0,0,299.3,126.0442,478.8,0.57887,0.57886904761905,3061.3,1.7209916797841,2.0969244468799,10.228199131306,6.3936925647452,2.2231663035585,0.115,0.055,159.8357,3138.3,0.47648477539946,0.31,9.7741935483871,0.04,0.1717,0.2013201320132,0.055,0.9035,0.21770425082906,1778.8,614.7,4.1054172767203,0.8041296243189,28.3,0.020551924473493,-66.3,-0.048148148148148,0,1.8887693962206,0.21735657225853,0.44640522875817,-33.7915,-0.26809229673917,1377,0.070859123566449,270.9,3.03,2523.6,1551682,1459.9,27.8,22.111510791367,1459.9,1.05,1.6910766246363
"3",2009-12-31,228.5,1.49,0.5019,-784,2064.3,195.1,23,0.0093522547066238,0.017215568862275,0.011141791406288,-0.1751,0.54791791193465,5.359375,164.9,0,0,295.5,171.5939,460.4,0.41931,0.41931302657161,2436.3,2.0785769132327,1.7921877298808,8.2446700507614,5.2917028670721,1.8235778443114,0.07,0.06,141.569,2459.3,0.54415540376883,0.4,7,NA,-0.0504,0.24459234608985,0.053,0.916,0.088165479823669,1172.1,480.2,4.1214077467722,0.80474118651649,89.6,0.067065868263473,-10,-0.0074850299401198,0,0.765625,0.22118263473054,0.35943113772455,30.0249,0.1749762152051,1336,0.14639868185308,274.8,2.8,1979.1,1040529,1359.4,52.9,9.0775047258979,1359.4,1.1,2.0578194293365
"4",2008-12-31,227.9,1.61,0.4782,-838.7,2086.7,230.9,6.7,0.0025168100371887,0.0047754811119031,0.0032108113288925,-0.0341,0.35131744040151,6.5674157303371,153.9,0,0,326.3,190.2231,480.2,0.41703,NA,2655.4,2.3808840670672,1.9769207861822,8.1379098988661,5.5297792586422,1.8926585887384,0.06,0.05,113.2572,2662.1,0.5004552642929,0.44,7.8409090909091,NA,0.1338,0.49693251533742,0.042,0.8904,0.094790818038051,1115.3,701.4,2.7954091816367,0.73652379700237,106.8,0.076122594440485,0.8,0.00057020669992869,0,1.0945692883895,0.23257305773343,0.49992872416251,76.9659,0.40460857376759,1403,0.17055779700529,283,3.45,1960.7,1329183,1343.2,109.5,6.4054794520548,1343.2,1.05,2.3726381461676
"5",2007-12-31,248.4,1.74,0.3867,-797,2019.6,233.8,26.1,0.010693653460073,0.019353403529586,0.012923351158645,0.776,0.45513317817429,4.4895833333333,150.8,0,0,322.2,184.3338,473,0.42789,NA,2414.6,2.0348896005394,1.7172320603087,7.4941030415891,5.1048625792812,1.7904493548866,0.08,0.07,100.5579,2440.7,0.4623192711428,0.42,4.5952380952381,NA,0.0581,0.87596899224806,0.033,0.9629,0.090909090909091,1186.6,431,4.6628770301624,0.82341131642562,96,0.071184932522616,-18.2,-0.013495476790746,0,0.56119791666667,0.23891442977903,0.319590686638,83.776,0.45447970381623,1348.6,0.15534623461992,265.9,1.93,2009.7,1107328,1406.1,101.1,4.2631058358061,1406.1,1.1,2.0126164756329
"6",2006-12-31,247.5,1.89,0.2992,-921,2013.8,151.3,79.4,0.024511468527151,0.062514762617117,0.039427947164564,1.6168,0.74866310160428,13.296465222349,143,0,0,314.6,175.9998,457.6,0.44056,NA,3159.9,2.9454697986577,2.3989523231096,10.044183089638,6.9053758741259,2.4879143374537,0.01,-0.005,166.083,3239.3,0.40659449796405,0.28,15.357142857143,NA,0.0487,0.19846596356664,0.037,0.9528,0.082530539278975,1072.8,1166.1,1.7778921190292,0.64001481801624,87.7,0.06904968112747,-43.6,-0.034328005668845,0,13.296465222349,0.24769703172978,0.91811668372569,9.9168,0.056345789681032,1270.1,0.16405651006711,244.2,4.3,2073.2,1445554,1317.2,92.7,12.57928802589,1317.2,1.4,2.811404270092
"7",2005-12-31,247.2,1.39,0.3158,-737.7,1863.3,143,25.7,0.0079583810732976,0.021246693121693,0.0137927333226,-0.0493,0.8,19.734482758621,174.7,0,0,301.6,150.8,476.3,0.55788,NA,3203.6,2.4245818512071,2.5692517443259,10.622015915119,6.7260130170061,2.6484788359788,0.065,-0.02,182.5493,3229.3,0.42956045725326,0.28,16.321428571429,NA,-0.0051,0.23843416370107,NA,0.8744,0.041163527075619,1321.3,1144.6,1.8213349641796,0.64555786083671,58,0.047949735449735,1.6,0.0013227513227513,0,3.036074270557,0.24933862433862,0.94626322751323,-31.7493,-0.210539380798,1209.6,0.11413002346174,221,4.57,2084.7,986000,1246.9,86.7,13.20184544406,1246.9,1.8,2.3974016332591
"8",2004-12-31,245.4,0,0,NA,1958.7,133.9,24.9,0.0082652857996415,0.020549641000248,0.012712513401746,-0.1235,NA,14.719594594595,187.7,0,0,310.3495,165.6676,498.0495,0.46619,NA,2987.7,1.8428941524796,2.4657093339936,9.6268896359607,5.9988018057484,2.4751056250518,NA,-0.06,219.5911,3012.6,0.4345228978404,0.23,15.260869565217,NA,-0.2278,0.16467780429594,NA,0.8429,0.039158625619033,1621.2,871.4,2.4571953178793,0.71074819093142,59.2,0.049043161295667,-32.4,-0.026841189628034,0,NA,0.2571033551487,0.72189545190953,-53.9235,-0.32549185686393,1207.1,0.10218828351999,227.6,3.51,2141.2,1040100,1211.7,59.2,14.719594594595,1211.7,1.75,NA
"9",2003-12-31,244.6,0,0,NA,2073.5,126.4,26,0.0078031212484994,0.021337710299549,NA,13.0902,NA,12.843788437884,169.7,0,0,573.1146,229.2458,742.8146,0.6,NA,3306,1.9313003855591,2.7131719327041,5.7684796105882,4.4506393802534,2.1222236487354,NA,-0.09,259.4556,3332,0.43346997829757,0.2,19.95,NA,-0.3413,0.31366120218579,NA,0.7463,0.042488545936822,1711.8,1044.2,2.1909595862862,0.68661464585834,81.3,0.052188984465272,-60.1,-0.038580048786751,0,NA,0.3679,0.67030427525998,-30.2098,-0.13177900367755,1557.8,0.13392093001519,303.1,3.99,2287.8,710000,1218.5,0,NA,1218.5,1.65,NA
"10",2002-12-31,218.7,0,0,NA,1467.6,175.9,44.9,0.012162088953898,0.021230318218355,NA,-9.5,0,NA,496.3,0,0,103.5,103.5,599.8,0,NA,3646.9,NA,NA,35.23574879227,6.0801933977993,1.7243841316374,NA,-0.095,423.9,3691.8,0.59137367130008,0.41,12.195121951219,NA,-0.1028,0.38001867413632,NA,0.7209,0.073453257018261,-34.8,1133.4,2.2572789835892,0.69299528685194,-259.9,-0.12288997115703,-168.5,-0.079672797768216,NA,NA,0.048938484089082,0.53591186344508,-320.4,-3.0956521739131,2114.9,NA,487.4,5,2558.4,1165307,1749.7,-81.8,NA,1749.7,1.6,NA
