"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,5.8,0.91,0.2385,0.1191,113.2,170.3,3.2,2.8,0.0148,0.1905,0.0164,3.42,0.8,NA,2.5,0.0013,0.23,-2,-1.7,1,0,NA,186.8,1.49,10.86,NA,233.5,12.71,-5.82,189.6,0.7046,NA,-0.19,0.1354,NA,0.6419,0.0211,125.7,174.3,0.0878,0.0807,-0.8,-0.0544,20.1,1.3673,NA,1.54,-0.1156,11.86,4.12,NA,14.7,-0.0135,-0.0071,6.1,31.01,15.3,12953,17.2,-0.3,NA,17.2,1.1,1.48
"2",2010-12-31,5.7,1.37,0.3838,0.1144578313253,117.6,177.8,1.4,0.3,0.0017964071856287,0.022388059701493,0.0016872890888639,2.1493,0.71651902032309,NA,2.7,0.0015,0.2277,-0.8,-0.8,1.9,0,NA,166.7,1.2581132075472,11.113333333333,NA,87.736842105263,12.440298507463,-1.6493,167,0.74803149606299,-0.35,-0.2079,0.17420435510888,NA,0.669,0.023622047244094,132.5,151.8,0.10013175230566,0.091017964071856,-0.6,-0.044776119402985,18,1.3432835820895,NA,1.2908163265306,-0.059701492537314,11.328358208955,0.8493,NA,13.4,-0.0060377358490566,-0.0051020408163265,3.9,27.07,15.2,12697,15,-4.1,NA,15,1.1,1.2575301204819
"3",2009-12-31,5.7,1.18,0.396,0.10060975609756,118,176.6,3.5,0.3,0.001695873374788,0.017751479289941,0.0016987542468856,-3.4201,0.75757575757576,204.625,2.8,0.0014,0.2292,1,0.6434,3.8,0.35663,0.33333333333333,176.6,1.3491214667685,13.081481481482,176.6,46.473684210526,10.449704142012,3.3635,176.9,0.75877689694224,-0.125,-0.1461,0.17553865652725,NA,0.6627,0.026047565118913,130.9,163.7,0.080635308491142,0.074618428490673,0.8,0.047337278106509,17,1.0059171597633,0.286475,1.3872881355932,0.059171597633136,9.6863905325444,-2.7201,-4.2279222581023,16.9,0.0049149732620321,0.0067796610169491,5.7,28.9,13.2,9388,13.5,-0.6,NA,13.5,1.2,1.3483231707317
"4",2008-12-31,5.7,1.34,0.3942,0.068037974683544,117.8,173.1,18.2,0.9,0.0042533081285444,0.045454545454545,0.0051993067590988,-0.3909,0.48706240487062,42.291666666667,2.7,0.0056,1.1368,7,4.375,9.7,0.375,NA,210.7,1.6788844621514,10.973958333333,30.1,21.721649484536,10.641414141414,-10.7341,211.6,0.76718659734258,0.08,-0.5395,0.33986527862829,NA,0.654,0.028885037550549,125.5,203,0.042364532019704,0.040642722117202,4.8,0.24242424242424,12.9,0.65151515151515,0.23683333333333,1.723259762309,0.35353535353535,10.252525252525,15.1091,3.4535064935065,19.8,0.034860557768924,0.040747028862479,2.8,34.94,8.6,13131,19.2,3,67.666666666667,19.2,1.2,1.6740506329114
"5",2007-12-31,5.7,0.92,0.2699,0.05658852061439,116.7,171.8,5.6,0.9,0.0040376850605653,0.020881670533643,0.0052386495925495,1.9675,0.6817339755465,15.992592592593,2.5,0.010560444650301,2.28,21.3,13.5374,23.8,0.36444,NA,222,1.8078175895766,5.8730158730159,10.422535211268,9.327731092437,5.1508120649652,8.4699,222.9,0.68102444703143,0.195,0.0117,NA,NA,0.6433,0.027357392316647,122.8,215.9,0.032422417786012,0.03140421713773,13.5,0.31322505800464,16,0.37122969837587,0.16888888888889,1.8500428449015,0.49419953596288,5.0092807424594,5.0675,0.37433383958844,43.1,0.11023964169381,0.11568123393316,6.2,38.19,7,16005,37.8,13.7,15.759124087591,37.8,1.15,1.8019401778496
"6",2006-12-31,5.7,0.98,0.3374,0.064486830154405,103,153.8,16.1,0.7,0.0018631887143998,0.016548463356974,0.0045513654096229,0.4461,0.45050385299348,26.328571428571,2.3,0.0061855670103093,2.28,20.2,13.1633,22.5,0.34835,NA,375,3.4277879341865,9.7150259067358,18.564356435644,16.666666666667,8.8652482269504,-1.0828,375.7,0.73862158647594,0.26,-0.0322,0.14184397163121,NA,0.6456,0.033159947984395,109.4,368.6,0.019262072707542,0.018898056960341,14,0.33096926713948,5.1,0.12056737588652,0.16285714285714,3.578640776699,0.47754137115839,8.7139479905437,14.2461,1.0822564875894,42.3,0.12032294332724,0.13592233009709,6.8,57,7.1,7600,38.6,8.4,43.880952380952,38.6,0.95,3.4123524069028
"7",2005-12-31,5.7,0.74,0.3431,0.071358748778104,95,143.3,34,1.1,0.0026692550351856,0.025287356321839,0.0076762037683182,1.3283,0.30311862430778,27.351351351351,1.8,0.0050691699604743,2.052,21.7,14.0189,23.5,0.35397,NA,411,4.0612648221344,12.530487804878,18.940092165899,17.489361702128,9.448275862069,-19.5094,412.1,0.70481507327285,0.245,0.0325,0.17453766171918,NA,0.4247,0.032100488485694,101.2,404.8,0.018033596837945,0.017714147051686,14.8,0.34022988505747,5.4,0.12413793103448,0.13864864864865,4.261052631579,0.49885057471264,9.3057471264368,33.5283,2.3916564818378,43.5,0.13852619565217,0.15578947368421,8,72.4,7.3,5300,32.8,10.5,38.552380952381,32.8,0.65,4.0283479960899
"8",2004-12-31,5.6,0.26,0.3013,0.098527746319366,NA,119.2,20.8,0.3,0.00075187969924812,0.0044977511244378,0.0025167785234899,21.7007,0.17258546299369,26.551020408163,1.3,0.0045070422535211,1.792,22.661,13.939,23.961,0.38489,NA,398.7,4.5306818181818,5.9775112443778,17.594104408455,16.639539251283,9.4928571428571,-27.2617,399,0.5755033557047,0.32,0.2626,0.39436075704905,NA,0.4066,0.022651006711409,88,390.3,0.022290545734051,0.021804511278196,14.7,0.35,36.9,0.87857142857143,0.12190476190476,4.9032663316583,0.53954761904762,9.2928571428571,41.2007,2.9557853143417,42,0.15839781488636,0.18467336683417,5.1,71,8.7,28100,66.7,26.3,14.84030418251,66.7,0.5,4.5186862967157
"9",2003-12-31,5.6,0.64,0.2319,0.13324538258575,NA,97.9,15.6,1,0.0039385584875935,0.028571428571429,NA,2.1009,0.55196205260888,18.469696969697,1.1,0.0066666666666667,1.568,20.7736,12.7911,21.8736,0.38426,NA,252.9,3.3810160427807,7.2257142857143,12.174129037103,11.561903960764,7.6404833836858,-3.8098,253.9,0.49948927477017,0.18,0.2297,0.17623062279032,NA,0.3242,0.013278855975485,74.8,243.8,0.041427399507793,0.039779440724695,13.2,0.3987915407855,36.6,1.1057401812689,0.11878787878788,3.7108066971081,0.6276,7.3655589123867,16.6009,1.2978470174707,33.1,0.17100416890909,0.20091324200913,4.6,42,10.1,1500,35,12.9,18.899224806202,35,0.45,3.3496042216359
"10",2002-12-31,5.6,0.38,0.3431,0.14814814814815,NA,74.3,3.5,1,0.0052246603970742,0.037174721189591,NA,-12,0.2455,19.591397849462,0.8,0.0073765093304062,1.344,13.3,8.2578,14.1,0.37911,NA,190.4,NA,NA,14.315789473684,13.503546099291,7.0780669144981,5.5578,191.4,0.46298788694482,NA,1.9102,0.27865037812682,NA,0.3684,0,61.1,182.2,0.050493962678375,0.048066875653083,9.3,0.3457249070632,26.9,1,0.14451612903226,3.4442344045369,0.49442379182156,6.7732342007435,2.7,0.32696213306221,26.9,0.13515281505728,0.1758034026465,3.4,32.2,9.2,11206,20.6,4.8,37.958333333333,20.6,0.45,3.1162029459902
"11",2001-12-31,NA,0.18,0.3439,0.1725,NA,62.2,17.5,2.8,0.022653721682848,0.30434782608696,NA,19.3314,0.0916,NA,0.7,0.0098,1.1192,-2.53,-2.53,-1.83,0,NA,120.8,NA,NA,NA,NA,13.130434782609,-38.6614,123.6,0.51125401929261,-0.03,-0.5369,0.2199148029819,0,0.3463,0,52.043,114.2,0.08231173380035,0.076051779935275,-0.6,-0.065217391304348,15.343,1.6677173913043,NA,2.5154185022026,-0.275,12.413043478261,36.1314,NA,NA,-0.048613646407778,-0.013215859030837,4.6,20.19,9.4,2300,9.2,6.9,16.550724637681,20.9,0.5,2.37495916838
"12",2000-12-31,NA,0.55,0.3507,0.14803625377644,NA,63.4,9.5,21.1,0.17686504610226,1.0603015075377,NA,17.7897,0.4704875962361,12.303370786517,0.3,0.010228310502283,1.12,8.74804,6.5595,9.048,0.25017,NA,98.2,NA,NA,11.225371626101,10.853179252081,4.9346733668342,-5.8735,119.3,0.27760252365931,NA,0.3201,0.38431626701231,NA,0.2882,NA,35.3,109.5,0.089497716894977,0.082145850796312,8.9,0.44723618090452,10.1,0.50753768844221,0.12584269662921,2.3497854077253,0.329625268,5.5025125628141,12.433,1.8954080057336,NA,0.18582274315014,0.19098712446352,3.3711,19.71,9.8,NA,19.9,6,18.25,21.2,NA,2.1152482269503
"13",1999-12-31,NA,0.65,0.2578,0.17667238421955,NA,63.4,1.3,16.5,0.20650813516896,NA,NA,NA,0.37820015515904,10.875,0.3,0.016379310344828,1.14,5.9,3.9006,4.2006,0.33888,NA,63.4,NA,NA,10.745762711864,15.093053196109,6.6736842105263,5.7451,79.9,0.13249211356467,NA,1.3505,0.078534031413613,NA,0.2419,NA,41.8,69.6,0.14798850574713,0.12891113892365,NA,0.3578947368421,NA,0.67368421052632,0.178125,1.45,0.62105263157895,7.3263157894737,NA,0.25637028893957,NA,0.093315980861244,0.070833333333333,2.9,NA,NA,NA,NA,3.4,20.470588235294,9.5,NA,1.3704974271012
