"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,99.3,0.9,0.653,0.1426,91.4,135.5,16.2,84.2,0.157,1.5063,0.6214,-2.19,0.34,7.1,0,0,-3,-2.55,5,0,452.1,20.18,6.31,99.28,8.09,0.275,-9.46,536.3,0.1446,NA,NA,-0.16,0.375,NA,0.6761,0.0827,22.4,521.1,0.0292,0.0283,-74.2,-1.3274,-7.8,-0.1395,5.7,-0.0455,9.32,6.91,NA,55.9,-0.1137,-0.8118,106.9,4.71,15.2,2261975,71.6,-106.5,71.6,0.95,5.03
"2",2010-12-31,98.8,0.5,0.8475,0.011803278688525,150.7,174.3,4.9,135.5,0.33145792563601,2.8526315789474,0.77739529546759,-0.3244,0.28023598820059,5.6,0,0,-74.1738,-74.1738,-68.5738,0,273.3,16.076470588235,5.0424354243542,NA,5.7536842105263,0.275,-73.1494,408.8,0.06310958118187,NA,NA,-0.2142,0.4185667752443,NA,0.716,0.061962134251291,17,407,0.0044226044226044,0.0044031311154599,-65.6,-1.3810526315789,-2.3,-0.048421052631579,2.7007299270073,-1.5615545263158,8.5684210526316,-1.0244,NA,47.5,-4.3631670588235,-0.43530192435302,94.1,4.45,1.8,2157309,54.2,-67.7,54.2,0.95,2.6806557377049
"3",2009-12-31,62,-0.03,1.0755,0.046407185628742,63.7,86.6,8.7,44.1,0.074455512409252,1.1635883905013,0.50923787528868,0.4528,0.22082752208275,5.2,0,0,-69.1941,-69.1941,-63.9941,0,548.2,24.149779735683,12.319101123595,NA,14.46437994723,0.3,-73.1469,592.3,0.13625866050808,NA,NA,-0.2108,0.37738853503185,NA,0.6036,0.12933025404157,22.7,589.2,0.0052613713509844,0.005233834205639,-71,-1.8733509234829,2.6,0.068601583113457,9.2496075353218,-1.8257031662269,15.54617414248,3.9528,NA,37.9,-3.0482004405286,-1.1145996860283,92.4,8.03,3.1,1940985,44.5,-75.3,44.5,0.95,8.8667664670659
"4",2008-12-31,60.9,-0.03,1.0801,0.010221465076661,116.2,140.5,4.9,98.3,0.3656994047619,2.0870488322718,0.69964412811388,-0.9225,0.14072771039719,2.9,0,0,-42.5959,-42.5959,-39.6959,0,170.5,8.9267015706806,4.3494897959184,NA,3.619957537155,NA,-43.6734,268.8,0.065480427046263,NA,NA,-0.1526,0.82130343377715,NA,0.4387,0.01779359430605,19.1,267.6,0.0044843049327354,0.0044642857142857,-42.5,-0.90233545647558,5.5,0.11677282377919,2.302925989673,-0.90437112526539,5.6815286624204,1.0775,NA,47.1,-2.2301507853403,-0.3657487091222,70.2,4.14,1.2,6349658,39.2,-66.4,39.2,0.95,2.2896081771721
"5",2007-12-31,44.9,0.67,0.9589,0.021621621621622,54.3,76,3.5,50.8,0.042333333333333,1.2390243902439,0.66842105263158,-0.2861,0.19188653665659,1.9,0,0,-22.5353,-22.5353,-20.6353,0,1149.2,244.51063829787,24.9284164859,NA,28.029268292683,NA,-23.8492,1200,0.078947368421053,NA,NA,0.0721,0.7070884592853,NA,NA,0.0013157894736842,4.7,1198.8,0.001001001001001,0.001,-20.9,-0.50975609756098,2.3,0.05609756097561,22.077348066298,-0.54964146341463,29.239024390244,1.3139,NA,41,-4.7947446808511,-0.38489871086556,45.5,19.84,1.2,1310453,46.1,-35.5,46.1,1.15,21.621621621622
"6",2006-12-31,33.4,5.1,0.8652,0,25.5,39.9,1.2,26.3,0.06822308690013,0.92280701754386,0.65914786967419,0.8393,0.25889967637541,3.6,0,0,-19.3092,-19.3092,-15.7092,0,359.2,NA,9.5278514588859,NA,12.60350877193,NA,-17.7485,385.5,0.11278195488722,NA,NA,-0.4115,NA,NA,NA,0.010025062656642,-0.8,385.5,0,0,-17.6,-0.61754385964912,-2.6,-0.091228070175439,15.117647058824,-0.67751578947368,13.526315789474,-1.5607,NA,28.5,NA,-0.69019607843137,34.4,9.23,0,318996,37.7,-19.2,37.7,1.4,NA
"7",2005-12-31,13.4,5.52,0.8605,0.033057851239669,11.7,24.4,2.2,8.6,0.055771725032425,0.44329896907216,0.35245901639344,0.7794,0.22312608948286,5,0,0,-24.8889,-24.8889,-19.8889,0,145.6,41.6,5.8709677419355,NA,7.5051546391753,NA,-22.8683,154.2,0.22950819672131,NA,NA,-0.1311,NA,NA,NA,0.094262295081967,3.5,153.8,0.0026007802340702,0.0025940337224384,-26.5,-1.3659793814433,-2.8,-0.14432989690722,13.145299145299,-1.2829319587629,7.9278350515464,-2.0206,NA,19.4,-7.1111085714286,-2.2649572649573,34,4.68,0.4,141825,24.8,-19.3,24.8,1.2,12.743801652893
"8",2004-12-31,40.4,3.16,0.7278,0.17710583153348,NA,58.5,2.9,28,0.76086956521739,1.3207547169811,0.47863247863248,-0.225,0.86837043143721,8.8,0,0,-33.8342,-33.8342,-25.0342,0,8.8,0.48087431693989,0.41509433962264,NA,0.39285714285714,NA,-27.7092,36.8,0.11452991452991,-0.63,NA,-0.2736,0.50413223140496,NA,0.0984,0.08034188034188,18.3,28.6,0.28671328671329,0.22282608695652,-34.6,-1.5446428571429,4.2,0.1875,0.750656167979,-1.5104571428571,1.2767857142857,-6.125,0.1810296315212,22.4,-1.8488655737705,-0.90813648293963,41.9,0.68,8.2,201864,21.2,-26.1,21.2,1.4,0.79481641468682
"9",2003-12-31,39.6,3.12,0.6765,0.14081145584725,NA,104.9,2.4,57.7,0.898753894081,2.3744855967078,NA,-0.7525,0.92239467849224,10.8,0,0,-28.0457,-28.0457,-17.2457,0,6.5,0.24904214559387,0.26748971193416,NA,0.21452145214522,NA,-18.8932,64.2,0.093422306959009,NA,NA,-0.0247,0.71102661596958,NA,0.1709,0.10772163965682,26.1,52.4,0.22519083969466,0.18380062305296,-36.7,-1.2112211221122,3.8,0.12541254125412,0.72777777777778,-0.9256,1.7293729372937,-9.1525,0.32634171278873,30.3,-1.0745471264368,-0.50972222222222,48.5,1.36,11.8,543546,24.3,-36.4,24.3,1.2,0.76610978520286
"10",2002-12-31,39.4,3.75,0.8409,0.12459546925566,NA,152.6,5.5,89.6,0.63908701854494,2.8996763754045,NA,-21.5,0.9818,12.6,0,0,-55.8878,-55.8878,-43.2878,0,50.6,NA,NA,NA,1.6375404530744,NA,-48.7878,140.2,0.10419397116645,-0.96,NA,-0.0474,0.47017543859649,NA,0.2736,0.0956749672346,34,124.8,0.12339743589744,0.10984308131241,-55.6,-1.7993527508091,1.4,0.045307443365696,1.1534195933457,-1.8086669902913,4.0388349514563,-7.1,NA,30.9,-1.6437591176471,-0.51386321626617,32.1,3.15,15.4,235302,30,-39.6,30,1.2,1.4882352941176
