"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,12.8,0.54,0.2696,0.1189,359.3,696.4,7.6,0.5,3e-04,2e-04,7e-04,0,0.5,26.06,9.1,0,0,86,53.33,95,0.3777,0.3772,1442.1,3.54,0.69,16.83,15.21,0.69,NA,54.83,1442.6,0.0514,4.76,23.11,0.255,0.195,0.3002,0.9399,0.1443,407.3,1394.1,0.0348,0.0336,53.5,0.0258,273.3,0.1317,0,3.88,0.0413,0.67,-1.5,-0.0281,2075.1,0.1309,0.1489,172.1,110,48.5,32292,2075.1,53.5,26.06,2075.1,0.8,3.54
"2",2011-09-30,12.6,0.4,0.3292,0.014141414141414,292.8,504.2,12.5,0.6,0.0007074637424832,0.00038331310291957,0.0011900039666799,0,0.60753341433779,19.80985915493,6.3,0,0,68.6,42.5183,74.9,0.3802,0.37991266375546,847.5,2.8593117408907,0.54142975787389,12.354227405248,11.315086782377,0.54142975787389,NA,36.3183,848.1,0.049980166600555,3.84,17.302083333333,0.23,0.2571,0.20167787469206,0.9328,0.14656882189607,296.4,843.9,0.0049768929968006,0.0049522461973824,42.6,0.027215230307289,198.8,0.12700440810068,0,2.8821721311475,0.043825464767137,0.53912987925637,6.2,0.14581963334359,1565.3,0.14344898785425,0.14549180327869,130.7,66.44,4.2,78412,1565.3,42.5,19.856470588235,1565.3,0.8,2.8555555555556
"3",2010-09-30,12.5,0.63,0.3685,0.056574923547401,246.8,467.9,4.4,0.9,0.0011036174126303,0.00073212397299276,0.0019234879247702,0,0.5427408412483,23.973053892216,5,0,0,54.2,33.3623,59.2,0.38446,0.38489871086556,814.6,3.1246643651707,0.66265354266656,15.029520295203,13.760135135135,0.66265354266656,NA,33.9623,815.5,0.032485573840564,3.07,20.57003257329,0.255,0.2786,0.29161353604708,0.9509,0.15815345159222,260.7,800.7,0.01848382665168,0.01814837522992,33.4,0.027169934108842,176.3,0.14341495159847,0,3.2443273905997,0.044090132595786,0.65134629463923,-0.6,-0.017984388831119,1229.3,0.12797187571922,0.13533225283631,105.8,63.15,14.8,60792,1229.3,33.4,23.973053892216,1229.3,0.8,3.1173547400612
"4",2009-09-30,12.2,0.85,0.3658,0.00048076923076923,207.9,337.9,2.7,14.3,0.031359649122807,0.015191756082014,0.042320213080793,0,0.34991798797157,18.309236947791,3.4,0,0,40.4,24.5458,43.8,0.39243,NA,441.7,2.2803304078472,0.46924466163816,10.933168316832,10.084474885845,0.46924466163816,NA,25.2458,456,0.027522935779817,2.18,17.293577981651,NA,0.1232,0.3489932885906,0.9081,0.14146197099734,193.7,455.9,0.00021934634788331,0.00021929824561404,24.9,0.026452778072878,135.5,0.14394985658132,0,2.1928811928812,0.042919366833103,0.48433018166366,-0.7,-0.028518084621142,941.3,0.12672084667011,0.11976911976912,90.8,37.7,0.1,68633,941.3,24.8,18.383064516129,941.3,0.8,2.1923076923077
"5",2008-09-30,12.1,1.12,0.324,0.0011037527593819,181,314.8,3.2,3.4,0.011925640126271,0.0040894876112581,0.010800508259212,0,0.34567901234568,14.316582914573,3.1,0,0,32.3,19.5496,35.4,0.39475,NA,281.7,1.5843644544432,0.33882607649747,8.7213622291022,7.9576271186441,0.33882607649747,NA,19.4496,285.1,0.030813214739517,1.8,14.977777777778,NA,0.1636,0.38225831162862,0.9957,0.15470139771283,177.8,284.9,0.0007020007020007,0.00070150824272185,19.9,0.023935530430599,118.1,0.14204955496752,0,1.5740331491713,0.038850132306952,0.34267500601395,0.1,0.005115200714082,831.4,0.10995261529809,0.10994475138121,84.1,26.96,0.2,165279,831.4,19.9,14.316582914573,831.4,0.7,1.5733995584989
"6",2007-09-30,12,NA,NA,0.0018714909544604,160,267.2,3.9,8.6,0.017801697371145,0.012110970285875,0.032185628742515,0,NA,28.568047337278,2.4,0,0,26.7,16.632,29.1,0.37708,NA,474.5,3.1278839815425,0.66821574426137,17.771535580524,16.305841924399,0.66821574426137,NA,15.132,483.1,0.034431137724551,1.63,24.104294478528,NA,0.1251,0.19571045576408,0.9595,0.14221556886227,151.7,482.8,0.00062137531068766,0.00062098944317947,16.9,0.023799464864104,102.8,0.14476834248697,0,3.0175,0.037600337980566,0.6799042388396,1.5,0.090187785399247,710.1,0.10963720500989,0.105625,73.2,39.29,0.3,64156,710.1,16.9,28.568047337278,710.1,0.7,3.0137242669994
"7",2006-09-30,11.5,NA,NA,0.07823613086771,129.6,230.6,3.7,0,0,0,0,0,NA,26.905797101449,2,0,0,23.7,14.7497,25.7,0.37765,NA,382.3,2.7190611664296,0.63064995051138,16.130801687764,14.875486381323,0.63064995051138,NA,13.0497,382.3,0.030789245446661,1.35,23.925925925926,NA,0.1177,0.2375,0.6826,0.1470078057242,140.6,371.3,0.029625639644492,0.028773214752812,13.8,0.022764764104256,98.3,0.16215770372814,0,2.8649691358025,0.039096007918179,0.61250412405147,1.7,0.11525662056063,606.2,0.10490536984353,0.10648148148148,62.5,32.3,11,29006,606.2,13.8,26.905797101449,606.2,NA,2.7190611664296
"8",2005-09-30,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.1567,NA,0,NA,NA,NA,NA,0,0.14112027789839,0.4185,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.81,0,14571,NA,0,NA,0,0,NA
