"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,81.1,1.23,0.4771,0.1477,636.7,6844.5,0,116.9,0.1174,0.0171,NA,0.64,26.43,0,0,0,210,139.64,210,0.3347,0.334,878.9,1.39,4.19,4.19,0.0675,139.64,995.8,0,0.67,15.72,NA,0.2922,0.6881,0.0052,630.1,885.5,0.1246,0.1108,33.5,0,0,1.39,3.92,0,0,0.2216,0.0526,28,10.53,110.3,484589,48,18.45,NA,1.3,1.33
"2",2010-12-31,81.7,1.58,0.6172,0.066646001239926,602.2,6193.9,0,88,0.16073059360731,0.0142075267602,NA,0.50631885936487,NA,0,0,0,200.7,200.7,200.7,0,NA,459.5,0.82465900933238,2.2894867962133,2.2894867962133,0.07,200.7,547.5,0,NA,NA,NA,0.311093871218,0.6453,0.0063449522917709,557.2,504.5,0.085232903865213,0.078538812785388,-4.2,0,NA,0.83776154101627,NA,0,0,0.36019382627423,-0.006974427100631,41.3,6.23,43,445134,14.8,34.087837837838,NA,1.25,0.84857408555487
"3",2009-12-31,71.9,1.15,0.7102,0.20420091324201,435.7,5753.3,0,116.8,0.17108539622089,0.020301392244451,NA,0.45761757251479,NA,0,0,0,136.1,136.1,136.1,0,NA,565.9,1.3139075922916,4.1579720793534,4.1579720793534,0.0633,136.1,682.7,0,NA,NA,NA,0.44419475655431,0.6835,0.0074913527888342,430.7,570.9,0.19583114380802,0.1637615350813,-151.4,0,NA,1.31030525591,NA,0,0,0.31599721383794,-0.34748680284599,61.9,7.36,111.8,441233,-22.7,NA,NA,1.3,1.2469406392694
"4",2008-12-31,38.6,1.15,0.5743,0.30225711481845,355.5,5242.8,0,136.8,0.31333027943197,0.026092927443351,NA,0.36218004527251,NA,0,0,0,177.9,177.9,177.9,0,NA,299.8,0.80440032197478,1.6852164137156,1.6852164137156,0.0975,NA,436.6,0,NA,NA,NA,0.5580192165558,0.6274,0.019073777370871,372.7,282.6,0.5449398443029,0.3527256069629,-146.2,0,NA,0.79493670886076,NA,NA,NA,0.47732760933727,-0.4112517580872,69.1,3.78,154,433499,-234,NA,NA,1.3,0.85691854759568
"5",2007-12-31,30.2,0.66,0.4391,0.26152260344574,501.5,5016.1,0,104.7,0.19147768836869,0.020872789617432,NA,0.4190389432931,11.22188449848,0,0,0,153.6,104.3589,153.6,0.32058,NA,442.1,0.76967270194986,2.8782552083333,2.8782552083333,0.0683,NA,546.8,0,-3.79,NA,NA,0.59571300982435,0.2545,0.048284523833257,574.4,369.2,0.48104008667389,0.32479882955377,32.9,0,0,0.73619142572283,1.6430284770835,NA,NA,0.18168334261838,0.065603190428714,98.1,10.09,177.6,185635,-85.7,NA,NA,1.15,0.8051833308791
"6",2006-12-31,27.1,NA,NA,0.28126649076517,408.6,4169.6,0,143.7,0.19695723684211,0.03446373752878,NA,NA,14.278195488722,0,0,0,126.1,81.82,126.1,0.35115,NA,585.9,1.3792372881356,4.6463124504362,4.6463124504362,0.103,NA,729.6,0,1.34,12.268656716418,NA,0.30770632173438,0.2794,0.035542977743668,424.8,569.7,0.28067403896788,0.21916118421053,39.9,0,0,1.3942731277533,1.3862325717206,NA,NA,0.19260825094162,0.097650513950073,65.6,16.44,159.9,250700,39.4,14.459390862944,NA,0.95,1.2833773087071
"7",2005-12-31,22.8,NA,NA,0.29948364888124,244.2,2857.3,0,111.2,0.10472782068186,0.038917859517726,NA,NA,34.071174377224,0,0,0,84.7,54.7255,84.7,0.35389,NA,950.6,4.0042122999157,11.223140495868,11.223140495868,0.205,NA,1061.8,0,1.49,23.335570469799,NA,0.15766099185788,0.2098,0.0018198999055052,237.4,957.4,0.10904533110508,0.098323601431531,28.1,0,0,3.9205569205569,1.6620085062061,NA,NA,0.23052029064869,0.11506961506961,25.5,34.77,104.4,29700,39.3,24.361323155216,NA,NA,3.0458978772232
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.12721417069243,0.0997,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,29.87,0,28100,0,NA,0,0,NA
