"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,36.2,1.94,0.4048,0.0597,245.9,306.8,3.5,121.9,0.2976,0.8676,0.3973,5.09,0.8,14.28,4.7,0,0,-4,-2.94,1,0.264,0.264,287.7,2.06,1.7,411,2.05,0.2125,-6.84,409.6,0.0196,0.03,381,0.17,0.2101,NA,0.7703,0.1206,139.6,394,0.0396,0.0381,27.6,0.1964,25.1,0.1786,0,1.6,0.67,-0.0285,2.8,3.89,NA,140.5,-0.0211,0.1122,57.5,11.43,15.6,125001,169,26.2,15.04,169,1.3,1.57
"2",2010-12-31,36.9,1.75,0.5639,0.082410824108241,223.8,281,4.2,92.4,0.28713486637663,0.79861711322385,0.3288256227758,1.7523,0.59851037417982,6.5873362445415,3.9,0,0,-10.5825,-10.5401,-6.6825,0.00401,0.27760252365931,229.4,1.5141914191419,1.6683636363636,NA,1.9827139152982,0.25,-12.5924,321.8,0.02135231316726,0.16,48.25,0.2606,0.33517495395948,NA,0.6846,0.12135231316726,151.5,301.7,0.066622472654955,0.062461155997514,45.8,0.39585133967156,9.3,0.08038029386344,0,1.3480786416443,0.26349344978166,-0.091464995678479,2.6076058772688,2.0523,NA,115.7,-0.069571380693069,0.20464700625558,52.8,7.72,20.1,143809,137.5,10,30.17,137.5,1.35,1.3193931939319
"3",2009-12-31,36.3,1.93,0.6314,0.0035498757543486,280.7,330.1,3,55.5,0.10764158262219,0.61461794019934,0.1681308694335,3.1977,0.55432372505543,33.2,1.7,0,0,-10.2153,-10.2153,-8.5153,0,0,460.1,2.0340406719717,4.2680890538033,NA,5.0952380952381,0.2,-14.713,515.6,0.012723417146319,1.12,12.723214285714,0.2822,0.39970573810692,NA,0.8072,0.11057255377158,226.2,514.6,0.001943256898562,0.0019394879751745,15.5,0.17165005537099,16.5,0.18272425249169,0,1.8332739579622,1.66,-0.11312613510521,5.6987818383167,4.4977,NA,90.3,-0.045160433244916,0.055219095119345,43.6,14.25,1,153523,107.8,77.6,6.6314432989691,107.8,1.4,1.8303159389421
"4",2008-12-31,36.7,1.73,0.5786,0.016686531585221,247.5,285.6,1.6,89.3,0.35212933753943,1.2542134831461,0.31267507002801,-1.2569,0.38714137573453,NA,1.9,0,0,-21.6438,-21.0535,-19.7438,0.02727,NA,164.3,1.0116995073892,1.8906789413119,NA,2.3075842696629,0.3,-19.4967,253.6,0.0063025210084034,NA,NA,0.4153,0.45240101095198,NA,0.8041,0.096638655462185,162.4,249.4,0.016840417000802,0.016561514195584,-22.9,-0.32162921348315,-5.7,-0.080056179775281,NA,1.0076767676768,NA,-0.30398539325843,3.502808988764,-1.5569,NA,71.2,-0.12963999177832,-0.092525252525252,46.4,6.65,4.2,175490,86.9,-42.5,NA,86.9,1.4,1.0075486690505
"5",2007-12-31,38.7,1.93,0.3937,0.0026186579378069,304.7,332.4,1.2,82,0.42311661506708,1.5500945179584,0.24669073405535,0.5849,0.60960121920244,NA,1.5,0,0,-25.5325,-25.5325,-24.0325,0,NA,111.8,0.50022371364653,1.7253086419753,NA,2.1134215500945,NA,-25.8173,193.8,0.0051143200962696,-1.02,NA,-0.184,0.60875160875161,NA,0.8654,0.051744885679904,223.5,193,0.0041450777202073,0.0041279669762642,-31.6,-0.59735349716446,-2.6,-0.049149338374291,NA,0.63340991138825,NA,-0.48265538752363,3.648393194707,0.2849,NA,52.9,-0.1142392393736,-0.10370856580243,38.8,5.45,0.8,137789,64.8,0.4,482.5,64.8,1.5,0.63436988543371
"6",2006-12-31,38.6,2.24,0.3745,0.085758039816233,298.5,354.4,2.3,120.8,0.25213942809434,1.8670788253478,0.34085778781038,-1.9671,0.79038718291055,61.794520547945,3.4,0,0,-30.2311,-19.1902,-26.8311,0.36521739130435,NA,358.3,1.7418570734079,6.421146953405,NA,5.5378670788254,NA,-16.1231,479.1,0.005079006772009,-0.92,NA,0.3044,0.1738947368421,NA,0.8571,0.048814898419865,205.7,451.1,0.062070494347151,0.058442913796702,7.3,0.11282843894899,-14.3,-0.2210200927357,0,1.5112227805695,NA,-0.46725023183926,6.9721792890263,-3.0671,NA,64.7,-0.093292028069582,0.024455611390285,50.9,10.74,28,173286,55.8,-14.1,NA,55.8,1.85,1.4673813169985
"7",2005-12-31,39.3,3.09,0.5276,0.14199598124581,256.2,346.5,1,147.7,0.33243304073824,2.9189723320158,0.42626262626263,1.6206,0.48521607278241,5.323178807947,3.8,0,0,-34.3675,-27.8693,-30.5675,0.18908,NA,296.6,1.9655400927767,4.8943894389439,NA,5.8616600790514,NA,-26.6898,444.3,0.0054834054834055,NA,NA,-0.0575,0.1959638874137,NA,0.6664,0.068686868686869,150.9,401.9,0.10549888031849,0.095431015079901,75.5,1.4920948616601,-8.2,-0.16205533596838,0,1.5686963309914,NA,-0.67919881422925,7.9426877470356,-1.1794,NA,50.6,-0.18468694939165,0.29469164715066,54.2,10.26,42.4,257195,60.6,-16.9,NA,60.6,1.6,1.4879437374414
"8",2004-12-31,38.4,5.68,1.1642,0.26654820079964,NA,277.6,1.1,89.5,0.23677248677249,1.6243194192377,0.32240634005764,-0.6492,0.9757773578423,NA,4,0,0,-22.6544,-22.6544,-18.6544,0,NA,288.5,2.127581120944,5.2359346642468,NA,5.5057251908397,NA,-19.1052,378,0.0079250720461095,NA,NA,-0.5742,0.27494908350306,NA,0.5141,0.17975504322767,135.6,318,0.18867924528302,0.15873015873016,-138.3,-2.6393129770992,-12.6,-0.24045801526718,NA,1.9261053906723,NA,-0.43233587786259,6.0687022900763,-3.5492,0.15666875490948,52.4,-0.16706784660767,-0.83767413688673,44.4,8.22,60,449269,55.1,-11.7,NA,55.1,2.15,1.6792536650378
"9",2003-12-31,21.8,5.03,1.1886,NA,NA,231.2,0.6,77.6,0.14722064124455,NA,NA,22.7,0.84637388524314,NA,13.2,0,0,-27.083,-27.083,-13.883,0,NA,449.5,5.357568533969,NA,NA,6.4214285714286,NA,-37.183,527.1,0.01038062283737,NA,NA,-0.5762,0.50617283950617,NA,0.3268,0.22750865051903,83.9,346.3,0.52209067282703,0.3430089167141,-124.7,-1.7814285714286,-22.7,-0.32428571428571,NA,NA,NA,-0.3869,4.9471428571429,10.1,-0.37292766680205,70,-0.32280095351609,NA,61.5,8.97,180.8,312900,NA,0,NA,0,2.15,NA
"10",2002-12-31,286.7,5.43,1.5804,NA,NA,366.2,1,126,0.30172413793103,1.1612903225806,NA,-28.2,0.7563,NA,21.9,0,0,-88.6817,-88.6817,-66.7817,0,NA,291.6,NA,NA,NA,2.6875576036866,NA,-67.7817,417.6,0.028126706717641,NA,NA,-0.1203,0.57377049180328,NA,0.0459,0.16903331512834,125.1,114.9,2.6344647519582,0.72485632183908,-93.3,-0.85990783410138,-39.2,-0.36129032258064,NA,NA,NA,-0.81734331797235,1.0589861751152,-20.9,NA,108.5,-0.70888689048761,NA,116,0.32,302.7,7588351,89.8,-114.5,NA,89.8,2.05,2.3309352517986
"11",2001-12-31,NA,5.08,1.5631,0.9039,NA,671.3,7.3,259.7,0.4264367816092,2.0994341147939,NA,-1.8213,0.5691,NA,180.2,0,0,-229.1228,-229.1228,-48.9228,0,NA,349.3,NA,NA,NA,2.823767178658,NA,-54.4015,609,0.037985997318636,NA,NA,1.8282,0.80392156862745,0,0.068,0.15507224787725,270.814,129.5,3.7027027027027,0.78735632183908,-1068.3,-8.6362166531932,-60.468,-0.48882780921585,NA,2.5392156862745,NA,-1.8522457558609,1.0468876313662,-174.7213,NA,NA,-0.84605227203911,-20.947058823529,280.6,0.42,479.5,1153200,123.7,-576.6,NA,127.4,1.95,2.248775912619
"12",1999-12-31,NA,NA,NA,0.28726287262873,NA,2050.4,7.1,1346.8,0.77966886650457,NA,NA,NA,NA,NA,12.7,0,0,-27.8,-27.8,-15.1,1.9141104294478,NA,380.6,NA,NA,NA,16.264957264957,NA,-6.1,1727.4,0.0019508388607101,NA,NA,1.614,0.96901408450704,0.04,0.1386,NA,645.8,1155,0.49558441558442,0.33136505731157,NA,-5.2222222222222,NA,-1.6452991452991,NA,0.81326573722011,NA,-1.1880341880342,49.358974358974,NA,NA,NA,-0.04304738309074,-0.086044219124067,36.2,NA,NA,NA,NA,-122.2,NA,23.4,NA,0.86690755796447
