"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.9,1.6,0.5224,0.0031,63.6,71.7,1.6,39.6,0.3768,0.9429,0.5523,0.43,0.77,23.84,1.5,0,0,4,3.8,5,0,0,65.5,2.71,1.47,17.24,12.36,1.56,3.27,105.1,0.1074,NA,NA,0.115,0.2269,NA,0.2218,0,24.2,104.9,0.0019,0.0019,4.4,0.1048,6.9,0.1643,0,1.65,0.0905,2.5,0.53,0.1387,42,0.157,0.0692,9.6,12.02,0.2,21648,44.6,4.7,22.32,44.6,0.85,1.65
"2",2010-12-31,8.8,1.16,0.5247,0.0051457975986278,58,68.4,3.8,45.4,0.64033850493653,1,0.66374269005848,-0.23,0.38117019249095,11.766666666667,1.1,0,0,6.1,5.5845,7.2,0.08451,0.090909090909091,25.5,1.9767441860465,0.5848623853211,4.1803278688525,3.5416666666667,0.56167400881057,3.1144,70.9,0.10964912280702,0.52,14.730769230769,0.4694,0.49094858797973,NA,0.1754,0,12.9,70.6,0.0042492917847025,0.0042313117066291,6,0.13215859030837,5.8,0.12775330396476,0,1.2172413793103,0.13436123348018,1.5550660792952,2.47,0.44230439935748,45.4,0.43290612403101,0.10344827586207,9.4,7.66,0.3,89806,43.6,5.4,13.074074074074,43.6,0.8,1.2161234991424
"3",2009-12-31,8.5,0.06,2.1336,0.0081135902636917,48.9,57.4,0.9,40.5,0.333607907743,1.3590604026846,0.70557491289199,1.8523,0.093738282714661,86.428571428571,1,0,0,0.8,0.7557,1.8,0.05537,0.066666666666667,80.9,9.1931818181818,1.9588377723971,101.125,44.944444444444,2.7147651006711,-0.9966,121.4,0.076655052264808,NA,NA,-0.2382,0.48826291079812,NA,0.093,0,8.8,121,0.0033057851239669,0.0032948929159802,1.4,0.046979865771812,4.8,0.16107382550336,0,2.4744376278119,0.026845637583893,4.0604026845638,1.7523,2.318829850429,29.8,0.085875454545455,0.028629856850716,8.6,15.68,0.4,84375,41.3,4.7,25.744680851064,41.3,0.8,2.4624746450304
"4",2008-12-31,42,0.91,0.4299,0.010309278350516,48,55.8,1.2,24,0.46966731898239,0.61855670103093,0.43010752688172,-0.8343,0.29774366131658,12.341463414634,1.2,0,0,3,2.86,4.2,0.04666,NA,27.1,1.1061224489796,0.88852459016393,9.0333333333333,6.4523809523809,0.69845360824742,3.6943,51.1,0.084229390681004,NA,NA,0.1294,0.41463414634146,NA,0.1139,0,24.5,50.6,0.0098814229249012,0.0097847358121331,4.1,0.10567010309278,3.9,0.10051546391753,0,1.0541666666667,0.077319587628866,1.3041237113402,-0.8343,-0.29170367707759,38.8,0.11673551020408,0.085416666666667,9.2,1.2,0.5,68469,30.5,1.9,26.631578947368,30.5,0.8,1.0536082474227
"5",2007-12-31,41.4,1.56,0.62,0.01605504587156,42.9,52,1.2,36.5,1.3321167883212,1.0798816568047,0.70192307692308,-0.5237,0.27096774193548,7.8529411764706,1.6,0,0,1.6,1.6,3.2,0,NA,-9.1,-1.2816901408451,-0.22921914357683,-5.6875,-2.84375,-0.26923076923077,2.5237,27.4,0.084615384615385,NA,NA,0.2356,0.55984555984556,NA,0.1718,0,7.1,26.7,0.02621722846442,0.025547445255475,3.4,0.10059171597633,3,0.088757396449704,0,0.62237762237762,0.047337278106509,0.78994082840237,-0.9237,-0.57729289940828,33.8,0.22535211267606,0.079254079254079,9,0.67,0.7,114000,39.7,4.2,6.3571428571429,39.7,1.05,0.62844036697248
"6",2006-12-31,40.5,2.3,0.6593,0.018134715025907,37.9,44.7,1,31.2,0.37365269461078,1.1641791044776,0.69798657718121,-0.6772,0.29121795844077,118.28571428571,1.6,0,0,-1,-1,0.6,0,NA,52.3,7.0675675675676,1.6191950464396,NA,87.166666666667,1.9514925373134,0.2772,83.5,0.096196868008948,0.09,20.887777777778,0.2516,0.21802679658953,NA,0.1602,0,7.4,82.8,0.0084541062801932,0.0083832335329341,0.7,0.026119402985075,3.3,0.12313432835821,0,2.1846965699208,-0.037313432835821,3.089552238806,-1.2772,NA,26.8,-0.13513513513514,0.018469656992084,8.4,1.8799,0.7,82656,32.3,3.1,26.709677419355,32.3,1.2,2.1632124352332
"7",2005-12-31,39.7,3.88,0.714,0.016260162601626,36.3,42,0.7,29.4,0.36073619631902,1.4,0.7,-0.5486,0.20168067226891,NA,1.6,0,0,-4.0045,-4.0045,-2.4045,0,NA,52.1,6.9466666666667,2.1178861788618,NA,NA,2.4809523809524,-2.5559,81.5,0.10952380952381,NA,NA,0.4147,0.43236074270557,NA,0.0658,0,7.5,80.9,0.0074165636588381,0.007361963190184,-2.6,-0.12380952380952,3.2,0.15238095238095,NA,2.2286501377411,-0.19069047619048,3.8523809523809,-1.4486,NA,21,-0.53393333333333,-0.071625344352617,8.6,2.0399,0.6,93555,24.6,-0.5,NA,24.6,0.9,2.2086720867209
"8",2004-12-31,39,3.07,0.777,0.01025641025641,NA,44.2,0.9,31.5,0.69383259911894,1.5594059405941,0.71266968325792,0.9205,0.79021879021879,NA,1.7,0,0,-9.6322,-9.6322,-7.9322,0,NA,13.9,1.8533333333333,0.68811881188119,NA,NA,0.95205479452055,-9.7527,45.4,0.12669683257919,NA,NA,0.1888,0.36964980544747,NA,0.0565,0,7.5,45,0.0088888888888889,0.0088105726872247,-9,-0.61643835616438,2.4,0.16438356164384,NA,1.1658031088083,-0.65973835616438,3.0821917808219,0.1205,-0.012515125880692,14.6,-1.2842906666667,-0.23316062176166,11,1.14,0.4,49972,20.2,-3.3,NA,20.2,0.85,1.1641025641026
"9",2003-12-31,36.5,2.88,0.7621,0,NA,47.1,0.3,35.9,0.63204225352113,2.6791044776119,NA,0.2974,0.75580632462931,NA,1.1,0,0,-8.1144,-8.1144,-7.0144,0,NA,20.9,3.265625,1.5597014925373,NA,NA,1.8173913043478,-7.6118,56.8,0.095541401273885,NA,NA,-0.1485,0.56976744186047,NA,0.1092,0,6.4,56.8,0,0,-8.5,-0.73913043478261,1.8,0.15652173913043,NA,1.3427895981088,-0.7056,4.9391304347826,-0.5026,0.061940340093189,11.5,-1.267875,-0.20094562647754,11,1.47,0,6759,13.4,-9.6,NA,13.4,0.85,1.3427895981088
"10",2002-12-31,35.6,3.91,1.0658,0,NA,53.7,0.8,43,0.70607553366174,3.2824427480916,NA,-5.3,0.8081,NA,1.7,0,0,-17.7226,-17.7226,-16.0226,0,NA,17.9,NA,NA,NA,NA,1.3664122137405,-16.8226,60.9,0.098696461824953,NA,NA,-0.3602,0.74613003095975,NA,0.0838,0,6,60.9,0,0,-18.3,-1.3969465648855,1.1,0.083969465648855,NA,1.2428571428571,-1.3528709923664,4.6488549618321,-0.9,NA,13.1,-2.9537683333333,-0.3734693877551,14.7,1.67,0,236441,10.8,-7.3,NA,10.8,0.7,2.9833333333333
