"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,0,1.4,0.2584,NA,NA,NA,0,0,NA,NA,NA,0.8,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.1474,0.01,0.9225,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,13.87,0,1303712,904.8,-97.4,NA,904.8,1.5,NA
"2",2008-12-31,0,2.12,0.6798,NA,NA,NA,0,0,NA,NA,NA,0.36481318034716,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0.18,67.611111111111,NA,0.5421822272216,0.01,0.8087,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.17,0,4665283,994.3,-253.2,NA,994.3,1.55,NA
"3",2007-12-31,0,1.96,0.3994,NA,0,0,0,0,NA,NA,NA,0.56084126189284,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0.33,33.212121212121,NA,NA,0.01,0.7655,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.96,0,4011958,901.3,182.7,0,901.3,1.4,NA
"4",2006-12-31,0,1.42,0.2116,NA,0,0,0,0,NA,NA,NA,0.64272211720227,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0.74,31.608108108108,NA,0.33259942204486,0.011,0.7528,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.39,0,2021605,939,184.8,0,939,0.85,NA
"5",2005-12-31,0,1.14,0.2054,NA,0,0,0,0,NA,NA,NA,0.62317429406037,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1.16,35.258620689655,NA,0.1451969322761,0.0509,0.7023,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,0,472100,853,NA,NA,853,0.8,NA
"6",2004-12-31,135,0.41,0.193,NA,NA,0,0,0,0,0,0,0.42487046632124,NA,0,0.18198144268183,820.8,NA,NA,NA,0,4607.5,5.3179824561404,NA,NA,NA,NA,4607.5,NA,1.16,28.801724137931,0,0.090259437626223,0.048,0.6181,0,4607.5,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,33.41,0,837900,866.4,0,NA,866.4,0.75,NA
"7",2003-12-31,135,0.35,0.2009,NA,NA,0,0,0,0,0,0,0.34843205574913,NA,0,0.055160142348754,251.1,NA,NA,NA,0,4626.5,5.7889139139139,NA,NA,NA,NA,4626.5,NA,1.26,26.761904761905,0,0.13439420198519,0.06,0.6139,0,4626.5,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,33.72,0,276400,799.2,165.7,27.920941460471,799.2,0.7,NA
"8",2002-12-31,135,0.38,0.1777,NA,NA,0,0,0,0,NA,0,0.4678,NA,0,0.05974025974026,248.4,0,0,0,0,4158,NA,NA,NA,NA,0,4158,NA,1.07,28.831775700935,0,0.13408319942867,0.064,0.5594,0,4158,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,30.85,0,330634,765.4,NA,NA,765.4,0.7,NA
"9",2001-12-31,NA,0.35,0.1889,0,NA,0,0,0,NA,NA,0,0.328,NA,0,0.0728,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1.55,16.012903225807,NA,0.14995034756703,0.062,0.5302,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.82,0,190100,0,0,NA,797.9,0.7,NA
"10",2000-12-31,NA,0.7,0.1896,NA,NA,0,0,0,NA,NA,NA,0.6,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,13.638888888889,NA,0.095666736445468,0.066,0.5596,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,24.55,0,NA,NA,222.8,0,813.9,NA,NA
