"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,86.1,0.9,0.5574,NA,-46.1,214,3.4,162.2,0.1613,1.5965,0.7579,3.62,0.4,0.5,0,0,1,0.5,1,0,843.5,43.04,6.5,1687,843.5,8.3,0.21,-6.02,1005.7,0.0201,-0.28,NA,0.2,0.2919,0.032,0.8744,0.0439,19.6,777.8,0.293,0.2266,-36.3,-0.3573,13.1,0.1289,NA,0.0049,7.66,6.52,13.0463,101.6,0.0255,NA,100.6,9.1,227.9,830382,129.7,-15.1,NA,129.7,0.9,5.53
"2",2010-12-31,67,0.59,0.6337,NA,-155.3,228.9,0.9,184.6,0.20181480266754,2.0648769574944,0.80646570554827,0.5593,0.37478302035664,0.1,0,0,9.6,9.6,9.7,0,730.1,71.578431372549,7.3450704225352,76.052083333333,75.268041237113,8.1666666666667,0.125,8.2407,914.7,0.0048055919615553,NA,NA,-0.232,0.42384105960265,0.033,0.9363,0.041065967671472,10.2,564.6,0.62008501594049,0.38274844211217,-31.4,-0.35123042505593,5,0.05592841163311,NA,0.10738255033557,6.3154362416107,1.3593,0.14159209545116,89.4,0.94117647058823,NA,79.8,6.59,350.1,1057306,99.4,-33.9,NA,99.4,0.95,4.6955852156057
"3",2009-12-31,48.4,0.57,0.6263,NA,-222.8,159.6,0.2,116.7,0.13718114493946,1.3876337693222,0.7312030075188,0.1177,0.31933578157433,0.2,0,0,27.7,27.7,27.9,0,734,NA,8.3981693363844,26.498194945848,26.308243727599,8.7277051129608,0.11,27.5823,850.7,0.0025062656641604,NA,NA,-0.1937,0.4547053649956,0.03,0.8695,0.058897243107769,-0.80000000000003,512,0.6615234375,0.39814270600682,-22.7,-0.26991676575505,3,0.035671819262782,NA,0.32936979785969,6.0879904875149,0.1177,0.0042497113201149,84.1,NA,NA,55.4,7.9,338.7,360309,87.4,-31.9,NA,87.4,0.8,NA
"4",2008-12-31,47.5,0.4,0.5832,NA,-215.1,203.6,0.1,134.4,0.25196850393701,1.3137829912023,0.66011787819253,0.3665,0.21947873799726,0.1,0,0,48.2,48.2,48.3,0,399,92.790697674418,4.6395348837209,8.2780082987552,8.2608695652174,3.900293255132,0.12,47.8335,533.4,0.0014734774066798,NA,NA,0.1698,0.42677824267782,0.0229,0.7942,0.046168958742633,4.3,179.6,1.9699331848552,0.66329208848894,-31.7,-0.30987292277615,-2.3,-0.022482893450636,NA,0.47116324535679,1.7556207233627,0.3665,0.0076031361669161,102.3,11.209302325581,NA,41.3,3.4,353.8,281636,86,-24.4,NA,86,0.8,3.8457101658255
"5",2007-12-31,46.8,0.99,0.6322,NA,-188,231.8,0.2,157.9,0.23598864145868,1.8317865429234,0.68119068162209,7.9632,0.25308446694084,4.1,0,0,-5.2637,-5.2637,-1.1637,0,511.2,32.98064516129,4.5520926090828,NA,NA,5.9303944315545,0.21,-9.3269,669.1,0.0012942191544435,-0.51,NA,0.7555,0.44399677679291,0.031,0.8488,0.047886108714409,15.5,307.7,1.1745206369841,0.54012853086235,-20.9,-0.24245939675174,-26.3,-0.30510440835267,NA,-0.061063805104408,3.5696055684455,4.0632,NA,86.2,-0.3395935483871,NA,79.1,6.21,361.4,317026,112.3,19.4,15.860824742268,112.3,1,3.858708189158
"6",2006-12-31,46.2,3.03,0.5385,NA,-193.2,224.7,1.3,168.1,0.29937666963491,3.4659793814433,0.74810858923009,2.2274,0.46053853296193,6.5,0,0,-92.9464,-92.9464,-86.4464,0,393.4,16.956896551724,5.1627296587927,NA,NA,8.1113402061856,0.365,-89.9738,561.5,0.088117489986649,-0.16,NA,2.7601,0.32362122788762,0.0409,0.7893,0.041388518024032,23.2,177,2.1723163841808,0.68477292965272,-112.7,-2.3237113402062,-3.9,-0.080412371134021,NA,-1.9164206185567,3.6494845360825,-2.9726,NA,48.5,-4.0063103448276,NA,130.6,3.59,384.5,363926,76.2,-71,NA,76.2,1.55,2.9351803450078
"7",2005-12-31,46,2.74,0.4932,NA,-97.5,331.1,13.4,259,0.45184926727146,20.234375,0.78224101479915,29.625,0.42173560421736,5.9,0,0,-154.0882,-154.0882,-148.1882,0,314.2,29.641509433962,10.909722222222,NA,NA,24.546875,0.52,-191.2132,573.2,0.099667774086379,-1.46,NA,-0.2404,0.63766632548618,0.042,0.7224,0.028088190878889,10.6,206.1,1.7811741872877,0.64043963712491,-169.7,-13.2578125,-23.7,-1.8515625,NA,-12.0381375,16.1015625,37.125,NA,12.8,-14.536618867924,NA,48.6,4.53,367.1,689163,28.8,-143,NA,28.8,1.3,2.1261127596439
"8",2004-12-31,38.8,1.63,0.4134,NA,NA,397.5,17.5,329.7,0.36202920830131,86.763157894737,0.82943396226415,17.138,0.78858248669569,4.3,0,0,-164.5939,-164.5939,-160.2939,0,581,23.714285714286,152.89473684211,NA,NA,40.915492957747,0.8,-194.9319,910.7,0.061635220125786,-3.5,NA,0.3701,0.3482428115016,0.049,0.8259,0.022641509433962,24.5,543.7,0.67500459812396,0.40298671351707,-168.3,-11.852112676056,-23.4,-1.6478873239437,NA,-11.591116901408,38.288732394366,30.338,-0.18432053400421,14.2,-6.7181167346939,NA,34.4,11.84,367,334635,3.8,-168.3,NA,3.8,1.7,NA
"9",2003-12-31,37.1,1.13,0.5429,0.62992125984252,NA,327.5,1.8,303.9,0.33209485302153,19.993421052632,NA,-10.7606,0.41628292503223,3.5,0,0,-124.8638,-124.8638,-121.3638,0,611.2,679.11111111109,40.21052631579,NA,NA,61.737373737374,0.79,-112.4031,915.1,0.01618320610687,NA,NA,3.3876,0.39175061775328,0.05,0.95,0.030534351145038,0.9,723.1,0.26552344074125,0.20981313517648,-170.4,-17.212121212121,-20.1,-2.030303030303,6.4104609929078,-12.6125,73.040404040404,-12.4606,0.099793623534501,9.9,-138.7375,-1.5106382978723,20.3,18.3,192,139884,15.2,-170.4,NA,15.2,1.5,3.0022965879265
"10",2002-12-31,35.1,0,0,0,NA,253.5,0.9,234.5,0.20500043710114,106.59090909091,NA,102.4,0,2.8,0,0,-96.775,-96.775,-93.975,0,909.4,NA,NA,NA,NA,413.36363636364,0.645,-94.875,1143.9,0.016962524654832,-3.51,NA,0,0.37965260545906,0.061,0.8605,0.037475345167653,7.9,1143.9,0,0,-86.8,-39.454545454546,-5.9,-2.6818181818182,4.7190594059406,-43.988627272727,519.95454545455,-1.9,NA,2.2,-12.249997468354,-0.35808580858086,14.8,31,0,408703,1.5,-92.9,NA,1.5,1.4,115.11392405063
