"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,19.4,0.9,0.2592,0,350.6,1525.1,3.5,23.7,0.0436,0.0155,NA,0.8,15.26,0,0.0143,7.76,NA,NA,NA,0.2984,0.2992,519.7,1.59,0.1037,543.4,0.016,1.6,18.01,0.05,NA,0.1417,0.8602,0.0057,326.9,543.4,0,0,35.6,0,0.2037,1.55,1.47,3.5,NA,0.1015,442.2,28.82,0,13385,38.1,14.26,NA,0.85,1.55
"2",2010-12-31,19.4,0.69,0.2761,0.060679611650485,309.6,1488.6,2.5,27.1,0.052539744086855,0.018205024855569,NA,0.76964867801521,12.551898734177,0,0.0141,6.9908,NA,NA,NA,0.24222,0.24184261036468,488.7,1.6155371900826,0.0932,515.8,0.01645841730485,1.67,14.77245508982,0.025,NA,0.19447442262033,0.8571,0.0060459492140266,302.5,495.8,0.040338846308996,0.038774718883288,39.5,0,0.1769817721519,1.6014211886305,1.3467702504482,2.5,NA,0.12758397932817,354.5,24.67,20,14267,29,17.096551724138,NA,0.85,1.564927184466
"3",2009-12-31,19.3,0.72,0.3607,0.052392595179881,271.3,955.8,3.1,19.4,0.044669583237393,0.020297133291484,NA,0.5891322428611,9.0366379310345,0,0.0148,6.2056,NA,NA,NA,0.22745,0.2279534109817,414.9,1.5545147995504,0.0212,434.3,0.022703494454907,1.67,12.820359281437,0.045,NA,0.17767537122376,0.866,0,266.9,419.3,0.035773908895779,0.034538337554686,46.4,0,0.13374224137931,1.5455215628456,4.2625650618087,3.1,NA,0.17102838186509,275,21.41,15,13693,40.6,10.327586206897,NA,0.85,1.5169402724415
"4",2008-12-31,19.3,0.55,0.3706,0.06490696668109,216.1,990.8,2.4,77.2,0.21857304643262,0.077916834880904,NA,0.36697247706422,31.607476635514,0,0.016,5.4112,NA,NA,NA,0.5855,NA,276,1.7933723196881,0.0489,353.2,0.020589422688736,2.04,8.3137254901961,0.035,NA,0.25295644649553,0.855,0,153.9,338.2,0.044352454169131,0.04246885617214,10.7,0,0.50571962616822,1.5650161962055,6.4636966534794,NA,NA,0.049514113836187,298.1,16.96,15,23290,33.8,10.005917159763,NA,0.85,1.5283427087841
"5",2007-12-31,19.2,0.73,0.4182,0.067893123083662,212.8,898.6,2.1,64,0.17500683620454,0.071221900734476,NA,0.30607364897178,8.0321100917431,0,0.013158195316962,4.608,0,0,0,0.33295,NA,301.7,1.8362751065125,0.12,365.7,0.021700422880036,1.38,12.876811594203,NA,NA,0.41734650064405,0.8953,0,164.3,350.2,0.044260422615648,0.042384468143287,43.6,0,0.10568807339449,1.6456766917293,0.66934250764526,NA,0,0.20488721804511,272.1,17.77,15.5,19372,20.9,16.755980861244,NA,0.8,1.6018396846255
"6",2006-12-31,19.2,NA,NA,0.081880612783941,173.8,806.2,8.3,44.9,0.06794794188862,0.055693376333416,NA,NA,18.075630252101,0,0.0059507205950721,3.84,0,0,0,0.32863,NA,615.9,4.2652354570637,0.135,660.8,0.023071198213843,2.25,13.688888888889,NA,NA,0.29179755671902,0.9625,0,144.4,645.3,0.024019835735317,0.023456416464891,35.7,0,0.10756302521008,3.7128883774453,1.3389355742297,NA,0,0.2054085155351,241.9,30.8,15.5,51454,44,14.665909090909,NA,0.7,3.4907554146857
"7",2005-12-31,19.1,NA,NA,0.1,139.5,523,0.7,15.4,0.032434709351306,0.029445506692161,NA,NA,15.158415841584,0,0.0066536033093839,3.056,0,0,0,0.32915,NA,459.4,3.2908309455587,0.135,474.8,0.021797323135755,1.69,14.378698224852,NA,NA,0.25698324022346,0.7792,0,139.6,459.3,0.033747006313956,0.032645324347094,30.3,0,0.10085808580858,3.2924731182796,1.1228456178951,NA,0,0.21720430107527,211.1,24.3,15.5,48529,32.1,14.308411214953,NA,NA,3.0632258064516
"8",2004-12-31,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,363.1,NA,0.14,363.1,NA,1.49,12.798657718121,NA,0,0.21744022503516,0.769,NA,0,363.1,0,0,0,0,NA,NA,NA,0,NA,NA,0,19.07,0,13216,0,NA,0,0,NA
