"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,113.5,1.18,0.3066,0.3156,508.5,1535.8,6.5,1332.5,2.6163,5.663,0.8676,24.47,0.8,NA,13,0,0,-13,-13,0,0,-823.2,NA,-3.67,NA,NA,-3.5,0.1,-30.97,509.3,0.0241,NA,NA,-0.385,0.1595,0.5221,0.0168,-589.5,274.8,0.8533,0.4604,-84.4,-0.3587,-514.1,-2.1849,NA,0.54,NA,-0.0552,1.17,17.97,NA,235.3,NA,-0.166,0,2.45,234.5,206650,224.1,-70.9,224.1,1.15,NA
"2",2010-12-31,73.9,1.2,0.549,0.33259061200238,449.3,1247.2,5.9,995.9,1.9266782743277,4.259623609923,0.79850865939705,-13.4422,0.54644808743169,NA,9.3,0,0,-74.4203,-74.4203,-65.1203,0,-479,NA,-1.9337908760597,NA,NA,-2.0487596236099,0.1,-57.5781,516.9,0.029345734445157,NA,NA,0.8482,0.36784741144414,0.4428,0.03199166132136,-322.7,293,0.7641638225256,0.43315921841749,-45.4,-0.19418306244653,-226.1,-0.96706586826347,NA,0.65212552860004,NA,-0.31830765611634,1.2532078699743,-16.8422,NA,233.8,NA,-0.10104607166704,0,2.59,223.9,430605,247.7,-24.8,247.7,1.2,NA
"3",2009-12-31,72.4,1.03,0.5758,0.12493069672889,473.5,959.4,0.4,780,1.8314158253111,6.2953995157385,0.8130081300813,-35.9923,0.54272316776659,NA,5.8,0,0,-35.2882,-35.2882,-29.4882,0,-354.1,NA,-1.5184391080618,NA,NA,-2.8579499596449,0.08,6.1041,425.9,0.033979570564936,NA,NA,NA,0.33629300776915,0.3319,0.045445069835314,-238.9,358.3,0.18866871336868,0.1587227048603,-39,-0.31476997578693,-40.8,-0.32929782082324,NA,0.75670538542767,NA,-0.28481194511703,2.8918482647296,-41.3923,NA,123.9,NA,-0.082365364308342,0,4.69,67.6,169021,233.2,-62.9,233.2,1.25,NA
"4",2008-12-31,11.2,1.08,0.5854,0.0014054813773718,142.1,207.5,1.6,132.4,0.41740226986129,0.6092959042798,0.63807228915663,0.5568,0.32798086778271,NA,2.5,0,0,-14.8426,-14.8426,-12.3426,0,184.8,18.666666666667,0.95701708959089,NA,NA,0.85043718361712,0.08,-14.4995,317.2,0.050602409638554,NA,NA,-0.1505,0.29124820659971,0.0493,0.015903614457831,9.9,317,0.00063091482649842,0.00063051702395965,-72.6,-0.3341003221353,-5,-0.023009664058905,NA,2.2308233638283,NA,-0.068304832029452,1.4588127013346,-0.3432,NA,217.3,-1.4992565656566,-0.51090781140042,0,5.92,0.2,120870,193.1,-77.5,193.1,1.2,2.2290934645116
"5",2007-12-31,14.5,NA,NA,0.0080798479087453,208.7,349,2,165.5,1.6784989858012,0.63264525993884,0.47421203438395,-2.1678,NA,NA,3.2,0,0,-19.1314,-19.1314,-15.9314,0,-66.9,-1.4899777282851,-0.28455976180349,NA,NA,-0.25573394495413,0.1,-15.7636,98.6,0.032664756446991,-0.51,NA,-0.2156,0.40375891121192,0.5519,0.14469914040115,44.9,96.9,0.017543859649123,0.017241379310345,-13.1,-0.050076452599388,-21.4,-0.081804281345566,NA,0.46430282702444,NA,-0.073132415902141,0.3704128440367,-3.3678,NA,261.6,-0.42608997772828,-0.062769525634883,NA,6.36,1.7,16657,235.1,-14.4,235.1,1.4,0.46863117870722
"6",2006-12-31,15,NA,NA,0.0086363636363636,218.1,684.4,11.8,445,2.6425178147268,1.2898550724638,0.65020455873758,0.7137,NA,6.9375,2.4,0,0,22,22,24.4,0,-276.6,NA,-0.92384769539078,-12.572727272727,-11.33606557377,-0.80173913043478,0.115,11.8863,168.4,0.018410286382233,NA,NA,NA,0.42474698008488,0.7553,0.074225599064874,-225,166.5,0.011411411411411,0.011282660332542,24,0.069565217391304,5.4,0.015652173913044,0,0.76341127922971,0.60326086956522,0.063768115942029,0.48260869565217,10.1137,0.45971541501976,345,NA,0.11004126547455,NA,9.02,1.9,163305,299.4,-7.4,299.4,NA,NA
"7",2005-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,321,NA,NA,NA,NA,NA,0.12,NA,321,NA,0.23,91.95652173913,NA,0.23342939481268,0.7159,NA,0,321,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.15,0,100823,NA,NA,NA,NA,NA
