"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,2996,0.93,0.4741,0.6395,11427,49383,3253,5597,0.1507,0.1662,0.1133,-71.9,0.49,NA,4858,0,0,214,214,5072,0,31553.9,1.21,0.9,147.45,6.22,0.94,NA,0.02,1890.9,37150.9,0.2837,NA,NA,NA,-0.06,0.484,0.01,0.8515,0.4542,26104,16876.9,1.2013,0.5457,-2890,-0.0858,-1751,-0.052,NA,1.48,NA,0.0064,0.5,-1676.9,-7.836,33679,0.0082,-0.2529,9592,5.67,20274,29752027,35062,-4307,NA,35062,1.35,1.17
"2",2011-03-31,2988,0.14,0.5752,0.58125341854507,14546,51654,2394,5473,0.2010144379272,0.16807419463809,0.10595500832462,-39.0154,0.56502086230876,NA,6248,0,0,-615,-615,5633,0,21753.9,0.74336727720066,0.65409525527693,NA,3.8618675661282,0.66805576881737,NA,0.015,3278.0154,27226.9,0.29453672513261,NA,NA,NA,0.0043,0.50877192982456,0.01,0.8507,0.43954001626205,29264,7035.9,2.8697110533123,0.74158277291943,-3465,-0.10640911463932,-1828,-0.056137333783742,NA,0.48369998625052,NA,-0.018886466234683,0.21607038663514,-3893.0154,NA,32563,-0.021015582285402,-0.23820981713186,9438,2.34,20191,58927087,33258,-2516,NA,33258,1.3,0.78380113423727
"3",2010-03-31,2973,1.1,0.6882,0.53787414444785,18095,55424,2194,3924,0.11667424870882,0.12163670179789,0.070799653579677,5.4321,0.47224643998838,NA,7416,0,0,-1044,-1044,6372,0,29708.1,0.84321355585831,0.9246218487395,NA,4.6622881355932,0.92089584624923,NA,0.005,4172.5679,33632.1,0.32982101616628,NA,NA,NA,-0.13,0.2627824019025,0.01,0.871,0.42331841801386,35232,12571.1,1.6753506057545,0.62621721510105,-2436,-0.075511469311841,-1348,-0.041785492870428,NA,0.69472782536612,NA,-0.032362058276503,0.38968071915685,-5216.5679,NA,32260,-0.029632152588556,-0.13462282398453,9453,4.23,21061,48038247,32130,-935.7,NA,32130,1.3,0.85892583512105
"4",2009-03-31,2857,1.15,0.6575,0.52432366856727,19605,58252,3882,3719,0.11531353872104,0.104363687386,0.063843301517544,81.9389,0.32851711026616,NA,8396,0,0,-862,-862,7534,0,28532.2,0.76093983358225,0.86930107854488,NA,3.7871250331829,0.80067910761891,NA,-0.01,3570.0611,32251.2,0.3840726498661,NA,NA,NA,-0.1161,0.52895752895753,0.01,0.8905,0.39287921444757,37496,10641.2,2.0307860015788,0.67005258719055,-1809,-0.050764697628736,-1038,-0.029128665637716,NA,0.54277990308595,NA,-0.024189701136523,0.2986165286937,-4432.0611,NA,35635,-0.022989118839343,-0.092272379495027,11355,3.66,21610,46880462,32822,-2090,NA,32822,1.35,0.78251122164261
"5",2008-03-31,2845,2.26,0.4754,0.50148428471073,21999,64109,6322,2440,0.091588497385599,0.060778159717033,0.038060178758053,-94.178,0.48801009676062,18.795416666667,9023,0,0,1259,1259,10282,0,24200.9,0.58051044640073,0.65316042318903,19.222319301033,2.3537152304999,0.60282219897375,0.26,0.005,4054.178,26640.9,0.41329610507105,-0.14,NA,NA,-0.0036,0.82248520710059,0.01,0.9129,0.43825359933863,41689,4510.9,4.9058946108315,0.83067764227185,240,0.0059781796442983,-1222,-0.030438898022219,0,0.20505022955589,0.72290064102564,0.031360534050715,0.11236237732277,-2795.178,-2.2201572283405,40146,0.030199812900285,0.0109095867994,12673,1.83,22130,29898281,37052,-700.6,NA,37052,1.45,0.60370504656802
"6",2007-03-31,2897,1.49,0.2454,0.2942684465697,53131,97161,7556,2061,0.03431014305049,0.050233986545774,0.021212214777534,-2.8619,0.71719641401793,38.106231155779,9592,0.0076406343546341,289.7,2484,1666.615,12076,0.32906,58008.7,0.79220883863214,1.4237709545198,23.352938808374,4.8036353097052,1.4138807643561,0.19,0.015,3705.4769,60069.7,0.26623851133685,0.46,27.891304347826,NA,0.2092,0.28716680406705,0.01,0.9098,0.62510678152757,73224,37915.7,0.58429621502438,0.36880490496873,995,0.024251730525495,-412,-0.010041922589451,0.29115577889447,0.71362669627901,2.005591113462,0.060544018718924,0.92414204933216,-2038.8619,-1.2233551221321,41028,0.022760501474926,0.018727296681786,12385,12.83,22154,28450266,40743,133,285.08045112782,40743,1.1,0.79789732350402
"7",2006-03-31,2961,1.49,0.2213,0.33084673263245,52184,102580,5057,10665,0.1312728481223,0.30752595155709,0.10396763501657,119.5848,0.8,30.851749028318,6269,0.005328989993521,296.1,3951,2448.6323,10220,0.38025,70578,1.0502991160451,1.6852435530086,17.863325740319,6.9058708414873,2.0351211072664,0.305,0.06,3541.0475,81243,0.30349970754533,1.19,15.873949579832,NA,-0.3702,0.25624854006073,0.01,0.812,0.48093195554689,67198,55564,0.46215175293355,0.31607646197211,1801,0.051931949250288,-576,-0.016608996539792,0.16440866185452,1.0647708109765,1.0115327550268,0.11392733564014,1.6021914648212,-1092.4152,-0.44613282574935,34680,0.036439064406679,0.034512494251111,10076,18.89,25679,10505300,41880,1170,47.490598290598,41880,1.25,1.043409578362
"8",2005-03-31,1474.8,1.75,0.3293,0.55546945628309,NA,41321,3980,4556,0.052324633233722,0.16329163829253,0.11025870622686,-3.3628,1.0628606134224,54.245186335404,4720,0.0042789901583226,147.48,3428.8588,2032.5589,8148.8588,0.40722,82515.8,3.0947680306042,2.9574495537794,24.065091277599,10.126055933133,3.0084512177337,0.32,NA,2775.9217,87071.8,0.54761501415745,1.38,16.934782608696,-0.01,0.0095,0.11543981956121,0.01,0.8029,0.18963723046393,26663,69867.8,0.24623646372148,0.19758406280794,1288,0.046959311652326,-195,-0.0071095231150649,0.11450310559006,5.167354485615,1.6951620729814,0.12501308152253,2.5473166107627,-743.3628,-0.36572755520881,27428,0.076231441303079,0.093550261475886,6624,23.37,17204,6681800,27901,1288,54.245186335404,27901,1.15,2.811306986956
"9",2004-03-31,230.4,0.89,0.4913,0.561635392412,NA,27723,925,9057,0.47243478396945,0.24396616743885,NA,61.959,0.36230409118665,8.7829463570857,909,0.017822549399458,211.968,5810.8212,3643.0362,6719.8212,0.37306,10113.9,1.8239675383228,0.27243562116151,1.7405285160039,1.5050846888605,0.24593667931135,-0.005,0.065,3565.0773,19170.9,0.24485084586805,1.89,27.312169312169,0.065,0.3665,0.28343473768798,0.01,0.8194,0.059625581647008,5545,10969.9,0.74759113574417,0.42778377645285,1249,0.03037155918685,-637,-0.0154897383523,0.16971016813451,1.7137790970161,NA,0.1413,0.26675177511915,77.959,0.021399444915284,41124,0.65699481390947,0.19512576159975,9111,51.62,8201,1672900,37124,1037,10.578495660559,37124,1.3,1.312895493768
"10",2003-03-31,316.7,1.01,0.4292,0.81939021128644,NA,50409,1035,1962,0.046183287864058,0.047430256732582,NA,-10075,0.5193,7.50690747782,875,0.024596189398864,291.364,5596,3517.4218,6471,0.37144,40520.9,NA,NA,7.2410471765547,6.2619224231185,0.97957017840739,0.06,0.035,3357.4218,42482.9,0.13707869626456,4.86,9.1172839506173,NA,0.0188,0.50881442605302,0.01,0.7752,0.032692574738638,35428,11845.9,2.586295680362,0.72116074938387,1578,0.03814727070541,28757,0.6951844509984,0.18464131812421,1.7541685176958,1.2511512463033,0.13528018179181,0.28636803171687,160,0.045487863246743,41366,0.099283667155922,0.23367392270102,9249,44.31,30637,3907676,41388,1470,8.0584353741497,41388,1.3,1.1437535282827
