"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,117,1.35,0.4707,0.0055,53.8,66.6,0.6,18.3,0.0737,1.2449,0.2748,0.18,0.72,1.6,0,0,-2,-1.6,0,0,230,6.42,9.83,15.65,-0.78,248.3,0.1036,NA,NA,-0.21,0.3708,NA,0.3874,0.497,35.8,248,0.0012,0.0012,-19.4,-1.3197,0.3,0.0204,4.61,-0.1088,16.87,-0.82,NA,14.7,-0.0447,-0.3606,11.4,1.89,0.3,442216,23.4,-24.1,23.4,1.3,4.59
"2",2010-12-31,111,2.66,1.118,0.0067340067340067,59,74.8,1.6,31.7,0.21831955922865,105.66666666667,0.42379679144385,-240.8333,0.27951699463327,1.4,0,0,NA,NA,NA,0,113.5,4.0974729241877,12.897727272727,378.33333333333,NA,145.2,0.1096256684492,NA,NA,0.0302,0.51187904967603,NA,0.3269,0.44251336898396,27.7,144.8,0.0027624309392265,0.0027548209366391,-35.7,-119,-8.5,-28.333333333333,2.4542372881356,NA,482.66666666667,-240.6333,NA,0.3,NA,-0.60508474576271,10.8,1.26,0.4,849304,8.8,-22,8.8,1.25,2.4444444444444
"3",2009-12-31,100.2,2.37,1.1288,0.0066666666666667,74.5,85.6,0.7,43,0.14878892733564,143.33333333333,0.50233644859813,-2.1,0.28791637136782,1.2,0,0,NA,NA,NA,0,246,7.6875,615,820,NA,289,0.091121495327103,NA,NA,NA,0.24557956777996,NA,0.2959,0.38668224299065,32,288.5,0.0017331022530329,0.0017301038062284,-38.4,-128,-6.3,-21,3.8724832214765,NA,961.66666666667,-2.6,NA,0.3,NA,-0.51543624161074,11.9,2.43,0.5,641869,0.4,-45.3,0.4,1.3,3.8533333333333
"4",2008-12-31,68.8,2.59,1.134,0.33479532163743,45.5,76.6,5.7,33.9,0.11840726510653,30.818181818182,0.44255874673629,2.9818,0.18342151675485,0.9,0,0,-35.4994,-35.4994,-34.5994,0,252.4,7.3159420289855,841.33333333333,229.45454545455,-43.2812,286.3,0.10704960835509,NA,NA,-0.3273,0.8748495788207,NA,0.3133,0.43211488250653,34.5,263.4,0.086940015186029,0.079986028641285,-36.3,-33,-4.1,-3.7272727272727,5.789010989011,-32.272181818182,239.45454545455,7.7818,NA,1.1,-1.028968115942,-0.7978021978022,11.1,2.66,22.9,4273185,0.3,-35.7,0.3,1.3,4.1856725146199
"5",2007-12-31,62,1.28,0.5674,0.26456876456876,63.1,91.3,2,46.5,0.28774752475248,31,0.50930996714129,-0.1733,0.42298202326401,0.8,0,0,-31.1474,-31.1474,-30.3474,0,115.1,2.9287531806616,82.214285714286,76.733333333333,-32.1741,161.6,0.062431544359255,-0.13,NA,-0.691,0.50507099391481,NA,0.4031,0.36254107338445,39.3,138.9,0.16342692584593,0.1404702970297,-28.6,-19.066666666667,-2.6,-1.7333333333333,2.2012678288431,-20.764933333333,92.6,1.0267,NA,1.5,-0.79255470737914,-0.45324881141046,14,1.89,22.7,270476,1.4,-32.2,1.4,1.5,1.8834498834499
"6",2006-12-31,61.8,-0.97,1.0185,0.19795221843003,94,121.9,1.5,73.6,0.31279218019549,15.659574468085,0.60377358490566,-0.2043,0.18851251840943,3.1,0,0,-23.1775,-23.1775,-20.0775,0,161.7,3.7087155963303,46.2,34.404255319149,-21.3732,235.3,0.081214109926169,NA,NA,-0.4879,0.29573590096286,NA,0.3199,0.27973748974569,43.6,212.1,0.10938236680811,0.098597535061623,-23.1,-4.9148936170213,-0.8,-0.17021276595745,2.2563829787234,-4.9313744680851,45.127659574468,-1.8043,NA,4.7,-0.53159311926606,-0.24574468085106,11.3,3.025,23.2,389357,3.5,-27.8,3.5,1.2,2.0076791808874
"7",2005-12-31,50,-1.64,1.0268,0.37952559300874,49.7,84.4,0.2,31.9,0.12278675904542,4.3108108108108,0.37796208530806,0.4108,0.16361511492014,3.5,0,0,-18.5612,-18.5612,-15.0612,0,227.9,4.7282157676349,41.436363636364,30.797297297297,-15.672,259.8,0.13744075829384,-0.08,NA,-0.2931,0.49421193232413,NA,0.3357,0.4063981042654,48.2,229.4,0.13251961639058,0.11701308698999,-22.1,-2.9864864864865,1.6,0.21621621621622,4.6156941649899,-2.508272972973,31,-2.8892,NA,7.4,-0.38508755186722,-0.44466800804829,15,4.1,30.4,2669936,5.5,-20.8,5.5,1.05,3.2434456928839
"8",2004-12-31,39.6,-0.7,0.7539,0.52765957446808,NA,78,1.6,17.9,0.085769046478198,2.4520547945206,0.22948717948718,0.1446,-0.18570102135562,3.1,0,0,-35.104,-35.104,-32.004,0,190.8,3.6273764258555,26.13698630137,22.987951807229,-33.7485,208.7,0.18076923076923,NA,NA,-0.384,0.79135618479881,NA,0.1017,0.48974358974359,52.6,171.5,0.21690962099125,0.1782462865357,-37.1,-4.4698795180723,-1.2,-0.14457831325301,5.1501501501502,-4.2293939759036,20.66265060241,-1.3554,0.038611635286464,8.3,-0.66737585551331,-1.1141141141141,32.3,3.85,37.2,2171713,7.3,-27.6,7.3,0.95,2.9602836879433
"9",2003-12-31,34.7,0.7,0.7484,0.54033290653009,NA,84.2,2,27.6,0.17446270543616,1.9034482758621,NA,0.1831,0.18706574024586,1.2,0,0,-14.8869,-14.8869,-13.6869,0,130.6,2.5861386138614,9.0068965517241,11.06779661017,-15.8699,158.2,0.18052256532066,NA,NA,-0.4417,0.41641337386018,NA,0.1422,0.43349168646081,50.5,116,0.36379310344828,0.26675094816688,-17.3,-1.4661016949153,0.8,0.067796610169491,3.2311977715877,-1.2616,9.8305084745763,0.9831,-0.066034712945737,11.8,-0.2947897029703,-0.48189415041783,15.7,3.3,42.2,38887,14.5,-19.5,14.5,0.85,2.0256081946223
"10",2002-12-31,24.7,0.44,0.7984,0.83636363636364,NA,57.5,9.7,3,0.014312977099237,0.2,NA,4.6,0.1221,1.1,0,0,-21.5135,-21.5135,-20.4135,0,206.6,NA,NA,13.773333333333,-30.1135,209.6,0.23826086956522,NA,NA,-0.4111,0.60372093023256,NA,0.1701,0.64521739130435,46.5,168.2,0.2461355529132,0.19751908396947,-22.7,-1.5133333333333,-2.4,-0.16,20.765432098765,-1.4342333333333,11.213333333333,8.6,NA,15,-0.46265591397849,-2.8024691358025,21.5,5.75,41.4,158389,10.3,-18.5,10.3,0.85,4.4430107526882
"11",2001-12-31,NA,0.65,0.7519,0.5218,NA,67.1,2.3,20,0.16528925619835,0.8298755186722,NA,0.3907,0.1515,3.5,0,0,-5.766,-5.766,-2.266,0,101,NA,NA,4.1908713692946,-4.9567,121,0.06408345752608,-0.95,-3.1578947368421,NA,0.77122302158273,0,0.2791,0.56333830104322,37.448,91,0.32967032967033,0.24793388429752,-9.7,-0.40248962655602,-2.015,-0.083609958506224,3.3090909090909,-0.23925311203319,3.7759336099585,-0.8093,NA,NA,-0.15397350993378,-0.35272727272727,18.5,3,30,61400,24.1,-20.7,19.4,0.85,3.2311471907712
"12",2000-12-31,NA,0.9,0.622,0.27855153203343,NA,56.5,0.8,14.9,0.043402272065249,5.96,NA,0,0.43408360128617,0.6,0,0,-12.27075,-12.2708,-11.6708,0,328.4,NA,NA,131.36,-12.4707,343.3,0.033628318584071,NA,NA,NA,0.42009132420091,NA,0.3065,NA,36.9,323.3,0.061862047633777,0.058258083309059,-12.2,-4.88,-2.4,-0.96,10.166666666667,-4.9083,129.32,0.2,NA,NA,-0.3325406504065,-0.38364779874214,5.918,13.05,20,NA,2.5,-7.1,18.7,NA,6.6274131274131
