"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10,1.37,0.7622,0.534,28.8,85.8,2.4,0.6,0.0031,0.0019,0.007,8.29,0.45,18.78,4.9,0,0,13,13.2,18,0,0,192,3.14,0.47,14.55,10.61,0.62,7.41,192.6,0.2681,-0.18,-0.16,0.6956,NA,0.6891,0.1841,61.2,159.6,0.2068,0.1713,8.5,0.0276,25.1,0.0815,0,5.54,0.0429,0.52,5.79,0.4389,307.8,0.2157,0.2951,30.2,15.56,33,74141,409.5,26.3,6.07,409.5,1.05,3.12
"2",2010-12-31,9.3,1.36,1.1838,0.66666666666667,18.1,74.8,1.4,2,0.027932960893855,0.0071890726096334,0.026737967914438,0.7154,0.16894745734077,29.5,5,0,0,3.5,3.5,8.5,0,0,69.6,1.3307839388145,0.24208695652174,19.885714285714,8.1882352941176,0.25017972681524,6.3846,71.6,0.31016042780749,NA,0.2908,0.50955414012739,NA,0.6734,0.14572192513369,52.3,35.4,1.0225988700565,0.50558659217877,1.2,0.00431344356578,21.4,0.076923076923077,0,1.9558011049724,0.012580877066858,0.12724658519051,-2.8846,-0.82417582417582,278.2,0.066921606118547,0.066298342541437,25.5,4.1,36.2,8404,287.5,6.1,5.8032786885246,287.5,0.8,1.3186003683241
"3",2009-12-31,9.2,2.46,1.3062,0.72184300341297,16.3,77,0.3,0.1,0.0016806722689076,0.00047058823529412,0.0012987012987013,7.3608,0.16268565303935,NA,5.3,0,0,0.1,0.1,5.4,0,NA,59.4,1.0153846153846,0.21710526315789,594,11,0.27952941176471,-2.2608,59.5,0.34285714285714,NA,-0.3575,0.37686567164179,NA,0.7016,0.11948051948052,58.5,17.2,2.4593023255814,0.7109243697479,-5.4,-0.025411764705882,25.6,0.12047058823529,NA,1.0552147239264,0.00047058823529412,0.080941176470588,2.3608,23.607529411765,212.5,0.0017094017094017,-0.33128834355828,22.4,1.9,42.3,10260,273.6,3.7,4.6486486486487,273.6,0.85,1.0153583617747
"4",2008-12-31,9,2.51,1.2945,0.74352651048089,20.8,100.5,4.2,2.7,0.033834586466165,0.0083025830258303,0.026865671641791,-16.5701,0.10505986867516,NA,8.1,0,0,-17.108,-17.108,-9.008,0,NA,77.1,0.98341836734694,0.44031981724729,NA,NA,0.23708487084871,3.362,79.8,0.34427860696517,NA,-0.5031,0.99600798403194,NA,0.719,0.09452736318408,78.4,19.5,3.0923076923077,0.75563909774436,-9.9,-0.030442804428044,35.9,0.11039360393604,NA,0.9375,-0.052607749077491,0.059963099630996,-20.4701,NA,325.2,-0.21821479591837,-0.47596153846154,43.4,2.43,60.3,18136,175.1,-15,NA,175.1,0.85,0.98397040690506
"5",2007-12-31,6,2.42,0.5956,0.53159609120521,71.9,196.2,2.5,0.2,0.0023148148148148,0.00045955882352941,0.0010193679918451,2.0087,0.18804566823371,NA,6.7,0,0,0.3,0.3,7,0,NA,86.2,0.56229615133725,0.20691310609697,287.33333333333,12.314285714286,0.19806985294118,2.4913,86.4,0.27930682976554,NA,0.0207,0.95059288537549,NA,0.7943,0.34658511722732,153.3,4.8,17,0.94444444444444,-5.8,-0.013327205882353,47,0.10799632352941,NA,0.066759388038943,0.00068933823529412,0.011029411764706,-2.1913,-7.3042279411765,435.2,0.0019569471624266,-0.080667593880389,49.2,0.61,81.6,1182,416.6,-5.9,NA,416.6,0.7,0.5628664495114
"6",2006-12-31,4.9,-0.15,0.2812,0.28617710583153,66.1,109.1,7.5,0.4,0.0048959608323133,0.001150747986191,0.0036663611365719,-7.5017,0.28449502133713,21.230769230769,4.1,0,0,6.1,3.5456,10.2,0.41875,NA,81.3,0.88177874186551,0.20294558162756,13.327868852459,7.9705882352941,0.23388952819333,7.6474,81.7,0.39321723189734,0.115,0.0584,0.34065934065934,NA,0.744,0,92.2,55.2,0.48007246376812,0.32435740514076,2.6,0.0074798619102417,49.2,0.1415420023015,0,0.83509833585477,0.017548906789413,0.15880322209436,-4.1017,-1.156841493948,347.6,0.038455802603037,0.039334341906203,35.9,8.96,26.5,2000,400.6,-1.6,NA,400.6,0.5,0.88228941684665
"7",2005-12-31,4.8,NA,0.2514,0.23349633251834,62.7,99.7,8.5,1.1,0.013853904282116,0.0034013605442177,0.011033099297894,-4.4643,0.31821797931583,43.071428571429,4.4,0,0,3.8,2.2177,8.2,0.41639,NA,78.3,0.97026022304833,0.21828826317257,20.605263157895,9.5487804878049,0.24211502782931,2.5821,79.4,0.39819458375125,-0.32,0.0565,0.18613347411025,NA,0.7061,0,80.7,60.3,0.3167495854063,0.24055415617129,1.4,0.0043290043290043,40.9,0.12646876932591,0,0.96172248803828,0.011750154607297,0.18645640074212,-0.3643,-0.1642893989248,323.4,0.027481016109046,0.022328548644338,34.3,12.4999,19.1,100,358.7,3.6,16.75,358.7,0.5,0.97066014669927
"8",2004-12-31,4.7,-0.44,0.2414,0.19920844327177,NA,92.4,10.6,0.1,0.0015360983102919,0.00031605562579014,0.0010822510822511,1.9432,-0.36454018227009,83.333333333333,4.9,0,0,1.705,1.0237,6.605,0.3996,NA,65,0.85865257595773,0.20543615676359,38.122272791254,9.8409699259959,0.21551724137931,-6.6195,65.1,0.38528138528139,-0.495,0.0678,0.2041438737474,NA,0.6745,0,75.7,50,0.302,0.23195084485407,0.6,0.0019893899204244,39.6,0.13129973474801,0,0.82372322899506,0.0056533156498674,0.1657824933687,7.6432,7.4662412399758,301.6,0.013523197040951,0.0098846787479407,34.2,10.5899,15.1,100,316.4,0.1,500,316.4,0.5,0.85883905013193
"9",2003-12-31,4.6,-0.17,0.2806,0.16265912305516,NA,81.1,5.3,7.1,0.11754966887417,0.024415405777166,NA,1.8872,-0.12116892373485,NA,5.9,0,0,6.7302,6.7302,12.6302,0,NA,53.3,0.83805031446541,0.18328748280605,7.9195857447457,4.2200607277032,0.19402985074627,5.4429,60.4,0.37854500616523,NA,-0.1166,0.24509803921569,NA,0.5043,0,63.6,48.9,0.23517382413088,0.19039735099338,-0.1,-0.00036403349108118,32.2,0.11721878412814,NA,0.82601351351351,0.0245,0.1780123771387,1.2872,0.19126207060215,274.7,0.10581996855346,-0.0016891891891892,31.4,10.14,11.5,1180,290.8,1.4,34.928571428571,290.8,0.55,0.85431400282885
"10",2002-12-31,4.6,0.4,0.3775,0.20295698924731,NA,86.5,4.2,3.6,0.067289719626168,0.011658031088083,NA,-2.1,0.2331,384,6.3,0,0,1.3,0.7817,7.6,0.39873,NA,49.9,NA,NA,38.384615384615,6.5657894736842,0.1615932642487,2.8817,53.5,0.36878612716763,NA,0.041,0.16600790513834,NA,0.4061,0,70.8,38.4,0.39322916666667,0.28224299065421,0.1,0.00032383419689119,38.6,0.125,0,0.64755480607083,0.0042098445595855,0.12435233160622,-2.1,-2.6866210111674,308.8,0.011040268361582,0.0016863406408094,37.9,8.25,15.1,4274,278.7,-1.6,NA,278.7,0.5,0.70480225988701
"11",2001-12-31,NA,0.23,0.4511,0.2399,NA,92,1.8,5.9,0.1163708086785,0.020129648584101,NA,1.7384,0.0912,NA,7.5,0.0229,0.7305,2.1922,2.1922,9.6922,0,NA,44.8,NA,NA,20.436091597482,4.6222735808176,0.15284885704538,6.1538,50.7,0.37608695652174,-0.355,-0.1826,0.29533678756477,0,0.415,0.034782608695652,72.375,31.9,0.58934169278997,0.37080867850099,-2.9,-0.0098942340498124,36.839,0.12568747867622,NA,0.53613445378151,0.0074793585806892,0.10883657454794,-3.9616,-1.8071343855488,NA,0.030289464594128,-0.048739495798319,24.9,7,18.8,700,293.1,-0.3,NA,306.9,0.6,0.70051813471503
"12",2000-12-31,NA,0.65,0.4604,0.20215633423181,NA,102.5,0,6.7,0.12316176470588,0.018528761061947,NA,-0.1068,0.42354474370113,13.291666666667,0,0.02307210031348,0.736,1.51872,1.5187,1.5187,0,NA,47.7,NA,NA,31.408027812895,31.408027812895,0.13191371681416,2.729,54.4,0.39609756097561,NA,-0.0316,0.25495557074504,NA,0.4404,NA,82.1,31.9,0.70532915360502,0.41360294117647,2.4,0.0066371681415929,38.3,0.10591814159292,0.30666666666667,0.48114630467572,0.0042,0.088219026548673,-1.2103,-0.79690792246102,NA,0.018498416565164,0.036199095022624,25.2397,7.19,22.5,NA,361.6,-3.3,NA,295.6,NA,0.61261261261261
"13",1999-12-31,NA,0.65,0.3653,0.2476370510397,NA,126.2,7.5,6.7,0.11775043936731,NA,NA,NA,0.26690391459075,4.1486486486487,8.9,0.026579804560261,0.816,22.5,13.6811,22.5811,0.39195,NA,50.2,NA,NA,2.2311111111111,2.223095616361,0.12531203195207,20.6071,56.9,0.39540412044374,NA,0.0532,0.43815915627996,NA,0.4421,NA,99.1,30.7,0.85342019543974,0.46045694200352,NA,0.0072391412880679,NA,0.11108337493759,0.11027027027027,0.3856783919598,0.056165751372941,0.076635047428857,NA,-0.10233076592751,NA,0.13805373360242,0.03643216080402,43.8,NA,NA,NA,NA,2.9,10.586206896552,400.6,NA,0.53780718336484
