"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.43,0.2612,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.37,52.22,NA,0.1325,0.0409,0.9719,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,19.32,0,2547453,35910,171.6,NA,35910,1.25
"2",2008-12-31,0,2.02,0.6612,NA,NA,NA,0,0,NA,NA,NA,0.3145795523291,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.42,32.214285714286,NA,0.53507161219244,0.061,0.8448,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,13.53,0,9550600,32634.5,173,NA,32634.5,1.3
"3",2007-12-31,0,1.76,0.3984,NA,0,0,0,0,NA,NA,NA,0.48192771084337,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.37,13.343065693431,NA,NA,0.112,0.8256,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,18.28,0,6090421,34070.8,370.5,0,34070.8,1.2
"4",2006-12-31,0,1.32,0.232,NA,0,0,0,0,NA,NA,NA,0.6551724137931,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.65,20.466666666667,NA,0.22738722234944,0.111,0.7561,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,33.77,0,2975090,660.1,408.4,0,660.1,0.95
"5",2005-12-31,0,1.09,0.1989,NA,0,0,0,0,NA,NA,NA,0.64353946706888,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.63,27.576687116564,NA,0.19090334807328,0.12,0.6884,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,44.95,0,673900,5418.8,NA,NA,5418.8,0.8
"6",2004-12-31,104.6,0.34,0.173,NA,NA,0,0,0,0,NA,0,0.39306358381503,0,0.041147132169576,138.072,NA,NA,NA,0,3420.4,NA,NA,NA,3420.4,1.43,22.433566433566,0,0.12573839662447,0.122,0.6239,0,3420.4,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,32.08,0,611300,NA,249.7,13.698037645174,0,0.75
"7",2003-12-31,104.6,0.26,0.1604,NA,NA,0,0,0,0,0,0,0.32418952618454,0,0.039985969835146,238.488,NA,NA,NA,0,6075.2,0.37066503965833,NA,NA,6075.2,2.53,22.537549407115,0,0.19499032685063,0.125,0.5834,0,6075.2,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,57.02,0,135500,16390,249.7,24.329995995194,16390,0.7
"8",2002-12-31,104.6,0.19,0.1324,NA,NA,0,0,0,0,NA,0,0.3224,0,0.050576409212368,238.488,0,0,0,0,4715.4,NA,NA,0,4715.4,2.44,18.549180327869,0,0.19686711801407,0.123,0.5584,0,4715.4,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,45.26,0,246827,11762,NA,NA,11762,0.65
"9",2001-12-31,NA,0.12,0.1363,0,NA,0,0,0,NA,NA,0,0.1515,0,0.0692,0,NA,NA,NA,0,0,NA,NA,NA,0,2.21,14.009049773756,NA,0.13228043787081,0.057,0.5551,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,30.96,0,341900,0,244,0,5730.6,0.7
"10",2000-12-31,NA,0.65,0.1434,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,9.4457142857143,NA,0.22541966426859,0.212,0.5549,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,33.06,0,NA,NA,228.7,0,8258.3,NA
"11",1999-12-31,NA,0.65,0.1588,NA,NA,0,0,0,0,NA,NA,0.6139798488665,0,0,0,0,0,0,0,2727.2,NA,0.91824915824916,0,2727.2,NA,NA,0,0.15890850722311,0.212,0.5684,0,2727.2,0,0,NA,0.067441077441077,NA,0,NA,0,0.91824915824916,NA,NA,0,NA,NA,NA,NA,200.3,13.615576635047,2970,NA
