"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,41.9,1.38,0.5752,0.6069,38.6,157.6,0.3,75.1,0.2865,1.3704,0.4765,1.43,0.6,NA,1.3,0,0,-84,-83.54,-82,0,NA,187,8.1,3.08,NA,NA,3.41,NA,-83.97,262.1,0.0108,NA,NA,-0.03,0.3844,0.1419,0.0533,23.1,202.5,0.2943,0.2274,-24.5,-0.4471,13.1,0.2391,NA,5.25,NA,-1.5244,3.7,0.43,NA,54.8,-3.6164,-0.6347,41.3,4.9,59.6,120275,60.8,-13.1,NA,60.8,1,2.67
"2",2010-12-31,41.9,0.85,0.4326,0.5429056924384,53.8,149.3,0.3,103.8,0.4301699129714,1.6768982229402,0.69524447421299,-1.6247,0.54900601017106,NA,1,0,0,-0.2,-0.2,0.8,0,NA,137.5,9.8920863309353,2.5943396226415,NA,171.875,2.2213247172859,NA,2.1247,241.3,0.013395847287341,NA,NA,-0.0812,0.26666666666667,0.2381,0,13.9,177.4,0.36020293122886,0.26481558226274,-2.8,-0.045234248788368,11.3,0.18255250403877,NA,3.2973977695167,NA,-0.0032310177705977,2.8659127625202,-2.3247,NA,61.9,-0.014388489208633,-0.052044609665428,27.9,4.43,63.9,36201,53,-26.3,NA,53,0.95,2.0501274426508
"3",2009-12-31,41.8,0.99,0.7235,0,113.6,145,0.5,99.1,0.62960609911055,1.4703264094955,0.68344827586207,0.1113,0.34554250172771,NA,0.8,0,0,2.3,0.92,3.1,0.6,1,58.3,4.0206896551724,0.88467374810319,25.347826086956,18.806451612903,0.86498516320475,NA,1.1087,157.4,0.015172413793104,-0.01,NA,-0.3994,0.15584415584416,0.2762,0,14.5,157.4,0,0,-0.8,-0.01186943620178,-5,-0.074183976261128,NA,1.3855633802817,NA,0.034124629080119,2.3353115727003,-0.1887,-0.20513482131338,67.4,0.063448275862069,-0.0070422535211268,24.5,3.84,0,32888,65.9,1.4,112.42857142857,65.9,1,1.3855633802817
"4",2008-12-31,41.8,NA,NA,0,113.8,150.8,0.5,105.3,0.60068454078722,0.93933987511151,0.69827586206896,2.8311,NA,7.012,0.4,0,0,31.1,23.4335,31.5,0.24651,NA,70,8.2352941176471,1.0385756676558,2.2508038585209,2.2222222222222,0.62444246208742,0.025,20.5024,175.3,0.01525198938992,NA,NA,0.2169,0.47811447811448,0.2939,0,8.5,175.3,0,0,25,0.22301516503122,-7.1,-0.063336306868867,0,1.5404217926186,2.8048,0.27743086529884,1.5637823371989,2.9311,0.12508281045549,112.1,2.7568869411765,0.21968365553603,25.3,4.04,0,35603,67.4,-5.1,NA,67.4,1,1.5404217926186
"5",2007-12-31,41.7,NA,NA,0,86.5,110,2.2,77.1,0.35497237569061,0.83895538628944,0.70090909090909,-1.6453,NA,16.454545454545,0.3,0,0,18.4,11.5443,18.7,0.37259,NA,140.1,14.904255319149,1.2409211691763,7.6141304347826,7.4919786096257,1.5244831338411,0.19,11.2896,217.2,0.020909090909091,-0.04,NA,0.2999,0.75633614939973,0.114,0,9.4,217.2,0,0,13.2,0.14363438520131,7.2,0.078346028291621,0,2.5109826589595,0.86602870813397,0.20021762785637,2.3634385201306,0.2547,0.022065645815471,91.9,1.2281217021277,0.15260115606936,38.3,5.75,0,32968,112.9,27.3,7.956043956044,112.9,NA,2.5109826589595
"6",2006-12-31,35,NA,NA,0,18.2,67.1,0.2,51.9,0.082133248931793,0.8752107925801,0.77347242921013,NA,NA,28.98623853211,0.1,0,0,14.7,14.7,14.8,0,NA,580,NA,NA,39.455782312925,39.189189189189,9.7807757166948,0.19,NA,631.9,0.0044709388971684,0.35,40.342857142857,NA,0.27994330262225,0.0828,0,-33.7,631.9,0,0,21.8,0.36762225969646,-11.2,-0.18887015177066,0,34.71978021978,1.52559150169,0.24789207419899,10.655986509275,NA,NA,59.3,NA,1.1978021978022,25.7,14.12,0,6708,NA,NA,NA,NA,NA,NA
