"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,44.6,0.55,0.1633,0.2663,2509.8,12624.4,16.5,820.4,0.315,0.065,NA,0.8,53.08,0,0.0348,58.87,NA,NA,NA,0,0,1783.8,0.69,0.185,2604.2,0,4.04,9.59,NA,NA,0.1078,0.036,0.8092,0,2600.5,1693.1,0.5381,0.3499,31.9,0,0.384,0.67,2.87,16.5,NA,0.0127,3598.6,38.74,911.1,307309,153.3,11.04,NA,0.8,0.76
"2",2010-12-31,44.9,0.44,0.2179,0.19759326897991,2460.5,8569.9,10.9,290.4,0.1340163367022,0.033886043011004,NA,0.8,10.189295039165,0,0.0343,53.5423,NA,NA,NA,0.27428,0.27427759355756,1876.5,0.67597262247839,0.11,2166.9,0,3.57,9.7899159663866,0.125,NA,0.2245153220763,0.032,0.816,0,2776,1561,0.38814862267777,0.27961604134939,153.2,0,0.34949281984334,0.63442389758179,0.92629954901495,10.9,NA,0.062263767526925,2841,34.95,605.9,306770,25.4,61.456692913386,NA,0.8,0.70665927471954
"3",2009-12-31,47.5,0.53,0.2392,0.15538048343778,2358.6,8042.7,10.4,316.5,0.12455235921451,0.039352456264687,NA,0.8,11.220447284345,0,0.0212,44.6726,NA,NA,NA,0.30676,0.30675526024363,2224.6,0.89846526655897,0.075,2541.1,0,4.04,11.564356435644,NA,NA,0.087468842057557,0.035,0.8503,0,2476,2107.2,0.20591305998481,0.17075282358034,187.8,0,0.23787348242812,0.89341134571356,1.4960596379127,10.4,NA,0.079623505469346,2546.4,46.72,433.9,250616,156.4,13.473145780051,NA,0.85,0.90997314234557
"4",2008-12-31,50.9,0.57,0.2394,0.21971388406516,1887.2,9230.2,9.5,416.9,0.15056520639965,0.045166951962038,NA,0.56808688387636,12.186819172113,0,0.0168,37.59,NA,NA,NA,0.29977,NA,2352,1.1750012489384,0.075,2768.9,0,4.14,10.731884057971,NA,NA,0.23740811325892,0.029,0.8086,0,2001.7,2237.5,0.23749720670391,0.19191736790783,183.6,0,0.2047385620915,1.1856189063162,1.6249092229484,NA,NA,0.097286986011022,2484.9,44.43,531.4,472150,184.1,12.153720803911,NA,0.85,1.1448358554536
"5",2007-12-31,51.8,0.81,0.2047,0.18211249066135,2299,9815.6,9.5,275.4,0.10607402842507,0.028057378051265,NA,0.8,8.8886993603411,0,0.011183074265976,23.31,0,0,0,0.32401,NA,2320.9,0.91536186156577,0.11,2596.3,0,4.34,9.9009216589862,0.225,NA,0.29793510324484,0.027,0.7725,0,2535.5,2084.4,0.24558625983496,0.19716519662597,234.5,0,0.099402985074627,0.90665506742062,0.80806357821283,NA,0,0.10200086994345,2404.8,42.97,511.9,389938,228.4,9.1260945709282,NA,1.05,0.92365434558326
"6",2006-12-31,51.1,1.27,0.1834,0.20287081339713,1999.2,9856.6,8.8,372.7,0.13090513153735,0.037812227340056,NA,0.8,12.003593429158,0,0.0087413933199333,20.44,0,0,0,0.29175,NA,2474.4,1.1588067250503,0.135,2847.1,0,4.2,10.540476190476,-0.11,NA,0.1654478976234,0.0229,0.7436,0,2135.3,2338.3,0.21759397853141,0.17870815917952,194.8,0,0.10492813141684,1.1696178471389,0.88915506882653,NA,0,0.097438975590236,2219.2,44.27,508.8,240300,236.7,9.8787494719054,NA,1.3,1.1352073365231
"7",2005-12-31,53.7,2.01,0.2346,0.20682086094061,1951.3,10634,8.3,701.5,0.23215408544859,0.065967650930976,NA,0.8,35.643971631206,0,0.0064109196545824,16.11,0,0,0,0,NA,2320.2,1.3193449334698,0.18,3021.7,0,4.17,11.702637889688,-0.165,NA,0.16166897876427,0.003,0.7002,0,1758.6,2512.9,0.20247522782443,0.16838203660191,70.5,0,0.22851063829787,1.2878081279147,1.9802206461781,NA,0,0.036129759647415,2198.2,48.8,508.8,211300,196,12.820918367347,NA,1.65,1.2282834031137
"8",2004-12-31,53.2,1.59,0.4824,0.17863286872872,NA,23719.2,7.8,486.5,0.18201204684051,0.020510809808088,0,0.6592039800995,15.293992932862,0,0.0059808612440191,13.3,NA,NA,NA,0.15117,NA,2186.4,0.92573460919638,NA,2672.9,0,2.99,13.979933110368,NA,0,0.17903335602451,0.014,0.7111,0,2361.8,2164.1,0.23510928330484,0.19035504508212,141.5,0,0.093992932862191,0.92502671511007,NA,7.8,NA,0.060483009189998,2288.6,41.8,508.8,199900,141.5,15.293992932862,0,1.5,0.93841940806797
