"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.1,NA,NA,0.3407,192.2,356.7,68.6,29.8,0.0675,0.1218,0.0835,-0.4,NA,NA,40.4,0,0,-1,-1,39,0,411.9,1.57,1.55,NA,10.45,1.68,0.2,-28.8,441.7,0.5562,NA,NA,0.015,0.181,NA,0.7465,0.2422,261.7,342.4,0.29,0.2248,-1.7,-0.007,-4.4,-0.018,0,1.78,NA,-0.0041,1.4,27.8,NA,244.6,-0.0038,-0.0088,63.7,6.93,99.3,364652,266.6,0.1,3424,266.6,1.15,1.52
"2",2010-12-31,50.6,NA,NA,0.17353198948291,188.6,293.1,62.2,59.6,0.18066080630494,0.24406224406224,0.20334356874787,0.114,NA,NA,34,0,0,0.6,0.6,34.6,0,270.3,1.6032028469751,1.1178660049628,450.5,7.8121387283237,1.1068796068796,NA,-27.714,329.9,0.48549982940976,NA,NA,-0.0662,0.32610379550736,NA,0.6687,0.18491982258615,168.6,290.3,0.13641060971409,0.12003637465899,-3.6,-0.014742014742015,-11.6,-0.047502047502047,NA,1.5392364793213,NA,0.0024570024570025,1.1887796887797,28.314,47.190008190008,244.2,0.00355871886121,-0.019088016967126,62.3,5.94,39.6,344217,241.8,-6.3,NA,241.8,1.2,1.4456617002629
"3",2009-12-31,49.6,4.67,1.6874,0.11175337186898,184.4,267.5,17.3,80.9,0.025376411543287,0.3156457276629,0.30242990654206,0.2089,0.17778831338153,NA,36.6,0,0,-14.2,-14.2,22.4,0,3107.1,24.523283346488,12.538740920097,NA,138.70982142857,12.122902848225,0.19,4.8911,3188,0.34093457943925,NA,NA,0.0037,0.24710424710425,NA,0.6222,0.22504672897196,126.7,3164.8,0.0073306370070779,0.0072772898368883,-69.7,-0.27194693718299,-6.3,-0.024580569644947,NA,17.162689804772,NA,-0.055403823644167,12.348029652751,-19.0911,NA,256.3,-0.11207576953433,-0.37798264642082,72.3,6.08,23.2,291222,247.8,-3.8,NA,247.8,1.2,15.356454720617
"4",2008-12-31,49.4,4.67,1.6874,0.086492454913508,248.2,330.1,51.2,54.1,0.20783711102574,0.21299212598425,0.16388973038473,0.0559,0.10904349887401,NA,28.7,0,0,-3.8,-3.8,24.9,0,206.2,0.94761029411765,0.80264694433632,NA,8.281124497992,0.81181102362205,0.07,-26.3559,260.3,0.29475916388973,NA,NA,0.0935,0.39218523878437,NA,0.5042,0.37837019085126,217.6,236.8,0.099239864864865,0.090280445639647,-104.8,-0.41259842519685,4.9,0.019291338582677,NA,0.95406929895246,NA,-0.01496062992126,0.93228346456693,22.5559,NA,254,-0.017463235294118,-0.42224012892828,75.1,4.7,23.5,226873,256.9,-16.4,NA,256.9,1.15,0.95804195804196
"5",2007-12-31,49.8,4.67,1.6874,0.057127312295974,346.6,427,30.3,71.6,0.48907103825137,0.30585219991457,0.16768149882904,-0.6282,0.13274860732488,NA,26.4,0,0,1.7,1.7,28.1,0,74.8,0.2527027027027,0.2975338106603,44,2.6619217081851,0.31952157197779,0.1,-1.5718,146.4,0.15339578454333,-0.02,NA,-0.0695,0.63702359346643,NA,0.5156,0.54730679156909,296,125.4,0.16746411483254,0.14344262295082,-4.4,-0.018795386586929,8.5,0.03630926954293,NA,0.36180034622043,NA,0.0072618539085861,0.53566851772747,3.2718,1.9246174334749,234.1,0.0057432432432432,-0.01269474899019,71.1,2.68,21,77952,251.4,-32.8,NA,251.4,1.4,0.39825897714907
"6",2006-12-31,35.9,4.67,1.6874,0.060178306092125,126.5,173.7,13.4,58.9,0.13653222067687,0.32469680264609,0.33909038572251,-0.5358,0.14223065070523,114.40540540541,16.4,0,0,2.3,2.2127,18.7,0.03794,372.5,4.9207397622193,1.6786840919333,161.95652173913,19.919786096257,2.0534729878721,0.3767,5.7486,431.4,0.27345998848589,-0.17,NA,0.1238,0.43110504774898,NA,0.6199,0.21934369602763,75.7,423.3,0.019135364989369,0.018776077885953,3.7,0.020396912899669,2.4,0.013230429988975,0,3.3462450592885,3.0370428830742,0.012679162072767,2.3335170893054,-3.5358,-1.5979444536829,181.4,0.02923035667107,0.029249011857708,53.8,6.85,8.1,2424531,221.9,-1,NA,221.9,1.5,3.2050520059435
"7",2005-12-31,34.2,4.67,1.6874,0.10448979591837,109.7,155.4,10.2,40.5,0.056587955847422,0.26350032530904,0.26061776061776,-0.7293,0.1280075856347,NA,15.3,0,0,-5,-5,10.3,0,675.2,8.2341463414634,3.9096699478865,NA,65.553398058252,4.3929733246584,NA,0.8293,715.7,0.32239382239382,0.08,248.375,0.0524,0.67652859960552,NA,0.3099,0.24839124839125,82,702.9,0.018210271731399,0.017884588514741,-5,-0.032530904359141,5.9,0.038386467143787,NA,6.4074749316317,NA,-0.032530904359141,4.5731945348081,-5.8293,NA,153.7,-0.060975609756098,-0.045578851412944,50.8,19.87,12.8,353014,172.7,1.3,540.69230769231,172.7,1.35,5.8424489795918
"8",2002-12-31,160.1,4.95,1.7367,NA,NA,173,8.6,25.2,0.056540273726722,0.19018867924528,NA,0.9,0.6265,NA,55.2,0,0,-68.768,-68.768,-13.568,0,420.5,NA,NA,NA,NA,3.1735849056604,0.4,-22.168,445.7,0.51098265895954,NA,NA,0.0664,0.77027027027027,NA,0.1622,0.17687861271676,101.6,400.5,0.11285892634207,0.10141350684317,-71.5,-0.53962264150943,-16.8,-0.12679245283019,NA,NA,NA,-0.51900377358491,3.022641509434,-46.6,NA,132.5,-0.67685039370079,NA,49.9,2.16,45.2,2598645,137,-43.7,NA,137,1.25,4.1387795275591
"9",2001-12-31,NA,3.81,1.6628,0.4997,NA,285,32.1,82.3,0.35458853942266,0.70102214650767,NA,-3.0382,0.4011,NA,86.7,0,0,-97.8656,-97.8656,-11.1656,0,149.8,NA,NA,NA,NA,1.2759795570699,0.25,-40.2274,232.1,0.48982456140351,NA,NA,0.6581,0.84713375796178,0,0.1672,0.12701754385965,121.113,79.7,0.63864491844417,0.21930202498923,-452.8,-3.8568994889268,-31.3,-0.26660988074957,NA,1.5627450980392,NA,-0.83360817717206,0.67887563884157,-57.6382,NA,NA,-0.80805198451033,-8.878431372549,116.4,0.46,50.9,473400,117.4,-335,NA,128.8,1.1,1.916392129664
"10",2000-12-31,NA,1.25,NA,0.08963282937365,NA,650.1,57.7,152.9,0.65091528309919,2.1968390804598,NA,-222.34,NA,NA,74.9,0,0,-49.764,-49.764,25.136,0,82,NA,NA,NA,3.2622533418205,1.1781609195402,0.4,54.9635,234.9,0.23396400553761,NA,NA,3.925,0.86025408348457,NA,0.3968,NA,437.2,176.8,0.32861990950226,0.2473392933163,-113.1,-1.625,-22.3,-0.32040229885057,NA,0.33233082706767,NA,-0.715,2.5402298850575,-104.7275,NA,NA,-0.11382433668802,-0.21259398496241,94.8439,1.33,58.1,NA,69.6,-217.4,NA,113.8,NA,0.39806812404677
