"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,30.4,1.18,0.3606,0.1071,412.7,735.3,45.7,18.6,0.0229,0.0123,0.0253,11.75,0.8,24.62,61.7,0.0167,12.77,51,33.46,113,0.3451,0.3446,794,1.79,0.5,15.54,7.04,0.53,0.145,0.105,37.71,812.6,0.4089,NA,NA,-0.09,0.02,0.3632,0.0203,443.6,763.1,0.0649,0.0609,31,0.0205,208.8,0.1381,0.3627,1.85,1.7,0.0338,0.5,-4.25,-0.1269,1511.9,0.0754,0.0751,359.5,24.78,49.5,378315,1597,35.2,21.68,1597,1.4,1.76
"2",2011-01-31,36.4,1.5,0.4996,0.072916666666667,489.5,796.1,37,89.3,0.18923500741683,0.060723514211886,0.11217183770883,2.0132,0.70056044835869,11.526595744681,62.4,0.0267,11.5718,62.8,40.138,125.2,0.36086,0.3616298811545,382.6,0.87212217916572,0.25738311469896,6.0923566878981,3.055910543131,0.26016591867265,0.225,0.1,63.5248,471.9,0.39944730561487,NA,NA,-0.185,0.0713,0.28094932649134,0.018716241678181,438.7,433.4,0.088832487309645,0.081585081585082,37.6,0.025567795457636,186.2,0.1266149870801,0.30776010638298,0.88539325842697,0.51229314420804,0.042703658370733,0.29470964232286,-23.3868,-0.58266048050999,1470.6,0.09149302940506,0.076813074565884,354.1,13.89,38.5,385085,1486.5,30.2,14.350993377483,1486.5,1.4,0.89375
"3",2010-01-31,38,1.81,0.6213,0.09711684370258,476,800.4,42.7,93.7,0.13410619722341,0.06543753055381,0.11706646676662,1.9034,0.56333494286174,22.560975609756,63.5,0.0177,11.4608,50.2,31.4618,113.7,0.37327,0.37336244541485,605,1.3956170703575,0.41764462239404,12.051792828685,5.3210202286719,0.42251553879461,0.14,0.05,50.3585,698.7,0.42728635682159,NA,NA,-0.175,-0.059,0.27979834353619,0.018615692153923,433.5,647.5,0.079073359073359,0.073278946615142,28.7,0.020043299113067,163.2,0.11397443955583,0.39932926829268,1.3602941176471,1.6114982578397,0.035058314128082,0.45219638242894,-18.8966,-0.60062041049395,1431.9,0.072576346020761,0.060294117647059,341.6,17.34,51.2,232031,1448.6,33.4,19.38622754491,1448.6,1.4,1.3253034901366
"4",2009-01-31,37.9,1.83,0.5984,0.11260106487872,450,768,99.8,26.3,0.049650745705116,0.017350573954348,0.034244791666667,-7.3695,0.37433155080214,NA,56.3,0.0161,7.6089,51.8,20.72,108.1,0.6,NA,503.4,1.0470049916805,0.34574175824176,9.7181467181467,4.6567992599445,0.33210186040375,0.12,NA,-15.4105,529.7,0.47799479166667,NA,NA,-0.095,0.3239,0.46017699115044,0.019401041666667,480.8,472.6,0.12082099026661,0.10779686615065,-3.5,-0.002309011742974,186.8,0.12323525531073,NA,1.0502222222222,NA,0.034173373796015,0.31178255706558,36.1305,1.7437515314874,1515.8,0.043094841930116,-0.0077777777777778,357.7,12.36,57.1,273853,1456,26.2,18.038167938931,1456,1.4,1.0445671465194
"5",2008-01-31,51.1,1.82,0.4565,0.16189250080463,520.8,871.5,95.3,17,0.047645739910314,0.010998964803313,0.019506597819851,1.8359,0.42059145673603,4.8248587570621,49.7,0.039890710382514,10.22,89.8,56.0801,139.5,0.3755,NA,339.8,0.56221045665122,0.22165688193086,3.7839643652561,2.4358422939068,0.21984989648033,NA,NA,8.6442,356.8,0.37831325301205,0.75,11,0.005,-0.1488,0.67271036727104,0.12656339644292,604.4,256.2,0.39266198282592,0.28195067264574,53.1,0.034355590062112,225.2,0.14570393374741,0.1924670433145,0.49193548387097,NA,0.058100414078675,0.16576086956522,47.4359,0.8458592186037,1545.6,0.092786399735275,0.10195852534562,354.9,8.25,100.6,526009,1533,30.9,8.2912621359223,1533,1.2,0.57418731895719
"6",2007-01-31,43.6,NA,NA,0.028231292517007,571.4,825,71.9,15.9,0.019612680399655,0.010256741065669,0.019272727272727,-2.0718,NA,14.359855334539,45.5,0,0,92.8,58.464,138.3,0.37,NA,794.8,1.3892676105576,0.50828163970071,8.5646551724138,5.7469269703543,0.51270803767256,NA,NA,34.1358,810.7,0.33793939393939,1.28,9.671875,0.145,0.054,NA,0.13369696969697,572.1,794.1,0.020904168240776,0.020476131738004,55.3,0.035672816410786,237.9,0.15346406915237,0,1.3897444872244,NA,0.059863243452458,0.51225648303445,24.3282,0.41612334199581,1550.2,0.10219192448873,0.09677983899195,360.7,12.38,16.6,865300,1563.7,61,13.018032786885,1563.7,NA,1.3787414965986
"7",2006-01-31,26.6,NA,NA,0.0061398296692414,501.8,731.7,75.2,33.7,0.04401776384535,0.025072539245592,0.046057127237939,-18.7481,NA,13.640429338104,41.5,0,0,91.7,57.771,133.2,0.37,NA,731.9,1.5532682512733,0.49536379018612,7.9814612868048,5.4947447447447,0.54452793690946,NA,NA,42.8191,765.6,0.33360666940003,NA,NA,NA,-0.2553,NA,0.12887795544622,471.2,762.5,0.0040655737704918,0.0040491118077325,55.9,0.041589167472658,188.9,0.14054013838256,0,1.5195296931048,NA,0.068224090469459,0.56729410014136,14.9519,0.25881403368068,1344.1,0.12260398981324,0.11139896373057,299.8,30.39,3.1,143000,1477.5,47.1,16.188959660297,1477.5,NA,1.516339869281
