"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,455.1,0.91,0.2951,0.1526,7757,25278,1811,9576,0.0841,0.1992,0.3788,-1229.16,0.77,178.26,1083,0,0,862,593.44,1945,0.3116,0.3244,104305.4,1.82,121,53.63,2.17,0.32,0.265,1094.6,113881.4,0.1747,1.19,210.82,0.235,0.3,0.2253,0.197,0.6678,0.0773,-422,112484.4,0.0124,0.0123,631,0.0131,-6438,-0.1339,0,14.5,5.57,0.0179,2.34,-501.16,-0.8445,48077,NA,0.0813,9927,250.87,1397,3411777,57256,203.9,551.66,57256,1.05,NA
"2",2010-12-31,451,0.37,0.3302,0.098384342571916,6864,18797,979,8762,0.10658381950087,0.25616886913811,0.46613821354472,-1399.5503,0.79497274379164,70.710590277778,568,0,0,1406,1075.3932,1974,0.23514,0.23046092184369,73445.6,1.6847639583429,52.237268847795,37.206484295846,2.1472810197638,0.275,0.28,2063.9436,82207.6,0.1284247486301,1.51,114.6357615894,0.245,0.3739,0.21144119813405,0.197,0.684,0.071766771293291,-1149,81458.6,0.0091948548096825,0.0091110797541833,1152,0.033680271313297,-5098,-0.14904689509999,0,11.867511655012,2.5712941919192,0.041106303356333,2.3815518652789,-988.5503,-0.91924552039078,34204,NA,0.16783216783217,6237,173.1,749,5679771,43594,871,93.523076923077,43594,1.05,NA
"3",2009-12-31,444,1.1,0.4351,0.04885109462638,5257,13813,373,6366,0.076489416921391,0.25974131951528,0.46087019474408,-964.5079,0.60330958400368,91.970288248337,378,0,0,1231,962.7405,1609,0.21792,0.22308354866494,76861.2,2.4974395632961,62.438017871649,47.769546302051,3.1360398221062,0.305,0.235,1932.2484,83227.2,0.093390284514588,3.23,55.727554179567,0.305,0.2327,0.2739749528221,0.235,0.6759,0.089336132628683,-839,82957.2,0.0032546903704561,0.0032441317261664,902,0.036802807132074,-3772,-0.15390264800685,0,15.780330987255,3.0154192868307,0.050226447427476,3.3847647802848,-969.5079,-1.0070293243086,24509,NA,0.17158074947689,4300,180,270,6049045,30776,1121,74.002854594112,30776,1.05,NA
"4",2008-12-31,428,1.15,0.5027,0.2182562902282,2672,8314,333,3727,0.061191652847784,0.19445893770218,0.44828000962232,-297.5811,0.33419534513626,100.26833333333,287,0,0,818,604.5674,1105,0.26092,NA,57180,2.6358733231918,69.902200488998,51.746606334842,2.9834081185433,0.275,0.18,856.1485,60907,0.10271830647101,2.15,62.567441860465,NA,0.2557,0.50780200475354,0.235,0.6965,0.052682222756796,-309,60161,0.012400059839431,0.012248181653997,600,0.031305436710842,-2257,-0.11776061776062,0,22.515344311377,3.6461212121212,0.042679745382448,3.1389439632683,-251.5811,-0.41613402316387,19166,NA,0.22455089820359,3452,134.52,746,8311723,21693,745.2,80.731347289318,21693,1.05,NA
"5",2007-12-31,416,1.9,0.5166,0.52650316455696,1197,6485,224,3112,0.13299827341573,0.20976004313831,0.4798766383963,358.674,0.34068912117693,46.360924369748,246,0,0,664,478.8834,910,0.27879,NA,20286.8,1.1186545354287,30.552409638554,22.293186813187,1.3674036128336,0.29,0.195,142.2095,23398.8,0.083731688511951,1.43,35.86013986014,NA,0.3785,0.47498296873817,0.246,0.7137,0.034232845026985,-584,22067.8,0.060314122839613,0.056883258970545,476,0.032084119708816,-1613,-0.10872202750067,0,18.435923141186,1.5986525644741,0.044755998921542,1.4874494472904,336.674,0.70303948853342,14836,NA,0.39766081871345,2689,51.28,1331,7103151,18135,579.8,38.061055536392,18135,1.1,NA
"6",2006-12-31,414,3.05,0.5215,0.74314660309893,431,4363,216,2019,0.050023785455194,0.18849780599384,0.46275498510199,268.1322,0.38350910834132,205.86210526316,205,0,0,389,196.0482,594,0.49602,NA,38341.8,2.915947980835,98.565038560411,64.548484848485,3.5796657641677,0.27,0.205,-83.084,40360.8,0.10474444189778,1.26,70.468253968254,NA,0.2677,0.47157726180945,0.258,0.7235,0.044694017877607,-341,39113.8,0.031881330885774,0.030896315236566,190,0.017738773223789,-1178,-0.10998039398749,0,90.751276102088,7.624522417154,0.036317804126599,3.6517412006349,279.1322,1.4237935980316,10711,NA,0.44083526682135,2067,88.79,1247,10243052,13149,367,106.57711171662,13149,1.25,NA
"7",2005-12-31,416,3.24,0.4753,0.86203028603477,246,3696,204,2000,0.11072173965997,0.23557126030624,0.54112554112554,140.4721,0.42078687144961,48.908848771826,121,0,0,480,374.5776,601,0.21963,NA,16063.3,1.6556689342404,33.465208333333,26.727620632279,1.8920259128386,0.205,0.16,151.1055,18063.3,0.094155844155844,0.58,68.034482758621,NA,0.1894,0.3144377910845,0.253,0.7522,0.04301948051948,-217,16526.3,0.093003273570007,0.08508965692869,337.9,0.03979976442874,-984,-0.11590106007067,0,67.180081300813,2.3857975010647,0.056537102473498,1.9465606595995,223.4721,0.59659756698119,8490,NA,1.3735772357724,1559,39.46,1537,4160644,9702,254.5,64.936345776031,9702,1.25,NA
"8",2004-12-31,403.4,1.68,0.4731,NA,NA,3248.5,89.1,1779.2,0.081785377737939,0.22090886516017,0.54769893797137,-140.4114,0.71020925808497,57.059936908517,75.7,0,0,432.3087,432.3087,508.0087,0,NA,19975.3,2.4801713434318,46.20609798451,39.320780189727,2.8861452659259,0.295,0.15,559.3202,21754.5,0.075788825611821,0.75,62.866666666667,NA,0.3149,0.24070420962519,0.257,0.694,0.042788979529013,-148.7,19896.8,0.093366772546339,0.085393826564619,348.7,0.050382164684804,-857.8,-0.12393983615321,0,NA,1.9342351494413,0.062462432272327,2.8748031382295,-127.0114,-0.29379799348488,6921.1,-2.9072544720915,NA,1169.5,47.15,1857.7,5163170,8054,348.7,57.059936908517,8054,1.6,NA
"9",2003-12-31,403.4,1.16,0.4521,NA,NA,2162,46,1394.8,0.069273443358977,0.22049036500735,NA,-165.9782,0.51316080513161,108.05169340464,75.6,0,0,348.9833,348.9833,424.5833,0,NA,18739.9,2.9624085110419,53.698556529824,44.137156498215,3.5602142979273,NA,0.165,544.5615,20134.7,0.10374653098982,1.08,41.287037037037,NA,0.2871,0.27328782206562,0.288,0.6005,0.032192414431082,-481.3,18185.1,0.10720864883889,0.096827864333713,168.3,0.031973706708209,-822.5,-0.15625890533275,0,NA,NA,0.0663,3.4548131542451,-195.5782,-0.56042281576287,5263.7,-0.72508479119053,NA,983.7,44.59,1949.6,5400260,6325.9,0,NA,6325.9,1.65,NA
"10",2002-12-31,387.9,2.69,0.7545,NA,NA,1990.4,39.2,1301,0.05582564890344,0.3307991558392,NA,33.7,0.7844,NA,82.3,0,0,111.1,111.1,193.4,0,NA,22003.7,NA,198.05310531053,113.77300930713,5.5947773907295,NA,0.14,154.2,23304.7,0.12027733118971,0.57,93.543859649123,NA,0.2119,0.53681829605428,0.288,0.5952,0.037329180064309,-363.2,21014.1,0.10900300274577,0.098289186301476,-2.4,-0.00061023672099469,-737.9,-0.18762236517582,NA,NA,NA,0.028248874876046,5.3431564494393,-43.1,-0.38793879387939,3932.9,NA,NA,881.4,53.32,2290.6,4737264,4463.4,-2.4,NA,4463.4,1.6,NA
