"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23.6,2.86,0.5997,NA,-106.2,302.4,38.3,4.1,0.0091,0.0055,0.0136,4.08,0.8,6.18,14.4,0,0,58,53.66,73,0.0765,0.0787,447.5,2.27,0.56,7.7,6.17,0.6,0.084,25.67,451.6,0.4163,0.68,8.82,-0.025,0.4969,0.8929,0.1647,196.8,144.5,2.1253,0.68,23.4,0.0314,51.2,0.0686,0,NA,0.74,0.0779,0.19,27.98,0.5215,746,0.2726,NA,21.6,6,307.1,301771,805.5,49.9,2.9,805.5,1.35,2.25
"2",2010-12-31,21,2.36,0.7262,NA,-144.5,271.3,11.2,1.8,0.0031380753138075,0.0026216137489077,0.0066347217102838,2.8181,0.46474800330487,102.48,16,0,0,47.9,19.16,63.9,0.6,0.69512195121951,571.8,3.3419053185272,0.78008185538881,11.937369519833,8.9483568075117,0.832799300903,0.489,21.1419,573.6,0.41798746774788,0.69,16.304347826087,0.0708,0.26038781163435,0.9217,0.16181349060081,171.1,256.2,1.2388758782201,0.55334728033473,2.5,0.0036411302068162,41.7,0.060734051849694,0,NA,2.0957055214724,0.069764054762598,0.37314302359452,-1.9819,-0.10344154458112,686.6,0.11198129748685,NA,19.3,11.25,317.4,129177,733,17.1,14.982456140351,733,1.35,3.3175245806825
"3",2009-12-31,20.1,2.54,0.8645,NA,-140.7,279.6,8.2,5.6,0.010475121586233,0.0091264667535854,0.02002861230329,3.6801,0.3903990746096,NA,20.2,0,0,33.9,13.56,54.1,0.6,1,529,2.9903900508762,0.78708525517036,15.604719764012,9.7781885397412,0.86212516297262,NA,21.8799,534.6,0.45529327610873,0.32,28.40625,-0.2723,0.4574780058651,0.8725,0.16273247496424,176.9,211.4,1.5288552507096,0.60456416011972,-83.9,-0.13673402868318,38.6,0.062907431551499,NA,NA,NA,0.055247718383312,0.34452411994785,-8.3199,-0.61356307184641,613.6,0.076653476540418,NA,24.6,9.09,323.2,108098,672.1,7.9,26.759493670886,672.1,1.35,2.9293150684932
"4",2008-12-31,19.5,2.07,0.8013,0.92278953922789,31,502.1,14.8,6.8,0.015148139897527,0.0083404881638661,0.013543118900617,-14.1742,0.25957818544865,56,21,0,0,40.5,40.5,61.5,0,NA,442.1,1.1200912085128,0.70130076142132,10.916049382716,7.1886178861789,0.542254384889,NA,60.8742,448.9,0.29615614419438,0.03,132.33333333333,0.0641,0.56597222222222,0.847,0.39075881298546,394.7,78.4,4.7257653061225,0.82535085765204,1.4,0.0017171593278548,62.5,0.076658898564945,0,2.5290322580645,NA,0.049674966270085,0.096160922359868,-20.3742,-0.50306741591749,815.3,0.10260957689384,0.045161290322581,35.8,3.97,370.5,45955,630.4,-86.3,NA,630.4,1.3,1.1180572851806
"5",2007-12-31,19.2,2.48,0.6901,0.9275092936803,27.3,494,10.6,9.7,0.024903722721438,0.012905800957956,0.019635627530364,-6.4854,0.37096073032894,NA,17.5,0,0,28.8,28.8,46.3,0,NA,379.8,1.0351594439902,0.45550491724634,13.1875,8.2030237580994,0.50532197977648,NA,42.1854,389.5,0.24696356275304,NA,NA,0.0219,0.64409448818898,0.927,0.4002024291498,366.9,40.2,8.6890547263682,0.89679075738126,-7.6,-0.010111761575306,59.3,0.078898350186269,NA,1.4725274725275,NA,0.038318254390633,0.053485896753592,-13.3854,-0.46477237448998,751.6,0.078495502861815,-0.27838827838828,31.3,3,349.3,60845,833.8,-12,NA,833.8,1.6,1.034253850239
"6",2006-12-31,19,1.67,0.4951,0.8880050906777,35.2,421.3,13.8,6.8,0.018665934669229,0.0093125171185976,0.016140517446001,-0.4996,0.4201171480509,1.5719557195572,15.7,0,0,47.4,47.4,63.1,0,NA,357.5,1.1626016260163,0.48573369565217,7.542194092827,5.6656101426307,0.48959189263216,NA,49.7996,364.3,0.27771184429148,0.29,13.896551724138,0.0764,0.58775029446408,0.9144,0.33135532874436,307.5,85.2,3.2758215962441,0.76612681855613,54.2,0.074226239386469,62.9,0.086140783347028,0,2.4204545454545,NA,0.064913722267872,0.11668036154478,-2.3996,-0.050624821590987,730.2,0.15414634146341,1.5397727272727,24,4.03,279.1,15366,736,9.7,8.7835051546392,736,1.3,1.1590836780146
"7",2005-12-31,19,1.52,0.6284,NA,-22.1,382.6,19.3,1.6,0.0029493087557604,0.0023595339920366,0.0041819132253006,-4.1836,0.28007638446849,20.111111111111,16.7,0,0,44.1,41.6467,60.8,0.05563,NA,540.9,2.0380557648832,0.73641933287951,12.265306122449,8.8963815789474,0.79766996018286,0.274,43.2303,542.5,0.30109775222164,0.8,16.65,0.0906,0.42811115585985,0.9767,0.35101934134867,265.4,253.4,1.1408839779005,0.53290322580645,12.6,0.018581330187288,50.3,0.07417784987465,0,NA,0.73398215733982,0.065034655655508,0.37369119598879,-1.5836,-0.038025343820744,678.1,0.15692056141673,NA,20.4,13.32,289.1,63547,734.5,54.2,4.6752767527675,734.5,1.1,2.0318352059925
"8",2004-12-31,19,0,0,NA,NA,379.3,10.7,2.7,0.0063143124415341,0.0041052151436825,0.0071183759557079,0.6371,NA,NA,22.5,0,0,31.9872,12.7949,54.4872,0.6,NA,424.9,1.7726324572382,0.64603922761137,13.28343837535,7.7981617701038,0.68311897106109,0.214,23.9578,427.6,0.3071447403111,0.59,13.508474576271,0.091,0.35054021608643,0.8871,0.34985499604535,239.7,151.1,1.8299139642621,0.64663236669785,-1.7,-0.0027331189710611,11.1,0.017845659163987,NA,NA,NA,0.051426366559486,0.24292604501608,-11.1629,-0.87245132176665,622,0.053378723404255,NA,25.1,7.97,276.5,65421,657.7,0,NA,657.7,0.95,NA
"9",2003-12-31,18.9,0,0,NA,NA,371.7,8.9,1,0.0023084025854109,NA,NA,-8.1,NA,NA,28.5,0,0,54.5611,54.5611,83.0611,0,NA,432.2,1.7089758797944,NA,7.9213945466642,5.203398462096,0.76441457375309,0.25,82.2611,433.2,0.37126715092817,NA,NA,0.0443,0.64,0.8955,0.35673930589185,252.9,158.6,1.7313997477932,0.63388734995383,-69.6,-0.12309869119208,8.1,0.014326140785285,NA,NA,NA,0.0965,0.28050937389459,-27.7,-0.50768771157473,565.4,0.21574179517596,NA,12.5,8.89,274.6,64524,NA,0,NA,0,0,NA
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0.10772578890098,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,19.6,0,NA,0,NA,NA,0,NA,NA
