"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,55.7,0.8,0.4298,0.2222,151.2,291.7,5.2,102.9,0.151,0.4735,0.3528,1.6,0.47,11.6,0,0,0,0.3,12,0,578.4,6.32,2.47,1945.12,48.62,2.66,0.1833,5.1,681.3,0.1022,NA,0.465,0.3513,0.8351,0.2239,91.5,638.1,0.0677,0.0634,-21.4,-0.0985,20.6,0.0948,4.22,0.0014,2.94,-4.8,-16.1349,217.3,0.0032,-0.1415,93.1,11.25,43.2,306089,234.2,-17.3,234.2,1.05,3.5
"2",2010-12-31,53.7,0.23,0.6598,0.21028037383178,152.1,286.1,1.6,104.3,0.10086065177449,0.58203125,0.36455784690668,2.5693,0.39784783267657,22.4,0,0,-27.1903,-27.1903,-4.7903,0,929.8,10.530011325028,4.4255116611138,NA,NA,5.1886160714286,0.2,-8.9595,1034.1,0.076896190143306,NA,0.0501,0.24517906336088,0.954,0.23802866130723,88.3,993.6,0.040760869565217,0.039164490861619,-31.7,-0.17689732142857,14.9,0.083147321428571,6.5325443786982,-0.15173147321429,5.5446428571429,-18.2307,NA,179.2,-0.30793069082673,-0.20841551610782,84.6,17.78,40.5,497398,210.1,-23.2,210.1,1.05,5.3691588785047
"3",2009-12-31,46.8,0.95,0.8207,0.29827315541601,89.4,197,1.7,21.7,0.017386427369602,0.14593140551446,0.11015228426396,2.0387,0.33507980991836,20.8,0,0,-36.473,-36.473,-15.673,0,1226.4,11.602649006622,7.2183637433785,NA,NA,8.2474781439139,0.25,-19.4117,1248.1,0.16294416243655,NA,0.1486,0.53474135292317,0.7807,0.35989847715736,105.7,1210.1,0.031402363441038,0.030446278343082,-43.5,-0.2925353059852,14.3,0.096166778749159,13.535794183445,-0.24527895090787,8.137861466039,-17.0613,NA,148.7,-0.34506130558184,-0.48657718120805,73.3,24.88,38,416579,169.9,-34.2,169.9,1.1,9.7967032967033
"4",2008-12-31,46.5,0.81,0.8263,0.19790301441678,122.4,212.1,3,26.6,0.064034665382764,0.20652173913044,0.12541254125412,1.9682,0.22267941425632,19.2,0,0,-49.9961,-49.9961,-30.7961,0,388.8,3.0857142857143,2.7037552155772,NA,NA,3.0186335403727,0.2,-35.7642,415.4,0.2013201320132,NA,0.696,0.63426371511068,0.7951,0.34747760490335,126,385.2,0.078400830737279,0.072701011073664,-51.2,-0.39751552795031,16.9,0.13121118012422,3.1470588235294,-0.38816832298137,2.9906832298137,-14.2318,NA,128.8,-0.39679428571429,-0.41830065359477,70.4,8.35,30.2,100969,143.8,-44.5,143.8,1.15,2.7221494102228
"5",2007-12-31,36.8,1.15,0.6255,0.16322580645161,129.7,210.4,3.8,34.3,0.25146627565982,0.57166666666667,0.16302281368821,-6.7307,0.23021582733813,9.3,0,0,-60.138,-60.138,-50.838,0,102.1,0.84589892294946,0.82940698619009,NA,NA,1.7016666666667,NA,-47.9073,136.4,0.20437262357414,-1.3,1.1801,0.77272727272727,0.6857,0.3578897338403,120.7,111.1,0.22772277227723,0.18548387096774,-58.4,-0.97333333333333,6.4,0.10666666666667,0.85659213569776,-1.0023,1.8516666666667,-12.2307,NA,60,-0.49824357912179,-0.4502698535081,54.1,2.67,25.3,669775,123.1,-58.8,123.1,0.9,0.88
"6",2006-12-31,27.8,NA,NA,0.081497797356828,83.4,101.7,1.6,61.8,0.13466986271519,2.9711538461538,0.60766961651917,-4.3096,NA,3.5,0,0,-41.8739,-41.8739,-38.3739,0,397.1,13.693103448276,10.617647058824,NA,NA,19.091346153846,NA,-35.6643,458.9,0.23205506391347,-1.68,1.6447,0.32794555508294,0.8181,0,29,451.5,0.016389811738649,0.016125517541948,-39.6,-1.9038461538461,5.4,0.25961538461539,5.4136690647482,-2.0131692307692,21.706730769231,-6.2096,NA,20.8,-1.4439282758621,-0.47482014388489,36.6,14.06,7.4,133919,37.4,-51.4,37.4,1.35,5.0539647577092
"7",2005-12-31,21.2,NA,NA,0.043971631205674,67.4,76.4,1.2,61.2,0.25617413143575,10.2,0.80104712041885,-3.9583,NA,1,0,0,-24.3496,-24.3496,-23.3496,0,177.7,19.10752688172,11.464516129032,NA,NA,29.616666666667,NA,-20.5913,238.9,0.090314136125654,-1.59,NA,0.37721289151157,0.7635,0,9.3,235.8,0.01314673452078,0.012976140644621,-24.5,-4.0833333333333,2.5,0.41666666666667,3.4985163204748,-4.0582666666667,39.3,-3.7583,NA,6,-2.6182365591398,-0.36350148367953,20.8,8.38,3.1,81076,15.5,-36.7,15.5,NA,3.3886524822695
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.2436974789916,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,11.96,0,54530,NA,0,0,0,NA
