"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,19.7,1.56,0.3903,0.136,146.1,196.7,0.2,19.4,0.1217,0.3012,0.0986,-1.36,0.8,NA,4.9,0.0173,2.36,-5,-4.9,0,0,140,0.94,2.27,NA,NA,2.17,1.16,159.4,0.1113,NA,-0.03,0.2145,NA,0.5041,0,149.7,136.4,0.1686,0.1443,-12.1,-0.1879,31.2,0.4845,NA,0.93,-0.0761,2.12,-6.06,NA,64.4,-0.0327,-0.0828,27.7,6.67,23,44970,61.6,-9.7,NA,61.6,1.15,0.94
"2",2011-09-30,19,1.25,0.4272,0.64908190032061,120.4,422.5,1.2,24.5,0.077753094255792,0.28488372093023,0.057988165680473,0,0.7315074906367,NA,15.8,0.0247,2.2823,-7.2,-7.2,8.6,0,290.6,0.91211550533584,3.3790697674419,NA,33.790697674419,3.3790697674419,7.4,315.1,0.063668639053254,NA,-0.0664,0.29913043478261,NA,0.3766,0.018934911242604,318.6,92.4,2.4101731601732,0.70675975880673,-17,-0.19767441860465,201.3,2.3406976744186,NA,0.76744186046512,-0.083720930232558,1.0744186046512,-14.6,NA,86,-0.022598870056497,-0.14119601328904,22.2,4.66,222.7,23483,86,-6,NA,86,1.25,0.91839113960944
"3",2010-09-30,18,1.65,0.5553,0.57789855072464,139.8,375.8,5,26.2,0.083947452739507,0.24214417744917,0.069717935071847,-29.4122,0.58526922384297,NA,8.9,0.0182,2.1967,10.6,10.6,19.5,0,285.9,0.93737704918033,3.2232243517475,26.971698113208,14.661538461539,2.6423290203327,43.9122,312.1,0.079031399680681,NA,-0.3217,0.34086629001883,NA,0.4292,0.030867482703566,305,120.7,1.5857497928749,0.61326497917334,-14.5,-0.13401109057301,163.2,1.5083179297597,NA,0.86337625178827,0.097966728280961,1.1155268022181,-33.3122,-3.1426603424825,108.2,0.034754098360656,-0.10371959942775,23,6.86,191.4,47398,88.7,-15.3,NA,88.7,1.3,0.9423309178744
"4",2009-09-30,17.6,1.48,0.4815,0.79406706792777,143.7,762.7,16.2,14.9,0.023855267371118,0.095574085952534,0.019535859446703,-158.9756,0.44859813084112,NA,6,0.0305,2.1502,33.4,33.4,39.4,0,609.7,0.8928100746815,5.6401480111008,18.254491017964,15.47461928934,3.9108402822322,182.1756,624.6,0.040251737249246,NA,0.2176,0.43815513626834,NA,0.5192,0.016126917529828,682.9,70.5,7.8595744680851,0.88712776176753,-24.9,-0.15971776779987,518.5,3.3258499037845,NA,0.49060542797495,0.21423989737011,0.45221295702373,-148.7756,-4.4543600419431,155.9,0.048909064284668,-0.17327766179541,24.8,4.04,554.1,28519,108.1,-18.9,NA,108.1,1.35,0.8950988822012
"5",2008-09-30,17.6,2.01,0.4701,0.79406706792777,143.7,762.7,16.2,14.9,0.024055537617049,0.095574085952534,0.019535859446703,-22.2832,0.54456498617315,NA,6,0.075467075038285,4.928,33.4,33.4,39.4,0,604.5,0.88519548982281,3.7177121771218,18.09880239521,15.342639593909,3.8774855676716,45.4832,619.4,0.040251737249246,-0.195,0.2213,0.71547125074096,NA,0.5566,0.016126917529828,682.9,65.3,8.4854517611026,0.89457539554407,-10.5,-0.067350865939705,518.5,3.3258499037845,NA,0.45441892832289,0.21423989737011,0.41885824246312,-12.0832,-0.3617722860885,155.9,0.048909064284668,-0.073068893528184,24.8,3.89,554.1,10968,162.6,-20.7,NA,162.6,1.6,0.88764689022643
"6",2007-09-30,17.6,1.16,0.4645,0.79341720961582,183.9,969.7,26.4,103.2,0.10581359581667,0.8075117370892,0.10642466742291,0,0.58557588805167,46.379310344828,3.7,0.01831970260223,4.928,58.7,39.7546,62.4,0.32275,872.1,1.1081321473952,6.8239436619718,14.856899488927,13.975961538461,6.8239436619718,17.0546,975.3,0.012684335361452,0.025,0.5916,0.39818671894144,NA,0.7791,0.013096834072394,787,269,2.6256505576208,0.72418742950887,5.8,0.045383411580595,731.4,5.7230046948357,0.84965517241379,1.4627514953779,0.45931142410016,2.1048513302034,22.7,0.57100346312343,127.8,0.050514072426938,0.031538879825992,NA,13.21,706.3,126640,127.8,16.3,16.503067484663,127.8,1.7,1.0955964951696
"7",2006-09-30,17.3,1.41,0.4548,0.47139337530797,193.1,416.8,37.1,37.6,0.059315349424199,0.47715736040609,0.09021113243762,-0.1297,NA,26.687861271676,3.2,0.0089928525016244,4.152,27.2,22.91,30.4,0.15772,596.3,1.8196521208422,7.5576679340938,21.922794117647,19.615131578947,7.5672588832487,-10.8603,633.9,0.022792706333973,-0.07,0.595,0.26797984425103,NA,0.5355,0,327.7,461.7,0.37296946068876,0.27165168007572,17.3,0.21954314720812,102.2,1.2969543147208,0.24,2.3909891248058,0.34517766497462,5.8591370558376,33.7703,1.4740410730629,78.8,0.069911553249924,0.089590885551528,22,26.4,172.2,53693,78.9,17.3,26.687861271676,78.9,NA,1.7352860662469
"8",2005-09-30,18.1,0.66,0.4502,0.44049043062201,NA,456.8,17.4,30.4,0.067480577136515,0.12307692307692,0.066549912434326,320.3651,0.29320302087961,51.389830508475,2.8,0.014076246334311,4.344,10.3786,6.2268,13.1786,0.40004,420.1,1.3819078947368,1.7008097165992,40.477365049756,31.877340909229,8.1414728682171,-328.7383,450.5,0.066768826619965,-0.07,0,0.46686142048567,NA,0.536,0,304,303.2,0.48581794195251,0.32697003329634,5.9,0.11434108527132,84.6,1.6395348837209,0.73627118644068,1.6205237840727,0.20113643410853,5.8759689922481,334.9651,53.794371384506,51.6,0.02048279228421,0.031533939070016,21.6,17.05,147.3,89334,247,20.9,14.507177033493,247,0,1.3471889952153
"9",2004-09-30,17.5,0.84,0.288,0.33393595041322,NA,725.7,42.8,69.1,0.09939585730725,0.31014362657092,NA,0,0.58333333333333,24.820175438597,15.6,0.0061842918985776,3.5,49.3435,32.5391,64.9435,0.34056,626.1,1.9682489783087,2.8101436265709,12.688601335536,9.6406876746711,3.0173493975904,5.3391,695.2,0.51564007165495,-0.08,0.664,0.41854856391142,NA,0.5944,0.061871296679069,318.1,565.9,0.22848559816222,0.18598964326812,22.8,0.10987951807229,0,0,0.15350877192983,2.1942613416053,0.2378,2.7272289156626,27.2,0.83591797840524,207.5,0.10229197623389,0.088406359053897,23.5,32.34,129.3,25883,222.8,21.2,26.693396226415,222.8,0.85,1.7954545454546
"10",2003-09-30,17.4,0.7,0.3844,0.39974293059126,NA,467.5,22,25.7,0.062545631540521,0.21274834437086,NA,13.1,0.3984,28.377777777778,11.2,0.0088566953797964,2.262,28.2,19.8892,39.4,0.29471,385.2,NA,NA,13.659574468085,9.7766497461929,3.1887417218543,9.0892,410.9,0.25497326203209,NA,0.0244,0.33948177426438,NA,0.5834,0.080213903743315,363.3,255.4,0.60884886452623,0.37843757605257,9,0.074503311258278,-16.8,-0.13907284768212,0.25133333333333,1.0937901498929,0.23344370860927,2.114238410596,10.8,0.54300886642977,120.8,0.054745879438481,0.038543897216274,8.5,15.03,155.5,17831,123.9,9.9,25.79797979798,123.9,0.85,1.0602807597027
