"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,128.3,2.77,0.7555,0.4855,840.2,7975.2,0,309.1,0.3523,0.0388,NA,0.8,NA,0,0,0,329,328.7,329,0,568.4,0.43,1.73,1.73,NA,328.7,877.5,0.0126,NA,NA,NA,NA,0.5873,NA,0.6301,6e-04,1323.8,84.8,9.3479,0.9034,-10.7,0,NA,0.1,NA,0,0,NA,0.2483,-0.0127,88.3,0.72,792.7,837158,NA,-22.4,NA,NA,1.75,0.54
"2",2010-12-31,127.3,3.26,1.2917,0.48684680395191,862.2,8646.4,0,353.2,0.38345456519379,0.040849370836418,NA,0.32902376712859,NA,0,0,0,209.3,209.3,209.3,0,567.9,0.42795779954785,2.7133301481128,2.7133301481128,NA,209.3,921.1,0.012039692820133,NA,NA,NA,NA,0.65853658536585,NA,0.673,0.00050888230940044,1327,103.1,7.9340446168768,0.88806861361416,-291.9,0,NA,0.11957782417073,NA,0,0,NA,0.15772418990203,-0.33855254001392,110.8,0.96,818,912004,NA,-63.3,NA,NA,1.7,0.5482085466016
"3",2009-12-31,62.1,2.51,1.2372,0.56946135831382,459.6,10232,0,725.3,1.0470622202974,0.070885457388585,NA,0.34351762043324,NA,0,0,0,321.6,321.6,321.6,0,-32.6,-0.095265926358855,NA,NA,NA,321.6,692.7,0.0099100860046912,NA,NA,NA,NA,0.73881499395405,NA,NA,0.00043002345582486,342.2,84.8,7.1686320754717,0.87758048217121,-21.1,0,NA,0.18450826805918,NA,0,0,NA,0.93980128579778,-0.045909486510009,125.1,1.38,607.9,719226,NA,NA,NA,NA,1.7,0.64889929742389
"4",2008-12-31,53.8,2.08,1.2194,0.65976422347514,331.9,10138.9,0,184.3,0.2168745587197,0.018177514326012,NA,0.21649991799245,NA,0,0,0,376.9,376.9,376.9,0,665.5,0.84112740141557,1.7657203502255,1.7657203502255,NA,NA,849.8,0.010326564025683,NA,NA,NA,NA,0.68798449612403,NA,0.0693,0,791.2,206.2,3.1212415130941,0.75735467168746,-318.3,0,NA,0.62127146730943,NA,NA,NA,NA,0.47636501516683,-0.95902380235011,156.7,3.63,643.6,226551,NA,NA,NA,NA,1.65,0.8711430035879
"5",2007-12-31,53.8,0.53,0.5871,0.17339798674196,773.5,9304.4,0,67.9,0.21113184079602,0.0072976226301535,NA,0.39516266394141,NA,0,0,0,188.6,188.6,188.6,0,253.7,0.25675538913065,1.3451749734889,1.3451749734889,0.02,NA,321.6,0.011424702291389,-0.62,NA,NA,NA,0.66930761281433,NA,0.0769,0,988.1,39.1,7.2250639386189,0.87842039800995,-170.9,0,NA,0.050549450549451,NA,NA,NA,NA,0.19087136929461,-0.22094376212023,171.2,7.5,282.5,31662,NA,NA,NA,NA,1.45,0.30454545454546
"6",2006-12-31,5.4,2.41,0.7289,0.60234175543622,330.1,11856.4,0,227.1,0.15396610169492,0.019154212071118,NA,0.30731238853066,NA,0,0,0,487.1,487.1,487.1,0,1247.9,0.84810384667663,2.5618969410799,2.5618969410799,NA,NA,1475,0.011706757531797,NA,NA,-0.125,NA,0.72236503856041,NA,0.0318,0,1471.4,106.6,12.836772983114,0.92772881355932,-223.9,0,NA,0.32293244471372,NA,NA,NA,NA,0.33104526301482,-0.67827930930021,155.4,19.32,1368.4,130400,NA,-264.9,NA,NA,1.4,0.86841330585811
"7",2005-12-31,107.9,1.9,0.6157,0.88739380919832,1149.8,17298.7,0,192.1,0.039297915430722,0.01110488071358,NA,0.29884684099399,26.090909090909,0,0,0,738.3,369.15,738.3,0.6,4696.2,0.85360622364403,6.3608289313287,6.3608289313287,NA,NA,4888.3,0.0086942949470191,NA,NA,0.26,NA,0.62997974341661,NA,0.5247,0,5501.6,344.4,13.193670150987,0.9295460589571,13.2,0,0,0.29953035310489,NA,NA,NA,NA,0.067098662207358,0.011480257436076,106.2,2.87,4543.9,4660000,NA,-37.1,NA,NA,1.15,0.85854540983895
"8",2004-12-31,107.9,0.92,0.4988,0.41243745532523,NA,15102.4,0,64.9,0.025853483647373,0.0042973302256595,0,0.36888532477947,2.2988153594771,0,0.030160226201697,34.528,NA,NA,NA,0.02411,2445.4,0.6325400931195,NA,NA,0.155,NA,2510.3,0.0097070664265282,NA,NA,0.4,0,0.72630476522953,NA,0.5668,0,3866,1125.5,1.2303864948912,0.55164721348046,489.6,0,0.070522875816993,0.80421579135405,0.14831066835336,0,NA,NA,NA,0.24817518248175,80.7,10.61,1384.8,1536700,NA,489.6,2.2988153594771,0,1.05,0.7476471289016
"9",2003-12-31,107.9,0.44,0.2688,0.3290355201618,NA,10394,0,84.7,0.014032471835653,NA,0,0.32738095238095,16.355742296919,0,0.014738996929376,77.688,NA,NA,NA,0.1832,5951.3,2.0794926447465,NA,NA,0.206,NA,6036,0.01308447181066,3.82,12.787958115183,0.355,0,0.25224993571612,NA,0.6267,0,2861.9,5255.1,0.1485985043101,0.12937375745527,321.3,0,0.24179271708684,5.1561028257457,0.79396807266596,0,NA,NA,NA,0.2017709118312,0,48.85,780.9,77900,NA,433.7,12.116901083698,0,1,2.5432941473897
"10",2002-12-31,107.8,0.08,0.3684,0.43205841446453,NA,8421.7,0,156.1,0.037807595427243,NA,0,0.0466,15.871040723982,0,0.022128581610834,77.616,448.4,379.6603,448.4,0.1533,3972.7,NA,8.8597234611954,8.8597234611954,0.2,379.6603,4128.8,0.013643326169301,2.64,12.356060606061,NA,0,0.31108475916201,NA,0.6377,0,1510.2,3507.5,0.17713471133286,0.15047955822515,221,0,0.3512036199095,4.294722664381,0.79355203619909,0,0,0,0.25139735134419,0.27060119995102,72.8,32.62,621.3,549008,0,290.9,12.057408044001,0,1,2.6305787312939
