"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,299.3,1.77,0.4465,0.1568,58.6,99.8,1.4,50,0.1774,0.457,0.501,0.67,0.8,3.4,0,0,-801,-801.24,-798,0,231.8,11.89,1.99,2.12,0.25,NA,-799.91,281.8,0.0481,NA,NA,0.1,0.275,0.047,0.3836,0.0281,19.5,270.9,0.0402,0.0387,-18.8,-0.1718,10.4,0.0951,4.62,-7.3239,2.48,-1.33,NA,109.4,-41.0892,-0.3208,37.2,0.89,10.9,3684301,116.5,-31.1,116.5,1.45,4.05
"2",2011-03-31,258.6,2.12,0.6181,0.17661097852029,34.5,87,1,33.5,0.1058786346397,0.40903540903541,0.38505747126437,-0.8,0.54602815078466,3.8,0,0,-39.8452,-39.8452,-36.0452,0,282.9,33.678571428571,2.8662613981763,3.4542124542124,NA,NA,-36.2452,316.4,0.067816091954023,NA,NA,0.2467,0.4314381270903,0.047,0.4159,0.041379310344828,8.4,309,0.023948220064725,0.02338811630847,-38.5,-0.47008547008547,-3.9,-0.047619047619048,8.9565217391304,-0.48651086691087,3.7728937728938,-3.6,NA,81.9,-4.743480952381,-1.1159420289855,33.2,1.16,7.4,3490810,98.7,-38.6,98.7,1.35,7.5513126491647
"3",2010-03-31,242.1,1.71,0.7668,0.14391143911439,46.4,103.4,2,47.3,0.19425051334702,0.76910569105691,0.45744680851064,-0.8865,0.44014084507042,3.5,0,0,-43.7579,-43.7579,-40.2579,0,196.2,28.434782608696,2.9153046062407,3.190243902439,0.325,NA,-41.3714,243.5,0.08027079303675,NA,NA,0.0088,0.40096618357488,0.047,0.4291,0.044487427466151,6.9,235.7,0.033092914722104,0.032032854209446,-67.2,-1.0926829268293,-9.4,-0.15284552845529,5.0797413793103,-0.71151056910569,3.8325203252032,-2.3865,NA,61.5,-6.3417246376812,-1.448275862069,35.3,0.96,7.8,1730295,67.3,-21.6,67.3,1.35,4.4926199261993
"4",2009-03-31,174.1,1.49,0.7519,0.068265682656827,50.5,72.3,6.8,19.5,0.077751196172249,0.44419134396355,0.26970954356846,3.7025,0.30855166910493,3,0,0,-42.0798,-42.0798,-39.0798,0,231.3,6.6657060518732,4.4057142857143,5.2687927107062,NA,NA,-49.5823,250.8,0.13001383125864,NA,NA,0.1909,0.60204081632653,0.047,0.1757,0.0055325034578147,34.7,247.1,0.01497369486038,0.014752791068581,-41.7,-0.9498861047836,18.9,0.43052391799544,4.8930693069307,-0.95853712984055,5.628701594533,7.5025,NA,43.9,-1.2126737752161,-0.82574257425743,36.8,1.28,3.7,2869938,52.5,-65.8,52.5,1.45,4.6273062730627
"5",2008-03-31,147.6,0.97,0.7085,0,53.1,74,0.8,42.6,0.22106901920083,1.3610223642173,0.57567567567568,-0.5981,0.29357798165138,2.2,0,0,-38.3077,-38.3077,-36.1077,0,150.1,14.295238095238,3.8388746803069,4.7955271565495,0.4,NA,-36.3096,192.7,0.074324324324324,-0.17,NA,0.4529,0.75745526838966,0.047,0.4514,0.0081081081081081,10.5,192.7,0,0,-36.1,-1.1533546325879,2.4,0.07667731629393,3.6290018832392,-1.2238875399361,6.1565495207668,-1.9981,NA,31.3,-3.6483504761905,-0.67984934086629,34.5,0.84,0,1231764,39.1,-36.9,39.1,1.3,3.6290018832392
"6",2007-03-31,144,0.66,1.1636,0,81.8,97,1.5,60.3,0.2452216348109,2.8714285714286,0.62164948453608,-1.8543,0.18563080096253,3,0,0,-38.9814,-38.9814,-35.9814,0,185.6,8.6325581395349,7.6378600823045,8.8380952380952,NA,NA,-35.6271,245.9,0.064948453608247,NA,NA,-0.3761,0.40833988985051,0.047,0.2569,0.0092783505154639,21.5,245.9,0,0,-36.7,-1.7476190476191,11.8,0.56190476190476,3.0061124694376,-1.8562571428571,11.709523809524,-3.3543,NA,21,-1.813088372093,-0.44865525672372,34,1.7,0,2568516,24.3,-35.8,24.3,1.35,3.0061124694376
"7",2006-03-31,103,2.16,1.1741,0,71.6,89.7,1.3,58.1,0.44589409056025,2.4107883817427,0.64771460423634,-0.2324,0.17715697129716,4.2,0,0,-49.2188,-49.2188,-45.0188,0,72.2,5.3481481481481,2.6840148698885,2.9958506224066,NA,NA,-46.0864,130.3,0.08695652173913,NA,NA,0.1704,0.56567425569177,0.047,0.2151,0.013377926421405,13.5,130.3,0,0,-47.1,-1.954356846473,2,0.08298755186722,1.8198324022346,-2.0422738589212,5.4066390041494,-3.1324,NA,24.1,-3.645837037037,-0.65782122905028,38.8,1.23,0,2128414,26.9,-45.5,26.9,1.3,1.8198324022346
"8",2005-03-31,84.8,3.68,1.3346,0.0026007802340702,NA,95.2,1.1,63.6,0.22489391796322,3.2448979591837,0.66806722689076,-0.2753,0.55147609770718,5.2,0,0,-41.206,-41.206,-36.006,0,219.2,16.481203007519,11.183673469388,12.894117647059,NA,0.36,-36.8307,282.8,0.11029411764706,-0.45,NA,0.3425,0.73746312684366,0.056,0.1883,0.014705882352941,13.3,282.6,0.00070771408351026,0.00070721357850071,-39.4,-2.3176470588235,-1.8,-0.10588235294118,3.6844850065189,-2.4238823529412,16.623529411765,-4.3753,0.10618099591436,17,-3.0981954887218,-0.51368970013038,29,2.99,0.2,3769839,19.6,-39.9,19.6,1.4,3.6775032509753
"9",2004-03-31,84.5,4.26,0.9899,0.0051724137931034,NA,136.5,1.3,102.4,0.67235718975706,8.1269841269841,NA,0,0.86069299929286,6.2,0,0,-42.6359,-42.6359,-36.4359,0,49.9,3.6691176470588,3.9603174603175,3.9603174603175,NA,0.31,-37.7359,152.3,0.10989010989011,-0.37,NA,-0.3782,0.43089430894309,0.067,0.2746,0.012454212454213,13.6,151.7,0.003955174686882,0.0039395929087328,-47.7,-3.7857142857143,-6.2,-0.49206349206349,1.3145580589255,-3.3838,12.039682539683,-4.9,0.11492667678021,12.6,-3.1349911764706,-0.41334488734835,32.1,1.75,0.6,152849,12.6,-47.7,12.6,1.45,1.3129310344828
"10",2003-03-31,81.4,3.53,1.1749,0.014645577035735,NA,187.2,2.5,140.3,1.1332794830372,7.1948717948718,NA,-18.1,0.661,9.9,0,0,-52.954,-52.954,-43.054,0,-16.5,NA,NA,-0.84615384615385,NA,0.275,-45.554,123.8,0.10950854700855,-0.36,NA,-0.4854,0.56707317073171,0.067,0.1432,0.010683760683761,30.4,121.3,0.020610057708162,0.020193861066236,-50.1,-2.5692307692308,1.1,0.056410256410256,0.72116527942925,-2.7155923076923,6.2205128205128,-7.4,NA,19.5,-1.7419095394737,-0.29785969084423,31,1.47,2.5,820277,17.7,-50.1,17.7,1.4,-0.54276315789474
