"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,26,2.73,1.0621,0,13.6,16.7,0.3,12.5,0.1572,1.3736,0.7485,0,0.64,NA,0.1,0,0,-7,-7.1,-7,0,67,60.91,7.36,NA,NA,7.36,-7.3,79.5,0.0299,NA,NA,-0.015,0.5343,NA,0.3156,0,1.1,79.5,0,0,-7.8,-0.8571,-1.5,-0.1648,NA,5.85,-0.7807,8.74,0.2,NA,9.1,-6.4584,-0.5735,15.7,3.21,0,446467,9.1,-7.8,NA,9.1,1.75,5.85
"2",2011-09-30,24.1,1.5,1.2182,0,18.1,19.9,0.2,15.8,0.083775185577943,1.5339805825243,0.79396984924623,0,0.31809226727959,NA,0.2,0,0,0.2,0.2,0.4,0,172.8,75.130434782609,16.776699029126,864,432,16.776699029126,0.2,188.6,0.010050251256281,0.23,31.521739130435,0.4821,0.59683313032887,NA,0.3813,0,2.3,188.6,0,0,-0.1,-0.0097087378640777,1.5,0.14563106796117,NA,10.419889502762,0.019417475728155,18.31067961165,0,0,10.3,0.08695652173913,-0.005524861878453,8.8,7.25,0,324748,10.3,-0.1,NA,10.3,1.55,10.419889502762
"3",2010-09-30,17.8,2.16,1.6389,0.41176470588235,1,3,0,1.3,0.015294117647059,0.25490196078431,0.43333333333333,0,0.24406614192446,NA,0,0,0,-0.3468,-0.3468,-0.3468,0,83.7,209.25,16.411764705882,NA,NA,16.411764705882,-0.3468,85,0,NA,NA,0.3302,0.83433734939759,NA,0.0315,0,0.4,84.3,0.0083036773428232,0.0082352941176471,-0.7,-0.13725490196078,0.1,0.019607843137255,NA,84.3,-0.068,16.529411764706,0,NA,5.1,-0.867,-0.7,4.6,6.05,0.7,94710,5.1,-0.7,NA,5.1,1.6,50
"4",2009-09-30,16.8,1.98,1.6256,0,1.3,2.8,0,1.3,0.11111111111111,0.25,0.46428571428571,0.1231,0.16240157480315,NA,0,0,0,-0.714,-0.714,-0.714,0,10.4,NA,2.8888888888889,NA,NA,2,-0.837,11.7,0.035714285714286,NA,NA,-0.0626,0.90825688073394,NA,0.0506,0,0,11.7,0,0,-0.7,-0.13461538461538,-0.4,-0.076923076923077,NA,9,-0.1373,2.25,0.1231,NA,5.2,NA,-0.53846153846154,5,0.84,0,12488,3.6,-1.1,NA,3.6,1.65,NA
"5",2008-09-30,16.8,1.48,1.2428,0,1.9,2.8,0,2.1,2.1,0.375,0.75,-0.0054,0.15448986160283,NA,0,0,0,-0.35,-0.35,-0.35,0,-1.1,NA,-0.2,NA,NA,-0.19642857142857,-0.3446,1,0.035714285714286,NA,NA,-0.0764,0.81818181818182,NA,0.0836,0,-0.2,1,0,0,-0.4,-0.071428571428571,-0.3,-0.053571428571429,NA,0.52631578947368,-0.0625,0.17857142857143,-0.0054,NA,5.6,NA,-0.21052631578947,5.2,0.1,0,15700,5.5,-0.4,NA,5.5,1.2,NA
"6",2007-09-30,14.3,1.83,0.9487,0.54545454545454,1,3.6,0,2.4,0.35820895522388,0.36363636363636,0.66666666666667,-0.05,0.025297775903868,NA,0.1,0,0,-1.3223,-1.3223,-1.2223,0,4.3,NA,0.78181818181818,NA,NA,0.65151515151515,-1.1723,6.7,0.027777777777778,NA,NA,2e-04,0.56028368794326,NA,0.0951,0,-0.2,5.5,0.21818181818182,0.17910447761194,-2.1,-0.31818181818182,-0.3,-0.045454545454545,NA,5.5,-0.20035151515152,0.83333333333333,-0.15,NA,6.6,NA,-2.1,6.6,0.4,1.2,50937,5.5,-0.5,NA,5.5,0.15,NA
"7",2006-09-30,14.3,2.26,0.9921,0.54545454545454,1,3.6,0,2.4,0.1283422459893,0.36363636363636,0.66666666666667,0,0.056445922790041,NA,0.1,0,0,-1.3223,-1.3223,-1.2223,0,16.3,NA,2.469696969697,NA,NA,2.469696969697,-1.2223,18.7,0.027777777777778,NA,NA,2e-04,0.33574007220217,NA,0.0833,0,-0.2,17.5,0.068571428571429,0.064171122994652,-2.1,-0.31818181818182,-0.3,-0.045454545454545,NA,17.5,-0.20035151515152,2.6515151515152,-0.1,NA,6.6,NA,-2.1,6.6,1.01,1.2,27535,6.6,-0.4,NA,6.6,0.35,NA
"8",2005-09-30,14.3,1.45,0.9753,0.54545454545454,NA,3.6,0,2.4,0.099585062240664,0.36363636363636,0.66666666666667,0,0.29734440684918,NA,0.1,0,0,-1.3223,-1.3223,-1.2223,0,21.7,NA,3.2878787878788,NA,NA,3.2878787878788,-1.2223,24.1,0.027777777777778,NA,NA,2e-04,0.69369369369369,NA,0.0531,0,-0.2,22.9,0.052401746724891,0.049792531120332,-2.1,-0.31818181818182,-0.3,-0.045454545454545,NA,22.9,-0.20035151515152,3.469696969697,-0.1,0.075624659689031,6.6,6.6116,-2.1,6.6,1.57,1.2,14200,6.6,-2.1,NA,6.6,0.55,10.954545454545
"9",2004-09-30,11.2,1.95,0.745,0,NA,5.6,0.2,1.8,0.46153846153846,0.33333333333333,NA,-0.2672,0.52348993288591,NA,0.4,0,0,-2.059,-2.059,-1.659,0,2.1,2.625,0.38888888888889,NA,NA,0.18103448275862,-1.5918,3.9,0.053571428571429,NA,NA,-0.1178,0.7957957957958,NA,0.0315,0,0.8,3.9,0,0,-2.5,-0.21551724137931,0.5,0.043103448275862,NA,1.5,-0.1775,0.33620689655172,-0.4672,0.22692636197686,11.6,-2.57375,-0.96153846153846,7.9,0.45,0,1100,5.4,-5.5,NA,5.4,0.5,1.5
"10",2003-09-30,11.1,0,0,0,NA,8.2,0.3,0.8,0.027586206896552,0.061068702290076,NA,-0.7,0,72.5,0.6,0,0,0.4,0.4,1,0,28.2,NA,NA,70.5,28.2,2.1526717557252,0.7,29,0.048780487804878,NA,NA,0.4083,0.59232613908873,NA,0.0361,0,4.2,29,0,0,0.4,0.030534351145038,3.8,0.29007633587786,0,5.8,0.030534351145038,2.2137404580153,-0.3,-0.75,13.1,0.095238095238095,0.08,7.1,2.67,0,74306,11.6,-2.5,NA,11.6,0.5,6.7142857142857
