"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2007-12-31,0,0.89,0.4745,NA,0,0,0,0,NA,NA,NA,NA,0.26975763962065,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.46666666666667,NA,0.3101,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0,500,349.5,17.1,0,349.5,0.8,NA
"2",2006-12-31,14.9,0.89,0.4745,0.075987841945289,91.2,145.1,8.1,36.2,0.23737704918033,0.10933252793718,0.24948311509304,-0.6613,0.30347734457323,8.4795321637427,5.7,0.020551724137931,2.98,21.7,16.14,27.4,0.25622,116.3,1.8608,0.33276108726753,5.3594470046083,4.2445255474453,0.35125339776503,14.4013,152.5,0.23914541695382,NA,NA,0.2221,NA,NA,0.2546,0.012405237767057,62.5,145,0.051724137931035,0.049180327868852,17.1,0.051646028390214,11.9,0.035940803382664,0.17426900584795,1.5899122807018,0.06553911205074,0.43793415886439,1.7387,0.10772530464071,331.1,0.258240416,0.1875,246.7,9,7.5,4360,349.5,17.1,8.4795321637427,349.5,0.9,1.5450861195542
"3",2005-12-31,14.9,0.89,0.4745,0.075987841945289,91.2,145.1,8.1,36.2,0.19781420765027,0.10933252793718,0.24948311509304,-0.6613,0.25289778714436,10.263157894737,5.7,0.016980056980057,2.98,21.7,16.14,27.4,0.25622,146.8,2.3488,0.42002861230329,6.7649769585253,5.3576642335766,0.44337058290547,14.4013,183,0.23914541695382,NA,-0.095,0.2221,NA,NA,0.2477,0.012405237767057,62.5,175.5,0.042735042735043,0.040983606557377,17.1,0.051646028390214,11.9,0.035940803382664,0.17426900584795,1.9243421052632,0.06553911205074,0.53005134400483,1.7387,0.10772530464071,331.1,0.258240416,0.1875,246.7,11.555,7.5,18896,349.5,17.1,10.263157894737,349.5,0.75,1.8541033434651
"4",2003-12-31,14.2,0.22,0.3791,0.060753341433779,NA,125.6,3.7,30.7,0.094723850663376,0.09948152948801,NA,0.8589,0.11606436296492,62.56862745098,6.4,0.01021972406745,2.84,14.0977,9.9397,20.4977,0.29494,293.4,5.6860465116279,0.95074530136099,20.811875962922,14.31378709437,1.1363284275755,11.7809,324.1,0.25716560509554,NA,-0.1,-0.0776,0.46551126516465,NA,0.4986,0.01671974522293,51.6,319.1,0.015669069257286,0.015427337241592,5.1,0.019752130131681,4.4,0.01704105344694,0.55686274509804,4.1280724450194,0.0546,1.2358636715724,-1.8411,-0.18522931092107,258.2,0.19263059037209,0.065976714100906,198.6,19.57,5,32039,308.6,15.3,20.856209150327,308.6,0.7,3.9380315917376
"5",2002-12-31,15.1,0.53,0.3552,0.061521252796421,NA,121.9,6.1,26.2,0.21266233766234,0.087713424840978,NA,-3.2,0.3283,13.077777777778,8.3,0.016677994902294,1.963,11.7,7.7004,20,0.34185,97,NA,NA,8.2905982905983,4.85,0.32474054235018,9.9004,123.2,0.28383921246924,NA,NA,0.0075,0.25238898257448,NA,0.3988,0.024610336341263,63.2,117.7,0.046728971962617,0.044642857142857,9,0.030130565785069,13.4,0.044861064613324,0.21811111111111,1.4028605482717,0.039169735520589,0.39404084365584,-2.2,-0.28570111377982,298.7,0.12184106012658,0.1072705601907,233.7,8.04,5.5,17205,289.5,3.5,33.628571428571,289.5,0.7,1.5348101265823
"6",2001-12-31,NA,0.2,0.4113,0,NA,131.4,15.5,29.8,0.19813829787234,0.093504863508001,NA,-0.4672,0.0864,9.0059880239521,6.8,0.0137,2.0605,30.7248,20.2046,37.5248,0.3424,120.6,NA,NA,3.925167942509,3.2138745576259,0.37841229996862,11.9718,150.4,0.26864535768645,NA,0.09,0.0226,0.29506222400642,0,0.4733,0.074581430745814,66.01,150.4,0,0,16.7,0.052400376529652,10.773,0.033802949482272,0.12338203592814,1.5699373695198,0.063397014370882,0.47191716347662,8.2328,0.40747099151808,NA,0.30608435812756,0.17432150313152,237.2,9.66,0,5700,318.7,11.4,13.19298245614,304.9,0.6,2.278442660203
"7",2000-12-31,NA,0.75,0.4483,0.0046674445740957,NA,118.4,5,28.8,0.15450643776824,0.09148665819568,NA,2.5569,0.50189605175106,10.877192982456,6.9,0.011462365591398,2.132,33.55768,20.589,40.4577,0.38646,157.6,NA,NA,4.6963914072725,3.8954285070226,0.50063532401525,18.1615,186.4,0.21368243243243,NA,NA,0.2885,0.4434250764526,NA,0.4336,NA,56.5,186,0.0021505376344086,0.0021459227467811,17.1,0.054320203303685,15,0.047649301143583,0.1246783625731,2.1908127208481,0.065403364,0.59085133418043,2.4275,0.11790288394141,NA,0.36440670773805,0.20141342756184,93.2752,11.57,0.4,NA,314.8,16.1,11.552795031056,317.8,NA,2.1852286049238
"8",1999-12-31,NA,0.75,0.3869,0.012738853503185,NA,107.4,4.5,18.4,0.15606446140797,NA,NA,NA,0.2907728095115,6.5674157303371,6.1,0.018571428571429,2.171,33.2,20.3848,26.4848,0.386,99.5,NA,NA,2.9969879518072,3.756871866127,0.32473890339426,20.9024,117.9,0.23463687150838,5.8854166666667,NA,-0.0943,0.30264206461105,NA,0.3588,NA,60.1,116.9,0.0085543199315654,0.008481764206955,NA,0.058093994778068,NA,0.059399477806789,0.12196629213483,1.5083870967742,0.10835509138381,0.3815274151436,NA,-0.078489855186217,NA,0.33918136439268,0.22967741935484,78.7,NA,NA,NA,NA,17.8,6.5674157303371,306.4,NA,1.5019108280255
