"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,2.7,2.37,0.5609,0.8424,18.5,151.9,9.1,2.1,0.0058,0.0461,0.0138,-0.43,0.8,NA,10.8,0,0,10,9.6,20,0,361.6,3.14,7.43,37.67,17.73,7.93,11.73,363.7,0.8341,NA,0.495,0.3076,0.0445,0,115.3,264.8,0.3735,0.2719,-3,-0.0658,-6.3,-0.1382,NA,14.31,0.2105,5.81,-2.13,-0.2217,45.6,0.0833,-0.1622,4.4,103.99,98.9,266,48.7,-1.5,NA,48.7,0.85,3.1
"2",2010-12-31,2.7,0.91,1.2484,0.86016628873772,18.5,171.9,3.6,5.7,0.015685195376995,0.13507109004739,0.033158813263525,-0.7038,0.16020506247997,NA,13,0,0,5,5,18,0,357.7,2.8254344391785,7.6595289079229,71.54,19.872222222222,8.4763033175355,15.1038,363.4,0.76672484002327,NA,0.3301,0.29083665338645,0.036,0,126.6,249.6,0.45592948717949,0.31315354980737,-2.8,-0.066350710900474,-6.6,-0.1563981042654,NA,13.491891891892,0.11848341232227,5.914691943128,-10.1038,-2.0207582938389,42.2,0.039494470774092,-0.15135135135135,5.1,89.56,113.8,2032,46.7,9.1,27.428571428571,46.7,0.8,2.7467876039305
"3",2009-12-31,2.7,0.69,1.2255,0.90093998553868,13.7,176.3,0.6,2.9,0.0080892608089261,0.091482649842271,0.016449234259784,0.1634,0.14279885760914,NA,16.2,0,0,-3.4,-3.4,12.8,0,355.6,2.6262924667651,9.0946291560102,NA,27.78125,11.217665615142,12.0366,358.5,0.81395348837209,NA,-0.3922,0.35612577870068,0.0342,0,135.4,233.9,0.53270628473707,0.34755927475593,-13.6,-0.42902208201893,0.7,0.022082018927445,NA,17.07299270073,-0.10725552050473,7.3785488958991,-15.4366,NA,31.7,-0.025110782865583,-0.99270072992701,4.1,84.3,124.6,1232,39.1,-5.4,NA,39.1,0.7,2.5921908893709
"4",2008-12-31,2.7,0.55,1.2454,0.85388661601403,25,203.4,99,3.1,0.0090643274853801,0.059386973180077,0.015240904621436,-0.9826,0.077083667897864,61.21875,18.6,0,0,11.5,10.2977,30.1,0.10455,338.9,2.0172619047619,11.334448160535,29.469565217391,11.259136212625,6.492337164751,-69.1198,342,0.80727630285152,0.35,1.2933,0.73624658603199,0.0408,0,168,195.9,0.7457886676876,0.42719298245614,3.2,0.061302681992337,2.3,0.044061302681992,0,7.836,0.22030651340996,3.7528735632184,79.4174,7.7121712377009,52.2,0.061295684523809,0.128,2.7,71.5,146.1,2038,29.9,0.4,489.75,29.9,0.6,1.9988310929281
"5",2007-12-31,2.7,1.25,0.509,0.72639484978541,25.5,110.7,86.1,1.2,0.0083623693379791,0.052631578947368,0.010840108401084,-1.6443,0.2671905697446,NA,6.4,0,0,5.9,5.9,12.3,0,142.3,1.5467391304348,3.6393861892583,24.118644067797,11.569105691057,6.2412280701754,-72.1557,143.5,0.83739837398374,NA,NA,0.51515151515152,0.0033,0,92,75.8,0.89313984168865,0.47177700348432,-5.5,-0.24122807017544,2.3,0.10087719298246,NA,2.9725490196078,0.25877192982456,3.3245614035088,78.0557,13.229779958371,22.8,0.064130434782609,-0.2156862745098,2.9,31.25,67.7,916,39.1,-0.5,NA,39.1,0.85,1.5396995708154
"6",2006-12-31,2.7,0.79,0.5445,0.33524904214559,34.7,62.1,6.7,20.7,0.1480686695279,6.9,0.33333333333333,-10.5,0.13223140495868,24.959183673469,0.5,0,0,-1.0214,-1.0214,-0.5214,0,119.1,3.7809523809524,7.6346153846154,NA,NA,39.7,3.2786,139.8,0.20128824476651,-0.055,-0.557,0.35994897959184,0.0047,0,31.5,122.3,0.14309076042518,0.12517882689557,4.9,1.6333333333333,2.5,0.83333333333333,0,3.5244956772334,-0.34046666666667,40.766666666667,-4.3,NA,3,-0.032425396825397,0.14121037463977,2,45.01,17.5,100,15.6,0.1,1223,15.6,0.45,2.6781609195402
"7",2005-12-31,2.7,0.26,0.5449,0.14156626506024,28.5,38.6,4.7,6.8,0.081437125748503,1,0.17616580310881,1.3235,0.17617911543403,NA,2.2,0,0,-1.1,-1.1,1.1,0,76.7,2.905303030303,5.9921875,NA,69.727272727273,11.279411764706,-4.9235,83.5,0.35233160621762,-0.21,0.0726,0.41264119202115,0.0161,0,26.4,78.8,0.059644670050761,0.056287425149701,-1.1,-0.16176470588235,-1.5,-0.22058823529412,NA,2.7649122807018,-0.16176470588235,11.588235294118,3.8235,NA,6.8,-0.041666666666667,-0.03859649122807,2.3,29.35,4.7,9879,12.8,0.3,262.66666666667,12.8,0.6,2.5150602409639
"8",2004-12-31,2.6,1.27,0.7525,0.17119565217391,NA,41.4,10.1,8.3,0.17659574468085,1.1857142857143,0.20048309178744,-0.0443,0.3375415282392,NA,0.9,0,0,-0.8451,-0.338,0.0549,0.6,38.7,1.3578947368421,5.5285714285714,NA,704.91803278688,6.344262295082,-9.4938,47,0.28502415458937,-0.22,0.1918,0.51943664652424,0.0198,0,28.5,40.7,0.15479115479115,0.13404255319149,0,0,-0.3,-0.049180327868852,NA,1.3344262295082,-0.13854098360656,6.672131147541,9.1557,-27.084776076553,6.1,-0.011861052631579,0,1.7,15.07,6.3,2389,7,0.5,81.4,7,0.65,1.2771739130435
"9",2003-12-31,2.6,1.53,0.7293,0,NA,32.6,0.7,6.5,0.47445255474453,0.97014925373134,NA,0.1768,0.41958041958042,5.48,0.6,0,0,1.7601,1.1962,2.3601,0.32039,7.2,0.30769230769231,1.0746268656716,4.0907231489478,3.0507440425748,1.2857142857143,0.9194,13.7,0.10122699386503,0.13,0.5422,0.35238095238095,0.0178,0,23.4,13.7,0,0,2.5,0.44642857142857,0.9,0.16071428571429,0,0.45819397993311,0.3143,2.4464285714286,0.2768,0.23139368508871,5.6,0.051118289264957,0.083612040133779,2,5.242,0,250,6.7,0.5,27.4,6.7,0.6,0.45819397993311
"10",2002-12-31,2.6,0.95,0.6911,0,NA,28.7,3.5,4.8,0.27906976744186,1.3333333333333,NA,5.8,0.3018,NA,0.6,0,0,-1.7592,-1.7592,-1.1592,0,12.4,NA,NA,NA,NA,3.4444444444444,-4.6592,17.2,0.12195121951219,NA,-0.126,0.55206286836935,0.0015,0,21.7,17.2,0,0,-1.8,-0.5,-1.2,-0.33333333333333,NA,0.64905660377358,-0.48866666666667,4.7777777777778,2.9,NA,3.6,-0.081069124423963,-0.067924528301887,1.4,6.6,0,3602,4.1,2.6,6.6153846153846,4.1,0.65,0.57142857142857
