"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-14,22.8,0.15,0.2559,0.6287,123.8,430.8,5.5,31.6,0.0907,0.1286,0.0734,-0.17,0.15,16.71,17,0,0,19,18.7,36,0,NA,316.7,1.05,1.28,16.94,8.87,1.29,30.37,348.3,0.7129,0.17,0.2397,0.2375,0.0935,301.8,138.7,1.5112,0.6018,8.3,0.0338,-27.4,-0.1115,NA,1.12,0.0761,0.56,-11.67,-0.6239,245.8,0.062,0.067,17.4,6.01,209.6,75991,247.3,-6.2,NA,247.3,0.7,1.04
"2",2011-01-14,22.8,NA,NA,0.67175572519084,111.8,430.3,14.1,34.6,0.10646153846154,0.15056570931245,0.080409016964908,0.8564,NA,NA,15.9,0,0,13.1,5.24,29,0.6,1,290.4,0.94901960784314,1.1995043370508,22.167938931298,10.013793103448,1.2637075718016,6.1836,325,0.5949337671392,0.0509,0.2216441207076,0.1445,0.09690913316291,306,96.2,2.3783783783784,0.704,-12.6,-0.054830287206266,16,0.069625761531767,NA,0.86046511627907,0.057006092254134,0.41862489120975,-0.9436,-0.18007693380902,229.8,0.017124183006536,-0.11270125223614,17.8,4.24,228.8,20866,242.1,14.4,6.6805555555556,242.1,0.7,0.95419847328244
"3",2010-01-14,22.6,NA,NA,0.67579636796666,108.9,406.4,5.7,24.6,0.072098475967175,0.11336405529954,0.060531496062992,-1.5768,NA,49.652173913043,15.2,0,0,16.2,16.2,31.4,0,0,316.6,1.0170253774494,1.3460884353742,19.543209876543,10.082802547771,1.4589861751152,27.2768,341.2,0.6875,0.0926,0.19422863485017,0.1392,0.14788385826772,311.3,114.2,1.9877408056042,0.66529894490035,2.3,0.010599078341014,-18.8,-0.086635944700461,0,1.048668503214,0.074654377880184,0.52626728110599,-11.0768,-0.68375149342891,217,0.052039832958561,0.021120293847567,17.6,5.05,227,27057,235.2,-12.4,NA,235.2,0.7,1.0157785055076
"4",2009-01-14,22.4,NA,NA,0.78419153820925,65.8,370.1,75.2,34,0.10331206320267,0.17773131207527,0.091867062955958,0,NA,NA,1.3,0,0,1.5,1.5,2.8,0,NA,295.1,1.0893318567737,1.4725548902196,196.73333333333,105.39285714286,1.5426032409827,-72.4,329.1,0.59659551472575,0.6068,0.28395061728395,0.2452,0.16184814914888,270.9,90,2.6566666666667,0.72652689152233,-17.6,-0.092002090956613,0,0,NA,1.3677811550152,0.0078410872974386,0.47046523784631,73.9,49.266666666667,191.3,0.0055370985603544,-0.26747720364742,21.4,4.05,239.1,31450,200.4,-10.4,NA,200.4,0.7,1.0793702853395
"5",2008-01-14,22.5,NA,NA,0.5934360348292,121.4,346.1,42.4,25.3,0.095256024096386,0.21224832214765,0.073100260040451,6.6775,NA,NA,11.9,0,0,5.2,5.2,17.1,0,NA,240.3,0.87925356750823,1.3454647256439,46.211538461539,14.052631578947,2.0159395973154,-31.9775,265.6,0.73967061542907,0.1231,0.46782357194505,0.2869,0.079456804391794,273.3,88.4,2.0045248868778,0.6671686746988,-3.3,-0.027684563758389,-13.4,-0.11241610738255,NA,0.72817133443163,0.043624161073826,0.74161073825503,37.1775,7.1495224574084,119.2,0.01902671057446,-0.027182866556837,16.1,3.94,177.2,32660,178.6,-8.6,NA,178.6,0.75,0.88948425987944
"6",2007-01-14,22.5,NA,NA,0.54728877679697,107.7,289.2,8.3,19.4,0.053888888888889,0.18284637134779,0.067081604426003,1.0134,NA,574.5,13.2,0,0,2.4,2.4,15.6,0,NA,340.6,1.5588100686499,3.0492390331244,141.91666666667,21.833333333333,3.2101790763431,6.2866,360,0.72994467496542,0.0504,0.14830508474576,0.287,0.089557399723375,218.5,229.8,0.56657963446475,0.36166666666667,0.4,0.0037700282752121,-19.2,-0.18096135721018,0,2.133704735376,0.022620169651272,2.1658812441093,-3.8866,-1.6194234998429,106.1,0.010983981693364,0.0037140204271123,13,9.65,130.2,3800,111.7,3.6,63.833333333333,111.7,0.9,1.5132408575031
"7",2006-01-14,22.5,NA,NA,0.52371825586967,99.4,253.1,30.5,8.9,0.03013884185574,0.088031651829871,0.035163966811537,0.254,NA,NA,12.4,0,0,-6.4,-6.4,6,0,NA,286.4,1.4334334334334,2.7996089931574,NA,47.733333333333,2.8328387734916,-24.754,295.3,0.77953378111418,-0.0398,0.082557417752949,0.2851,0.092453575661794,199.8,186,0.58763440860215,0.37013206908229,-7,-0.069238377843719,-21.4,-0.21167161226508,NA,1.8712273641851,-0.063303659742829,1.839762611276,18.354,NA,101.1,-0.032032032032032,-0.070422535211268,17.2,8.29,109.3,1500,102.3,0.6,310,102.3,1,1.4149496885482
"8",2005-01-14,22,0,0,0.44924406047516,NA,230.2,7.8,12.3,0.047785547785548,0.1145251396648,0.053431798436142,-0.7476,NA,NA,12.9,0,0,-5.9475,-5.9475,6.9525,0,NA,245.1,1.4175824175824,2.2821229050279,NA,35.253505933118,2.3796116504854,-0.0999,257.4,0.73153779322328,0.0938,0.19041095890411,0.3246,0.1120764552563,172.9,174.2,0.47761194029851,0.32323232323232,-8.5,-0.08252427184466,-17.5,-0.16990291262136,NA,1.7078431372549,-0.057742718446602,1.6912621359223,-5.8476,0.98319845574342,103,-0.034398496240601,-0.083333333333333,16.2,7.79,83.2,1400,107.4,1.5,116.13333333333,107.4,1.2,1.389848812095
"9",2004-01-14,21.9,0,0,0.39587973273942,NA,222.9,3.8,21.8,0.083749519784864,0.2152023692004,NA,-1.5411,NA,NA,12,0,0,6.6621,6.6621,18.6621,0,NA,238.5,1.5114068441065,2.3543928923988,35.799683882037,12.779932772731,2.5453575240128,16.4032,260.3,0.69448183041723,0.0801,0.22809457579972,0.3114,0.077613279497532,157.8,189.2,0.37579281183932,0.27314636957357,-5.9,-0.062966915688367,-19,-0.20277481323373,NA,1.7437788018433,0.0711,2.0192102454642,-9.7411,-1.4621714543042,93.7,0.042218441064639,-0.054377880184332,13.5,8.11,71.1,2400,101.3,-7,NA,101.3,1.25,1.4493318485523
