"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,59.1,1.61,0.3187,0.2867,1408.7,30874.7,5.3,405,0.3138,0.0131,NA,0.8,8.41,0,0.0122,8.87,12,7.92,12,0.3511,0.3514,885.8,0.56,72.61,72.61,0.08,2.62,1290.8,0,1.64,7.45,-0.005,NA,0.1338,NA,0,1569.9,724.6,0.7814,0.4386,86.2,0,0.1245,0.51,1.05,5.3,0.6695,NA,0.005,0.0612,0,12.21,566.2,326740,NA,71.2,10.18,NA,1.15,0.65
"2",2010-12-31,57,1.98,0.4911,0.38983932869316,938,26426.8,5.3,597.8,0.49589381999171,0.022620975676208,NA,0.58542048462635,14.130536130536,0,0.0114,6.9107,12,7.894,12,0.34217,0.34303215926493,607.7,0.646833422033,50.641666666667,50.641666666667,0.08,2.594,1205.5,0,2.07,5.024154589372,-0.085,NA,0.26982680036463,0.9912,0,939.5,606.2,0.98861761794787,0.49713811696392,42.9,0,0.16108811188811,0.64626865671642,1.766317016317,5.3,0.6713993990342,NA,0.0084022990952634,0.045735607675906,0,10.4,599.3,624344,NA,45.5,13.323076923077,NA,1.15,0.78416704611982
"3",2009-12-31,56.2,1.72,0.5941,0.4366134089891,754.6,21312,3,528,0.393706658713,0.024774774774775,NA,0.48392526510688,11.040875912409,0,0.0077,5.8235,12.6,10.0218,12.6,0.20462,0.20533642691415,813.1,1.0020951441952,64.531746031746,64.531746031746,0.115,7.0218,1341.1,0,1.8,6.9722222222222,-0.11,NA,0.32177460479347,NA,0,811.4,756.3,0.773238133016,0.43605995078667,68.5,0,0.085014744525547,1.0022528491916,0.96007616629641,3,0.29934778105464,NA,0.012351229972886,0.090776570368407,0,12.55,584.8,601416,NA,69.9,10.81974248927,NA,1.15,1.0012692250261
"4",2008-12-31,50.2,1.7,0.574,0.51693002257336,492.2,17087.8,0.3,214.9,0.24156924460432,0.012576223972659,NA,0.30662020905923,30.495798319328,0,0.0111,4.0282,12.5,5,12.5,0.6,NA,674.7,0.83917910447761,53.976,53.976,-0.14,NA,889.6,0,1.7,4.3764705882353,-0.11,NA,0.49915397631134,0.8872,0,804,362.9,1.4513640121245,0.59206384892086,11.9,0,0.33850336134454,0.73730190979277,NA,NA,NA,NA,0.0062189054726368,0.024177163754571,0,7.44,526.7,427366,NA,1.5,241.93333333333,NA,1.1,0.87309843949357
"5",2007-12-31,53.6,1.15,0.4391,0.46738657145345,611.6,16394.4,0.7,18.9,0.021761658031088,0.0011528326745718,NA,0.36438168982009,11.441379310345,0,0.011308016877637,3.752,12.6,8.5225,12.6,0.32361,NA,849.6,0.75225783601912,67.428571428571,67.428571428571,0.1,NA,868.5,0,1.42,4.9295774647887,NA,NA,0.52225130890052,NA,0,1129.4,331.8,1.6175406871609,0.61796200345423,29,0,0.12937931034483,0.54251144538914,1.1441379310345,NA,NA,NA,0.0075460545422348,0.047416612164814,NA,7,536.7,493221,NA,38,8.7315789473684,NA,1,0.75633545240791
"6",2006-12-31,53.5,0.25,0.2742,0.47336283185841,595.1,14990.1,0.4,29.9,0.030119875088143,0.0019946498022028,NA,0.55433989788476,6.0635761589404,0,0.0070117955439056,3.21,53.1,34.2803,53.1,0.35442,NA,962.8,0.8751931642578,18.131826741996,18.131826741996,0.11,NA,992.7,0,1.12,7.2410714285714,NA,NA,0.26985559566787,NA,0,1100.1,457.8,1.1684141546527,0.53883348443639,75.5,0,0.042516556291391,0.76928247353386,0.55123419626731,NA,NA,NA,0.031161074447777,0.12686943370862,NA,8.11,534.9,264800,NA,61.1,7.4926350245499,NA,0.95,0.87849557522124
"7",2005-12-31,55.5,0.79,0.2956,0.49626612355737,519.4,14042.8,5,112.4,0.090266623835528,0.0080041017460905,NA,0.46008119079838,17.058139534884,0,0.0037832310838446,2.775,39.3,25.2184,39.3,0.35831,NA,1132.8,1.2330466964189,28.824427480916,28.824427480916,0.15,NA,1245.2,0,1.25,10.424,NA,NA,0.18362383461694,NA,0,918.7,733.5,0.69761417859577,0.4109380019274,43,0,0.06453488372093,1.4122063919908,1.1372093023256,NA,NA,NA,0.02745011102645,0.082787832113978,NA,13.03,511.7,164300,NA,67.4,10.882789317507,NA,0.85,1.2076423237319
"8",2004-12-31,38.4,0,0,0.57422857899616,NA,11114.1,2.9,62.7,0.067849799805216,0.0056414824412233,0,NA,10.827814569536,0,0,0,NA,NA,NA,0.34882,NA,861.4,1.2440785673021,NA,NA,0.2,NA,924.1,0,NA,NA,NA,0,0.1284046692607,0.7064,0,692.4,490.5,0.88399592252803,0.46921328860513,45.3,0,0,1.5256609642302,0.54139072847682,2.9,NA,NA,NA,0.14090202177294,0,13.04,433.6,328000,NA,49.2,9.969512195122,0,0,1.2238114157065
"9",2003-12-31,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,407.8,NA,NA,NA,0.2,NA,407.8,NA,1.03,10.242718446602,NA,0,0.21198156682028,0.4511,NA,0,407.8,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,10.55,0,56100,NA,38.6,10.564766839378,0,0,NA
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.058370044052863,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,9.2,0,NA,0,NA,NA,0,NA,NA
