"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,10.4,0.5,0.1845,0.0165,196.4,486.2,0,56.9,0.3556,NA,0.117,NA,0.68,17.61,0,0,0,18,11.04,18,0.3763,0.3776,103.1,0.72,5.82,5.82,NA,11.04,160,0,NA,NA,0.035,NA,0.1551,NA,0.1436,0,142.8,156.7,0.0211,0.0206,8.9,NA,0,NA,0,0.8,NA,NA,0,0,NA,0.0773,0.0453,2.8,14.95,3.3,1414,NA,7.9,19.84,NA,0.6,0.8
"2",2011-06-30,11.1,0.64,0.404,0.030407062285434,197.7,329.2,0,21.7,0.11672942442173,NA,0.06591737545565,NA,0.37128712871287,18.151515151515,0,0,0,31.8,19.6365,31.8,0.3825,0.38125,164.2,0.90120746432492,5.1635220125786,5.1635220125786,NA,19.6365,185.9,0,1.09,14.752293577982,NA,NA,0.13822688274547,NA,0.1452,0,182.2,179.7,0.034501947690595,0.033351264120495,9.9,NA,0,NA,0,0.90895295902883,NA,NA,0,0,NA,0.10777442371021,0.050075872534143,4.2,16.08,6.2,2802,NA,11.8,15.228813559322,NA,0.6,0.91172143207455
"3",2010-06-30,11.1,0.72,0.478,0.030407062285434,197.7,329.2,0,21.7,0.13708149084018,NA,0.06591737545565,NA,0.28765690376569,15.363636363636,0,0.0733,11.1489,31.8,19.6365,31.8,0.3825,0.38125,136.6,0.74972557628979,4.2955974842767,4.2955974842767,NA,19.6365,158.3,0,0.63,22.904761904762,-0.105,NA,0.13046701260193,NA,0.1244,0,182.2,152.1,0.040762656147272,0.039166140240051,9.9,NA,0,NA,1.1261545454546,0.76934749620637,NA,NA,0,0,NA,0.10777442371021,0.050075872534143,4.2,14.43,6.2,5695,NA,9.4,16.18085106383,NA,0.55,0.77636096125552
"4",2009-06-30,11.1,0.79,0.4801,0.030407062285434,197.7,329.2,0,21.7,0.1447631754503,NA,0.06591737545565,NA,0.18329514684441,14.515151515151,0,0.0372,5.3456,31.8,19.6365,31.8,0.3825,NA,128.2,0.70362239297475,4.0314465408805,4.0314465408805,NA,NA,149.9,0,NA,NA,-0.105,NA,0.33098591549296,NA,0.1264,0,182.2,143.7,0.043145441892832,0.041360907271514,9.9,NA,0,NA,0.53996363636364,0.72685887708649,NA,NA,NA,NA,NA,0.10777442371021,0.050075872534143,4.2,13.06,6.2,4936,NA,10.3,13.95145631068,NA,0.55,0.73516429622364
"5",2008-06-30,11.1,0.62,0.2978,0.030407062285434,197.7,329.2,0,21.7,0.21656686626746,NA,0.06591737545565,NA,0.26863666890531,9.4949494949495,0,0,0,31.8,19.6365,31.8,0.3825,NA,78.5,0.43084522502744,2.4685534591195,2.4685534591195,NA,NA,100.2,0,NA,NA,-0.105,NA,0.3241308793456,NA,0.1288,0,182.2,94,0.065957446808511,0.06187624750499,9.9,NA,0,NA,0,0.47546788062721,NA,NA,NA,NA,NA,0.10777442371021,0.050075872534143,4.2,7.5,6.2,4309,NA,6.8,13.823529411765,NA,0.5,0.49141736145169
"6",2007-06-30,11.2,0.71,0.1797,0.041604754829123,193.5,314.4,0,23.2,0.1938178780284,NA,0.073791348600509,NA,0.48970506399555,10.401869158878,0,0,0,33.3,20.3966,33.3,0.38749,NA,96.5,0.5400111919418,2.8978978978979,2.8978978978979,NA,NA,119.7,0,NA,NA,-0.115,NA,0.25784114052953,NA,0.1577,0,178.7,111.3,0.075471698113208,0.070175438596491,10.7,NA,0,NA,0,0.57519379844961,NA,NA,NA,NA,NA,0.11413868494684,0.055297157622739,2.6,8.7,8.4,1300,NA,9.9,11.242424242424,NA,0.55,0.59286775631501
"7",2006-06-30,11.2,0.79,0.2097,0.041604754829123,193.5,314.4,0,23.2,0.13942307692308,NA,0.073791348600509,NA,0.68669527896996,14.766355140187,0,0.031189873417721,4.928,33.3,20.3966,33.3,0.38749,NA,143.2,0.80134303301623,4.3003003003003,4.3003003003003,NA,NA,166.4,0,NA,NA,-0.115,NA,0.11888111888112,NA,0.1445,0,178.7,158,0.053164556962025,0.050480769230769,10.7,NA,0,NA,0.46056074766355,0.81653746770026,NA,NA,NA,NA,NA,0.11413868494684,0.055297157622739,2.6,14,8.4,6557,NA,10.7,14.766355140187,NA,0.9,0.82417038137692
"8",2005-06-30,11.1,0.31,0.2509,0.043010752688172,NA,278.8,0,30.7,0.20453031312458,NA,0.11011477761836,0,0.24711040255082,17.280487804878,0,0.030534351145038,4.44,NA,NA,NA,0.375,NA,119.4,0.72539489671932,NA,NA,NA,NA,150.1,0,NA,NA,-0.12,0,0.17120133947258,NA,0.1447,0,164.6,141.7,0.059280169371913,0.055962691538974,8.2,NA,0,NA,0.54146341463415,0.7581594435527,NA,NA,0,NA,NA,NA,0.043873729266988,1.1,13.1,8.4,400,NA,9,15.744444444444,0,0.9,0.76856118791603
"9",2004-06-30,0,0.12,0.2958,NA,NA,0,0,0,0,NA,NA,0,0.081135902636917,NA,0,0,0,NA,NA,NA,0,NA,138.1,NA,NA,NA,NA,NA,138.1,NA,NA,NA,NA,0,0.17518248175182,NA,0.1542,NA,0,138.1,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,12.5,0,1000,NA,0,NA,0,0.95,NA
"10",2003-06-30,11.4,0.6,0.481,0.54065934065934,NA,409.9,0.7,92.5,0.27970970668279,1.223544973545,NA,92.1,0.2758,6.695,0.1,0.034055265123226,4.56,28,17.2183,28.1,0.38506,NA,238.2,NA,8.5071428571429,8.4768683274021,3.1507936507936,16.6183,330.7,0,NA,NA,NA,0.099,0.22507122507123,NA,0.1539,0,271.5,133.9,1.4697535474234,0.59510130027215,20,0.26455026455026,5.5,0.072751322751323,0.228,0.80083732057416,0.37037037037037,1.771164021164,0.6,0.034846605243717,75.6,0.063419226519337,0.11961722488038,16.8,11.94,196.8,3892,50.6,9.9,13.525252525252,50.6,0.9,0.87734806629834
