"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,28.8,NA,NA,0.8288,59.1,914.3,12.5,10.9,0.0184,0.0156,0.0119,-53.58,NA,NA,34.5,0,0,29,28.9,63,0,581.4,1.74,0.56,20.12,9.17,0.83,NA,104.48,592.3,0.045,NA,NA,NA,0.06,0.2219,NA,0.686,0.6361,334.4,306.1,0.935,0.4832,-12.9,-0.0185,-111.8,-0.1602,NA,5.18,0.0414,0.44,-75.58,-2.6151,697.8,0.0864,-0.2183,156.9,11.3,286.2,64096,1032.2,-113.6,NA,1032.2,0.95,1.72
"2",2010-12-31,27.6,NA,NA,0.70710347064547,90.3,604.5,6.2,51.9,0.086083927682866,0.095072357574647,0.085856079404467,-60.3613,NA,NA,34.5,0,0,20.2,20.2,54.7,0,551,2.1489859594384,0.60576077396658,27.277227722772,10.073126142596,1.0093423703975,NA,108.8613,602.9,0.058560794044665,NA,NA,NA,-0.0859,0.24903302588515,NA,0.7771,0.55632754342432,256.4,384.9,0.56638087815017,0.36158566926522,-12.1,-0.022165231727423,-90.6,-0.16596446235574,NA,4.2624584717608,0.037003114123466,0.70507418941198,-88.6613,-4.3891720276626,545.9,0.078783151326053,-0.13399778516058,136.9,13.52,218,113868,909.6,5.4,71.277777777778,909.6,0.95,1.955562763542
"3",2009-12-31,27.6,NA,NA,0.70710347064547,90.3,604.5,6.2,51.9,0.075644949715785,0.095072357574647,0.085856079404467,-14.7045,NA,NA,34.5,0.0306,14.3239,20.2,20.2,54.7,0,634.2,2.4734789391576,0.99952718676123,31.39603960396,11.594149908592,1.1617512364902,0.175,63.2045,686.1,0.058560794044665,NA,NA,NA,-0.0859,0.35953307392996,NA,0.7039,0.55632754342432,256.4,468.1,0.46571245460372,0.31773793907594,-12.1,-0.022165231727423,-90.6,-0.16596446235574,NA,5.1838316722038,0.037003114123466,0.85748305550467,-43.0045,-2.1289332358772,545.9,0.078783151326053,-0.13399778516058,136.9,17.27,218,65362,634.5,-40.4,NA,634.5,0.9,2.225429776192
"4",2008-12-31,26.2,NA,NA,0.56303382302699,127.9,520.7,20.1,10.4,0.02688728024819,0.019002375296912,0.019973113116958,0.3613,NA,NA,29.2,0,0,23.1,9.24,52.3,0.6,376.4,1.3333333333333,0.69587724163431,16.294372294372,7.1969407265774,0.68773981363055,NA,17.9787,386.8,0.091031304013828,NA,NA,NA,0.178,0.56521739130435,NA,0.7194,0.52448626848473,282.3,222,0.74234234234234,0.42605997931748,-19.1,-0.034898593093367,-30.9,-0.056458980449479,NA,1.7357310398749,0.042207198976795,0.40562762653024,-8.7387,-0.94574269752417,547.3,0.032731137088204,-0.14933541829554,143.2,8.34,164.8,55422,540.9,12,18.5,540.9,0.85,1.3214895797745
"5",2007-12-31,26.2,NA,NA,0.56303382302699,127.9,520.7,20.1,10.4,0.044180118946474,0.019002375296912,0.019973113116958,3.0093,NA,NA,29.2,0,0,23.1,11.55,52.3,0.6,225,0.79702444208289,0.37462537462537,9.7402597402597,4.302103250478,0.41110908094281,0.08,17.6407,235.4,0.091031304013828,0.15,20.466666666667,NA,0.178,0.62755102040816,NA,0.7498,0.52448626848473,282.3,70.6,2.3342776203966,0.70008496176721,-19.1,-0.034898593093367,-30.9,-0.056458980449479,NA,0.55199374511337,0.042207198976795,0.1289968938425,-6.0907,-0.52733647983054,547.3,0.040913921360255,-0.14933541829554,143.2,3.07,164.8,31587,600.6,-8,NA,600.6,0.8,0.80423641954219
"6",2006-12-31,23.9,NA,NA,0.43428831286949,124.4,493.5,22.6,6.6,0.019987886129618,0.015577059240028,0.013373860182371,13.6364,NA,NA,24.8,0,0,19.5,9.75,44.3,0.59864,323.6,1.5171120487576,0.62326656394453,16.594871794872,7.3047404063205,0.76374793485957,NA,-1.6864,330.2,0.089969604863222,NA,NA,NA,-0.064,0.24271844660194,NA,0.7108,0.51185410334347,213.3,234.7,0.4069024286323,0.28921865536039,-14.8,-0.034930375265518,-60.5,-0.14278970970026,NA,1.8866559485531,0.046023129572811,0.55392966721737,11.4364,1.1729658745,423.7,0.045710267229255,-0.11897106109325,132.5,9.245,95.5,363834,519.2,-24.8,NA,519.2,0.3,1.5015916325603
"7",2005-12-31,23.4,NA,NA,0.45503403797922,152.1,507.3,13.1,12.9,0.044027303754266,0.029086809470124,0.025428740390302,-0.1493,NA,NA,27.5,0,0,23,19.5132,50.5,0.1516,280.1,1.0522163786627,0.63442808607021,12.178260869565,5.5465346534653,0.6315670800451,NA,34.0625,293,0.12517248176621,NA,NA,NA,0.3102,0.22605363984674,NA,0.6668,0.49714173073132,266.2,166,0.76506024096386,0.43344709897611,-8.9,-0.020067643742954,-33.1,-0.074633596392334,NA,1.0913872452334,0.051860202931229,0.37429537767756,-14.5493,-0.74561154463567,443.5,0.073302779864763,-0.058514135437212,131.2,7.4,127,25286,441.5,-20.2,NA,441.5,0.6,1.049802938015
"8",2002-12-31,16.9,0,0,0.62255750680188,NA,606,12.7,59.6,0.13426447398063,0.06318244460935,NA,5.5,0,4.0463157894737,25.5,0,0,54.3,54.3,79.8,0,384.3,NA,NA,7.0773480662983,4.8157894736842,0.40739955475459,NA,67.1,443.9,0.12607260726073,NA,NA,NA,-0.1526,0.59949937421777,NA,0.4888,0.48333333333333,344.7,192.2,1.3095733610822,0.56701959900879,47.5,0.050355136223895,-58.7,-0.062228347291424,0,1.259501965924,0.057563871514894,0.20375278278384,-12.8,-0.23572744014733,943.3,0.15752828546562,0.31127129750983,373.4,11.32,251.7,19196,694.9,NA,NA,694.9,0.6,1.1148825065274
"9",2001-12-31,NA,NA,NA,0.8001,NA,918.3,25.1,59.3,0.097564988483054,0.053265067816402,NA,2.3224,NA,NA,60.9,0,0,138.5801,138.5801,199.4801,0,548.5,NA,NA,3.9579997416656,2.7496477092201,0.49267942153957,NA,172.0577,607.8,0.11967766525101,NA,NA,0.12,-0.0573,0.4475271411339,0,0.3766,0.50386583905042,614.996,68.3,7.8989751098097,0.88762750904903,-7.7,-0.0069163747417587,-22.745,-0.020430252402767,NA,0.5066765578635,0.12447687056499,0.061349142189886,-33.4776,-0.24157581066834,NA,0.22533496152821,-0.057121661721068,436.6,3.96,539.5,1400,1113.3,32.6,2.0950920245399,999.6,0.85,0.98829911088853
"10",2000-12-31,NA,0.65,NA,0.40934619815668,NA,1107.4,35.3,61,0.098149637972647,0.052279739458348,NA,0.2062,NA,2.0866141732283,52.5,0,0,126.83116,126.8312,179.3312,0,560.5,NA,NA,4.4192610080993,3.1255025618526,0.48037367158039,NA,139.4916,621.5,0.14276684124977,NA,NA,NA,0.873,0.81818181818182,NA,0.4822,NA,759.3,53,10.72641509434,0.9147224456959,25.4,0.021768940692492,5.2,0.0044566335275968,0,0.21048451151708,0.1087,0.045423380185122,-12.6604,-0.099820895748332,NA,0.16703695509021,0.10087370929309,435.7998,3.29,568.5,NA,1166.8,14.2,3.7323943661972,1151.7,NA,0.75764964037547
