"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,33.8,1.29,0.5946,0,71.8,80.1,0.2,70.1,0.7387,0.8267,0.8752,3.84,0.54,9.13,2.1,0,0,10,10.3,12,0,0,24.8,14.59,3.4,2.41,2,0.29,NA,8.36,94.9,0.0499,NA,0.035,0.7788,NA,0.7579,0,1.7,94.9,0,0,10.4,0.1226,-4.2,-0.0495,NA,1.32,NA,0.1215,1.12,1.94,0.1882,84.8,6.0588,0.1448,18.2,2.98,0,496712,7.3,-45.8,NA,7.3,1.05,1.32
"2",2010-12-31,33.1,1.01,0.4871,0,51.3,62.7,2.2,47.9,0.15679214402619,5.9875,0.76395534290271,-54.72,0.53890371586943,NA,2.9,0,0,-717.7216,-717.7216,-714.8216,0,NA,257.6,75.764705882353,3.0377358490566,NA,NA,32.2,NA,-662.3016,305.5,0.094098883572568,NA,NA,0.34258582907232,NA,0.7626,0,3.4,305.5,0,0,-69.7,-8.7125,-5.7,-0.7125,NA,5.9551656920078,NA,-89.7152,38.1875,-55.42,NA,8,-211.09458823529,-1.3586744639376,23.1,8.54,0,157643,84.8,2.4,127.29166666667,84.8,1.05,5.9551656920078
"3",2009-12-31,32.1,1.34,0.8485,0,107.6,113.6,0.9,92.4,0.57072266831377,1.8895705521472,0.81338028169014,-1.5951,0.32410135533294,NA,5.1,0,0,-32.3275,-32.3275,-27.2275,0,NA,69.5,4.5723684210526,3.0349344978166,NA,NA,1.4212678936605,NA,-26.5324,161.9,0.058098591549296,NA,-0.3113,0.27272727272727,NA,0.7423,0,15.2,161.9,0,0,-30.6,-0.62576687116564,3,0.061349693251534,NA,1.5046468401487,NA,-0.66109447852761,3.3108384458078,-5.7951,NA,48.9,-2.1268105263158,-0.28438661710037,25.3,5.46,0,159467,22.9,-51.5,NA,22.9,1.1,1.5046468401487
"4",2008-12-31,30.6,1.24,0.808,0,119.4,157.8,2.2,119.3,0.84850640113798,1.7621861152142,0.75602027883397,14.3566,0.1980198019802,NA,4.6,0,0,-50.9203,-50.9203,-46.3203,0,NA,21.3,212.99999999998,0.55181347150259,NA,NA,0.31462333825702,NA,-62.8769,140.6,0.070342205323194,NA,-0.1302,0.50767085076708,NA,0.7867,0,0.10000000000001,140.6,0,0,-44.7,-0.6602658788774,-33.4,-0.49335302806499,NA,1.177554438861,NA,-0.75214682422452,2.0768094534712,11.9566,NA,67.7,-509.20339999996,-0.37437185929648,28.8,4.44,0,156334,38.6,-44.6,NA,38.6,1,1.177554438861
"5",2007-12-31,29.8,1.9,0.7913,0,147.5,189.5,5.2,130.4,0.47109826589595,1.7248677248677,0.68812664907652,0.2899,0.24263869581701,NA,3,0,0,-51.3991,-51.3991,-48.3991,0,NA,146.4,8.5614035087719,1.9162303664922,NA,NA,1.9365079365079,NA,-53.8891,276.8,0.071240105540897,-1.21,-0.0471,0.63720150816925,NA,0.948,0,17.1,276.8,0,0,-43.7,-0.57804232804233,-27.4,-0.36243386243386,NA,1.8766101694915,NA,-0.67988253968254,3.6613756613757,2.4899,NA,75.6,-3.0057964912281,-0.29627118644068,27.9,10.31,0,239517,76.4,-45.4,NA,76.4,1.2,1.8766101694915
"6",2006-12-31,26.2,1.79,0.3724,0,110.8,165.9,8.8,125.8,0.23536014967259,1.7997138769671,0.75828812537673,5.8856,0.49409237379162,NA,1.5,0,0,-29.1594,-29.1594,-27.6594,0,NA,408.7,NA,4.9841463414634,NA,NA,5.8469241773963,NA,-42.345,534.5,0.06871609403255,-1.41,NA,0.26002909997921,NA,0.8952,0,-15,534.5,0,0,-21.6,-0.30901287553648,-34,-0.48640915593705,NA,4.8240072202166,NA,-0.41715922746781,7.6466380543634,13.1856,NA,69.9,NA,-0.19494584837545,35.5,16.29,0,700911,82,-30.1,NA,82,1.15,NA
"7",2005-12-31,25.2,2.66,0.4528,0,112.7,184,0.9,166.1,0.24505753909708,17.484210526316,0.90271739130435,122.9011,0.3886925795053,NA,1.7,0,0,-69.7162,-69.7162,-68.0162,0,NA,511.7,NA,10.254509018036,NA,NA,53.863157894737,NA,-191.8173,677.8,0.022826086956522,-0.92,-0.3213,0.21785502666403,NA,0.7852,0,-53.4,677.8,0,0,-69.4,-7.3052631578947,-28.9,-3.0421052631579,NA,6.0141969831411,NA,-7.3385473684211,71.347368421053,122.1011,NA,9.5,NA,-0.61579414374445,13.6,25.74,0,101780,49.9,-52.5,NA,49.9,1.1,NA
"8",2004-12-31,17.3,4.57,0.9436,0,NA,39.5,2.2,30.2,0.048843603428756,2.7207207207207,0.76455696202532,-0.7031,0.96863077575244,NA,1.6,0,0,-40.7651,-40.7651,-39.1651,0,NA,588.1,367.5625,52.981981981982,NA,NA,61.260416666667,NA,-40.662,618.3,0.11898734177215,NA,0.2369,0.31418836699927,NA,0.7599,0,1.6,618.3,0,0,-42,-4.375,-4.5,-0.46875,NA,19.443396226415,NA,-4.2463666666667,64.40625,-0.1031,0.0025297362058544,9.6,-25.4782,-1.3207547169811,12.6,25.01,0,68960,11.1,-47,NA,11.1,1.4,19.443396226415
"9",2003-12-31,16.6,4.07,0.9646,0,NA,72.9,1.4,59.1,0.19838872104733,7.5769230769231,NA,-0.112,0.84387310802405,NA,1.3,0,0,-27.9548,-27.9548,-26.6548,0,NA,238.8,27.767441860465,30.615384615385,NA,NA,31.84,NA,-27.9428,297.9,0.053497942386831,NA,-0.436,0.4679186228482,NA,0.7019,0,8.6,297.9,0,0,-31,-4.1333333333333,-2.8,-0.37333333333333,NA,4.4002954209749,NA,-3.7273,39.72,-0.012,0.0004292651517184,7.5,-3.2505523255814,-0.45790251107829,8,16.5,0,107844,7.8,-41.5,NA,7.8,1.15,4.4002954209749
"10",2002-12-31,12.7,3.8,1.0996,0,NA,48.1,2.2,37.2,0.16916780354707,3.6831683168317,NA,-16.3,0.7607,NA,1,0,0,-21.1899,-21.1899,-20.1899,0,NA,182.7,NA,NA,NA,NA,18.089108910891,NA,-22.3899,219.9,0.076923076923077,NA,0.1122,0.69018653690187,NA,0.4306,0,7.9,219.9,0,0,-22.4,-2.2178217821782,-1,-0.099009900990099,NA,4.8758314855876,NA,-2.0980099009901,21.772277227723,1.2,NA,10.1,-2.6822658227848,-0.49667405764967,6.5,16.26,0,55095,8.4,-26.9,NA,8.4,1.1,23.126582278481
