"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2004-12-31,68.2,1.62,0.3388,0.24666030534351,1271.2,59.9,32.6,0.010322335507568,0.0237315279901,0.025645059786029,13.9687,0.95631641086187,25.615724381625,100.2,0,0,187.8368,119.7873,288.0368,0.36228,3125.6,3.0781957849123,2.2753148431244,16.639973287455,10.851389704178,2.5674388040085,0.17,0.115,146.1187,3158.2,0.17550346129641,2.19,19.246575342466,0.135,0.2121,0.16562543384701,0.7009,0.3528,0.52934235368156,1015.4,2899.7,0.089147153153774,0.081850421125958,113.2,0.092985050106785,108.8,0.089370790208641,0,3.6728309056365,1.5068073165662,0.15429344504682,2.381879415147,-26.3313,-0.21981748798985,1217.4,0.11797056293559,0.14338188727042,487.5,42.15,258.5,127879,1373.7,113.2,25.615724381625,1373.7,1.1,3.0135496183206
"2",2003-12-31,67.1,1.81,0.3843,0.22636170714454,1015.9,46.3,25.6,0.010145444457655,0.023113037197544,NA,9.3793,0.94197241738225,26.522184300341,86.5,0,0,229.5821,144.561,316.0821,0.37033,2497.7,3.0363481643569,2.255055976887,10.879332965389,7.9020611386112,2.52726904786,0.155,0.12,175.3816,2523.3,0.2309282409686,1.74,19.198275862069,0.135,0.1863,0.28255875596395,0.7059,0.3495,0.54178560881977,822.6,2331.3,0.082357482949427,0.07609083343241,87.9,0.088940605079429,77.7,0.078619852271578,0,3.552727826882,1.7111086645381,0.2323,2.3588991197005,-30.8207,-0.21320177157854,988.3,0.17573663337017,0.13395306309052,405,33.405,192,37156,1107.6,87.9,26.522184300341,1107.6,1,2.9748879981136
"3",2002-12-31,66,1.62,0.4391,0.051268772656655,670.8,43.9,137.9,0.087085569940006,0.16802729377361,NA,-148.8,0.8092,22.650145772595,61.8,0,0,106.5,67.5785,168.3,0.36546,1445.6,NA,NA,13.573708920188,8.5894236482472,1.7614231753381,0.14,0.105,85.4785,1583.5,0.31842576028622,1.57,14.668789808917,NA,0.0366,0.3686481303931,0.713,0.3101,0.22286821705426,441.4,1553.8,0.01911442914146,0.018755920429428,68.6,0.083587181674181,97.9,0.11928841233094,0,2.8271470160116,1.6178675551853,0.12976727184111,1.8932618496405,-17.9,-0.26487710368281,820.7,0.1531003851382,0.12481804949054,314.9,23.03,29.7,106958,826.4,68.6,22.650145772595,826.4,1.05,3.2750339827821
"4",2001-12-31,NA,1.46,0.4762,0.0607,591.4,46.2,151.5,0.12732162366585,0.19418097923609,NA,3.3321,0.537,14.924066924067,50.4,0,0,171.1903,107.9988,221.5903,0.36913,1038.4,NA,NA,6.0657642401468,4.6861257013506,1.3309407844143,0.075,NA,108.8667,1189.9,0.34274602637809,0.98,16.785714285714,NA,0.0669,0.47240079804921,0.713,0.2805,0.07084883327697,346.91,1159.6,0.026129699896516,0.025464324733171,77.7,0.099589848756729,93.038,0.11924891053576,0,2.4767193507048,1.9898755898756,0.13842453801717,1.4862855678031,-0.8679,-0.0080361985746409,NA,0.31131655057796,0.16595472020504,260.4,16.45,30.3,68100,780.2,79.3,14.622950819672,808.1,1,3.4299962526304
"5",2000-12-31,NA,0.85,0.5696,0.089824256888696,553.9,70.4,108.1,0.068595723078876,0.14920634920635,NA,35.255,0.44768258426966,21.827880512091,45.2,0,0,154.53585,97.8876,199.7358,0.36657,1467.8,NA,NA,9.4981196919679,7.3487058031896,2.0259489302968,0.1914,NA,56.0423,1575.9,0.35602094240838,NA,19.606299212598,NA,0.2659,0.3082455957469,NA,0.2468,NA,311.4,1534.5,0.026979472140762,0.02627070245574,70.3,0.097032436162871,62.6,0.086404416839199,0,4.0584501454642,114.04326286359,0.135110619,2.1180124223603,41.8453,0.42748337296268,NA,0.31434696039017,0.18592964824121,243.5044,24.9,41.4,NA,724.5,77.2,19.876943005181,770.4,NA,3.7566150178784
"6",1999-12-31,NA,0.85,0.5883,0.13404507710558,409,39,61.9,0.03688475747825,0.091798902565624,NA,NA,0.21672616012239,32.791164658635,37.3,0,0,116.8,72.3097,109.6097,0.38091,1616.3,NA,NA,13.838184931507,14.745956088271,2.3970043007563,0.2143,NA,59.1889,1678.2,0.41051344743276,NA,22.34375,NA,0.1649,0.25964010282776,NA,0.1693,NA,275.3,1633,0.027679118187385,0.02693361935407,NA,0.094468337535222,NA,0.085125315141628,0,5.5924657534247,1.5301523405802,0.17321666913837,2.4217707251965,NA,0.023509981619067,NA,0.262657871413,0.21815068493151,194.4,NA,NA,NA,NA,63.7,25.63579277865,674.3,NA,4.9768683274021
