"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23,1.78,0.675,0.5021,312.3,822.3,11.7,30.5,0.0471,0.0269,0.0371,41.14,0.66,151.5,20.5,0,0,5,5.2,26,0,617.7,1.04,0.48,118.79,24.04,0.55,-27.14,648.2,0.0998,NA,NA,NA,-0.065,0.3634,NA,0.8325,0.1991,596.7,333.3,0.9448,0.4858,2.2,0.0019,319.1,0.2818,NA,1.07,0.0046,0.29,32.34,6.2195,1132.4,0.0087,0.007,126.2,14.77,314.9,298395,1278.4,-12.1,NA,1278.4,1.65,1.03
"2",2010-12-31,23,1.44,0.4912,0.18060637741767,313.5,529.3,7.6,36.7,0.12972781901732,0.038889477588217,0.069336860003779,25.0914,0.8,NA,20.7,0,0,-9.4,-9.4,11.3,0,246.2,0.71176640647586,0.22670349907919,NA,21.787610619469,0.26088799406591,-21.3914,282.9,0.14490836954468,NA,NA,NA,0.1573,0.42151805453206,NA,0.6562,0.17286982807482,345.9,213.8,0.32319925163704,0.24425592082008,-5.6,-0.0059340892232701,166.4,0.17632722263431,NA,0.68197767145136,-0.0099607926247748,0.22655504927413,11.9914,NA,943.7,-0.027175484244001,-0.017862838915471,108.2,9.46,69.1,94929,1086,8.7,24.574712643678,1086,1.6,0.73941453214846
"3",2009-12-31,22.9,1.49,0.5425,0.19177038354077,318.2,558,8.7,28.3,0.056251242297754,0.034826482894413,0.050716845878136,17.1787,0.78341013824885,NA,21.3,0,0,-37.1457,-37.1457,-15.8457,0,474.8,1.2993979200876,0.5339030698302,NA,NA,0.58429731725326,-41.7244,503.1,0.14838709677419,NA,NA,NA,-0.4646,0.3377253814147,NA,0.6469,0.17670250896057,365.4,427.6,0.1765668849392,0.15006956867422,-26.9,-0.033103618016244,182,0.22397243416195,NA,1.3438089252043,-0.045712158503569,0.52621215850357,4.5787,NA,812.6,-0.10165763546798,-0.084538026398492,106.1,18.41,75.5,105250,889.3,-19.7,NA,889.3,1.7,1.2778765557531
"4",2008-12-31,22.7,1.66,0.5214,0.25199224639242,347.3,679,26.3,15.3,0.035083696399908,0.010193204530313,0.022533136966127,-92.1458,0.55235903337169,15.051886792453,23.3,0,0,63,25.2,86.3,0.6,420.8,0.93719376391982,0.4416456759026,6.6793650793651,4.8760139049826,0.28034643570953,114.3458,436.1,0.1300441826215,NA,NA,NA,0.0309,0.46294416243655,NA,0.6893,0.15773195876289,449,319.1,0.3666562206205,0.26828709011695,21.2,0.014123917388408,252.3,0.16808794137242,0,0.91880218830982,0.041972018654231,0.21259160559627,-89.1458,-3.5375321214429,1501,0.056124721603564,0.06104232651886,136.6,13.69,117,136152,952.8,-26.7,NA,952.8,1.8,0.93926340727978
"5",2007-12-31,22.1,2.17,0.5665,0.1834181509754,385.1,677,20.2,23,0.071384233395407,0.016193761881293,0.03397341211226,-12.3355,0.50838481906443,4.550193050193,20.2,0.022503182011031,5.304,90.7,54.2123,110.9,0.40229,299.2,0.66696388765047,0.19925412892914,3.2987872105843,2.6979260595131,0.21065971977751,66.5478,322.2,0.1109305760709,0.18,60.166666666667,NA,-0.0675,0.69642857142857,NA,0.7819,0.23796159527326,448.6,235.7,0.36699193890539,0.26846679081316,51.8,0.036471168063085,215.5,0.15172850806168,0.10239382239382,0.6120488184887,0.063859747940576,0.16595085545307,-12.3355,-0.22754113712272,1420.3,0.12084774186358,0.1345105167489,137.1,10.83,86.5,214127,1501.6,43.3,5.4434180138568,1501.6,1.8,0.68320610687023
"6",2006-12-31,17.1,2.09,0.4821,0.51164894820176,204.7,655.1,12.9,9.5,0.01129204802092,0.0080672554347826,0.014501602808732,-44.7437,0.51441609624559,11.16333938294,13.3,0.0066720858397009,4.104,92.5,55.8682,105.8,0.39602,831.8,1.9738965353583,0.58565091881997,8.9924324324324,7.8620037807183,0.70635190217391,101.0118,841.3,0.10746450923523,0.5,51.82,0.635,0.1935,0.25287734297928,NA,0.7626,0.25644939703862,421.4,615.1,0.36774508210047,0.26886960656127,55.1,0.046790081521739,217.1,0.18435801630435,0.07448275862069,3.0048851978505,0.078549592391304,0.52233355978261,-45.1437,-0.80803983230276,1177.6,0.13257747982914,0.26917440156326,109.4,25.91,226.2,117100,1420.3,54.3,11.327808471455,1420.3,1.55,1.9524251566489
"7",2005-12-31,16.6,3.01,0.5758,0.32746623004503,175.5,423.7,8.7,37.4,0.07207554442089,0.038998957247132,0.08827000236016,-13.0384,0.30566168808614,10.425178147268,9.3,0.0090772385509228,3.984,71.2,42.9172,80.5,0.39723,481.5,2.2077028885832,0.44468045807167,6.7626404494382,5.9813664596273,0.50208550573514,56.5556,518.9,0.15199433561482,NA,NA,0.02,0.1995,0.33928571428571,NA,0.7181,0.075997167807411,218.1,438.9,0.18227386648439,0.15417228753132,42.1,0.043899895724713,101,0.10531803962461,0.094631828978622,2.5008547008547,0.074244004171011,0.45766423357664,-13.6384,-0.31778321229552,959,0.19677773498395,0.23988603988604,92.8,25.45,80,25400,1082.8,52.2,8.4080459770115,1082.8,1.1,2.0309197651663
"8",2004-12-31,15.8,1.1,0.5588,0.43782383419689,NA,383,5.3,3.1,0.0067982456140351,0.0033347676419966,0.0080939947780679,22.9748,0.39370078740157,20.98224852071,8.8,0,0,33.5877,19.4758,42.3877,0.42015,452.9,1.889445139758,0.48719879518072,13.484102811446,10.684703345546,0.59513797634691,0.001,456,0.16971279373368,2.45,8.9469387755102,NA,0.4005,0.37868990722519,NA,0.5981,0.084073107049608,239.7,354.6,0.28595600676819,0.22236842105263,16.9,0.022207621550591,103.7,0.13626806833114,0,2.9798319327731,0.044136268068331,0.46596583442838,19.4748,0.99994703565992,761,0.081250846245307,0.12980030721966,80,21.92,101.4,13300,929.6,37.6,9.4308510638298,929.6,0.95,1.9689119170984
"9",2003-12-31,15.8,0.92,0.6089,0.48760703019378,NA,338.9,5.1,2.5,0.0079821200510856,0.0035935029466724,NA,24.9719,0.30218426671046,NA,8.8,0,0,3.1494,3.1494,11.9494,0,310.7,1.3473547267996,0.44660054621245,98.653711818124,26.001305504879,0.57219152854512,-18.1225,313.2,0.20123930362939,NA,NA,NA,0.0092,0.4962325080732,NA,0.5323,0.093242844496902,230.6,205,0.52780487804878,0.34546615581098,-12.8,-0.023572744014733,88.8,0.16353591160221,NA,2.001953125,0.0058,0.37753222836096,21.2719,6.754281355705,543,0.013657415437988,-0.11257695690413,68.3,11.82,108.2,7700,695.7,9.7,21.134020618557,695.7,0.85,1.4114465975665
"10",2002-12-31,15.8,0.7,0.5517,0.48405172413793,NA,352.6,1.5,0.9,0.0040964952207556,0.0016725515703401,NA,-10.5,0.2775,NA,8.9,0,0,-4.4,-4.4,4.5,0,218.8,NA,NA,NA,48.622222222222,0.40661587065601,3,219.7,0.2311401020987,NA,NA,NA,-0.2109,0.26511627906977,NA,0.5077,0.090470788428814,242.3,107.4,1.0456238361266,0.51115157032317,-9.3,-0.017283032893514,99.2,0.18435235086415,NA,0.89724310776942,-0.0081769187883293,0.19959115406058,-7.4,NA,538.1,-0.018159306644655,-0.077694235588972,67.7,6.61,112.3,24328,534.7,-16.9,NA,534.7,0.75,0.90301279405695
