"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,183.3,0.48,0.5917,0.7567,63.4,347.1,1.4,24.6,0.0544,0.0899,0.0709,34.28,0.2,36.99,5.6,0,0,19,18.5,24,0,427.8,1.81,0.73,23.12,17.75,1.56,0.2,-11.58,452.4,0.0346,NA,0.36,0.4031,NA,0.1255,0.5474,236,255.2,0.7727,0.4359,6.9,0.0252,30.1,0.11,NA,4.03,1.85,0.0676,0.93,30.08,1.626,273.6,0.0784,0.1088,0,1.4,197.2,410498,585.2,-4.6,NA,585.2,1.25,1.74
"2",2010-12-31,183.5,1.04,0.6896,0.37299465240642,46.9,101.8,0.6,9.6,0.018590240123935,0.049357326478149,0.094302554027505,0.6108,0.47128770301624,NA,4,0,0,9.8,9.8,13.8,0,506.8,7.7730061349693,2.2942507922137,51.714285714286,36.724637681159,2.6056555269923,NA,12.5892,516.4,0.027504911591356,-0.04,0.1818,0.50769230769231,NA,0.1093,0.55206286836935,65.2,488.5,0.057113613101331,0.054027885360186,-11,-0.056555269922879,4.5,0.023136246786632,NA,10.415778251599,NA,0.050385604113111,2.5115681233933,-2.7892,-0.28461255967683,194.5,0.15030674846626,-0.23454157782516,0,2.48,27.9,328013,220.9,-3.7,NA,220.9,1.3,6.903743315508
"3",2009-12-31,167.9,1.71,0.718,0.48360655737705,37.8,94.6,0.4,7.9,0.031449044585987,0.05242203052422,0.083509513742072,0.3954,0.4874651810585,NA,3.7,0,0,-3.9863,-3.9863,-0.2863,0,243.3,3.7258805513017,1.3237214363439,NA,NA,1.6144658261447,NA,-1.0817,251.2,0.033826638477801,NA,0.2747,0.48717948717949,NA,0.0885,0.61522198731501,65.3,215.8,0.16404077849861,0.14092356687898,-18.7,-0.12408759124088,1.8,0.011944260119443,NA,5.7089947089947,NA,-0.026452090245521,1.4319840743198,-2.9046,NA,150.7,-0.061046401225115,-0.49470899470899,0,1.17,35.4,214977,183.8,-13.4,NA,183.8,1.4,3.431693989071
"4",2008-12-31,171.7,1.59,0.7113,0.37591240875912,51.3,101.7,0.5,11.8,0.085321764280549,0.097520661157025,0.11602753195673,0.5331,0.31491635034444,NA,3.2,0,0,-0.9,-0.9,2.3,0,126.5,1.796875,0.88771929824561,NA,55,1.0454545454546,NA,1.2669,138.3,0.03638151425762,NA,0.2167,0.46268656716418,NA,0.0445,0.60373647984267,70.4,107.4,0.2877094972067,0.2234273318872,-20.3,-0.16776859504132,3,0.024793388429752,NA,2.093567251462,NA,-0.0074380165289256,0.88760330578512,-2.1669,NA,121,-0.012784090909091,-0.39571150097466,0,0.64,30.9,224577,142.5,-23.4,NA,142.5,1.4,1.6824817518248
"5",2007-12-31,161.7,2.08,0.9505,0.42446808510638,54.1,114.1,0.4,13.3,0.072282608695652,0.14209401709402,0.11656441717791,-15.1712,0.19358232509206,13.594339622642,1.4,0,0,18.5,16.6794,19.9,0.09841,170.7,2.1152416356877,1.2644444444444,9.227027027027,8.5778894472362,1.823717948718,NA,32.8506,184,0.007011393514461,NA,1.2702,NA,NA,0.1326,0.38212094653813,80.7,144.1,0.27689104788341,0.21684782608696,10.6,0.11324786324786,34.3,0.36645299145299,0,2.6635859519409,NA,0.19764957264957,1.5395299145299,-16.1712,-0.9695276390781,93.6,0.20668420074349,0.19593345656192,NA,0.72,39.9,398816,135,-1.3,NA,135,1.15,1.9574468085106
"6",2006-12-31,156,NA,NA,0.15015015015015,28.3,47.3,0.4,8.9,0.024363536819053,0.22361809045226,0.18816067653277,-2.5859,NA,257.35714285714,0.7,0,0,4.7,4.7,5.4,0,356.4,14.606557377049,7.7478260869565,75.829787234043,66,8.9547738693467,NA,7.5859,365.3,0.014799154334038,NA,0.2761,0.52129817444219,NA,0.059,0.067653276955602,24.4,360.3,0.013877324451846,0.013687380235423,1.4,0.035175879396985,16.6,0.41708542713568,0,12.731448763251,NA,0.11809045226131,9.0527638190955,-2.8859,-0.61402758473217,39.8,0.19262295081967,0.049469964664311,NA,1.96,5,72800,46,0.7,514.71428571429,46,0.85,10.96996996997
"7",2005-12-31,141.6,NA,NA,0.3048128342246,13,39.3,0.2,12.8,0.06754617414248,0.45229681978799,0.32569974554707,-0.5343,NA,NA,0.8,0,0,-3.3385,-3.3385,-2.5385,0,176.7,29.949152542373,4.8147138964578,NA,NA,6.243816254417,NA,-2.2042,189.5,0.025445292620865,NA,-0.2964,0.65,NA,0.0078,0.035623409669211,5.9,183.8,0.0310119695321,0.030079155672823,-13.4,-0.47349823321555,1.8,0.063604240282685,NA,14.138461538462,NA,-0.11796855123675,6.4946996466431,-1.1343,NA,28.3,-0.56584915254237,-1.0307692307692,NA,1.22,5.7,206600,36.7,1.8,102.11111111111,36.7,1.1,10.133689839572
"8",2004-12-31,120.1,0,0,NA,NA,21.6,0.4,1.9,0.022274325908558,0.091346153846154,0.087962962962963,1.2871,NA,NA,1,0,0,-4.9351,-4.9351,-3.9351,0,83.4,41.7,4.0096153846154,NA,NA,2.4457478005865,NA,-5.6222,85.3,0.13425925925926,NA,0,0.47761194029851,NA,0.0153,0.069444444444444,2,57.4,0.48606271777004,0.32708089097304,-9.8,-0.28739002932551,-3.3,-0.096774193548387,NA,NA,NA,-0.14472551319648,1.683284457478,0.6871,-0.13922538655308,34.1,-2.46757,NA,0,0.46,27.9,12000,20.8,-17.6,NA,20.8,1,NA
"9",2003-12-31,43.6,0,0,NA,NA,44.1,0.5,4.7,0.086080586080586,0.1010752688172,NA,-4.4166,NA,NA,1.2,0,0,5.7225,5.7225,6.9225,0,49.9,5.8023255813954,1.0731182795699,8.7199955264151,7.2083993019843,0.81270358306189,NA,10.8391,54.6,0.10884353741497,NA,-0.2142,0.70403587443946,NA,0.0774,0,8.6,25.1,1.1752988047809,0.54029304029304,-5.5,-0.08957654723127,18.2,0.29641693811075,NA,NA,NA,0.0932,0.40879478827362,-5.1166,-0.89412499088685,61.4,0.66540465116279,NA,0,0.57,29.5,1000,46.5,-8.4,NA,46.5,0.95,NA
"10",2002-12-31,42,0,0,NA,NA,43.9,1.5,16.1,0.28596802841918,0.21381142098274,NA,-2.5,0,NA,2,0,0,-13.0616,-13.0616,-11.0616,0,40.2,NA,NA,NA,NA,0.53386454183267,NA,-12.5616,56.3,0.18451025056948,NA,-0.1743,0.86301369863014,NA,0.0984,0.034168564920273,4,25.3,1.2252964426877,0.550621669627,-46.4,-0.61620185922975,-3.5,-0.046480743691899,NA,NA,NA,-0.1734604249668,0.33598937583001,-0.5,NA,75.3,-3.2653925,NA,0,0.55,31,124279,60.1,-21.3,NA,60.1,NA,10.05
