"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,34.6,2.54,1.2755,0.676,113.4,2166.9,0,18.2,0.0426,0.0084,NA,0.5,NA,0,0,0,38,38.2,38,0,409.1,1.23,10.71,10.71,38.2,427.3,0,NA,NA,0.5665,0.659,0.0018,331.8,190.7,1.2407,0.5537,-99.4,0,NA,1.68,0,0,0.1151,-0.8765,22.3,1.19,236.6,72188,-40.9,NA,NA,0.75,1.22
"2",2010-12-31,0.9,1.48,1.1423,0.60523446019629,181,2975.6,0,17,0.045760430686406,0.0057131334856836,NA,0.14225685021448,NA,0,0,0,95.4,95.4,95.4,0,354.5,0.80294450736127,3.7159329140461,3.7159329140461,95.4,371.5,0,NA,NA,0.84153512844321,0.7044,0.0043016534480441,441.5,94,2.9521276595745,0.74697173620458,-143.5,0,NA,0.51933701657459,0,0,0.21608154020385,-0.79281767955801,36,2.74,277.5,181948,-111.5,NA,NA,0.65,0.81025081788441
"3",2009-12-31,22.2,0.75,0.8705,0.87456665616136,39.8,2975.6,0,17,0.059048280653004,0.0057131334856836,NA,0.18667432510052,NA,0,0,0,95.4,95.4,95.4,0,270.9,0.9020979020979,2.8396226415094,2.8396226415094,95.4,287.9,0,NA,NA,0.79807692307692,0.4411,0.0043016534480441,300.3,10.4,26.682692307692,0.96387634595346,-143.5,0,NA,0.26130653266332,0,0,0.31768231768232,-3.605527638191,36,0.52,277.5,147455,-143.5,NA,NA,0.65,0.9073432083202
"4",2008-12-31,10.3,0.19,0.4474,0.41831097079716,73.7,563.8,0,19.8,0.21806167400881,0.035118836466832,NA,0.17881090746535,5.5588235294118,0,0,0,20,13.0956,20,0.34522,71,0.66417212347989,3.55,3.55,NA,90.8,0,0.11,NA,0.72173913043478,0.1645,0,106.9,37.8,1.4021164021164,0.58370044052863,6.8,0,0,0.51289009497965,NA,NA,0.12250327408793,0.092265943012212,11.7,1.73,53,99389,-31.8,NA,NA,0.5,0.71665351223362
"5",2007-12-31,10.3,0.36,0.2248,0.41831097079716,73.7,563.8,0,19.8,0.12468513853904,0.035118836466832,NA,0.3202846975089,15.558823529412,0,0.042835538752363,4.532,20,13.0956,20,0.34522,139,1.3002806361085,6.95,6.95,NA,158.8,0,0.11,NA,0.38026772434308,0.0421,0,106.9,105.8,0.50094517958412,0.33375314861461,6.8,0,0.66647058823529,1.4355495251018,NA,NA,0.12250327408793,0.092265943012212,11.7,9.5,53,92006,6.6,16.030303030303,NA,0.45,1.2533543804262
"6",2006-12-31,10.3,0.2,0.1345,0.35120147874307,70.2,476.3,0,17.1,0.10401459854015,0.035901742599202,NA,0.59479553903346,21.066666666667,0,0.035854430379747,4.532,16.7,10.9913,16.7,0.34184,147.3,1.6169045005489,8.8203592814371,8.8203592814371,NA,164.4,0,0.08,NA,0.16146230007616,0.0542,0,91.1,126.4,0.30063291139241,0.23114355231144,6,0,0.75533333333333,1.8005698005698,NA,NA,0.12065062568606,0.085470085470085,7.6,12.28,38,900,6.6,19.151515151515,NA,0.5,1.5194085027726
"7",2005-12-31,8.2,-0.37,0.1661,0.38316582914573,49.1,409.5,0,17.5,0.11467889908257,0.042735042735043,NA,0.43347381095726,22.2,0,0,0,14.9,9.7953,14.9,0.3426,135.1,2.1755233494364,9.0671140939597,9.0671140939597,NA,152.6,0,NA,NA,0.12356687898089,0.0732,0,62.1,122.1,0.24979524979525,0.19986893840105,5.5,0,0,2.4867617107943,NA,NA,0.15773365539452,0.11201629327902,4.9,12,30.5,1922,5.9,20.694915254237,NA,0.45,1.9170854271357
"8",2004-12-31,8.1,0,0,0.34534534534535,NA,345,0,12.1,0.11111111111111,0.035072463768116,0,NA,20.951219512195,0,0,0,NA,NA,NA,0.34361,96.8,1.7761467889908,NA,NA,NA,108.9,0,NA,0,0.081081081081081,0.0125,0,54.5,85.9,0.26775320139697,0.21120293847567,4.1,0,0,1.9701834862385,0,NA,NA,0.094036697247706,3.3,10.65,23,798,4.1,20.951219512195,0,0.45,1.6351351351351
"9",2003-12-31,7.9,0,0,0.2664298401421,NA,316.5,0,13.5,0.12511584800741,NA,0,NA,23.225,0,0,0,NA,NA,NA,0.34146,94.4,2.2056074766355,NA,NA,NA,107.9,0,NA,0,0.11111111111111,0.0079,0,42.8,92.9,0.16146393972013,0.13901760889713,4,0,0,2.2493946731235,0,NA,NA,0.096852300242131,3.9,11.6,15,1100,4,23.225,0,0,1.9165186500888
