"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,36.8,2.5,0.581,0.7026,197.8,925,165.1,106,0.1533,1.7637,0.1146,-71.9,0.8,NA,26.5,0,0,-2,-1.9,25,0,585.5,1.05,4.24,NA,23.8,9.74,-68.6,691.5,0.5937,NA,0.02,0.4862,0.7934,0.2291,559.2,224.1,2.0857,0.6759,-131,-2.1797,-55.4,-0.9218,NA,1.13,-0.0316,3.73,66.7,NA,60.1,-0.0034,-0.6623,17.9,5.18,467.4,1016957,138.1,-156.5,NA,138.1,1.65,1.04
"2",2010-12-31,24.7,1.78,0.7641,0.62429940336286,207.8,750.3,92,99.3,0.17026748971193,1.3849372384937,0.13234706117553,1.0354,0.52349168956943,NA,28.9,0,0,9,9,37.9,0,483.9,1.0663287791979,8.0515806988353,53.766666666667,12.767810026385,6.7489539748954,-55.1354,583.2,0.48607223777156,NA,-0.1243,0.47818263607737,0.743,0.28242036518726,453.8,237.9,1.4514501891551,0.59207818930041,-30.6,-0.42677824267782,-6.4,-0.089260808926081,NA,1.1448508180943,0.1255230125523,3.3179916317992,64.1354,7.1261583759492,71.7,0.01983252534156,-0.14725697786333,18.4,8.69,345.3,368158,60.1,-91.2,NA,60.1,1.6,1.0544205387814
"3",2009-12-31,18.8,1.66,0.7825,0.78800705467372,60.1,538.9,131.4,30.2,0.054959053685168,0.48475120385233,0.056040081647801,-1.0889,0.47923322683706,NA,34,0,0,-6.5,-6.5,27.5,0,519.3,2.0501381760758,6.9147802929427,NA,18.883636363636,8.3354735152488,-102.8111,549.5,0.49471144924847,NA,NA,0.4331983805668,0.3339,0.39320838745593,253.3,326.1,0.6850659306961,0.40655141037307,-87.5,-1.4044943820225,-5.3,-0.085072231139647,NA,5.4259567387687,-0.10433386837881,5.2343499197432,96.3111,NA,62.3,-0.025661271219897,-1.4559068219634,17,13.8,223.4,416403,75.1,-56.3,NA,75.1,1.5,1.9382716049383
"4",2008-12-31,128.2,1.44,0.7405,0.65886094246892,118,737.5,66.4,38.2,0.1042861042861,0.14669738863287,0.051796610169491,1.4945,0.32410533423363,2.4495575221239,81.7,0,0,112.5,56.1307,194.2,0.50106,328.1,1.0662983425414,3.9293413173653,2.9164444444444,1.6894953656025,1.2599846390169,69.9362,366.3,0.42440677966102,NA,0.4652,0.65543071161049,0.3658,0.38223728813559,307.7,138.4,1.646676300578,0.62216762216762,56.5,0.21697388632872,-2.2,-0.0084485407066052,0,1.1728813559322,0.43202764976959,0.53149001536098,-13.8055,-0.24595169579957,260.4,0.18242037699058,0.47881355932203,19.6,1.08,227.9,361920,83.5,39.5,3.5037974683544,83.5,1.5,1.0589765828274
"5",2007-12-31,127,1.53,0.4724,0.57715648027742,68.3,747.6,88,16.4,0.048549437537004,0.0931289040318,0.021936864633494,-11.5162,0.38950042337002,NA,76.8,0,0,38.3,38.3,115.1,0,321.4,1.0100565681961,1.1747076023392,8.3916449086162,2.7923544743701,1.8250993753549,38.6162,337.8,0.44810058855003,NA,2.0334,NA,0.4251,0.37894596040663,318.2,71.5,3.7244755244755,0.78833629366489,-49.1,-0.27881885292448,20.8,0.11811470755253,NA,1.0468521229868,0.21749006246451,0.40601930721181,-0.3162,-0.0082554565632214,176.1,0.12036455059711,-0.71888726207906,19.9,0.5,266.3,689570,273.6,-34.9,NA,273.6,1.15,1.0095636580992
"6",2006-12-31,118.6,1.61,0.4219,0.55875912408759,115,774.5,55.5,39.8,0.08468085106383,0.73567467652495,0.051387992253066,-18.4451,0.36027494666983,NA,19,0,0,-3.6,-1.8,15.4,0.6,430.2,1.1279496591505,2.8136036625245,NA,27.935064935065,7.9519408502773,-19.8549,470,0.41226597805035,-0.01,-0.1084,0.42771084337349,0.4017,0.37998708844416,381.4,163.8,1.8693528693529,0.65148936170213,-6.8,-0.12569316081331,10.1,0.18669131238447,NA,1.424347826087,-0.066543438077634,3.0277264325323,18.0549,NA,54.1,-0.0047194546407971,-0.059130434782609,21.9,1.35,306.2,41700,152.9,-29.9,NA,152.9,0.95,1.1158594491928
"7",2005-12-31,75.5,NA,NA,0.66858552631579,40.3,187,47.4,76.1,0.28684508104033,1.9664082687338,0.40695187165775,-3.3426,NA,NA,9.3,0,0,-0.9,-0.9,8.4,0,189.2,4.1582417582418,5.5976331360947,NA,22.52380952381,4.8888888888889,-35.6574,265.3,0.31604278074866,-0.18,NA,0.30808950086059,0.2673,0.17272727272727,45.5,184,0.44184782608696,0.30644553335846,-37.7,-0.97416020671835,-26.4,-0.68217054263566,NA,4.5657568238213,-0.023255813953488,4.7545219638243,34.7574,NA,38.7,-0.01978021978022,-0.93548387096774,18.2,2.29,81.3,102000,33.8,-24.1,NA,33.8,1.15,2.1817434210526
"8",2004-12-31,70,0,0,0.070146818923328,NA,101.7,9.1,9,0.033619723571162,0.4390243902439,0.088495575221239,-9.0811,NA,NA,13,0,0,-26.2434,-26.2434,-13.2434,0,258.7,4.9464627151052,12.619512195122,NA,NA,69.918918918919,-13.2623,267.7,0.49360865290069,NA,0,0.31865585168019,0.348,0.24483775811209,52.3,263.4,0.016324981017464,0.016062756817333,-24.6,-6.6486486486487,-2,-0.54054054054054,NA,4.6210526315789,-7.0928135135135,71.189189189189,-12.9811,0.49464155310156,3.7,-0.50178604206501,-0.43157894736842,14.7,3.25,4.3,350000,20.5,-3.2,NA,20.5,1,4.3670473083197
"9",2003-12-31,37.1,0,0,0.49230769230769,NA,12.7,2.9,0.8,0.0029218407596786,NA,NA,0,NA,NA,1.5,0,0,NA,NA,NA,0,273,8.8636363636364,NA,NA,NA,NA,NA,273.8,0.51181102362205,NA,-0.2731,0.42061281337047,0.133,0,30.8,270.6,0.011825572801183,0.011687363038714,-34.1,NA,-3.6,NA,NA,NA,NA,NA,1.4,NA,NA,NA,-10.333333333333,4.1,4.1,3.2,26500,NA,-39.1,NA,0,0,42.123076923077
