"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,25.1,1.05,0.2463,0.333,487.2,4202,0,85.7,0.1202,0.0204,NA,0.8,18.34,0,0.0364,17.07,130,96.25,130,0.2608,0.2622,627,0.97,4.82,4.82,96.25,712.7,0,-0.07,NA,0.1729,NA,0.0458,644.7,469.5,0.518,0.3412,25.6,0,0.68,0.96,0,0,0.1493,0.0525,31.7,19.14,243.2,91351,25.1,18.71,NA,1,0.98
"2",2010-12-31,25,1.16,0.3266,0.39065541855938,469.5,4297.3,0,47.7,0.07020900794819,0.011099993018872,NA,0.72718922229026,11.93690851735,0,0.045,17.028,157.9,107.1146,157.9,0.32163,0.32119914346895,631.7,0.87396236856668,4.0006333122229,4.0006333122229,107.1146,679.4,0,-0.05,NA,0.19809717974856,NA,0.044655946757266,722.8,378.4,0.79545454545455,0.44303797468354,31.7,0,0.53716088328076,0.80596379126731,0,0,0.1481939997233,0.06751863684771,44.5,15,301,63849,20.9,18.105263157895,NA,0.95,0.88176508760545
"3",2009-12-31,21.1,0.93,0.4048,0.5922243213682,410.1,3641.1,0,63,0.065536252990742,0.017302463541237,NA,0.61758893280632,19.767567567568,0,0.0392,14.3354,126,95.7008,126,0.24047,0.24180327868852,898.3,0.95290124111594,7.1293650793651,7.1293650793651,95.7008,961.3,0,-0.03,NA,0.1712350854563,NA,0.05256653209195,942.7,365.7,1.6286573694285,0.6195776552585,18.5,0,0.77488864864865,0.89173372348208,0,0,0.10151774689721,0.045110948549134,46.7,16.91,595.6,69882,31,11.796774193548,NA,1,0.95585164561997
"4",2008-12-31,21.1,0.92,0.4128,0.60737399490096,400.4,3716,0,81.4,0.089273963588506,0.021905274488698,NA,0.38759689922481,12.132780082987,0,0.049,14.3276,134.1,98.5997,134.1,0.26473,NA,830.4,0.8849104859335,6.1923937360179,6.1923937360179,NA,911.8,0,0.025,NA,0.38021454112038,NA,0.052018299246502,938.4,292.4,2.1183310533516,0.6793156393946,24.1,0,0.59450622406639,0.73026973026973,NA,NA,0.10507215153453,0.06018981018981,63.5,13.6,619.4,78495,14.8,19.756756756757,NA,1,0.89409688174152
"5",2007-12-31,20.8,0.8,0.3635,0.38882082695253,399.1,3612.3,0,84.4,0.14324507807196,0.023364615342026,NA,0.44016506189821,10.781350482315,0,0.042183119594393,14.144,111.6,76.8399,111.6,0.31147,NA,504.8,0.88779458318677,4.5232974910394,4.5232974910394,NA,589.2,0,0.08,NA,0.30423877602207,NA,0.054618940841015,568.6,335.3,0.75723232925738,0.43092328581127,31.1,0,0.45479099678457,0.84014031571035,NA,NA,0.13513884628913,0.077925331996993,83.8,17.03,253.9,150134,32.7,10.253822629969,NA,1,0.90229709035222
"6",2006-12-31,15.5,1.6,0.2458,0.45196269789633,252.7,2611.4,0,76.3,0.11408492822966,0.029218043961094,NA,0.61838893409276,16.988929889299,0,0.022893136403128,10.54,93,65.3669,93,0.29713,NA,592.5,1.5397609147609,6.3709677419355,6.3709677419355,NA,668.8,0,0.095,NA,NA,NA,0.037642643792602,384.8,460.4,0.45264986967854,0.3116028708134,27.1,0,0.38892988929889,1.8219232291254,NA,NA,0.16987242723493,0.10724178868223,57.5,19.96,208.4,70244,28.8,15.986111111111,NA,0.95,1.4504445890262
"7",2005-12-31,15.4,0.77,0.1721,0.5207654723127,235.4,2397.7,0,69.3,0.093308199811499,0.028902698419319,NA,0.60429982568274,20.119834710744,0,0.020242349558431,9.856,87.3,62.691,87.3,0.28189,NA,673.4,1.5961128229438,7.7136311569301,7.7136311569301,NA,742.7,0,0.1,NA,NA,NA,0.042040288609918,421.9,486.9,0.52536455124255,0.34441901171402,24.2,0,0.40727272727273,2.0683942225998,NA,NA,0.14859209054278,0.10280373831776,35.2,30.63,255.8,38203,26.3,18.513307984791,NA,0.65,1.5120114006515
"8",2004-12-31,9,0.52,0.1499,0.43887147335423,NA,1707.5,0,52.1,0.11033460398136,0.030512445095168,0,0.69379586390927,18.054347826087,0,0.027821688270629,7.92,NA,NA,NA,0.26984,NA,420.1,1.573997751967,NA,NA,NA,472.2,0,0.095,0,NA,0,0.029516837481698,266.9,332.2,0.421432871764,0.29648454044896,18.4,0,0.4304347826087,1.8558659217877,0,NA,NA,0.10279329608939,17.4,31.63,140,9976,22,15.1,0,0.55,1.4802507836991
